"","gse_id","samples_bygse","vaccine","samples_byvaccine","condition","samples","day","week","dose","infection","type","regimen","disease_vac","severity","variant","prior_infection","previous_vaccination"
"1","GSE189039",107,"BNT",396,"BNT (V1, D0)",8,0,"1",1,0,"RNA","HO","V","H","None","No","No"
"2","GSE189039",107,"BNT",396,"BNT (V1, D10)",2,10,"2",1,0,"RNA","HO","V","H","None","No","No"
"3","GSE189039",107,"BNT",396,"BNT (V1, D11)",1,11,"2",1,0,"RNA","HO","V","H","None","No","No"
"4","GSE189039",107,"BNT",396,"BNT (V1, D7)",5,7,"1",1,0,"RNA","HO","V","H","None","No","No"
"5","GSE189039",107,"BNT",396,"BNT-I (D10, mild)",1,10,"2",1,1,"I","V-I","I","MI","Beta","No","Yes"
"6","GSE189039",107,"BNT",396,"BNT-I (D10, severe)",3,10,"2",1,1,"I","V-I","I","S","Beta","No","Yes"
"7","GSE189039",107,"BNT",396,"BNT-I (D26, mild)",1,26,"4",1,1,"I","V-I","I","MI","Beta","No","Yes"
"8","GSE189039",107,"BNT",396,"BNT-I (D26, severe)",2,26,"4",1,1,"I","V-I","I","S","Beta","No","Yes"
"9","GSE189039",107,"BNT",396,"BNT-I (D51, severe)",1,51,"7",1,1,"I","V-I-V","I","S","Beta","No","Yes"
"10","GSE189039",107,"BNT",396,"BNT-I-BNT (D51, mild)",1,51,"7",2,1,"RNA","V-I-V","I","MI","Beta","No","Yes"
"11","GSE189039",107,"BNT",396,"BNT-I-BNT (D51, severe)",1,51,"7",2,1,"RNA","V-I-V","I","S","Beta","No","Yes"
"12","GSE189039",107,"BNT",396,"BNT (V1, D0)",67,0,"1",1,0,"RNA","HO","V","H","None","No","No"
"13","GSE189039",107,"I",21,"I (D10, moderate)",3,10,"2",0,1,"I","I","I","MO","Beta","No","No"
"14","GSE189039",107,"I",21,"I (D10, severe)",2,10,"2",0,1,"I","I","I","S","Beta","No","No"
"15","GSE189039",107,"I",21,"I (D26, moderate)",3,26,"4",0,1,"I","I","I","MO","Beta","No","No"
"16","GSE189039",107,"I",21,"I (D26, severe)",2,26,"4",0,1,"I","I","I","S","Beta","No","No"
"17","GSE189039",107,"I",21,"I (D51, moderate)",2,51,"7",0,1,"I","I","I","MO","Beta","No","No"
"18","GSE189039",107,"I",21,"I (D51, severe)",2,51,"7",0,1,"I","I","I","S","Beta","No","No"
"19","GSE199750",305,"BNT",396,"BNT (V1, D0)",8,0,"1",1,0,"RNA","HO","V","H","None","No","No"
"20","GSE199750",305,"BNT",396,"BNT (V1, D0)",67,0,"1",1,0,"RNA","HO","V","H","None","No","No"
"21","GSE199750",305,"BNT",396,"BNT (V1, D6)",64,6,"1",1,0,"RNA","HO","V","H","None","No","No"
"22","GSE199750",305,"BNT",396,"BNT (V2, D1)",46,1,"1",2,0,"RNA","HO","V","H","None","No","Yes"
"23","GSE199750",305,"BNT",396,"BNT (V3, D1)",25,1,"1",3,0,"RNA","HO","V","H","None","No","Yes"
"24","GSE199750",305,"BNT",396,"BNT-MO (V1, D0)",2,0,"1",1,0,"RNA","HE","V","H","None","No","No"
"25","GSE199750",305,"BNT",396,"BNT-MO (V1, D6)",2,6,"1",1,0,"RNA","HE","V","H","None","No","No"
"26","GSE199750",305,"BNT",396,"ChAd-BNT (V3, D1)",5,1,"1",3,0,"RNA","HE","V","H","None","No","Yes"
"27","GSE199750",305,"ChAd",207,"ChAd (V1, D0)",16,0,"1",1,0,"VV","HO","V","H","None","No","No"
"28","GSE199750",305,"ChAd",207,"ChAd (V1, D6)",15,6,"1",1,0,"VV","HO","V","H","None","No","No"
"29","GSE199750",305,"ChAd",207,"ChAd (V2, D1)",8,1,"1",2,0,"VV","HO","V","H","None","No","Yes"
"30","GSE199750",305,"ChAd",207,"ChAd (V1, D0)",37,0,"1",1,0,"VV","HO","V","H","None","No","No"
"31","GSE199750",305,"MO",10,"BNT-MO (V3, D1)",10,1,"1",3,0,"RNA","HE","V","H","None","No","Yes"
"32","GSE201530",63,"BNT",396,"BNT-I (D0)",13,10,"2",1,1,"I","V-I","I","MI","Omicron","No","Yes"
"33","GSE201530",63,"BNT",396,"BNT-I (D1)",5,1,"1",1,1,"I","V-I","I","MI","Omicron","No","Yes"
"34","GSE201530",63,"BNT",396,"BNT-I (D2)",12,2,"1",1,1,"I","V-I","I","MI","Omicron","No","Yes"
"35","GSE201530",63,"BNT",396,"BNT-I (D3)",6,3,"1",1,1,"I","V-I","I","MI","Omicron","No","Yes"
"36","GSE201530",63,"BNT",396,"BNT-I (D4)",2,4,"1",1,1,"I","V-I","I","MI","Omicron","No","Yes"
"37","GSE201530",63,"BNT",396,"I-BNT-I (D2)",1,2,"1",1,2,"I","I-V-I","I","MI","Omicron","Yes","Yes"
"38","GSE201530",63,"BNT",396,"I-BNT-I (D5)",1,5,"1",1,2,"I","I-V-I","I","MI","Omicron","Yes","Yes"
"39","GSE201530",63,"H",16,"H (D0)",8,0,"1",0,0,"H","H","Healthy","H","None","No","No"
"40","GSE201530",63,"H",16,"H (D0)",8,0,"1",0,0,"H","H","H","H","None","No","No"
"41","GSE201530",63,"I",21,"I (D1)",1,1,"1",0,1,"I","I","I","MI","Omicron","No","No"
"42","GSE201530",63,"I",21,"I-I (D0)",1,1,"1",0,2,"I","I-I","I","MI","Omicron","Yes","No"
"43","GSE201530",63,"I",21,"I-I (D1)",1,1,"1",0,2,"I","I-I","I","MI","Omicron","Yes","No"
"44","GSE201530",63,"I",21,"I-I (D2)",1,2,"1",0,2,"I","I-I","I","MI","Omicron","Yes","No"
"45","GSE201530",63,"I",21,"I-I (D3)",1,3,"1",0,2,"I","I-I","I","MI","Omicron","Yes","No"
"46","GSE201530",63,"I",21,"I-I (D5)",2,5,"1",0,2,"I","I-I","I","MI","Omicron","Yes","No"
"47","GSE201533",175,"BNT",396,"ChAd-BNT (V2, D0)",16,0,"1",2,0,"RNA","HE","V","H","None","No","Yes"
"48","GSE201533",175,"BNT",396,"ChAd-BNT (V2, D3)",17,3,"1",2,0,"RNA","HE","V","H","None","No","Yes"
"49","GSE201533",175,"BNT",396,"ChAd-BNT (V2, D7)",11,7,"1",2,0,"RNA","HE","V","H","None","No","Yes"
"50","GSE201533",175,"ChAd",207,"ChAd (V1, D0)",16,0,"1",1,0,"VV","HO","V","H","None","No","No"
"51","GSE201533",175,"ChAd",207,"ChAd (V1, D0)",37,0,"1",1,0,"VV","HO","V","H","None","No","No"
"52","GSE201533",175,"ChAd",207,"ChAd (V1, D3)",36,3,"1",1,0,"VV","HO","V","H","None","No","No"
"53","GSE201533",175,"ChAd",207,"ChAd (V1, D7)",37,7,"1",1,0,"VV","HO","V","H","None","No","No"
"54","GSE201533",175,"ChAd",207,"ChAd (V2, D3)",4,3,"1",2,0,"VV","HO","V","H","None","No","Yes"
"55","GSE201533",175,"ChAd",207,"ChAd (V2, D7)",1,7,"1",2,0,"VV","HO","V","H","None","No","Yes"
"56","GSE206023",48,"BBIBP",24,"BBIBP (V3, D0)",6,0,"1",3,0,"IN","HO","V","H","None","No","Yes"
"57","GSE206023",48,"BBIBP",24,"BBIBP (V3, D07)",6,7,"1",3,0,"IN","HO","V","H","None","No","Yes"
"58","GSE206023",48,"BBIBP",24,"BBIBP (V3, D14)",6,14,"2",3,0,"IN","HO","V","H","None","No","Yes"
"59","GSE206023",48,"BBIBP",24,"BBIBP (V3, D28)",6,28,"4",3,0,"IN","HO","V","H","None","No","Yes"
"60","GSE206023",48,"ZF2001",24,"ZF2001 (V3, D0)",6,0,"1",3,0,"SU","HE","V","H","None","No","Yes"
"61","GSE206023",48,"ZF2001",24,"ZF2001 (V3, D07)",6,7,"1",3,0,"SU","HE","V","H","None","No","Yes"
"62","GSE206023",48,"ZF2001",24,"ZF2001 (V3, D14)",6,14,"2",3,0,"SU","HE","V","H","None","No","Yes"
"63","GSE206023",48,"ZF2001",24,"ZF2001 (V3, D28)",6,28,"4",3,0,"SU","HE","V","H","None","No","Yes"
