condition,gse_id,samples,vaccine,day,week,dose,infection,type,gmt_nab_wt,gmt_igg_sarscov2,disease_vac,variant,prior_infection,previous_vaccination
"BBIBP (V3, D0)",GSE206023,6,BBIBP,0,0,3,0,IN,3.4,0,V,None,No,Yes
"BBIBP (V3, D07)",GSE206023,6,BBIBP,7,1,3,0,IN,34.61,0,V,None,No,Yes
"BBIBP (V3, D14)",GSE206023,6,BBIBP,14,2,3,0,IN,81.52,355.05,V,None,No,Yes
"BBIBP (V3, D28)",GSE206023,6,BBIBP,28,4,3,0,IN,97.9,552.69,V,None,No,Yes
"BNT (V1, D0)",GSE189039,77,BNT,0,0,1,0,RNA,NA,NA,V,None,No,No
"BNT (V1, D0)",GSE199750,77,BNT,0,0,1,0,RNA,NA,NA,V,None,No,No
"BNT (V1, D6)",GSE199750,66,BNT,6,1,1,0,RNA,NA,NA,V,None,No,No
"BNT (V2, D1)",GSE199750,46,BNT,1,1,2,0,RNA,NA,NA,V,None,No,Yes
"BNT (V3, D1)",GSE199750,25,BNT,1,1,3,0,RNA,NA,NA,V,None,No,Yes
BNT-I (D0-5),GSE201530,19,BNT,2,1,2,1,RNA,5.2,NA,I,Omicron,No,Yes
BNT-I (D0-5),GSE201530,19,BNT,2,1,1,1,RNA,5.2,NA,I,Omicron,No,Yes
"BNT-I (D10, hospital)",GSE189039,4,BNT,10,2,1,1,RNA,NA,NA,I,Beta,No,Yes
"BNT-I (D26, hospital)",GSE189039,3,BNT,26,4,1,1,RNA,NA,NA,I,Beta,No,Yes
"BNT-I (D51, hospital)",GSE189039,1,BNT,51,8,1,1,RNA,NA,NA,I,Beta,No,Yes
"BNT-I-BNT (D51, hospital)",GSE189039,2,BNT,51,8,2,1,RNA,NA,NA,I,Beta,No,Yes
"BNT-MO (V3, D1)",GSE199750,10,MO,1,1,3,0,RNA,NA,NA,V,None,No,Yes
"ChAd (V1, D0)",GSE199750,53,ChAd,0,0,1,0,VV,NA,NA,V,None,No,No
"ChAd (V1, D0)",GSE201533,53,ChAd,0,0,1,0,VV,NA,NA,V,None,No,No
"ChAd (V1, D3)",GSE201533,36,ChAd,3,1,1,0,VV,NA,NA,V,None,No,No
"ChAd (V1, D6)",GSE199750,15,ChAd,6,1,1,0,VV,NA,NA,V,None,No,No
"ChAd (V1, D7)",GSE201533,37,ChAd,7,1,1,0,VV,NA,NA,V,None,No,No
"ChAd (V2, D1)",GSE199750,8,ChAd,1,1,2,0,VV,NA,NA,V,None,No,Yes
"ChAd (V2, D3)",GSE201533,4,ChAd,3,1,2,0,VV,NA,NA,V,None,No,Yes
"ChAd (V2, D7)",GSE201533,1,ChAd,7,1,2,0,VV,NA,NA,V,None,No,Yes
"ChAd-BNT (V2, D0)",GSE201533,16,BNT,0,0,2,0,RNA,NA,NA,V,None,No,Yes
"ChAd-BNT (V2, D3)",GSE201533,17,BNT,3,1,2,0,RNA,NA,NA,V,None,No,Yes
"ChAd-BNT (V2, D7)",GSE201533,11,BNT,7,1,2,0,RNA,NA,NA,V,None,No,Yes
"ChAd-BNT (V3, D1)",GSE199750,5,BNT,1,1,3,0,RNA,NA,NA,V,None,No,Yes
H (D0),GSE201530,8,H,0,0,0,0,H,NA,NA,H,None,No,No
I (D0-4),GSE201530,20,I,2,1,0,1,I,4.05,NA,I,Omicron,No,No
"I (D10, hospital)",GSE189039,5,I,10,2,0,1,I,NA,NA,I,Beta,No,No
"I (D26, hospital)",GSE189039,5,I,26,4,0,1,I,NA,NA,I,Beta,No,No
"I (D51, hospital)",GSE189039,4,I,51,8,0,1,I,NA,NA,I,Beta,No,No
I-BNT (D5),GSE201530,1,BNT,5,1,1,2,RNA,NA,NA,I,Omicron,Yes,Yes
I-I (D0-5),GSE201530,7,I,2,0,0,2,I,4.12,NA,I,Omicron,Yes,No
I-I (D0-5),GSE201530,7,I,2,1,0,2,I,4.12,NA,I,Omicron,Yes,No
"ZF2001 (V3, D0)",GSE206023,6,ZF2001,0,0,3,0,SU,3.63,0,V,None,No,Yes
"ZF2001 (V3, D07)",GSE206023,6,ZF2001,7,1,3,0,SU,36.31,0,V,None,No,Yes
"ZF2001 (V3, D14)",GSE206023,6,ZF2001,14,2,3,0,SU,448.28,4170.39,V,None,No,Yes
"ZF2001 (V3, D28)",GSE206023,6,ZF2001,28,4,3,0,SU,461.16,3207.81,V,None,No,Yes
