condition	color	color_covid_other
H (D0)	NA	#56cfe1
H (D0)	NA	#56cfe1
BNT (V1, D0)	#56cfe1	#56cfe1
BNT (V1, D0)	#56cfe1	#56cfe1
BNT-MO (V1, D0)	#56cfe1	#56cfe1
ChAd (V1, D0)	#5e60ce	#56cfe1
ChAd (V1, D0)	#5e60ce	#56cfe1
ChAd-BNT (V2, D0)	#56cfe1	#56cfe1
BBIBP (V3, D0)	#76c893	#56cfe1
ZF2001 (V3, D0)	#b5e48c	#56cfe1
I (D1)	#f72585	#56cfe1
I-I (D0)	#f72585	#56cfe1
I-I (D1)	#f72585	#56cfe1
BNT-I (D1)	#f72585	#56cfe1
BNT (V2, D1)	#56cfe1	#56cfe1
ChAd (V2, D1)	#5e60ce	#56cfe1
BNT (V3, D1)	#56cfe1	#56cfe1
BNT-MO (V3, D1)	#56cfe1	#56cfe1
ChAd-BNT (V3, D1)	#56cfe1	#56cfe1
I-I (D2)	#f72585	#56cfe1
BNT-I (D2)	#f72585	#56cfe1
I-BNT-I (D2)	#f72585	#56cfe1
I-I (D3)	#f72585	#56cfe1
BNT-I (D3)	#f72585	#56cfe1
ChAd (V1, D3)	#5e60ce	#56cfe1
ChAd (V2, D3)	#5e60ce	#56cfe1
ChAd-BNT (V2, D3)	#56cfe1	#56cfe1
BNT-I (D4)	#f72585	#56cfe1
I-I (D5)	#f72585	#56cfe1
I-BNT-I (D5)	#f72585	#56cfe1
BNT (V1, D6)	#56cfe1	#56cfe1
BNT-MO (V1, D6)	#56cfe1	#56cfe1
ChAd (V1, D6)	#5e60ce	#56cfe1
BNT (V1, D0)	#56cfe1	#56cfe1
ChAd (V1, D7)	#5e60ce	#56cfe1
ChAd (V2, D7)	#5e60ce	#56cfe1
ChAd-BNT (V2, D7)	#56cfe1	#56cfe1
BBIBP (V3, D07)	#76c893	#56cfe1
ZF2001 (V3, D07)	#b5e48c	#56cfe1
I (D10, moderate)	#f72585	#56cfe1
I (D10, severe)	#f72585	#56cfe1
BNT (V1, D0)	#56cfe1	#56cfe1
BNT-I (D0)	#f72585	#56cfe1
BNT-I (D10, mild)	#f72585	#56cfe1
BNT-I (D10, severe)	#f72585	#56cfe1
BNT (V1, D0)	#56cfe1	#56cfe1
BBIBP (V3, D14)	#76c893	#56cfe1
ZF2001 (V3, D14)	#b5e48c	#56cfe1
I (D26, moderate)	#f72585	#56cfe1
I (D26, severe)	#f72585	#56cfe1
BNT-I (D26, mild)	#f72585	#56cfe1
BNT-I (D26, severe)	#f72585	#56cfe1
BBIBP (V3, D28)	#76c893	#56cfe1
ZF2001 (V3, D28)	#b5e48c	#56cfe1
I (D51, moderate)	#f72585	#56cfe1
I (D51, severe)	#f72585	#56cfe1
BNT-I (D51, severe)	#f72585	#56cfe1
BNT-I-BNT (D51, mild)	#56cfe1	#56cfe1
BNT-I-BNT (D51, severe)	#56cfe1	#56cfe1
FLUARIX FLUVIRIN (D3)	#76c893	#343a40
FLUENZ (D6-7)	#ffb703	#343a40
FLUMIST (D3)	#ffb703	#343a40
FLUZONE (D7)	#76c893	#343a40
HIV-1 GAG-POL NEF (D3)	#5e60ce	#343a40
HPV-VLP (M2)	#D7B0EE	#343a40
INFLUENZA (D1)	#76c893	#343a40
LVS F TULARENSIS (H18)	#ffb703	#343a40
LVS F TULARENSIS (H192)	#ffb703	#343a40
LVS F TULARENSIS (H336)	#ffb703	#343a40
LVS F TULARENSIS (H48)	#ffb703	#343a40
MENACTRA (D3)	#015BA0	#343a40
MONOV INFLUENZA A (D1)	#76c893	#343a40
MONOV INFLUENZA A (D28)	#76c893	#343a40
MONOV INFLUENZA A (D3)	#76c893	#343a40
MVA85A (D2)	#5e60ce	#343a40
PANDEMRIX (D1)	#76c893	#343a40
PANDEMRIX (D3)	#76c893	#343a40
PANDEMRIX (D30)	#76c893	#343a40
PANDEMRIX (D7)	#76c893	#343a40
STAMARIL (D10)	#ffb703	#343a40
STAMARIL (D3)	#ffb703	#343a40
STAMARIL (D7)	#ffb703	#343a40
WETVAX (D2-4)	#ffb703	#343a40
WETVAX (D5-7)	#ffb703	#343a40
YF VAX (ANY)	#ffb703	#343a40
YF17D (D3)	#ffb703	#343a40
ZOSTAVAX (D1)	#ffb703	#343a40
