genes,cos2,dimension
SMARCD3,0.9485422377263678,NA
LHFPL2,0.9386463917116559,NA
CD2,0.9295032744676719,NA
CD3G,0.928648963433753,NA
IL7R,0.9266955970969719,NA
SLC26A8,0.924459790415623,NA
FYN,0.9206125353684242,NA
QPCT,0.9191410174892546,NA
MAPK14,0.9154182882690879,NA
ITGAM,0.9109387510717868,NA
NLRC3,0.9106721777922543,NA
MCTP1,0.9085799771172295,NA
BRI3,0.9080021074649121,NA
S100A9,0.9060738538893173,NA
ADAM9,0.9051043038905818,NA
CCR7,0.901870177722622,NA
IRAK3,0.9015303577561385,NA
PGD,0.901511839078729,NA
LY96,0.9014225742076852,NA
CD3E,0.9012364237269627,NA
RBP7,0.8999598124690291,NA
PRRG4,0.8986144722102222,NA
IL13RA1,0.897159211164537,NA
ZNF608,0.8963595405224818,NA
PRKACB,0.8961140335193465,NA
ETS1,0.8948778771500564,NA
PPARG,0.8925693197629039,NA
REPS2,0.8921884587997163,NA
PFKFB4,0.8896386473062425,NA
ARRB2,0.8870372171271572,NA
SLC22A15,0.886718828392779,NA
GCA,0.8865050345516475,NA
CLEC4E,0.8862652042316062,NA
IL18RAP,0.8854112755583693,NA
ENTPD1,0.8846018373205341,NA
MAP2K6,0.8825255629096526,NA
RAB32,0.8823044279776178,NA
NAIP,0.8820754836822632,NA
ROPN1L,0.8813899303674303,NA
UPP1,0.8808669167618912,NA
HMGB2,0.8794514840017393,NA
RRAGD,0.8787172469370305,NA
BCL6,0.876992364426504,NA
ANXA3,0.8765199643840603,NA
CR1,0.8761879414440856,NA
JAK3,0.8757355418761698,NA
MEF2A,0.8755696724085477,NA
TRAF1,0.8753849901985631,NA
CSTA,0.8751181742047865,NA
DRAM1,0.8745184276906687,NA
CREB5,0.8740225553784847,NA
RC3H1,0.8738836255492936,NA
CD6,0.8733649666515794,NA
CD1E,0.8707756937167059,NA
SORT1,0.8702110673719661,NA
ANKH,0.8691615268963018,NA
ADAM17,0.8690318418934075,NA
HLA-B,0.8689896702160003,NA
TMEM55A,0.8684187290590224,NA
S100A11,0.867805292519794,NA
LIN7A,0.8677486721864147,NA
S100A12,0.8675222024505653,NA
ADARB1,0.8672636851072708,NA
ALOX5,0.864952042117163,NA
SLC22A4,0.8635849993748552,NA
S100A8,0.8627193362514466,NA
MFSD6,0.8624051534337827,NA
ABCA1,0.8614146836450536,NA
LCK,0.8605110633747417,NA
TGFBR3,0.8597078019146057,NA
SLC1A3,0.8594755441893119,NA
HDAC4,0.8584977344551289,NA
TRIM65,0.8584419475227026,NA
ARG1,0.855893868404156,NA
CD5,0.8558297851569421,NA
CHUK,0.8550507558134682,NA
GLT1D1,0.8549333330382808,NA
TSPAN15,0.8545919904013701,NA
CLEC4D,0.8537879917813078,NA
SOS2,0.8525541737326887,NA
CHIT1,0.8517499490642811,NA
IL18BP,0.8516523128944307,NA
TCN1,0.851299408633809,NA
SIGLEC5,0.8506458849949173,NA
ACSL1,0.8502475331387267,NA
CD58,0.8501815520038281,NA
STXBP4,0.845264896112038,NA
PLBD1,0.8450339071291281,NA
BCL2A1,0.8446767041237188,NA
CLEC10A,0.8438901975953798,NA
RNF135,0.8436894995548357,NA
STAT3,0.8432792830413883,NA
