"","process","gene_ratio","bg_ratio","pvalue","p_adjust","qvalue","gene_id","count","condition","ora_enrichment","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","log_q"
"1","ARPP","25/106","90/917",6.09521300229608e-06,0.000109713834041329,9.62402052994118e-05,"SCIMP/CASP1/CD14/CLEC6A/CTSS/FCER1G/FCGR1A/IFI30/SRC/TAP1/TLR4/MAP2K6/CD40/TAP2/CD1E/FCGR2B/HLA-DOB/RIGI/ERAP2/HLA-DMA/HLA-DMB/CGAS/PIK3AP1/PSMB8/PSME1",25,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,4.01664345923111
"2","ANTIVIRAL AND INTERFERON","23/106","101/917",0.000487860489075447,0.00439074440167902,0.00385153017691142,"AIF1/CASP1/FCAR/GBP1/GBP2/HCK/IFIT1/IFIT2/IFITM3/IFNGR2/IRF1/MX1/OAS2/STAT1/STAT2/TLR4/IFITM1/CCL2/IL12RB1/RIGI/EIF2AK2/GBP6/IRF8",23,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,2.41436669507273
"3","MACROPHAGES","9/106","35/917",0.0139158455980123,0.0834950735880736,0.0732412926211172,"CCR2/IFI35/TLR4/AZU1/CRTC3/CCL2/LIPA/TMEM229B/CSF1",9,"MONOV INFLUENZA A (D1)","ImmuneGO","MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,1.13524399952511
"4","B CELLS","14/33","155/917",0.000383277995684331,0.00574916993526497,0.00524485678304874,"BANK1/CD19/CD22/CD79A/CD79B/CXCR5/MS4A1/CD38/HDAC4/CD40/CD86/TLR4/RASGRP1/ZAP70",14,"PANDEMRIX (D1)","ImmuneGO","PANDEMRIX","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,2.28026636622749
"5","ANTIVIRAL AND INTERFERON","12/30","101/917",2.69249566773053e-05,0.000376949393482275,0.000368446775584178,"RIGI/EIF2AK2/GBP1/IFI27/IFIT1/IFIT2/IFITM1/IFITM3/LGALS9/MX1/OAS2/STAT1",12,"HIV-1 GAG-POL NEF (D3)","ImmuneGO","HIV","OTHER","VIRUS","HIV","V","VV","HO",3,3,1,1,1,0,3.43362523979834
"6","CELLULAR ADAPTIVE IMMUNE SYSTEM","51/111","262/917",2.403300557425e-05,0.00040856109476225,0.000328872707858158,"CD28/CD3G/CTLA4/GPR183/HMGB1/IL6ST/ITK/ITPKB/JAK1/PDE4D/PIK3CA/PIK3R1/PRKCQ/PTPN2/RORA/THEMIS/JAML/APBB1IP/BTK/CORO1A/CR1/CSK/KDELR1/LILRB1/MAPK1/PSEN1/PTPN6/PTPRJ/RAB27A/SLC11A1/SYK/VAV1/ASXL1/BCL3/GATA3/GNL1/PDE4B/PPP2CA/ADA/CCR2/CD160/CD86/CTSC/FCER1G/FKBP1A/LFNG/LIPA/PPP3CA/PPP3CB/PRF1/TNFAIP8L2",51,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,3.48297216579495
"7","T CELLS","45/111","228/917",7.304080135017e-05,0.000620846811476445,0.000499752851343269,"CD28/CD3G/CTLA4/GPR183/ITK/ITPKB/PDE4D/PIK3CA/PIK3R1/PRKCQ/PTPN2/THEMIS/JAML/APBB1IP/BTK/CORO1A/CR1/CSK/KDELR1/LILRB1/MAPK1/PSEN1/PTPN6/PTPRJ/RAB27A/SLC11A1/SYK/VAV1/CD6/GATA3/GNL1/PDE4B/PPP2CA/ADA/CD160/CD86/CTSC/FCER1G/FKBP1A/LFNG/LIPA/PPP3CA/PPP3CB/PRF1/TNFAIP8L2",45,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,3.30124471933268
"8","DENDRITIC CELLS","8/111","29/917",0.017211244574341,0.0904869509380691,0.0728377933247615,"GPR183/HMGB1/TGFBR2/NLRP12/PSEN1/CDC42/CXCR4/CCR2",8,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,1.13764321995285
"9","B CELLS","27/111","155/917",0.0212910472795457,0.0904869509380691,0.0728377933247615,"BANK1/CTLA4/GPR183/ITK/PIK3R1/PTPN2/SOS2/BTK/CSF2RB/GAPT/HCK/LYL1/MAPK1/MNDA/PRKCD/PTPN6/PTPRJ/SYK/VAV1/BCL3/GATA3/AKAP17A/TNFAIP3/ZBTB7A/CD86/FCER1G/LFNG",27,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,1.13764321995285
"10","ARPP","16/111","90/917",0.0633516834328096,0.213455513229602,0.171821775355098,"BTK/CASP1/RIGI/IFI30/PIK3AP1/RAB10/RAB27A/RNF135/SLC11A1/SYK/RAB11FIP2/TNFAIP3/AP3B1/LACC1/FCER1G/IDE",16,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,0.764921797912884
"11","NEUTROPHIL","15/111","85/917",0.075337239963389,0.213455513229602,0.171821775355098,"HMGB1/JAML/BTK/JAGN1/LILRA2/PECAM1/PRKCD/SYK/VAV1/PDE4B/PPIA/BSG/CCR2/FCER1G/MERTK",15,"FLUARIX FLUVIRIN (D3)","ImmuneGO","FLUARIX FLUVIRIN","OTHER","VIRUS","INFLUENZA","V","IN","HO",3,3,1,1,1,0,0.764921797912884
"12","ARPP","15/47","90/917",1.34159545924821e-05,0.000228071228072196,0.000183586747055018,"HLA-DMA/RELB/CD1B/CD1C/CD1D/HLA-C/HLA-DMB/HLA-DPA1/HLA-DRB4/HLA-G/WDFY4/HLA-E/HLA-F/FCER1G/TLR4",15,"MENACTRA (D3)","ImmuneGO","MENACTRA","OTHER","BACTERIUM","MENINGOCOCCUS","V","CONJ","HO",3,3,1,1,1,0,3.73615867329065
"13","COMPLEMENT IMMUNE SYSTEM","8/47","31/917",8.39508662723317e-05,0.00071358236331482,0.000574400663968586,"C1R/C1S/C7/CFH/CFB/C5AR1/CFD/CR1",8,"MENACTRA (D3)","ImmuneGO","MENACTRA","OTHER","BACTERIUM","MENINGOCOCCUS","V","CONJ","HO",3,3,1,1,1,0,3.24078506675022
"14","NEUTROPHIL","9/47","85/917",0.0235680204949505,0.133552116138053,0.107503251380476,"CCL20/CXCL8/CCL4/CCL5/CXCL2/PDE4B/PRKCD/C5AR1/FCER1G",9,"MENACTRA (D3)","ImmuneGO","MENACTRA","OTHER","BACTERIUM","MENINGOCOCCUS","V","CONJ","HO",3,3,1,1,1,0,0.968578400536789
"15","CELLULAR ADAPTIVE IMMUNE SYSTEM","19/47","262/917",0.049415020937546,0.21001383898457,0.16905138741792,"CCL20/IFNA8/BCL3/CD80/CD83/MAP3K8/PDE4B/RELB/CD1C/CD1D/CD86/FUT7/NFKBID/WDFY4/BCL6/HLA-E/CR1/FCER1G/TLR4",19,"MENACTRA (D3)","ImmuneGO","MENACTRA","OTHER","BACTERIUM","MENINGOCOCCUS","V","CONJ","HO",3,3,1,1,1,0,0.771981260594903
"16","ANTIVIRAL AND INTERFERON","16/32","101/917",2.05635411341509e-08,3.08453117012264e-07,2.59749993273486e-07,"CASP1/CCL2/CCL3/CCL3L1/CCL4/CCL7/CCL8/EIF2AK2/IFI27/IFIT1/IFIT2/IFITM2/IFITM3/LGALS9/MX1/STAT1",16,"MVA85A (D2)","ImmuneGO","MVA85A","OTHER","BACTERIUM","TUBERCULOSIS","V","VV","HO",2,2,1,1,1,0,6.58544445501732
"17","EOSINOPHIL","6/32","22/917",5.59270913746098e-05,0.000419453185309573,0.000353223734997536,"CCL2/CCL3/CCL3L1/CCL4/CCL7/CCL8",6,"MVA85A (D2)","ImmuneGO","MVA85A","OTHER","BACTERIUM","TUBERCULOSIS","V","VV","HO",2,2,1,1,1,0,3.45195012153805
"18","MONOCYTES","6/32","32/917",0.000529143306039176,0.00264571653019588,0.00222797181490179,"CCL2/CCL3/CCL3L1/CCL4/CCL7/CCL8",6,"MVA85A (D2)","ImmuneGO","MVA85A","OTHER","BACTERIUM","TUBERCULOSIS","V","VV","HO",2,2,1,1,1,0,2.65209030753334
"19","DENDRITIC CELLS","7/34","29/917",4.4376358728808e-05,0.000665645380932119,0.000560543478679679,"ALOX5/CCR2/CXCR2/CXCR4/SPI1/TGFBR2/CCL5",7,"ZOSTAVAX (D1)","ImmuneGO","ZOSTAVAX","OTHER","VIRUS","VZV","V","LA","HO",1,1,1,1,1,0,3.25139069561436
"20","MONOCYTES","4/34","32/917",0.027110267271856,0.182370708538167,0.153575333505825,"CCR2/PECAM1/SIRPA/CCL5",4,"ZOSTAVAX (D1)","ImmuneGO","ZOSTAVAX","OTHER","VIRUS","VZV","V","LA","HO",1,1,1,1,1,0,0.813678532888866
"21","MACROPHAGES","4/34","35/917",0.0364741417076335,0.182370708538167,0.153575333505825,"CCR2/PLCG2/SLC11A1/CCL5",4,"ZOSTAVAX (D1)","ImmuneGO","ZOSTAVAX","OTHER","VIRUS","VZV","V","LA","HO",1,1,1,1,1,0,0.813678532888866
