cell_type,"BBIBP (V3, D14)","BNT-I (D10, hospital)","ChAd-BNT (V2, D0)",I (D0-4),I-BNT (D5),"ZF2001 (V3, D07)","BBIBP (V3, D28)","BNT (V2, D1)","BNT-I (D26, hospital)","BNT-I-BNT (D51, hospital)","ChAd (V1, D7)","ChAd (V2, D3)","ChAd (V2, D7)","ChAd-BNT (V2, D3)","I (D10, hospital)","I (D26, hospital)","ZF2001 (V3, D14)","BNT-MO (V3, D1)","I (D51, hospital)",BNT-I (D0-5),"ChAd-BNT (V2, D7)","ZF2001 (V3, D28)","ChAd (V1, D3)",I-I (D0-5),"BBIBP (V3, D07)","ChAd (V1, D6)","BNT (V1, D6)","ChAd-BNT (V3, D1)","ChAd (V2, D1)","BNT (V3, D1)",Yellow Fever/LA (D1),HIV/VV (D1),Pneumococcus/PS (D1),Influenza/IN (D1),Ebola/VV (D1),Malaria/SU (D1),Varicella Zoster/LA (D1),Tuberculosis/VV (D2),Yellow Fever/LA (D2),Influenza/IN (D2),Ebola/VV (D3),Yellow Fever/LA (D3),Smallpox/LA (D3),Malaria/SU (D3),Influenza/IN (D3),Influenza/LA (D3),Pneumococcus/PS (D3),HIV/VV (D3),Meningococcus/PS (D3),Meningococcus/CONJ (D3),Varicella Zoster/LA (D3),Influenza/IN (D4),Yellow Fever/LA (D5),Influenza/IN (D5),Influenza/IN (D6),Ebola/VV (D7),Yellow Fever/LA (D7),Smallpox/LA (D7),Tuberculosis/VV (D7),Hepatitis A/B/IN/SU (D7),Influenza/IN (D7),Influenza/LA (D7),Pneumococcus/PS (D7),HIV/VV (D7),Meningococcus/PS (D7),Meningococcus/CONJ (D7),Varicella Zoster/LA (D7),Influenza/IN (D8),Influenza/IN (D9),Smallpox/LA (D10),Influenza/IN (D10),Pneumococcus/PS (D10),Yellow Fever/LA (D10),Smallpox/LA (D13),Yellow Fever/LA (D14),Malaria/SU (D14),Pneumococcus/PS (D14),Influenza/IN (D14),Smallpox/LA (D21),Pneumococcus/PS (D21),Influenza/IN (D21),Yellow Fever/LA (D21),Yellow Fever/LA (D28),Influenza/IN (D28),Pneumococcus/PS (D28),Yellow Fever/LA (D60),Influenza/IN (D70),Yellow Fever/LA (D84)
Myeloid dendritic cell activated,0.025174486824710025,0.04136839503975603,0.09107790353102005,0.17508496213144123,0.13585997510980427,6.137732564648363e-19,0.08319284337956626,0.11064083342955072,0.07107429106412183,0.11977946584683953,4.211050715930921e-18,0.028424767188815456,1.4148863106261739e-18,0.20799603466236224,0.03935656217825893,0.06334917634151004,0.08857483116947334,0.08062407374353121,0.04932412614432755,0.05882796742885653,0,0.12021678228506343,0.16920493499986958,0.34613183495353905,0.00407038251805191,0.10567808649982095,0.12609035992753123,0.10400321391670753,0.10743321880877692,0.10078882204130132,0.037127349907058245,0.19798206584637976,0.08276425827115433,0.2604060225432129,0.2398361644558521,0.17660995138276633,0.07713006407210134,0.13632635174414062,0.13249588714119917,0.1579174268544664,0.27785510445732703,0.2557371093477904,0.07646463903086342,0.14609245219013403,0.15560026996762616,0.06741182156230863,0.10404018595126735,0.20980483229070088,0.10370247684168238,0.10608926026695206,0.09970210137963045,0.1224439683729175,0.1065962560399097,0.10298081289300035,0.10134930859771811,0.14917779978817672,0.3007714983491791,0.10427963501386021,0.10356838376826658,0.10204832138336849,0.0932388103948264,0.06324410955309641,0.0963285046556692,0.10166157894605823,0.10333034561506926,0.10356480690340134,0.1030113781692417,0.10381695980657865,0.10248597771151978,0.12173918047778585,0.10131431285248599,0.10495639567496166,0.16528324129637015,0.1029979592015254,0.08489552381996758,0.11993515442492629,0.10416516866810896,0.10697348579278185,0.10579824171763018,0.1038037466130893,0.10172427959790421,0.09776930014704355,0.08193269013618767,0.09684971515063773,0.10194047867058094,0.09695665238286369,0.1379504751357017,0.09939833417219412
B cell,0.34374131118694395,0.27085348852852925,0.42507554551334237,0.5173317795558696,0.4067837364823499,0.47799391086498605,0.37474796944266714,0.3735400878234764,0.06591211585259359,0.08311563328569913,0.7956178292524242,0.31885104067512954,0.3530644320778705,0.11267597794672639,0.4406248147904378,0.44479534060877934,0.5240801435087042,0.39098150355707484,0.47721599046588503,0.192992791856274,0.6266859932006585,0.45510772941490596,1.182886328990505e-18,0.39890502833270497,0.423386589836189,0.39295040716681284,0.33670662417780184,0.38116793014519096,0.40897807174346695,0.37525062066722253,1.0218382792396294,0.36497840852598695,0.22808652468503923,0.0038715373191849805,0.037840933562846346,0.12128529558146636,0.38673349256412914,0.39385295918582375,0.3649557128072094,0.47799687616977315,0.2056697522345097,0.2551514939508486,0.3769769216284856,0.06519952585500222,0.060774758314199595,0.479842020341473,0.3797980781314702,0.13430972201855643,0.37941092756314665,0.3703383114775569,0.3796436663056001,0.3821205751496787,0.39079895667614056,0.3840150959269498,0.39249851586815465,0.3337700809170124,0.16879225843509693,0.3791117441267798,0.37726269236776316,0.3740467254739878,0.8250161644400626,0.3956001550316269,0.4869686793048025,0.39668450759692636,0.39828850844446484,0.5819234280274882,0.3957192622151647,0.3795199303671147,0.3815420903180054,0.3769944275377448,0.40146841822442764,0.3758808926228306,0.4404929713054293,0.3782144514685577,0.44615668673401165,0.24222675041823327,0.3893000938308413,0.4259951534017054,0.382768153256374,0.38936087749027565,0.40365448155009026,0.35795717894442514,0.6556966066528207,0.3961351524508948,0.4016629511554687,0.38343320578015344,0.40540035723297774,0.326918255040701
T cell CD4+ memory,0.026509711923598682,3.0351785723514117e-18,0.06412921360981079,0.017778073350702427,0.0931825282981574,0,0.10809823308005849,0.2164905771386959,0.15962340979115153,0.15167394945181906,0.38443865812118855,0.11271498355208188,0.2478909631851407,1.8268835553614e-18,0,0.06992264410857311,0.0901162087009857,0.14106918695143944,0.012414520856776272,3.491683245076224e-18,0.17000775741598229,0.0974569502611323,0.0835201214836606,0.014905063367981293,0.13172671348581189,0.18159049906809793,0.13349144360549683,0.18157557340753908,0.16117740836311106,0.16394467589195455,0.2999420437975141,0.046341351209165514,0.15397942547722226,3.750446198567103e-18,0,0,0.1864490839302208,0.2043290503254927,0.06147691025865218,0.19648016356855208,0.2400756629731019,0.06226717793386971,0.1798885659159677,0.10415699891079798,0.09382662091855183,0.05933098886930853,0.18254512101900477,0.14444239245308427,0.180847093071223,0.1805468260583127,0.17894649469417778,0.16932918452351933,0.19458871758828325,0.1841682354012316,0.1786999256844244,0.18333643623489215,0.11123524918273943,0.18071045027129387,0.177210955470857,0.19389153994615896,0.15312490717796826,0.05596634875360781,0.16664801606953958,0.18129039881594033,0.1810355615675625,0.1676825666373383,0.18251000795959088,0.18116407472247475,0.17838880057204218,0.17720213539800836,0.18368737982669794,0.19533867376127503,0.16611641716639725,0.18778893698468513,0.17143133039414915,0.2710536291955331,0.18101728930249295,0.13089339597065422,0.18047448313596373,0.18191460180920666,0.30037715674716053,0.1671596832893288,0.14388092382217138,0.17661380320920375,0.1804557863555999,0.17945275711566275,0.3963176302120829,0.16037658161309828
T cell CD4+ naive,0.43927285609355077,0.018544480771035404,0.5464921604610257,0.05954616553949162,0.5181502221525361,0.3234061210017128,0.4031665704657075,0.4898145450960848,0.1881529060083604,0.19028130619378025,0.35364853805036756,0.5571569242427379,1.0369310142940635,0.37926475635176343,0.016498997786018824,0,0.4509820237137679,0.39244556534452807,0.1885471137613808,0.05482938807219852,0.8598704017634489,0.426982629900984,0.20348344143323563,0.16350514446764775,0.5322909410792322,0.5120514030938554,0.5169308785975678,0.4532447472780605,0.42623115987422167,0.4442945360642652,0.578204709119949,0.041834864249336794,0.37019679192326704,0,3.6152624904618606e-18,1.0366062672292739e-17,0.48813809916171136,0.48084093023131547,0.4688106314684746,0.4750433837595159,0.45171738492783514,0.27396535497504,0.45151675935286484,0.386274169664725,0.43501872485420956,0.4763473468085698,0.45193121976152345,0.3786771903544552,0.45274808972605435,0.44976467884822663,0.44859299335812003,0.5804472718624736,0.48624301349758614,0.45796933102680093,0.47492080406160564,0.556049341616721,0.3779167569771121,0.4512410625507628,0.43856828325346403,0.5555607272258822,0.5129333408615929,0.50587396823692,0.44407035191683275,0.45094879657609266,0.450221837690574,0.3943113760332027,0.44783535748380654,0.45177586931871766,0.45572199236125266,0.4561322588260713,0.44699551399612386,0.44401350118252486,0.42927036941739904,0.4576048371756555,0.4859083183674294,0.41304420693432736,0.4504869692678475,0.41730218470398045,0.45052700637445586,0.44705996385201874,0.4718218029744534,0.4953897195675453,0.544284859329377,0.5509300287479277,0.5148795276081125,0.4532329883788989,0.7545417393272468,0.5083157321091569
T cell CD4+ (non-regulatory),0.02925609978492801,2.311522507699399e-17,0.04026548735824296,7.598776024688404e-18,0.047335054957637526,5.5328702610279106e-18,1.6360193827657637e-20,0.10680544758722206,0,0.16799145914801533,0.29788237570166254,0.1630362243118623,0.2667618033319858,7.192672726011288e-18,9.493501984647832e-18,6.392334271492082e-18,0.24244049554399272,0.06580295729867619,9.628616838132674e-19,0,0.135692926571115,0.04408282636942573,9.701434105853761e-18,1.0308152006107443e-17,0.10422580324483811,0.08711576776719913,0.09238884992462286,0.08919270820726041,0.07831507786704521,0.09145064151424721,0.02484365455928304,0,0.0737362208747635,2.9848560699730286e-18,3.589916939325791e-17,0,0.11586666304372634,0.11595366688864456,8.719274310983133e-18,0.09193642400495693,0.09227802966501193,7.306486567522284e-18,0.08912106997798644,0.044073163820513114,0.04638608542987975,8.720967041286334e-4,0.08914600157795058,0.04476207109954413,0.08954782775623174,0.08926700165197142,0.08592835050548907,0.10532076054544817,0.08541292270825969,0.08488122843858814,0.08823510042898157,0.10001412710201293,1.0615238661924473e-18,0.0891175693866626,0.08555576727404851,0.08538876793229704,0.05859613713581803,0,0.08755180020312567,0.08873145204006302,0.08853229070908397,0.07765330357412963,0.08625908561178536,0.08919607694519827,0.08479110383324953,0.09032828936519757,0.08484580755044516,0.08992850904834074,0.07951621113327186,0.09077184275315221,0.0562613490949651,0.1402490475855319,0.08758526188120105,0.08651454374031041,0.08877441504213378,0.0910096315287045,0.13743670208311687,0.06798550196481808,0.0315905797867058,0.13624119669310392,0.09003853468505754,0.10360369606704911,0.16403633294085201,0.0994516935286608
T cell CD4+ central memory,5.515547388740123e-19,2.6555795595243513e-17,0.03653078771155498,0,0,4.008659837375928e-18,0,0.00918960216001775,1.4344809499068828e-18,0.012731564262520555,1.0968324814701195e-18,3.27175146611507e-18,0.05364677374007742,1.5253231368818558e-17,0,0,0.07747331043196762,0,0,0,0.14421827501833692,0.08830863904881094,2.531551068226676e-17,0,0,4.842972160664749e-18,0,5.4907231734499664e-18,0,0,0,0.03532576043582289,0.021539691019262255,4.07040915624437e-17,3.897863656919417e-18,0,0.007625923433729111,7.368741819751289e-21,0,2.306293876625281e-19,2.501879179617474e-18,0,0,0,3.2187823343483452e-18,0,3.0842136584426097e-18,7.871083063629717e-18,0,0,4.18161362029917e-18,1.2856364854170177e-19,0,0.0016596821527411901,0,1.1808868831245894e-17,3.321508844506214e-18,4.620898089631527e-18,9.340742061836597e-19,9.091834901297515e-19,0,0,1.829006545419471e-19,1.594300912294074e-19,0,0,0,0,2.949232452266194e-4,0,0,2.993983643258595e-18,0,0,0,6.792119764936921e-21,0,1.4756176871738447e-18,0,1.813305999506826e-18,0.034543238948846054,9.096203068203023e-18,0.023640886237352467,0,3.9140963129689996e-18,0,4.6320156686759266e-20,0
T cell CD4+ effector memory,2.5041090559460848e-17,2.776358721952119e-17,6.903975797664585e-17,2.0910344688320234e-17,3.4333076756235723e-17,4.149237424226151e-17,2.3069116122611805e-17,2.4217090009648846e-18,0,0.012389563014841872,3.676733565207557e-18,5.77458105403671e-17,0,0,0,0,7.697556314161734e-18,0,1.8226468514422262e-17,2.612811876635845e-17,0.01299503303271489,2.945783713436093e-17,0,0,3.724540203558025e-17,2.3953403051948772e-17,0,6.44673688294168e-18,1.0564260291643858e-17,6.255170183664976e-18,0,0,9.735019864116232e-18,0,1.5144914655881174e-17,1.0191905311981684e-17,2.6559259373015454e-18,5.708512319478408e-18,2.6198505658970205e-18,8.96212652621356e-18,9.57119972711531e-18,1.0168380141924094e-17,3.4199555345491306e-18,6.636254175736522e-18,0,6.772033279995621e-17,1.675652422879352e-17,5.7972319602452885e-18,1.3465155384875662e-17,3.429633501861751e-17,1.2102517258632984e-17,0.01684112318129506,9.724421284493718e-18,0,1.430348626119138e-17,0,0,2.0172086509653308e-17,1.7440264201348818e-17,2.8900381112115586e-17,2.9804575947948765e-17,0.06634703449807475,0,1.893934459698736e-17,1.7052919108620114e-17,1.8105598141674157e-17,0,1.2545455558130657e-17,2.760462882844041e-17,8.99682208435692e-18,1.6138020191047965e-17,2.192521873796507e-17,3.727369348383248e-18,1.1457800709904833e-17,1.199148190928271e-17,1.503323497414305e-17,2.919442370947712e-18,2.4998151819426647e-17,1.2283027745005096e-17,1.3190233779166201e-17,0,3.7036965400320653e-17,0.026955202304014755,0,5.332372706749025e-18,1.7018254683278017e-17,0.0023911510336475537,0
T cell CD8+ naive,0.038836993247682076,0,0.13069338863255633,0,0.09408989719451671,0.013436213020032785,0.05174739126169213,0.0189931600582028,0.13125997874574508,0.43373714392159873,0.1978313063768793,0.16864268145670427,0.21758096106371574,0,1.7114241124932316e-18,0.03528403608377203,0.15861419614004652,0.0835350926493506,0.22861334692122204,0,0.014170397527171858,0.11436053271574975,0.04566493488377627,0.024620150388737085,0.008232951147789663,0.0938428291689478,0.04224222812903459,0.08985684606138043,0.09503676382855492,0.07375850185175964,0.044136243378795764,0.013995792576040922,0.08034245941001623,4.28886965337175e-18,0.01881863970690278,0,0.06738435257503839,0.01754983414685207,0.11554523374388959,0.0970161798487952,0.026659276248356102,0.05715867703074099,0.08812391890134091,0.09244201991266218,0.05349769174517233,0.04078385655488705,0.08915383977199069,0.08295960721941342,0.08832026696492079,0.08918421550701591,0.08947401025019883,0.13828711404776026,0.15186431156354716,0.08768358594206767,0.0883508444529851,0.07804823689157359,0.018538413029825593,0.08878087769987797,0.0878324521725592,0.10856827901842149,0.13419122540097317,0.02524315911342295,0.08299086880440844,0.08910313169703,0.0890078166932839,0.07316773473076041,0.08851109092550612,0.08897349241408332,0.0882246513210369,0.08803747926926214,0.08768289390238462,0.08749772403811476,0.08433528090315004,0.08506139309122646,0.11148390247468005,0.11022512089321258,0.0884182035811376,0.10332227002594466,0.08843797091513632,0.08856837321933475,0.08830720251027491,0.08072931920344312,0.09695174945422541,0.08459218289523363,0.08779583133900105,0.08790464396162372,0.10019087932555092,0.10174206962605713
T cell CD8+,0.4926743857661746,3.01625959637183e-17,0.6165437662757595,0.2645597167418901,0.701509617294139,0.2555464902699858,0.4398769022802735,0.15580256766028502,0.08298543104436854,0.200834601713551,0.4168137692913983,0.5584103202935793,0.8360130936417787,0.3532512640525884,9.44913315861574e-18,1.168085176385641e-17,0.4009543595644243,0.41664121863810616,0.1892069237677315,0,0.6892194628884144,0.39133459151187283,0.27595511016543994,0.36413030357015846,0.5505483331346707,0.4907343029281868,0.493250341560631,0.4747870249019883,0.4826394872865262,0.46845009560923306,0.542080183168154,8.135696940125533e-19,0.41000073345443305,2.762439644216074e-17,0,0,0.3496175407886572,0.3250818202297222,0.5382281562811798,0.37655665653867054,0.562488124092182,0.23954855759073607,0.4709719427307531,0.4694295830967837,0.41170786795072806,0.5530041687784736,0.47398616567887886,0.41746493032469006,0.47328040631140794,0.4743205661671486,0.4792923204347929,0.46891605593284563,0.48471348711983314,0.4774612946978677,0.4790997869934254,0.6187789114135984,0.1498378113644176,0.47291368941547046,0.48864388830958816,0.5299275218045001,0.5312703288779462,0.61545779653128,0.4780017489621391,0.47471828315206976,0.4723354151629218,0.431127511398252,0.4705487447953676,0.4735328409486963,0.476844790024365,0.48814327566416643,0.4681704829063653,0.49266650365701575,0.4519274818894177,0.48930869175841557,0.5289213415610793,0.340960800277383,0.4774061851618723,0.40533486855843526,0.4719450805160407,0.46889249829634405,0.477373462879865,0.5046653057412257,0.396352553711325,0.6226309330664426,0.4647754035170862,0.47130918768061913,0.6623940898663441,0.5379788029334979
T cell CD8+ central memory,0.13768667110253474,2.937184004096904e-17,0.10031239262779777,0.20570242399896965,0.1899146503403151,0.03270182115780127,0.11714985601668572,3.229203339810585e-4,2.024057353291967e-17,0.028701171272747565,0.2914099123415664,0.27790742627681086,0.3368283545292775,0.05223050944036669,4.037387669495416e-17,3.655210676164899e-18,0.14548766895898385,0.1483350148099408,0,0.0027052865217396193,0.17312114696843847,0,0.13225654645658583,0.2247610173158576,0.16420677916031468,0.15157529960326951,0.13019876709774014,0.1570888259854733,0.17202221851062394,0.15796011078526104,0.2729602922226426,1.1925581997927646e-17,0.12013654866337327,0,6.663369340860247e-17,3.0352891410811707e-18,0.08746763840576148,0.12067036927108814,0.14236575868560034,0.12533351879025903,0.2061859861981569,0.13433820313211084,0.15567461606717764,0.17890921938991622,0.13085946287838926,0.18020151977476395,0.15689857685259337,0.11610155439660595,0.17912315302354906,0.15689541767420295,0.1564016598112817,0.18453023720035008,0.18996085216713376,0.17333665520366445,0.15667558049903044,0.14897320537350223,0.09591280846312876,0.15655509005362792,0.15535328373240298,0.1326766597733347,0.1595102846260286,0.1391209763710995,0.16989281081519025,0.1571080151183527,0.1563991498445302,0.1319697887610656,0.155711513679295,0.1567780921338846,0.1552621251127236,0.17193651365662355,0.15287042710340148,0.15527351422570596,0.1291690452863037,0.2665774225364813,0.23426111375179187,0.17423485618481208,0.16292246197820404,0.26184407293623313,0.15622219253939154,0.1536356123079739,0.1486001422767707,0.20579411221767793,0.12893401136580174,0.11848872215379568,0.15474400168889424,0.15295500658004438,0.24740319833353916,0.12662611909532728
