SYSTEMATIC_NAME,VACCINE,PLATFORM,TARGET_PATHOGEN_DISEASE,STANDARD_NAME,MICROBE_TYPE,REGULATION,STUDY_TYPE,STUDY_SUBTYPE,DATE-TIME,DATE,TIME,AGE,AGE_CATEGORY,SAMPLE_SOURCE,MSIGDB_URL,DESCRIPTION_FULL,DESCRIPTION_BRIEF,AUTHORS,PMID,NAMESPACE,GENE_SYMBOLS,SetSize,SOURCE_MEMBERS,COLLECTION,CONTRIBUTOR,CONTRIBUTOR_ORG,EXACT_SOURCE,EXTERNAL_DETAILS_URL,EXTERNAL_NAMES_FOR_SIMILAR_TERMS,FILTERED_BY_SIMILARITY,FOUNDER_NAMES,GEOID
M40932,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_DT_ANTIBODY_CORRELATION_PROFILE_3DY_DN,BACTERIUM,DOWN,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_DT_ANTIBODY_CORRELATION_PROFILE_3DY_DN,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes down-regulated in peripheral blood mononuclear cell 3d vs 0d in adults (18-45) (anti-DT antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"A2M,C1QC,C1R,C1S,C2,C3,C7,CCL20,CFH,GPX1,IFNA14,IL1B,IL6,CXCL8,IMPG2,LAMC2,PRL,PTX3,TNR",19,"A2M,C1QC,C1R,C1S,C2,C3,C7,CCL20,CFH,GPX1,IFNA14,IL1B,IL6,IL8,IMPG2,LAMC2,PRL,PTX3,TNR",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Table 1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/,NA,NA,NA,NA
M40964,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_POLYSACCHARIDE_ANTIBODY_CORRELATION_PROFILE_3DY_DN,BACTERIUM,DOWN,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_POLYSACCHARIDE_ANTIBODY_CORRELATION_PROFILE_3DY_DN,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes down-regulated in peripheral blood mononuclear cell 3d vs 0d in adults (18-45) (anti-polysaccharide antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"A2M,AMER2,C7,CFB,CFH,IFNA10,IFNA21,IFNA7,IFNA8,IL1A,IMPG2,ITGB4,MMP12,PRL,STAB1,TNR",16,"A2M,AMER2,C7,CFB,CFH,IFNA10,IFNA21,IFNA7,IFNA8,IL1A,IMPG2,ITGB4,MMP12,PRL,STAB1,TNR",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Suppl Table 1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1,NA,NA,NA,NA
M40959,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_NEGATIVE,BACTERIUM,NEGATIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_NEGATIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes negatively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) (anti-DT antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"BCL3,CCL20,CCL4,CCL5,CD4,CD80,CD83,CD9,CXCL2,CYP1B1,HLA-B,HLA-DMA,HLA-DQA1,ICAM1,IL1B,IL1RN,IL23A,IL4I1,MAP3K8,NFKB2,PCTP,PDE4B,PLAUR,RELB,SERPINB9,STAT4,TNFAIP6",27,"BCL3,CCL20,CCL4,CCL5,CD4,CD80,CD83,CD9,CXCL2,CYP1B1,HLA-B,HLA-DMA,HLA-DQA1,ICAM1,IL1B,IL1RN,IL23A,IL4I1,MAP3K8,NFKB2,PCTP,PDE4B,PLAUR,RELB,SERPINB9,STAT4,TNFAIP6",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 4D,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f4/,NA,NA,NA,NA
M41037,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE,BACTERIUM,POSITIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes positively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) (anti-DT antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"AGPAT1,ASGR1,ASPH,CD1A,CD1B,CD1C,CD1D,CD74,CD86,CSF1R,CSF2RA,FAR2,FUT7,GCH1,HLA-A,HLA-C,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB4,HLA-G,HMOX1,HS3ST3B1,IFNG,IL1R2,METTL7A,NFKBID,PLXDC2,PRKCD,RIN2,RTN1,SAMSN1,SLAMF8,TBXAS1,TLR7,TLR8,TNFSF13B",40,"AGPAT1,ASGR1,ASPH,CD1A,CD1B,CD1C,CD1D,CD74,CD86,CSF1R,CSF2RA,FAR2,FUT7,GCH1,HLA-A,HLA-C,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB4,HLA-G,HMOX1,HS3ST3B1,IFNG,IL1R2,METTL7A,NFKBID,PLXDC2,PRKCD,RIN2,RTN1,SAMSN1,SLAMF8,TBXAS1,TLR7,TLR8,TNFSF13B",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 4D,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f4/,NA,NA,NA,NA
M41038,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_NEGATIVE,BACTERIUM,NEGATIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_NEGATIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes negatively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) (anti-polysaccharide antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"GPAT3,AP1S2,ASPH,BCL3,CD4,CD80,CCN2,HLA-C,HLA-DQB1,HS3ST3B1,IL1R1,IL1R2,IL23A,ITPR3,SLC27A2,SLC40A1,STAT4,VCAM1,WDFY4",19,"AGPAT9,AP1S2,ASPH,BCL3,CD4,CD80,CTGF,HLA-C,HLA-DQB1,HS3ST3B1,IL1R1,IL1R2,IL23A,ITPR3,SLC27A2,SLC40A1,STAT4,VCAM1,WDFY4",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Discussion; Fig 4E,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729923/figure/f4/,NA,NA,NA,NA
M40971,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_POSITIVE,BACTERIUM,POSITIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_POSITIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes positively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) (anti-polysaccharide antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"ASGR1,ASGR2,BCL6,CCL20,CCL4,CD1A,CD1B,CD1C,CD1D,CD83,CD86,CD9,CSF1R,CSF2RA,CXCL2,CYP1B1,EBI3,FAR2,FUT7,GCH1,HLA-A,HLA-B,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-DRB4,HLA-E,HLA-F,HLA-G,HMOX1,ICAM1,IFNG,IL1B,IL1RN,IL4I1,MAP3K8,METTL7A,NFKBID,PCTP,PDE4B,PLAUR,PLXDC2,PRKCD,PTGS2,RELB,RGL1,RIN2,RTN1,SAMSN1,SERPINB9,SLAMF8,TBXAS1,TLR7,TLR8,TNF,TNFAIP6,TNFSF13B",60,"ASGR1,ASGR2,BCL6,CCL20,CCL4,CD1A,CD1B,CD1C,CD1D,CD83,CD86,CD9,CSF1R,CSF2RA,CXCL2,CYP1B1,EBI3,FAR2,FUT7,GCH1,HLA-A,HLA-B,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,HLA-DRB1,HLA-DRB4,HLA-E,HLA-F,HLA-G,HMOX1,ICAM1,IFNG,IL1B,IL1RN,IL4I1,MAP3K8,METTL7A,NFKBID,PCTP,PDE4B,PLAUR,PLXDC2,PRKCD,PTGS2,RELB,RGL1,RIN2,RTN1,SAMSN1,SERPINB9,SLAMF8,TBXAS1,TLR7,TLR8,TNF,TNFAIP6,TNFSF13B",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 2A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/,NA,NA,NA,NA
M40970,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_NEGATIVE,BACTERIUM,NEGATIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_NEGATIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes negatively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) after exposure to Menomune A/C/Y/W-135 , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"ANPEP,AP1S2,ASGR1,BCL6,CCL4,CD1D,CD86,CSF1R,CCN2,CYP1B1,FUT7,GPAT3,HLA-DQA1,HLA-F,HS3ST3B1,IL4I1,METTL7A,PRKCD,RGL1,RIN2,SAMSN1,STAT4,TLR7,TLR8,TNFAIP6",25,"ANPEP,AP1S2,ASGR1,BCL6,CCL4,CD1D,CD86,CSF1R,CTGF,CYP1B1,FUT7,GPAT3,HLA-DQA1,HLA-F,HS3ST3B1,IL4I1,METTL7A,PRKCD,RGL1,RIN2,SAMSN1,STAT4,TLR7,TLR8,TNFAIP6",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 2A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/,NA,NA,NA,NA
M41036,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE,BACTERIUM,POSITIVE,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes positively correlated with antibody response in peripheral blood mononuclear cell in adults (18-45) after exposure to Menomune A/C/Y/W-135 , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"ASPH,ATP1B1,BCL3,CCL20,CCL5,CD1B,CD1C,CD4,CD74,CD80,CD83,CD9,CXCL2,EBI3,FAR2,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-E,HLA-G,HMOX1,ICAM1,IFNG,IL1B,IL1R2,IL23A,MAP3K8,NFKB2,NFKBID,PCTP,PDE4B,PLAUR,PLXDC2,PTGS2,SLAMF8,SLC27A2,TNF,WDFY4",43,"ASPH,ATP1B1,BCL3,CCL20,CCL5,CD1B,CD1C,CD4,CD74,CD80,CD83,CD9,CXCL2,EBI3,FAR2,HLA-A,HLA-C,HLA-DMA,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA1,HLA-DRB1,HLA-E,HLA-G,HMOX1,ICAM1,IFNG,IL1B,IL1R2,IL23A,MAP3K8,NFKB2,NFKBID,PCTP,PDE4B,PLAUR,PLXDC2,PTGS2,SLAMF8,SLC27A2,TNF,WDFY4",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 2A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/figure/F2/,NA,NA,NA,NA
M40935,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_DT_ANTIBODY_CORRELATION_PROFILE_3DY_UP,BACTERIUM,UP,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_DT_ANTIBODY_CORRELATION_PROFILE_3DY_UP,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes up-regulated in peripheral blood mononuclear cell 3d vs 0d in adults (18-45) (anti-DT antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"ADAMTS20,ARRB2,C3AR1,C5AR1,CARD9,CCRL2,CFB,CFD,CFI,COL8A1,CR1,FCER1G,IFNA10,IFNA16,IFNA2,IFNA21,IFNA5,IFNA7,IFNA8,IL1A,ITGB4,SFN,ST14,STAB1,TBC1D8,TLR4,TYROBP",27,"ADAMTS20,ARRB2,C3AR1,C5AR1,CARD9,CCRL2,CFB,CFD,CFI,COL8A1,CR1,FCER1G,IFNA10,IFNA16,IFNA2,IFNA21,IFNA5,IFNA7,IFNA8,IL1A,ITGB4,SFN,ST14,STAB1,TBC1D8,TLR4,TYROBP",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 5b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/,NA,NA,NA,NA
M40934,MENACTRA,CONJ,MENINGOCOCCUS,LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_POLYSACCHARIDE_ANTIBODY_CORRELATION_PROFILE_3DY_UP,BACTERIUM,UP,CORRELATION,ANTIBODY,D3,D,3,18-45,ADULT,PBMC,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_POLYSACCHARIDE_ANTIBODY_CORRELATION_PROFILE_3DY_UP,"Many vaccines induce protective immunity via antibodies. Systems biology approaches have been used to determine signatures that can be used to predict vaccine-induced immunity in humans, but whether there is a 'universal signature' that can be used to predict antibody responses to any vaccine is unknown. Here we did systems analyses of immune responses to the polysaccharide and conjugate vaccines against meningococcus in healthy adults, in the broader context of published studies of vaccines against yellow fever virus and influenza virus. To achieve this, we did a large-scale network integration of publicly available human blood transcriptomes and systems-scale databases in specific biological contexts and deduced a set of transcription modules in blood. Those modules revealed distinct transcriptional signatures of antibody responses to different classes of vaccines, which provided key insights into primary viral, protein recall and anti-polysaccharide responses. Our results elucidate the early transcriptional programs that orchestrate vaccine immunity in humans and demonstrate the power of integrative network modeling.","Genes up-regulated in peripheral blood mononuclear cell 3d vs 0d in adults (18-45) (anti-polysaccharide antibody-correlation profile) after exposure to Menactra , time point 3D","Li S,Rouphael N,Duraisingham S,Romero-Steiner S,Presnell S,Davis C,Schmidt DS,Johnson SE,Milton A,Rajam G,Kasturi S,Carlone GM,Quinn C,Chaussabel D,Palucka AK,Mulligan MJ,Ahmed R,Stephens DS,Nakaya HI,Pulendran B",24336226,HUMAN_GENE_SYMBOL,"AIF1,APOBR,C1QA,C1QB,C1R,C2,C3,C3AR1,C5AR1,CARD9,CCL20,CCRL2,CFD,CFI,FCER1G,FGF5,GPX1,IFNA16,IFNA2,IFNA21,IFNA4,IL1B,IL6,CXCL8,LHCGR,PTX3,SERPING1,ST14,TBC1D8,TLR4,TNF,TYROBP",32,"AIF1,APOBR,C1QA,C1QB,C1R,C2,C3,C3AR1,C5AR1,CARD9,CCL20,CCRL2,CFD,CFI,FCER1G,FGF5,GPX1,IFNA16,IFNA2,IFNA21,IFNA4,IL1B,IL6,IL8,LHCGR,PTX3,SERPING1,ST14,TBC1D8,TLR4,TNF,TYROBP",C7:VAX,HIPC SIGNATURES,NIAID/HIPC SIGNATURES,Fig 5b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/,NA,NA,NA,NA
