"genes","cluster","gene_set"
"IFI27","cluster 1","All genes, shared > 16 conditions"
"CXCL10","cluster 1","All genes, shared > 16 conditions"
"HESX1","cluster 1","All genes, shared > 16 conditions"
"OTOF","cluster 1","All genes, shared > 16 conditions"
"LY6E","cluster 1","All genes, shared > 16 conditions"
"SERPING1","cluster 1","All genes, shared > 16 conditions"
"RSAD2","cluster 1","All genes, shared > 16 conditions"
"IFIT1","cluster 1","All genes, shared > 16 conditions"
"IFIT3","cluster 1","All genes, shared > 16 conditions"
"SIGLEC1","cluster 1","All genes, shared > 16 conditions"
"IFI44","cluster 1","All genes, shared > 16 conditions"
"IFI44L","cluster 1","All genes, shared > 16 conditions"
"IFITM3","cluster 1","All genes, shared > 16 conditions"
"IFIT2","cluster 1","All genes, shared > 16 conditions"
"HERC5","cluster 1","All genes, shared > 16 conditions"
"OAS3","cluster 1","All genes, shared > 16 conditions"
"DDX60","cluster 1","All genes, shared > 16 conditions"
"XAF1","cluster 1","All genes, shared > 16 conditions"
"ETV7","cluster 1","All genes, shared > 16 conditions"
"LAMP3","cluster 1","All genes, shared > 16 conditions"
"C1QB","cluster 1","All genes, shared > 16 conditions"
"MS4A4A","cluster 1","All genes, shared > 16 conditions"
"CASP5","cluster 1","All genes, shared > 16 conditions"
"EPHB2","cluster 1","All genes, shared > 16 conditions"
"LGALS3BP","cluster 1","All genes, shared > 16 conditions"
"OAS1","cluster 1","All genes, shared > 16 conditions"
"GBP1","cluster 1","All genes, shared > 16 conditions"
"IFI35","cluster 1","All genes, shared > 16 conditions"
"IFI6","cluster 1","All genes, shared > 16 conditions"
"MX1","cluster 1","All genes, shared > 16 conditions"
"OASL","cluster 1","All genes, shared > 16 conditions"
"OAS2","cluster 1","All genes, shared > 16 conditions"
"MT2A","cluster 1","All genes, shared > 16 conditions"
"SPATS2L","cluster 1","All genes, shared > 16 conditions"
"IFIH1","cluster 1","All genes, shared > 16 conditions"
"TCN2","cluster 1","All genes, shared > 16 conditions"
"ICAM3","cluster 2","All genes, shared > 16 conditions"
"IDS","cluster 2","All genes, shared > 16 conditions"
"SELL","cluster 2","All genes, shared > 16 conditions"
"FLOT1","cluster 2","All genes, shared > 16 conditions"
"DRAP1","cluster 2","All genes, shared > 16 conditions"
"RPS3","cluster 2","All genes, shared > 16 conditions"
"GAPDH","cluster 2","All genes, shared > 16 conditions"
"YRDC","cluster 2","All genes, shared > 16 conditions"
"RNF38","cluster 2","All genes, shared > 16 conditions"
"ATP5F1A","cluster 2","All genes, shared > 16 conditions"
"TMBIM6","cluster 2","All genes, shared > 16 conditions"
"LAPTM5","cluster 2","All genes, shared > 16 conditions"
"EZR","cluster 2","All genes, shared > 16 conditions"
"LPXN","cluster 2","All genes, shared > 16 conditions"
"ATG3","cluster 2","All genes, shared > 16 conditions"
"GLRX","cluster 2","All genes, shared > 16 conditions"
"HDAC1","cluster 2","All genes, shared > 16 conditions"
"SNRK","cluster 2","All genes, shared > 16 conditions"
"BTG1","cluster 2","All genes, shared > 16 conditions"
"IVNS1ABP","cluster 2","All genes, shared > 16 conditions"
"PIK3R1","cluster 2","All genes, shared > 16 conditions"
"MAP3K4","cluster 2","All genes, shared > 16 conditions"
"PPP1R16B","cluster 2","All genes, shared > 16 conditions"
"ZNF395","cluster 2","All genes, shared > 16 conditions"
"PSME3","cluster 2","All genes, shared > 16 conditions"
"SERTAD2","cluster 2","All genes, shared > 16 conditions"
"RABAC1","cluster 2","All genes, shared > 16 conditions"
"CARHSP1","cluster 2","All genes, shared > 16 conditions"
"ANKS1A","cluster 2","All genes, shared > 16 conditions"
"SHMT2","cluster 2","All genes, shared > 16 conditions"
"SGSM2","cluster 2","All genes, shared > 16 conditions"
"CIRBP","cluster 2","All genes, shared > 16 conditions"
"DHX9","cluster 2","All genes, shared > 16 conditions"
"PSMA4","cluster 2","All genes, shared > 16 conditions"
"MOAP1","cluster 2","All genes, shared > 16 conditions"
"SRSF8","cluster 2","All genes, shared > 16 conditions"
"ACTR1B","cluster 2","All genes, shared > 16 conditions"
"ITM2A","cluster 2","All genes, shared > 16 conditions"
"ABLIM1","cluster 2","All genes, shared > 16 conditions"
"PIK3IP1","cluster 2","All genes, shared > 16 conditions"
"EEF1A1","cluster 2","All genes, shared > 16 conditions"
"DIDO1","cluster 2","All genes, shared > 16 conditions"
"RPL8","cluster 2","All genes, shared > 16 conditions"
"RPS6","cluster 2","All genes, shared > 16 conditions"
