Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D14)","BBIBP (V3, D28)",0.369,65,61,50,126,115,"A2M, ANXA1, ARL4C, ASGR2, ATF3, BCL3, BCL6, CCL20, CD58, CD69, CD83, CXCL2, DACH1, DUSP1, EMP1, EREG, F2RL3, FCRL5, G0S2, GATA3, GP1BB, GPR82, GPR84, GXYLT2, GYPE, HLA-DMA, HMGB2, ICAM1, IFIH1, IFNG, IL10RA, IL1A, IL1B, IL1RN, IL23A, ITGB8, JUN, KCNMB3, KLF4, LAPTM5, LRRTM4, MAP3K8, MARCKS, MPP1, NFKB2, NFKBIA, NINJ1, NLRP3, ORM1, P2RY2, PDE4B, PLEK, PTGER2, PTX3, RHOH, RIPK2, SGK1, SLC24A1, SNCA, TGFA, TNFAIP3, TRIB1, TSPAN5, UPP1, ZMYND11",51.59,56.52,5.155936251393767e-12,11.28769246095383
"BBIBP (V3, D14)","BNT (V2, D1)",0.073,21,105,160,126,181,"A2M, ARL4C, BIRC2, CLEC4A, CXCL2, EREG, GYPE, JUN, MARCKS, MMP8, MPP1, MS4A3, NLRP3, NRXN3, PDE4B, RIPK2, RRAGD, SGK1, TGFA, TMEM71, TNFAIP6",16.67,11.6,1.939051514364228e-57,56.71241065296
"BBIBP (V3, D14)","BNT-I (D10, mild)",0.081,41,85,378,126,419,"A2M, ANXA1, ARL4C, ASGR2, ATF3, BCL2A1, BCL3, BCL6, BIRC2, BRI3, CD58, CLEC4A, DACH1, EREG, GATA3, GPR84, HMGB2, ICOS, IFIH1, IL10RA, IL1RN, ITGB8, ITM2A, KLF4, LGALS3, LY96, MARCKS, MMP8, OSBPL10, RBP7, RELB, RHOH, RIPK2, RRAGD, S100A8, SLC24A1, SMARCD3, TGFA, TNFAIP6, UPP1, ZMYND11",32.54,9.79,2.5605897617115555e-65,64.5916599953294
"BBIBP (V3, D14)","BNT-I (D10, severe)",0.104,64,62,492,126,556,"A2M, ANXA1, ARL4C, ASGR2, BCL2A1, BCL3, BCL6, BIRC2, BRI3, CCDC150, CD58, CHAF1B, CLEC4A, CXCL2, DACH1, DUSP1, EREG, ESCO2, GATA3, GLP2R, GPR82, GPR84, HHLA2, HMGB2, ICOS, IFIH1, IL10RA, IL1B, IL1RN, ITGB8, ITM2A, KCNMB3, KCNN3, KLF4, LAPTM5, LGALS3, LY96, MAP3K8, MARCKS, MMP8, MS4A3, NAV1, NFKBIA, NRBP1, P2RY2, RBP7, RELB, RIPK2, RRAGD, S100A8, SFXN3, SGK1, SLC24A1, SLCO2B1, SMARCD3, SVIL, TFF3, TGFA, TMEM71, TNFAIP6, TRIB1, TSHR, UPP1, ZMYND11",50.79,11.51,4.0340714578839267e-50,49.39425641314115
"BBIBP (V3, D14)","BNT-I (D26, mild)",0.099,36,90,236,126,272,"A2M, ANXA1, ASGR2, BCL2A1, BCL3, BCL6, BRI3, CD58, CLEC4A, DUSP1, GATA3, GPR84, HMGB2, IL10RA, KLF4, LGALS3, LY96, MARCKS, MMP8, MPP1, MS4A3, NFKBIA, NRBP1, OSBPL10, PLEK, PTGER2, RBP7, RELB, RRAGD, S100A8, SLC24A1, SMARCD3, TGFA, TRIB1, UPP1, ZMYND11",28.57,13.24,6.01613033458517e-56,55.22068276367672
"BBIBP (V3, D14)","BNT-I (D26, severe)",0.09,21,105,107,126,128,"A2M, ANXA1, BCL2A1, BCL3, BRI3, CXCL2, DUSP1, IL10RA, JUN, KLF4, LY96, MAP3K8, MARCKS, MMP8, NFKBIA, NRBP1, RIPK2, S100A8, SLC24A1, SMARCD3, TRIB1",16.67,16.41,3.1580574860044367e-45,44.50057996880927
"BBIBP (V3, D14)","ChAd (V1, D3)",0.083,57,69,561,126,618,"A2M, ABHD12, ASGR2, ATF3, BCL2A1, BRI3, C1QA, CCDC150, CCL20, CCR3, CD58, CHAF1A, CHAF1B, CLEC4A, CNTNAP3, DACH1, ESCO2, FKBP14, G0S2, GATA3, GIMAP2, GPR82, GPR84, GYPE, HHLA2, HLA-DMA, IFIH1, IL10RA, IL23A, ITGB8, LGALS3, LY96, MAFB, MARCKS, MPP1, NFKBIA, NLRP3, NRBP1, OSBPL10, P2RY2, PDE4B, PTGER2, RARA, RBP7, RELB, RHOH, RRAGD, S100A8, SFXN3, SLC24A1, SLC31A2, SLCO2B1, SMARCD3, SNCA, TRIB1, UPP1, ZMYND11",45.24,9.22,3.567328111542148e-60,59.44765694379347
"BBIBP (V3, D14)","ChAd (V1, D7)",0.1,46,80,333,126,379,"A2M, ANXA1, ARL4C, ATF3, C1QA, CCDC150, CCL20, CD69, CD83, CHAF1A, CHAF1B, CXCL2, DUSP1, ESCO2, FCRL5, FKBP14, GIMAP2, GPR82, HMGB2, IFIH1, IFNG, IL1B, JUN, KCNMB3, KCNN3, KLF4, MARCKS, MCM7, MMP8, NFKBIA, NRBP1, OSBPL10, P2RY2, PDE4B, PTGER2, PTX3, RELB, SFXN3, SLC24A1, SLC31A2, SMARCD3, SNCA, TNFAIP3, TSHR, UPP1, ZMYND11",36.51,12.14,7.392700027811109e-57,56.1311969157299
"BBIBP (V3, D14)","ChAd (V2, D3)",0.041,8,118,69,126,77,"A2M, C1QA, FKBP14, GPR82, IFNG, ITGB8, KLF4, NFKB2",6.35,10.39,3.295519159152946e-44,43.48207615915953
"BBIBP (V3, D14)","ChAd (V2, D7)",0.099,15,111,25,126,40,"A2M, ATF3, C1QA, CD83, FFAR2, G0S2, GPR84, ITGB8, KCNMB3, KLF4, NFKB2, RIPK2, SGK1, SLC24A1, TRIB1",11.9,37.5,1.7156215853852931e-18,17.76557849824857
"BBIBP (V3, D14)","ChAd-BNT (V2, D3)",0.084,51,75,480,126,531,"A2M, ABCA6, ARL4C, ASGR2, ATF3, BCL3, BIRC2, C1QA, CCDC150, CCR3, CD58, CD69, CHAF1A, CHAF1B, CNTNAP3, DUSP1, EREG, ESCO2, F2RL3, FKBP14, GLP2R, GNG10, GPR82, HLA-DMA, IFIH1, IFNG, IL10RA, IL1RN, IL23A, ITM2A, KLF4, LAPTM5, MARCKS, MMP8, NAV1, NEDD4, NFKB2, NLRP3, NRBP1, OSBPL10, PDE4B, PTGER2, RHOH, SFXN3, SLC31A2, SLCO2B1, SNCA, TNFAIP3, TSHR, UPP1, ZMYND11",40.48,9.6,3.7556691805245385e-62,61.42531266970738
