Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D28)","BNT-I (D10, severe)",0.088,34,58,293,92,327,"ABL1, ADM, BCL3, BCL6, BPI, CD58, CDC42, CRTC3, CTNNB1, CXCL2, CXCL8, FLT1, FUT4, GATA3, GPR183, HMGB2, IL1RN, ITGB8, JMJD6, KIF5B, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, OTUD4, PPP2CA, PSME1, PTGER4, RASGRP1, RC3H1, RPS6, VIM, ZNF3",36.96,10.4,4.2951150368181774e-45,44.367025199891806
"BBIBP (V3, D28)","BNT-I (D26, severe)",0.089,13,79,54,92,67,"ABL1, BCL3, BPI, CTNNB1, CXCL2, JMJD6, LCN2, MAP3K8, NFKBIA, PPP2CA, RC3H1, VIM, WNT4",14.13,19.4,6.200073703242616e-28,27.20760314780476
"BBIBP (V3, D28)","ChAd (V1, D3)",0.087,36,56,321,92,357,"ABL1, BMP6, CCL20, CCL3, CD58, CDC42, CHRNB2, CSF1, CXCL5, CXCL8, DCAF12, GATA3, HLA-DMA, HPRT1, IDE, ITGB8, LEPR, MPL, NFKBIA, OTUD4, PBX1, PDE4B, PSMA1, PSME1, PTPRJ, RAB11FIP2, RAP1GAP, RASGRP1, RGS1, RPL39, RPS6, SIRT2, SNCA, TRIM23, VIM, ZNF3",39.13,10.08,5.349035660328027e-45,44.27172450679146
"BBIBP (V3, D28)","ChAd-BNT (V2, D3)",0.112,41,51,275,92,316,"ABL1, B4GALT1, BCL3, BMP6, CD58, CLU, CSF1, CTNNB1, CXCL5, CXCL8, CXCR2, DCAF12, FUT4, GEM, GPR183, HLA-DMA, HPRT1, IDE, IL1RN, JMJD6, LRRC8A, MPL, NFKB2, PBX1, PDE4B, PKHD1L1, PPP2CA, PTGER4, RAP1GAP, RELA, RGS1, RPL39, RPS6, SELP, SNCA, TNFAIP3, TREML1, TRIM23, TRIM58, VAMP2, ZNF3",44.57,12.97,2.267532985639796e-37,36.64444638657122
"BBIBP (V3, D28)","ChAd-BNT (V2, D7)",0.162,53,39,236,92,289,"ABL1, ADM, B4GALT1, BCL3, BCL6, BMP6, CCL20, CCL3, CD83, CDC42, CLU, CSF1, CTNNB1, CXCL2, CXCL5, CXCL8, CXCR2, DHX9, DNM2, EPB42, GPR183, IL1RN, IRF1, ITGB8, JMJD6, LEPR, LRRC8A, MAP3K8, MPL, NFKB2, NFKBIA, OTUD4, PBX1, PDE4B, PKHD1L1, PPP2CA, PSME1, PTGER4, PTPRJ, PTX3, RAP1GAP, RC3H1, RNF19B, RPL39, SELP, SNCA, TICAM1, TNFAIP3, TREML1, TRIM23, TRIM58, VIM, ZNF3",57.61,18.34,2.3265278241947503e-25,24.633291749138888
"BBIBP (V3, D28)","I (D10, severe)",0.099,33,59,242,92,275,"ABL1, ADM, B4GALT1, BCL3, BCL6, BPI, CCL20, CD58, CDC42, CRTC3, CTNNB1, CXCL2, FLT1, GATA3, GPR183, HLA-DMA, HMGB2, ITGB8, JMJD6, KIF5B, LCN2, LSM14A, MAP3K8, MS4A2, NFKBIA, PPP2CA, RAP1GAP, RASGRP1, RC3H1, RPS6, TNFAIP3, VAMP2, VIM",35.87,12,4.1921904494222164e-42,41.37755899576327
"BBIBP (V3, D28)","I (D26, severe)",0.077,26,66,244,92,270,"ABL1, BCL6, BPI, CCL20, CD58, CDC42, CXCL2, FLT1, FUT4, GATA3, HMGB2, IRF2BP2, ITGB8, JMJD6, KIF5B, LCN2, LRRC8A, LSM14A, MAP3K8, MS4A2, NFKBIA, PPP2CA, PTX3, RC3H1, TNFAIP3, VIM",28.26,9.63,5.288584908458885e-49,48.27666051863808
"BBIBP (V3, D28)","ZF2001 (V3, D07)",0.199,63,29,225,92,288,"ABL1, ADM, B4GALT1, BCL3, BCL6, BMP6, C4B, CCL20, CCL3, CD83, CDC42, CHRNB2, CLU, CNIH1, CRTC3, CSF1, CTNNB1, CXCL2, CXCL5, CXCL8, DHX9, DNM2, FLT1, FUT4, FYB2, GPR183, HPRT1, HTN1, IDO2, IL1RN, IRF1, IRF2BP2, ITGB8, JMJD6, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, PDE4B, PPP2CA, PSMA1, PSME1, PTGER4, PTPRJ, PTX3, RELA, RGS1, RNF19B, RPL39, RPS6, SELP, SERINC5, SHLD3, SRF, TICAM1, TNFAIP3, TREML1, TRIM49D1, VAMP2, VIM, WFDC11, WNT4",68.48,21.88,6.926223825861191e-18,17.15950347802396
"BBIBP (V3, D28)",BNT-I (D0),0.091,37,55,316,92,353,"AIMP1, BCL3, BCL6, BPI, CCL3, CDC42, CHRNB2, CNIH1, CSF1, CTNNB1, CXCR2, DHX9, DNM2, GATA3, GPR183, IDE, IL1RN, ITGB8, KIF5B, LCN2, LRRC8A, LSM14A, NFKBIA, PPP2CA, PSMA1, PTGER4, RAP1GAP, RELA, RGS1, RNF19B, RPL39, RPS6, SERINC5, SIRT2, SRF, TICAM1, TRIM23",40.22,10.48,1.0615004784908426e-43,42.97407980573172
"BBIBP (V3, D28)","BNT-I (D10, mild)",0.067,21,71,220,92,241,"ADM, BCL3, BCL6, BPI, CD58, CDC42, CRTC3, GATA3, GPR183, HMGB2, IL1RN, ITGB8, LCN2, LRRC8A, MS4A2, PSME1, RASGRP1, RC3H1, RPS6, VIM, ZNF3",22.83,8.71,1.1354516290744849e-51,50.94483136225754
