condition,direction,term_ancestor,n_genes,n_genes_total,n_genes_perc
"BBIBP (V3, D07)",DOWN,Cellular,104,123,84.6
"BBIBP (V3, D07)",DOWN,Immune system,33,123,26.8
"BBIBP (V3, D07)",DOWN,Interspecies interaction,23,123,18.7
"BBIBP (V3, D07)",DOWN,Metabolism,74,123,60.2
"BBIBP (V3, D07)",DOWN,Not mapped,14,123,11.4
"BBIBP (V3, D07)",DOWN,Reg. of BP,92,123,74.8
"BBIBP (V3, D07)",NEUTRAL,Cellular,787,869,90.6
"BBIBP (V3, D07)",NEUTRAL,Immune system,133,869,15.3
"BBIBP (V3, D07)",NEUTRAL,Interspecies interaction,105,869,12.1
"BBIBP (V3, D07)",NEUTRAL,Metabolism,653,869,75.1
"BBIBP (V3, D07)",NEUTRAL,Not mapped,60,869,6.9
"BBIBP (V3, D07)",NEUTRAL,Reg. of BP,590,869,67.9
"BBIBP (V3, D07)",UP,Cellular,27,31,87.1
"BBIBP (V3, D07)",UP,Immune system,3,31,9.7
"BBIBP (V3, D07)",UP,Interspecies interaction,2,31,6.5
"BBIBP (V3, D07)",UP,Metabolism,15,31,48.4
"BBIBP (V3, D07)",UP,Not mapped,4,31,12.9
"BBIBP (V3, D07)",UP,Reg. of BP,19,31,61.3
"BBIBP (V3, D14)",DOWN,Cellular,46,53,86.8
"BBIBP (V3, D14)",DOWN,Immune system,29,53,54.7
"BBIBP (V3, D14)",DOWN,Interspecies interaction,26,53,49.1
"BBIBP (V3, D14)",DOWN,Metabolism,36,53,67.9
"BBIBP (V3, D14)",DOWN,Not mapped,5,53,9.4
"BBIBP (V3, D14)",DOWN,Reg. of BP,43,53,81.1
"BBIBP (V3, D14)",NEUTRAL,Cellular,1268,1488,85.2
"BBIBP (V3, D14)",NEUTRAL,Immune system,168,1488,11.3
"BBIBP (V3, D14)",NEUTRAL,Interspecies interaction,124,1488,8.3
"BBIBP (V3, D14)",NEUTRAL,Metabolism,964,1488,64.8
"BBIBP (V3, D14)",NEUTRAL,Not mapped,169,1488,11.4
"BBIBP (V3, D14)",NEUTRAL,Reg. of BP,872,1488,58.6
"BBIBP (V3, D14)",UP,Cellular,716,890,80.4
"BBIBP (V3, D14)",UP,Immune system,76,890,8.5
"BBIBP (V3, D14)",UP,Interspecies interaction,50,890,5.6
"BBIBP (V3, D14)",UP,Metabolism,410,890,46.1
"BBIBP (V3, D14)",UP,Not mapped,145,890,16.3
"BBIBP (V3, D14)",UP,Reg. of BP,532,890,59.8
"BBIBP (V3, D28)",DOWN,Cellular,88,112,78.6
"BBIBP (V3, D28)",DOWN,Immune system,28,112,25
"BBIBP (V3, D28)",DOWN,Interspecies interaction,24,112,21.4
"BBIBP (V3, D28)",DOWN,Metabolism,60,112,53.6
"BBIBP (V3, D28)",DOWN,Not mapped,19,112,17
"BBIBP (V3, D28)",DOWN,Reg. of BP,76,112,67.9
"BBIBP (V3, D28)",NEUTRAL,Cellular,1059,1223,86.6
"BBIBP (V3, D28)",NEUTRAL,Immune system,167,1223,13.7
"BBIBP (V3, D28)",NEUTRAL,Interspecies interaction,121,1223,9.9
"BBIBP (V3, D28)",NEUTRAL,Metabolism,818,1223,66.9
"BBIBP (V3, D28)",NEUTRAL,Not mapped,124,1223,10.1
"BBIBP (V3, D28)",NEUTRAL,Reg. of BP,803,1223,65.7
"BBIBP (V3, D28)",UP,Cellular,142,188,75.5
"BBIBP (V3, D28)",UP,Immune system,27,188,14.4
"BBIBP (V3, D28)",UP,Interspecies interaction,12,188,6.4
"BBIBP (V3, D28)",UP,Metabolism,78,188,41.5
"BBIBP (V3, D28)",UP,Not mapped,40,188,21.3
"BBIBP (V3, D28)",UP,Reg. of BP,99,188,52.7
"BNT (V1, D6)",DOWN,Cellular,6,6,100
"BNT (V1, D6)",DOWN,Immune system,1,6,16.7
"BNT (V1, D6)",DOWN,Metabolism,4,6,66.7
"BNT (V1, D6)",DOWN,Reg. of BP,3,6,50
"BNT (V1, D6)",NEUTRAL,Cellular,601,735,81.8
"BNT (V1, D6)",NEUTRAL,Immune system,87,735,11.8
"BNT (V1, D6)",NEUTRAL,Interspecies interaction,52,735,7.1
"BNT (V1, D6)",NEUTRAL,Metabolism,395,735,53.7
"BNT (V1, D6)",NEUTRAL,Not mapped,110,735,15
"BNT (V1, D6)",NEUTRAL,Reg. of BP,441,735,60
"BNT (V1, D6)",UP,Cellular,69,82,84.1
"BNT (V1, D6)",UP,Immune system,7,82,8.5
"BNT (V1, D6)",UP,Interspecies interaction,4,82,4.9
"BNT (V1, D6)",UP,Metabolism,32,82,39
"BNT (V1, D6)",UP,Not mapped,12,82,14.6
"BNT (V1, D6)",UP,Reg. of BP,51,82,62.2
"BNT (V2, D1)",DOWN,Cellular,14,20,70
"BNT (V2, D1)",DOWN,Immune system,3,20,15
"BNT (V2, D1)",DOWN,Interspecies interaction,3,20,15
"BNT (V2, D1)",DOWN,Metabolism,9,20,45
"BNT (V2, D1)",DOWN,Not mapped,6,20,30
"BNT (V2, D1)",DOWN,Reg. of BP,8,20,40
"BNT (V2, D1)",NEUTRAL,Cellular,1056,1230,85.9
"BNT (V2, D1)",NEUTRAL,Immune system,242,1230,19.7
"BNT (V2, D1)",NEUTRAL,Interspecies interaction,167,1230,13.6
"BNT (V2, D1)",NEUTRAL,Metabolism,748,1230,60.8
"BNT (V2, D1)",NEUTRAL,Not mapped,137,1230,11.1
"BNT (V2, D1)",NEUTRAL,Reg. of BP,797,1230,64.8
"BNT (V2, D1)",UP,Cellular,9,11,81.8
"BNT (V2, D1)",UP,Immune system,4,11,36.4
"BNT (V2, D1)",UP,Interspecies interaction,3,11,27.3
"BNT (V2, D1)",UP,Metabolism,6,11,54.5
"BNT (V2, D1)",UP,Not mapped,2,11,18.2
"BNT (V2, D1)",UP,Reg. of BP,8,11,72.7
"BNT (V3, D1)",DOWN,Cellular,9,12,75
"BNT (V3, D1)",DOWN,Metabolism,3,12,25
"BNT (V3, D1)",DOWN,Not mapped,3,12,25
"BNT (V3, D1)",DOWN,Reg. of BP,9,12,75
"BNT (V3, D1)",NEUTRAL,Cellular,121,160,75.6
"BNT (V3, D1)",NEUTRAL,Immune system,17,160,10.6
"BNT (V3, D1)",NEUTRAL,Interspecies interaction,10,160,6.2
"BNT (V3, D1)",NEUTRAL,Metabolism,85,160,53.1
"BNT (V3, D1)",NEUTRAL,Not mapped,34,160,21.2
"BNT (V3, D1)",NEUTRAL,Reg. of BP,79,160,49.4
"BNT (V3, D1)",UP,Cellular,16,16,100
"BNT (V3, D1)",UP,Immune system,4,16,25
"BNT (V3, D1)",UP,Interspecies interaction,3,16,18.8
"BNT (V3, D1)",UP,Metabolism,11,16,68.8
"BNT (V3, D1)",UP,Reg. of BP,10,16,62.5
BNT-I (D0-5),DOWN,Cellular,168,222,75.7
BNT-I (D0-5),DOWN,Immune system,30,222,13.5
BNT-I (D0-5),DOWN,Interspecies interaction,19,222,8.6
BNT-I (D0-5),DOWN,Metabolism,108,222,48.6
BNT-I (D0-5),DOWN,Not mapped,47,222,21.2
BNT-I (D0-5),DOWN,Reg. of BP,116,222,52.3
BNT-I (D0-5),NEUTRAL,Cellular,5056,5842,86.5
BNT-I (D0-5),NEUTRAL,Immune system,773,5842,13.2
BNT-I (D0-5),NEUTRAL,Interspecies interaction,508,5842,8.7
BNT-I (D0-5),NEUTRAL,Metabolism,3863,5842,66.1
BNT-I (D0-5),NEUTRAL,Not mapped,617,5842,10.6
BNT-I (D0-5),NEUTRAL,Reg. of BP,3511,5842,60.1
BNT-I (D0-5),UP,Cellular,726,866,83.8
BNT-I (D0-5),UP,Immune system,198,866,22.9
BNT-I (D0-5),UP,Interspecies interaction,158,866,18.2
BNT-I (D0-5),UP,Metabolism,468,866,54
BNT-I (D0-5),UP,Not mapped,106,866,12.2
BNT-I (D0-5),UP,Reg. of BP,583,866,67.3
"BNT-I (D10, hospital)",DOWN,Cellular,1920,2300,83.5
"BNT-I (D10, hospital)",DOWN,Immune system,324,2300,14.1
"BNT-I (D10, hospital)",DOWN,Interspecies interaction,176,2300,7.7
"BNT-I (D10, hospital)",DOWN,Metabolism,1274,2300,55.4
"BNT-I (D10, hospital)",DOWN,Not mapped,319,2300,13.9
"BNT-I (D10, hospital)",DOWN,Reg. of BP,1446,2300,62.9
"BNT-I (D10, hospital)",NEUTRAL,Cellular,2864,3264,87.7
"BNT-I (D10, hospital)",NEUTRAL,Immune system,366,3264,11.2
"BNT-I (D10, hospital)",NEUTRAL,Interspecies interaction,247,3264,7.6
"BNT-I (D10, hospital)",NEUTRAL,Metabolism,2296,3264,70.3
"BNT-I (D10, hospital)",NEUTRAL,Not mapped,293,3264,9
"BNT-I (D10, hospital)",NEUTRAL,Reg. of BP,1924,3264,58.9
"BNT-I (D10, hospital)",UP,Cellular,1660,1974,84.1
"BNT-I (D10, hospital)",UP,Immune system,406,1974,20.6
"BNT-I (D10, hospital)",UP,Interspecies interaction,322,1974,16.3
"BNT-I (D10, hospital)",UP,Metabolism,1157,1974,58.6
"BNT-I (D10, hospital)",UP,Not mapped,233,1974,11.8
"BNT-I (D10, hospital)",UP,Reg. of BP,1251,1974,63.4
"BNT-I (D26, hospital)",DOWN,Cellular,898,1070,83.9
"BNT-I (D26, hospital)",DOWN,Immune system,176,1070,16.4
"BNT-I (D26, hospital)",DOWN,Interspecies interaction,83,1070,7.8
"BNT-I (D26, hospital)",DOWN,Metabolism,579,1070,54.1
"BNT-I (D26, hospital)",DOWN,Not mapped,151,1070,14.1
"BNT-I (D26, hospital)",DOWN,Reg. of BP,698,1070,65.2
"BNT-I (D26, hospital)",NEUTRAL,Cellular,2335,2666,87.6
"BNT-I (D26, hospital)",NEUTRAL,Immune system,323,2666,12.1
"BNT-I (D26, hospital)",NEUTRAL,Interspecies interaction,235,2666,8.8
"BNT-I (D26, hospital)",NEUTRAL,Metabolism,1866,2666,70
"BNT-I (D26, hospital)",NEUTRAL,Not mapped,246,2666,9.2
"BNT-I (D26, hospital)",NEUTRAL,Reg. of BP,1604,2666,60.2
"BNT-I (D26, hospital)",UP,Cellular,857,1020,84
"BNT-I (D26, hospital)",UP,Immune system,191,1020,18.7
"BNT-I (D26, hospital)",UP,Interspecies interaction,147,1020,14.4
"BNT-I (D26, hospital)",UP,Metabolism,613,1020,60.1
"BNT-I (D26, hospital)",UP,Not mapped,121,1020,11.9
"BNT-I (D26, hospital)",UP,Reg. of BP,650,1020,63.7
"BNT-I (D51, hospital)",DOWN,Cellular,657,809,81.2
"BNT-I (D51, hospital)",DOWN,Immune system,127,809,15.7
"BNT-I (D51, hospital)",DOWN,Interspecies interaction,80,809,9.9
"BNT-I (D51, hospital)",DOWN,Metabolism,430,809,53.2
"BNT-I (D51, hospital)",DOWN,Not mapped,132,809,16.3
"BNT-I (D51, hospital)",DOWN,Reg. of BP,482,809,59.6
