genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
ABL1,"ZF2001 (V3, D07)",-0.3673074546905521,NEUTRAL,9.71036524679283e-6,0.001094345003760079,Immune
ACKR3,"ChAd (V1, D7)",-0.4367815800911056,NEUTRAL,2.9529159827272156e-5,0.002551892764686452,Immune
ACTG1,"BNT-I (D26, mild)",-1.2154890646887024,DOWN,7.676787595797376e-4,0.027288173428404287,Immune
ACTG1,"I (D51, severe)",-0.8492680186900002,NEUTRAL,0.0016108041089313355,0.04541355267213447,Immune
ACTG1,"ZF2001 (V3, D07)",-0.5165061941012306,NEUTRAL,0.00117404658442732,0.03674494326524905,Immune
ACTR3,"ChAd (V1, D3)",0.20660704884593792,NEUTRAL,2.464632038624615e-4,0.012200527021507736,Immune
ACTR3,"I (D10, moderate)",0.8351692327000855,NEUTRAL,3.3069935671600764e-4,0.015043482218616538,Immune
ACTR3,"I (D26, moderate)",-0.840656439261881,NEUTRAL,3.022750680220137e-4,0.014119887275747596,Immune
ACTR3,"I (D26, severe)",-1.0799517257644127,DOWN,7.046463561154622e-5,0.004893557564800649,Immune
ACTR3,"ZF2001 (V3, D14)",-0.30734657994848263,NEUTRAL,0.0012744866655688,0.03881895978085781,Immune
ADA,"ChAd (V1, D3)",0.47635574798326075,NEUTRAL,2.4957437385589828e-12,3.2544944632357986e-9,Immune
ADA,"ZF2001 (V3, D07)",-1.0286717400653396,DOWN,7.894900623922756e-4,0.02782356529105193,Immune
ADAM17,"ChAd-BNT (V2, D3)",0.2753237745203759,NEUTRAL,3.264935242661699e-6,4.7342110334710715e-4,Immune
ADAM17,"I (D26, moderate)",-0.9689359707322167,NEUTRAL,9.20852678723294e-4,0.030974584066702244,Immune
ADAR,"ChAd (V1, D3)",0.3058306600035909,NEUTRAL,9.762923842403248e-7,1.834216572334318e-4,Immune
ADAR,"ChAd-BNT (V2, D3)",0.4736474324926016,NEUTRAL,1.367613518594734e-9,7.577594012341897e-7,Immune
ADARB1,"ChAd (V1, D3)",-0.21932310362158527,NEUTRAL,2.8722152519794123e-4,0.01360507832215836,Immune
ADD2,"I (D10, severe)",-2.6727299364665216,DOWN,9.12613569250853e-5,0.005902823419081414,Immune
ADD2,"I (D26, moderate)",1.6391051903178062,UP,0.0014674936386808812,0.04266613876884987,Immune
ADGRG3,"ChAd (V1, D3)",-1.1512593407712175,DOWN,1.0123233303010224e-4,0.00636408339466383,Immune
ADGRG3,"ChAd-BNT (V2, D3)",-1.478281286017186,DOWN,6.670940436881461e-5,0.004693277642977958,Immune
ADGRG3,"ChAd-BNT (V2, D7)",-2.039510843346432,DOWN,2.7082582920911605e-6,4.0907465731348163e-4,Immune
ADGRG3,"I (D26, severe)",-1.6557419967664373,DOWN,4.2265330941599775e-4,0.017917283595486458,Immune
ADM,"BBIBP (V3, D07)",-0.9108630422705636,NEUTRAL,3.0790364635711485e-4,0.014315798073718411,Immune
ADM,"BBIBP (V3, D14)",-1.0302459234457142,DOWN,4.708316334135176e-5,0.0036266875344137567,Immune
ADM,"ChAd-BNT (V2, D7)",-1.8680711397532876,DOWN,7.598179197628454e-9,3.2593816475633143e-6,Immune
ADM,"I (D26, moderate)",-2.1149412103805267,DOWN,7.949487739490894e-4,0.02795460260499238,Immune
ADM,"I (D26, severe)",-2.4314910288638534,DOWN,9.61843115829784e-4,0.03193525978048078,Immune
ADM,"ZF2001 (V3, D07)",-1.1848391913443626,DOWN,3.5919326020926715e-6,5.091536191700842e-4,Immune
ADORA2B,"BNT-I (D26, severe)",-1.5322231952726233,DOWN,0.0017692446075166894,0.04839337171455167,Immune
AIF1,"ChAd (V1, D3)",0.6668513397578489,NEUTRAL,7.185976335098789e-11,5.903341829442538e-8,Immune
AIF1,"ChAd-BNT (V2, D7)",-0.5481345943964206,NEUTRAL,2.6109915937719817e-4,0.012706749803487207,Immune
AIF1,"I (D10, severe)",-1.2518988047764303,DOWN,2.6637524909786745e-4,0.012895992749719611,Immune
AIF1,"I (D26, moderate)",-1.4321497764077156,DOWN,1.1076168022851788e-6,2.0251571620428108e-4,Immune
AIMP1,"BBIBP (V3, D14)",-1.0597091729367898,DOWN,1.6132514765623265e-4,0.008962706739698156,Immune
ALOX5,"I (D26, severe)",-1.8877169179643913,DOWN,2.0159980376856977e-4,0.010568505174103255,Immune
ANKHD1,"BNT-I (D26, mild)",-1.3677740671222403,DOWN,6.616752208173514e-6,8.139120338841135e-4,Immune
ANKHD1,"BNT-I (D26, severe)",-1.6845996242275298,DOWN,1.8385811566526597e-13,3.3074260848406283e-10,Immune
ANKHD1,"BNT-I (D51, severe)",-2.0090155860528762,DOWN,7.99340948746827e-11,6.438334796702767e-8,Immune
ANKHD1,"BNT-I-BNT (D51, severe)",-1.481494519726883,DOWN,1.0440662666321057e-6,1.9316876388736053e-4,Immune
ANKHD1,"I (D26, moderate)",-1.661846030180465,DOWN,1.1436643193247569e-17,4.825085825073141e-14,Immune
ANKHD1,"I (D26, severe)",-1.6648091111996082,DOWN,2.778151592158043e-13,4.770938273671667e-10,Immune
ANKHD1,"I (D51, moderate)",-1.67012256693257,DOWN,2.431198597356274e-13,4.229040964154665e-10,Immune
ANKHD1,"I (D51, severe)",-1.6289574471633426,DOWN,8.118529280480975e-13,1.2101472086495054e-9,Immune
ANKHD1,I-I (D5),-2.544887803191443,DOWN,9.826589434319004e-5,0.006226315427157156,Immune
ANXA3,"I (D26, moderate)",-3.1324613006456623,DOWN,4.963916767562581e-6,6.535982897791547e-4,Immune
ANXA3,"I (D26, severe)",-3.399475470858857,DOWN,2.207148398281011e-5,0.0020485833480387333,Immune
APBB1IP,"ChAd (V1, D3)",0.15732966922754454,NEUTRAL,0.00112277536376243,0.03560510530621919,Immune
APOBEC3A,"ChAd (V1, D3)",1.1800908226886702,UP,9.403047189684521e-4,0.03140270616765389,Immune
APOBEC3A,I-I (D1),-2.824085699314255,DOWN,0.00180531745263741,0.04902124872588348,Immune
APOBEC3A,"ZF2001 (V3, D07)",-1.2421346111921496,DOWN,4.500535814703852e-4,0.018709886263775483,Immune
APOBEC3F,"ChAd (V1, D7)",-0.2014498705530442,NEUTRAL,0.0018461709753161298,0.04978826714328964,Immune
APOBEC3F,"ChAd-BNT (V2, D7)",0.33192903995222095,NEUTRAL,4.8490431107394485e-4,0.01973047610638414,Immune
APOBEC3H,"ChAd-BNT (V2, D7)",0.5472629753398011,NEUTRAL,3.214714196657869e-4,0.01476057813449794,Immune
APOBEC3H,"I (D26, severe)",-1.5406738648682483,DOWN,3.5604604344082277e-4,0.015870004520608032,Immune
ARG2,"I (D26, moderate)",-0.5725675719002657,NEUTRAL,4.204003412413423e-4,0.017848112490101146,Immune
ARID5A,"ChAd-BNT (V2, D3)",-0.4366432168360145,NEUTRAL,0.00102435706136289,0.033404836629985495,Immune
ARID5A,"ChAd-BNT (V2, D7)",-0.6158241668346446,NEUTRAL,7.805311003232862e-5,0.005267552351267233,Immune
ARID5A,"ZF2001 (V3, D07)",-0.5823373213258015,NEUTRAL,2.5733172770951647e-4,0.012585425187520816,Immune
ASXL1,"ChAd (V1, D3)",-0.19623837174801712,NEUTRAL,1.0471781598572065e-5,0.001159344722977915,Immune
ATF2,"ChAd (V1, D3)",-0.15506819597954688,NEUTRAL,5.0872941655501773e-5,0.003837108522650207,Immune
AXL,"ChAd (V1, D3)",0.9463739739535558,NEUTRAL,2.08562589754902e-8,7.69944372671464e-6,Immune
AXL,"ChAd-BNT (V2, D3)",0.9388151716812072,NEUTRAL,8.275902427182532e-6,9.640856838191216e-4,Immune
B2M,"ChAd (V1, D3)",0.2268649808291646,NEUTRAL,8.875391532627325e-5,0.005781923721545858,Immune
B2M,"ChAd-BNT (V2, D7)",-0.3636593959876865,NEUTRAL,1.8449105697374155e-5,0.0017892725966578357,Immune
B2M,"I (D26, moderate)",-0.8979104369968389,NEUTRAL,4.2571861186268753e-4,0.017999371622937053,Immune
