genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
A1BG,"I (D26, severe)",1.9619178453751118,UP,6.637820174961756e-4,0.024631254579957018,Other
A2M,"BBIBP (V3, D28)",1.2359721357438715,UP,4.885818725899033e-4,0.019822222597447373,Other
A2M,"BNT-I (D26, severe)",2.273303365518021,UP,6.885710407832164e-4,0.025271178299498494,Other
A2M,"ChAd (V2, D3)",1.2613193798961322,UP,1.2286884752505057e-5,0.0013098194951034069,Other
A2M,"ChAd (V2, D7)",1.7886108999946704,UP,0.00120475639322496,0.03737472956122647,Other
A2M,"ChAd-BNT (V2, D3)",0.8487860775596,NEUTRAL,1.4904104705839125e-7,3.9436310147511656e-5,Other
A2ML1,"ZF2001 (V3, D07)",1.35418347618985,UP,2.42496570488669e-4,0.012052628774836871,Other
A2MP1,"BBIBP (V3, D28)",1.165499963779888,UP,5.500302320209667e-4,0.021579217455336405,Other
A3GALT2,"I (D26, moderate)",-1.9622911935335574,DOWN,1.7380667174937044e-4,0.009459347537660595,Other
A3GALT2,"I (D26, severe)",-2.878050376028313,DOWN,3.3627552609708375e-6,4.8368420653327785e-4,Other
A3GALT2,"I (D51, moderate)",-2.203156607354907,DOWN,3.284940765305077e-4,0.01497280075611945,Other
AAAS,"BNT-I (D26, severe)",0.5210497692301356,NEUTRAL,4.1379110336565707e-4,0.01764542628190433,Other
AAAS,"BNT-I-BNT (D51, severe)",0.8231602617213246,NEUTRAL,2.6499288394307992e-5,0.0023463044627683068,Other
AAAS,"ChAd-BNT (V2, D7)",0.2882226335062216,NEUTRAL,6.106086376118843e-7,1.2534272090486165e-4,Other
AAAS,"I (D26, moderate)",0.6044030447359218,NEUTRAL,1.6411172260735344e-6,2.7718040152849776e-4,Other
AAAS,"I (D26, severe)",0.5203371530165819,NEUTRAL,4.112590458830859e-4,0.01757353722300512,Other
AAAS,"I (D51, moderate)",0.5412000285643713,NEUTRAL,2.3854449086791845e-4,0.011913664881313608,Other
AACS,"I (D26, moderate)",0.7352758000964156,NEUTRAL,8.464504412830404e-4,0.02920905999945362,Other
AADACL3,"ZF2001 (V3, D07)",2.24668307745103,UP,7.760481402239767e-4,0.027506259914879226,Other
AADAT,"ZF2001 (V3, D07)",2.4744357504395107,UP,7.603527890189581e-4,0.027104223323345736,Other
AAED1,"ChAd (V1, D7)",-0.28673389711380587,NEUTRAL,1.1761934651617796e-5,0.0012656709478276224,Other
AAED1,"ChAd-BNT (V2, D7)",-0.47336721908972373,NEUTRAL,9.961767824513624e-7,1.8619804997561574e-4,Other
AAGAB,"ChAd (V1, D3)",0.2265338038586412,NEUTRAL,9.148268865456357e-7,1.7411666328244932e-4,Other
AAMDC,"ChAd (V1, D3)",0.18138420188106028,NEUTRAL,5.990706054658529e-4,0.022947977663808263,Other
AAMDC,"ZF2001 (V3, D14)",0.6175822278048643,NEUTRAL,0.00101398954312062,0.03317973839081711,Other
AAMP,"BNT-I (D26, severe)",0.7864424703115511,NEUTRAL,2.1052741761478375e-4,0.01090327303876454,Other
AAMP,"BNT-I-BNT (D51, severe)",1.2051283487223383,UP,2.1924537306449295e-5,0.0020397296000713716,Other
AAMP,"ChAd (V1, D3)",0.209695078420282,NEUTRAL,2.321871764394787e-5,0.0021289069908987726,Other
AAMP,"I (D10, severe)",-0.7683682758007511,NEUTRAL,3.437527724755906e-4,0.015467504253409365,Other
AAMP,"I (D26, moderate)",0.591795073383775,NEUTRAL,0.0011317415478020452,0.035805286564908716,Other
AANAT,"ZF2001 (V3, D14)",1.00736314222225,UP,7.975782547288584e-5,0.005344744006689101,Other
AAR2,"ChAd (V1, D7)",0.19335450241898816,NEUTRAL,3.2405928233481825e-4,0.014836333489669716,Other
AARS,"BNT-I (D26, severe)",1.1610363393539247,UP,6.957986592932886e-4,0.02546066963572114,Other
AARS,"I (D26, moderate)",1.3356608148258897,UP,5.2083339408632245e-6,6.788959096591634e-4,Other
AARS,"I (D26, severe)",1.219233681491061,UP,3.673766420619058e-4,0.016239137016094092,Other
AARS,"I (D51, moderate)",1.0681168911482908,UP,0.0018085450127245585,0.04907936828041875,Other
AARS2,"BNT-I (D26, mild)",1.1090346763089474,UP,3.924557022921632e-5,0.0031583722185290226,Other
AARS2,"BNT-I (D26, severe)",1.3382456070632611,UP,3.6609466832616493e-11,3.343597625830821e-8,Other
AARS2,"BNT-I (D51, severe)",1.5121194495010288,UP,1.7496752508233915e-8,6.6322626187958515e-6,Other
AARS2,"BNT-I-BNT (D51, severe)",1.4414237013809126,UP,7.555986637784004e-8,2.2413122679407472e-5,Other
AARS2,"I (D26, moderate)",1.449367529230196,UP,6.018594501493781e-17,2.2641880864685064e-13,Other
AARS2,"I (D26, severe)",1.5007466180882165,UP,9.435203886942922e-14,1.8519195495038336e-10,Other
AARS2,"I (D51, moderate)",1.346603185412906,UP,2.563808122501196e-11,2.44972930837737e-8,Other
AARS2,"I (D51, severe)",1.1589854237641413,UP,1.0006105222894595e-8,4.117186579650068e-6,Other
AASDH,BNT-I (D1),-0.762130365149578,NEUTRAL,1.579929259696174e-4,0.008822040974828757,Other
AASDH,"ChAd (V1, D7)",-0.21311081080484,NEUTRAL,3.314060077750053e-5,0.0027801066710633417,Other
AASDH,"I (D26, moderate)",0.8030758689740495,NEUTRAL,1.4676421811959996e-4,0.008360531357776394,Other
AASDH,"I (D51, moderate)",0.9140788332430071,NEUTRAL,2.1146835942577091e-4,0.010936126401166136,Other
AASDHPPT,"ChAd (V1, D7)",0.22369686644878953,NEUTRAL,1.8045285035518416e-4,0.009728661718419308,Other
AASS,"I (D26, moderate)",1.3777195954103734,UP,2.7099309247296947e-4,0.013056214998186563,Other
AATBC,"ChAd (V1, D3)",0.5905434629833554,NEUTRAL,8.809160636369864e-7,1.6925961239667604e-4,Other
AATBC,"ChAd (V1, D7)",-0.6760592367124428,NEUTRAL,1.6839698668432593e-8,6.424011146263372e-6,Other
AATBC,"ChAd-BNT (V2, D3)",0.6075853820731469,NEUTRAL,5.218612928778106e-5,0.003912189346317531,Other
AATBC,"I (D26, severe)",1.4735188350200974,UP,0.001619600145925411,0.04558968348051765,Other
