genes,gse_id
A1BG,GSE189039
A1BG-AS1,GSE189039
A1CF,GSE189039
A2M,GSE189039
A2M-AS1,GSE189039
A2ML1,GSE189039
A2MP1,GSE189039
A3GALT2,GSE189039
A4GALT,GSE189039
A4GNT,GSE189039
AA06,GSE189039
AAAS,GSE189039
AACS,GSE189039
AACSP1,GSE189039
AADAC,GSE189039
AADACL2,GSE189039
AADACL2-AS1,GSE189039
AADACL3,GSE189039
AADACL4,GSE189039
AADACP1,GSE189039
AADAT,GSE189039
AAED1,GSE189039
AAGAB,GSE189039
AAK1,GSE189039
AAMDC,GSE189039
AAMP,GSE189039
AANAT,GSE189039
AAR2,GSE189039
AARD,GSE189039
AARS,GSE189039
AARS2,GSE189039
AARSD1,GSE189039
AASDH,GSE189039
AASDHPPT,GSE189039
AASS,GSE189039
AATBC,GSE189039
AATF,GSE189039
AATK,GSE189039
AATK-AS1,GSE189039
ABALON,GSE189039
ABAT,GSE189039
ABCA1,GSE189039
ABCA10,GSE189039
ABCA11P,GSE189039
ABCA12,GSE189039
ABCA13,GSE189039
ABCA17P,GSE189039
ABCA2,GSE189039
ABCA3,GSE189039
ABCA4,GSE189039
ABCA5,GSE189039
ABCA6,GSE189039
ABCA7,GSE189039
ABCA8,GSE189039
ABCA9,GSE189039
ABCA9-AS1,GSE189039
ABCB1,GSE189039
ABCB10,GSE189039
ABCB11,GSE189039
ABCB4,GSE189039
ABCB5,GSE189039
ABCB6,GSE189039
ABCB7,GSE189039
ABCB8,GSE189039
ABCB9,GSE189039
ABCC1,GSE189039
ABCC10,GSE189039
ABCC11,GSE189039
ABCC12,GSE189039
ABCC13,GSE189039
ABCC2,GSE189039
ABCC3,GSE189039
ABCC4,GSE189039
ABCC5,GSE189039
ABCC5-AS1,GSE189039
ABCC6,GSE189039
ABCC6P1,GSE189039
ABCC6P2,GSE189039
ABCC8,GSE189039
ABCC9,GSE189039
ABCD1,GSE189039
ABCD2,GSE189039
ABCD3,GSE189039
ABCD4,GSE189039
ABCE1,GSE189039
ABCF1,GSE189039
ABCF2,GSE189039
ABCF3,GSE189039
ABCG1,GSE189039
ABCG2,GSE189039
ABCG4,GSE189039
ABCG5,GSE189039
ABCG8,GSE189039
ABHD1,GSE189039
ABHD10,GSE189039
ABHD11,GSE189039
ABHD11-AS1,GSE189039
ABHD12,GSE189039
ABHD12B,GSE189039
ABHD13,GSE189039
ABHD14A,GSE189039
ABHD14A-ACY1,GSE189039
ABHD14B,GSE189039
ABHD15,GSE189039
ABHD16A,GSE189039
ABHD16B,GSE189039
ABHD17A,GSE189039
ABHD17B,GSE189039
ABHD17C,GSE189039
ABHD2,GSE189039
ABHD3,GSE189039
ABHD4,GSE189039
ABHD5,GSE189039
ABHD6,GSE189039
ABHD8,GSE189039
ABI1,GSE189039
ABI2,GSE189039
ABI3,GSE189039
ABI3BP,GSE189039
ABL1,GSE189039
ABL2,GSE189039
ABLIM1,GSE189039
ABLIM2,GSE189039
ABLIM3,GSE189039
ABO,GSE189039
ABR,GSE189039
ABRA,GSE189039
