"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"1","RVSV ZEBOV (D7)","LVS F TULARENSIS (H18)",0,1,8,1,8,"",0,0,0.111111111111111,0.111111111111111
"2","RVSV ZEBOV (D7)","LVS F TULARENSIS (H192)",0,1,8,1,8,"",0,0,0.111111111111111,0.111111111111111
"3","RVSV ZEBOV (D7)","LVS F TULARENSIS (H336)",0,1,7,1,7,"",0,0,0.125,0.125
"4","RVSV ZEBOV (D7)","LVS F TULARENSIS (H48)",0,1,7,1,7,"",0,0,0.125,0.125
"5","RVSV ZEBOV (D7)","CN54GP140 (D1)",0,1,158,1,158,"",0,0,0.00628930817610064,0.00628930817610064
"6","RVSV ZEBOV (D7)","CN54GP140 (D3)",0,1,70,1,70,"",0,0,0.0140845070422535,0.0140845070422535
"7","RVSV ZEBOV (D7)","CN54GP140 (D7)",0,1,47,1,47,"",0,0,0.0208333333333333,0.0208333333333333
"8","RVSV ZEBOV (D7)","CN54GP140 (H6)",0,1,91,1,91,"",0,0,0.0108695652173913,0.0108695652173913
"9","RVSV ZEBOV (D7)","HPV-VLP (M2)",0,1,462,1,462,"",0,0,0.00215982721382289,0.00215982721382289
"10","RVSV ZEBOV (D7)","INFLUENZA (D1)",0,1,14,1,14,"",0,0,0.0666666666666667,0.0666666666666667
"11","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D3)",0,1,909,1,909,"",0,0,0.00109890109890109,0.00109890109890109
"12","RVSV ZEBOV (D7)","INFLUENZA (D3)",0,1,23,1,23,"",0,0,0.0416666666666666,0.0416666666666666
"13","RVSV ZEBOV (D7)","FLUARIX FLUVIRIN (D7)",0,1,708,1,708,"",0,0,0.001410437235543,0.001410437235543
"14","RVSV ZEBOV (D7)","INFLUENZA (D7)",0,1,37,1,37,"",0,0,0.0263157894736842,0.0263157894736842
"15","RVSV ZEBOV (D7)","PANDEMRIX (D7)",0,1,2,1,2,"",0,0,0.333333333333333,0.333333333333333
"16","RVSV ZEBOV (D7)","INACTIVATED INFLUENZA (D0)",0,1,3,1,3,"",0,0,0.25,0.25
"17","RVSV ZEBOV (D7)","FLUMIST (D3)",0,1,1061,1,1061,"",0,0,0.000941619585687402,0.000941619585687402
"18","RVSV ZEBOV (D7)","FLUMIST (D7)",0,1,2089,1,2089,"",0,0,0.000478468899521519,0.000478468899521519
"19","RVSV ZEBOV (D7)","MENACTRA (D3)",0,1,17,1,17,"",0,0,0.0555555555555556,0.0555555555555556
"20","RVSV ZEBOV (D7)","MENACTRA (D7)",0,1,5,1,5,"",0,0,0.166666666666667,0.166666666666667
"21","RVSV ZEBOV (D7)","WETVAX (D2-4)",0,1,62,1,62,"",0,0,0.0158730158730159,0.0158730158730159
"22","RVSV ZEBOV (D7)","WETVAX (D50-60)",0,1,244,1,244,"",0,0,0.0040816326530612,0.0040816326530612
"23","RVSV ZEBOV (D7)","MVA85A (D2)",0,1,11,1,11,"",0,0,0.0833333333333334,0.0833333333333334
"24","RVSV ZEBOV (D7)","ZOSTAVAX (D1)",0,1,13,1,13,"",0,0,0.0714285714285714,0.0714285714285714
"25","RVSV ZEBOV (D7)","ZOSTAVAX (D3)",0,1,3,1,3,"",0,0,0.25,0.25
"26","RVSV ZEBOV (D7)","YF VAX (ANY)",0,1,26,1,26,"",0,0,0.037037037037037,0.037037037037037
"27","RVSV ZEBOV (D7)","YF17D (D3)",0,1,12,1,12,"",0,0,0.0769230769230769,0.0769230769230769
"28","RVSV ZEBOV (D7)","STAMARIL (D10)",0,1,207,1,207,"",0,0,0.00480769230769232,0.00480769230769232
"29","RVSV ZEBOV (D7)","STAMARIL (D14)",0,1,56,1,56,"",0,0,0.0175438596491228,0.0175438596491228
"30","RVSV ZEBOV (D7)","STAMARIL (D28)",0,1,25,1,25,"",0,0,0.0384615384615385,0.0384615384615385
"31","RVSV ZEBOV (D7)","STAMARIL (D3)",0,1,215,1,215,"",0,0,0.00462962962962962,0.00462962962962962
