"","condition","genes"
"1","RVSV ZEBOV (D7)","USP18"
"2","LVS F TULARENSIS (H18)","CARD10"
"3","LVS F TULARENSIS (H18)","ADAM11"
"4","LVS F TULARENSIS (H18)","CARD14"
"5","LVS F TULARENSIS (H18)","DCP1B"
"6","LVS F TULARENSIS (H18)","DCTN2"
"7","LVS F TULARENSIS (H18)","HSP90B1"
"8","LVS F TULARENSIS (H18)","ICAM2"
"9","LVS F TULARENSIS (H18)","RBMS1"
"10","LVS F TULARENSIS (H192)","HSP90B1"
"11","LVS F TULARENSIS (H192)","SOD2"
"12","LVS F TULARENSIS (H192)","ADAM11"
"13","LVS F TULARENSIS (H192)","CARD10"
"14","LVS F TULARENSIS (H192)","CARD14"
"15","LVS F TULARENSIS (H192)","DCP1B"
"16","LVS F TULARENSIS (H192)","DCTN2"
"17","LVS F TULARENSIS (H192)","ICAM2"
"18","LVS F TULARENSIS (H336)","CARD14"
"19","LVS F TULARENSIS (H336)","HSP90B1"
"20","LVS F TULARENSIS (H336)","SOD2"
"21","LVS F TULARENSIS (H336)","CARD10"
"22","LVS F TULARENSIS (H336)","DCP1B"
"23","LVS F TULARENSIS (H336)","DCTN2"
"24","LVS F TULARENSIS (H336)","ICAM2"
"25","LVS F TULARENSIS (H48)","CARD10"
"26","LVS F TULARENSIS (H48)","CARD14"
"27","LVS F TULARENSIS (H48)","HSP90B1"
"28","LVS F TULARENSIS (H48)","DCP1B"
"29","LVS F TULARENSIS (H48)","DCTN2"
"30","LVS F TULARENSIS (H48)","ICAM2"
"31","LVS F TULARENSIS (H48)","SOD2"
"32","CN54GP140 (D1)","ADRA2C"
"33","CN54GP140 (D1)","AMY1B"
"34","CN54GP140 (D1)","ATAD1"
"35","CN54GP140 (D1)","ATP11C"
"36","CN54GP140 (D1)","BANF2"
"37","CN54GP140 (D1)","BMP8B"
"38","CN54GP140 (D1)","BOLA2"
"39","CN54GP140 (D1)","BRIX1"
"40","CN54GP140 (D1)","C4orf3"
"41","CN54GP140 (D1)","C9orf64"
"42","CN54GP140 (D1)","CAMK1G"
"43","CN54GP140 (D1)","CAMK2A"
"44","CN54GP140 (D1)","CAPZA1"
"45","CN54GP140 (D1)","CASTOR1"
"46","CN54GP140 (D1)","CD48"
"47","CN54GP140 (D1)","CRB3"
"48","CN54GP140 (D1)","CSNK1G1"
"49","CN54GP140 (D1)","EID3"
"50","CN54GP140 (D1)","ENSA"
"51","CN54GP140 (D1)","NALF2"
"52","CN54GP140 (D1)","FAM162A"
"53","CN54GP140 (D1)","FAM89A"
"54","CN54GP140 (D1)","FSTL4"
"55","CN54GP140 (D1)","FUT8-AS1"
"56","CN54GP140 (D1)","GCLM"
"57","CN54GP140 (D1)","GIMAP2"
"58","CN54GP140 (D1)","GOLGA6L7"
"59","CN54GP140 (D1)","GUCA2A"
"60","CN54GP140 (D1)","HBE1"
"61","CN54GP140 (D1)","HCN2"
"62","CN54GP140 (D1)","H3-4"
"63","CN54GP140 (D1)","HS3ST6"
"64","CN54GP140 (D1)","IER3IP1"
"65","CN54GP140 (D1)","IGFBP1"
"66","CN54GP140 (D1)","IL17REL"
"67","CN54GP140 (D1)","ING3"
"68","CN54GP140 (D1)","ITM2B"
"69","CN54GP140 (D1)","KCTD7"
"70","CN54GP140 (D1)","KRT75"
"71","CN54GP140 (D1)","KRTAP10-2"
