"","condition","ImmuneGO","Other"
"1","BBIBP (V3, D14)",3,51
"2","BBIBP (V3, D28)",2,21
"3","BNT (V1, D6)",8,10
"4","BNT (V2, D1)",2165,7477
"5","BNT (V3, D1)",1757,4977
"6","BNT-I (D1)",91,2018
"7","BNT-I (D10, mild)",273,5287
"8","BNT-I (D10, severe)",350,7863
"9","BNT-I (D26, mild)",159,3190
"10","BNT-I (D26, severe)",42,1196
"11","BNT-I (D3)",68,1023
"12","BNT-I (D4)",6,157
"13","BNT-I-BNT (D51, mild)",36,445
"14","BNT-I-BNT (D51, severe)",8,207
"15","BNT-MO (V3, D1)",1944,6020
"16","ChAd (V1, D3)",1620,6380
"17","ChAd (V1, D6)",194,282
"18","ChAd (V1, D7)",630,2665
"19","ChAd (V2, D1)",935,2983
"20","ChAd (V2, D3)",68,421
"21","ChAd (V2, D7)",10,12
"22","ChAd-BNT (V2, D3)",1201,4031
"23","ChAd-BNT (V2, D7)",1101,5132
"24","ChAd-BNT (V3, D1)",838,2160
"25","I (D10, moderate)",268,5748
"26","I (D10, severe)",284,6450
"27","I (D26, moderate)",195,4003
"28","I (D26, severe)",267,5901
"29","I (D51, moderate)",6,99
"30","I (D51, severe)",203,3628
"31","I-BNT-I (D2)",NA,10
"32","I-BNT-I (D5)",NA,2
"33","I-I (D1)",7,32
"34","I-I (D2)",NA,1
"35","I-I (D3)",NA,3
"36","I-I (D5)",NA,14
"37","ZF2001 (V3, D07)",162,4722
"38","ZF2001 (V3, D14)",24,616
"39","ZF2001 (V3, D28)",15,227
