"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"1","BBIBP (V3, D0)",NA,NA,NA,NA,NA,NA,NA,"NEUTRAL",49,"BBIBP",0,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"2","BBIBP (V3, D07)","IL16",4.51175251651179,1.45139430119952,0.561790254677891,2.5835163374838,0.00977988350625582,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"3","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"4","BBIBP (V3, D07)","DGCR5",0.974476098515125,-2.29055907079808,1.04979788359212,-2.18190482815647,0.02911655744369,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"5","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"6","BBIBP (V3, D07)","SEPTIN9",1.24305085163426,2.13451919255635,1.06732154829276,1.99988391124552,0.0455128008397836,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"7","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"8","BBIBP (V3, D07)","CCDC184",3.14693014167655,-1.22792470853495,0.61338475534229,-2.00188331685832,0.0452972823401718,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"9","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"10","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"11","BBIBP (V3, D07)","ZNF813",3.81864643652716,1.10326461844961,0.557161636716502,1.98015180110289,0.0476864739204443,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"12","BBIBP (V3, D07)","PCYT2",2.16529238434669,-2.06480426508124,0.938456103637802,-2.20021400796191,0.0277917149102969,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"13","BBIBP (V3, D07)","CELF2",4.75588639520533,1.49790606385432,0.538307315771343,2.78262252800329,0.00539215004629906,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"14","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"15","BBIBP (V3, D07)","MRPL32P1",6.68751121093886,1.15308542432886,0.444263751511114,2.59549742783824,0.00944541099193736,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"16","BBIBP (V3, D07)","BAG5",1.26788373770716,2.13022188503806,1.03811500529877,2.05200953089488,0.0401687361682837,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"17","BBIBP (V3, D07)","HLA-DMB",0.896701486832817,2.48940231886212,1.16133246382842,2.143574210141,0.0320670190467183,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"18","BBIBP (V3, D07)","FAM71A",4.58626469569356,1.77320231853191,0.673026482957947,2.63466945719387,0.00842192531201303,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"19","BBIBP (V3, D07)","ETFB",1.52233320845686,2.41953122339504,1.00728044753663,2.40204327336261,0.0163037796432218,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"20","BBIBP (V3, D07)","JARID2-AS1",6.5057131758497,1.05406773576642,0.51722538663499,2.03792730017385,0.0415572039146266,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"21","BBIBP (V3, D07)","RPL36AP13",1.41354469180978,2.27743886028234,1.10718447942485,2.0569642210532,0.0396896676201826,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"22","BBIBP (V3, D07)","MAP3K14-AS1",6.66450442806276,1.01091996766427,0.485890016324443,2.08055307518245,0.0374748327943924,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"23","BBIBP (V3, D07)","CLUHP6",15.6453131580561,-1.31596040444577,0.505214293865897,-2.60475687331814,0.00919394743671771,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"24","BBIBP (V3, D07)","NNAT",4.59589387070467,1.4970798610595,0.584849317838135,2.55977020986086,0.0104741394658258,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"25","BBIBP (V3, D07)","SNX29P1",1.49033259187803,-2.49976215305031,1.01160884032039,-2.47107582833954,0.013470725175379,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"26","BBIBP (V3, D07)","PTPRC",7.85942945732736,1.02290414718251,0.450926560624392,2.26844953592024,0.0233018214785604,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"27","BBIBP (V3, D07)","RC3H1-IT1",2.35870142391374,2.10315049508223,0.839606394990464,2.5049243402989,0.0122477589776478,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"28","BBIBP (V3, D07)","RNU6-786P",1.45740856513857,2.60303960166094,1.1561531168453,2.25146614556006,0.0243560287862264,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"29","BBIBP (V3, D07)","ANAPC1P1",2.35146030957339,-3.7713814366969,1.68319366018324,-2.24061052861044,0.0250513141229197,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"30","BBIBP (V3, D07)","ITPRIP-AS1",6.87222617513071,1.55720687221947,0.476139244088961,3.2704862948212,0.00107362744468641,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"31","BBIBP (V3, D07)","AC104316.1",4.2487059095506,1.12140842904525,0.524048540998383,2.13989419168846,0.0323633186225875,1,"UP",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
"32","BBIBP (V3, D07)","ZBTB49",1.91405552642203,-1.66263195463428,0.816944847296208,-2.03518261990022,0.04183250117315,1,"DOWN",50,"BBIBP",7,3,0,"IN","HO","V","H","GSE206023","None","No","Yes"
