"","sample","condition","geo","day","dose"
"1","COVIRS_6_V0","ChAd (V1, D0)","GSM5983813",0,1
"2","COVIRS_8_V0","ChAd (V1, D0)","GSM5983814",0,1
"3","COVIRS_10_V1","ChAd (V1, D6)","GSM5983815",6,1
"4","COVIRS_28_V1","ChAd (V1, D6)","GSM5983816",6,1
"5","COVIRS_11_V0","BNT (V1, D0)","GSM5983817",0,1
"6","COVIRS_21_V0","BNT (V1, D0)","GSM5983818",0,1
"7","COVIRS_40_V1","BNT (V1, D6)","GSM5983819",6,1
"8","COVIRS_43_V1","BNT (V1, D6)","GSM5983820",6,1
"9","COVIRS_7_V0","ChAd (V1, D0)","GSM5983821",0,1
"10","COVIRS_9_V0","ChAd (V1, D0)","GSM5983822",0,1
"11","COVIRS_20_V1","ChAd (V1, D6)","GSM5983823",6,1
"12","COVIRS_36_V1","ChAd (V1, D6)","GSM5983824",6,1
"13","COVIRS_12_V0","BNT (V1, D0)","GSM5983825",0,1
"14","COVIRS_39_V0","BNT (V1, D0)","GSM5983826",0,1
"15","COVIRS_41_V1","BNT (V1, D6)","GSM5983827",6,1
"16","COVIRS_47_V1","BNT (V1, D6)","GSM5983828",6,1
"17","COVIRS_10_V0","ChAd (V1, D0)","GSM5983829",0,1
"18","COVIRS_28_V0","ChAd (V1, D0)","GSM5983830",0,1
"19","COVIRS_56_V1","ChAd (V1, D6)","GSM5983831",6,1
"20","COVIRS_60_V1","ChAd (V1, D6)","GSM5983832",6,1
"21","COVIRS_16_V0","BNT (V1, D0)","GSM5983833",0,1
"22","COVIRS_43_V0","BNT (V1, D0)","GSM5983834",0,1
"23","COVIRS_48_V1","BNT (V1, D6)","GSM5983835",6,1
"24","COVIRS_75_V1","BNT (V1, D6)","GSM5983836",6,1
"25","COVIRS_20_V0","ChAd (V1, D0)","GSM5983837",0,1
"26","COVIRS_36_V0","ChAd (V1, D0)","GSM5983838",0,1
"27","COVIRS_58_V1","ChAd (V1, D6)","GSM5983839",6,1
"28","COVIRS_66_V1","ChAd (V1, D6)","GSM5983840",6,1
"29","COVIRS_41_V0","BNT (V1, D0)","GSM5983841",0,1
"30","COVIRS_47_V0","BNT (V1, D0)","GSM5983842",0,1
"31","COVIRS_53_V1","BNT (V1, D6)","GSM5983843",6,1
"32","COVIRS_83_V1","BNT (V1, D6)","GSM5983844",6,1
"33","COVIRS_56_V0","ChAd (V1, D0)","GSM5983845",0,1
"34","COVIRS_60_V0","ChAd (V1, D0)","GSM5983846",0,1
"35","COVIRS_67_V1","ChAd (V1, D6)","GSM5983847",6,1
"36","COVIRS_16_V1","BNT (V1, D6)","GSM5983848",6,1
"37","COVIRS_48_V0","BNT (V1, D0)","GSM5983849",0,1
"38","COVIRS_75_V0","BNT (V1, D0)","GSM5983850",0,1
"39","COVIRS_96_V1","BNT (V1, D6)","GSM5983851",6,1
"40","COVIRS_3_V1","BNT (V1, D6)","GSM5983852",6,1
"41","COVIRS_58_V0","ChAd (V1, D0)","GSM5983853",0,1
"42","COVIRS_66_V0","ChAd (V1, D0)","GSM5983854",0,1
