"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition","day","vaccine","direction","study"
"1","PAX5",1578.85141595892,-7.98303241300276,0.879134245321586,-9.08056130845247,1.08016347091929e-19,2.13569921470162e-15,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"2","MS4A1",6589.99936025842,-6.0616360302815,0.734628609566306,-8.25129317228747,1.56689631321699e-16,1.54903369524632e-12,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"3","FCRL2",838.964460485564,-6.58798932870984,0.848171442839759,-7.76728500390513,8.01862830486541e-15,5.28481062812663e-11,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"4","CD19",601.546863295784,-6.3896312719081,0.831687086299448,-7.68273474142597,1.55727828294948e-14,7.69762655261928e-11,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"5","FCRLA",517.475976713795,-5.93684259105016,0.836996638372555,-7.09303038850153,1.3120663110985e-12,5.1884350206079e-09,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"6","CD22",2264.59253742742,-5.32684871989824,0.777300338627327,-6.85301222086843,7.23109058400444e-12,2.38288538378226e-08,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"7","FCRL1",3567.99102772357,-5.46757868185919,0.828242956641758,-6.60141886871981,4.07241116953424e-11,1.15028162348616e-07,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"8","CD79A",1810.49336112876,-4.98838015507302,0.775456509395552,-6.43283033236943,1.25249437806069e-10,3.095539855377e-07,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"9","POU2AF1",777.823589610108,-3.67527056784473,0.595900977543609,-6.16758606940826,6.93403717423475e-10,1.52333092232188e-06,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"10","FCRL5",716.44204495775,-5.81182698353254,0.945737811162047,-6.1452835182633,7.98208093669375e-10,1.57821704280309e-06,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"11","LINC00926",2469.86740477732,-4.9918370431642,0.860846116887964,-5.79875653178311,6.68084438028523e-09,1.20085140988181e-05,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"12","FCER2",855.247888488596,-5.02909244063358,0.884455136473664,-5.68609105565789,1.29980110085123e-08,1.97689748969466e-05,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"13","KIAA0125",1132.35140943083,-3.65488126557721,0.642326662660022,-5.6900662514016,1.26990091662412e-08,1.97689748969466e-05,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"14","OSBPL10",210.980136052792,-5.11491945082389,0.902348429836168,-5.66845276358775,1.44092782761612e-08,2.03500178625899e-05,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"15","KLHL14",177.478262626206,-5.81421734999757,1.06278911070676,-5.47071595994347,4.48221159354209e-08,5.90815250850094e-05,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"16","COL19A1",423.139046445559,-9.30517394300299,1.75055593266462,-5.31555363034819,1.06333524654817e-07,0.00011680146941528,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"17","EBF1",115.469395497782,-5.32057987865482,0.999164578583715,-5.32502852152403,1.00937200336992e-07,0.00011680146941528,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"18","MACROD2",171.584218107515,-7.28264913709697,1.36561368036834,-5.33287652415188,9.66690477823253e-08,0.00011680146941528,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"19","SCN3A",132.01203888414,-6.00837701573786,1.13743926302639,-5.28237173715221,1.27522111897106e-07,0.000132703536654188,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"20","BLK",1048.42868391906,-3.92771381224628,0.770156791584423,-5.0998885618679,3.39853512548983e-07,0.000335979182505925,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"21","BANK1",1435.57185414414,-3.05376836020584,0.599898532138117,-5.09047479966623,3.57168039766527e-07,0.000336282213441132,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"22","SYNPO",133.205665851532,-4.93370438666005,0.974032754543292,-5.06523457619593,4.07897751486349e-07,0.000366588833744914,"I-I (D1)",1,"I-I","DOWN","GSE201530"
"23","TNFRSF13B",99.1894040904613,-5.13597914834601,1.07185607229481,-4.79166865878742,1.6539989580911e-06,0.00142186379997292,"I-I (D1)",1,"I-I","DOWN","GSE201530"
