genes,infection_vaccination,n_conditions,comparison
CLSPN,Infection,20,Infection only
CLSPN,Infection,20,Infection and vaccination
CDC45,Infection,18,Infection only
RRM2,Infection,18,Infection only
CDC45,Infection,18,Infection and vaccination
RRM2,Infection,18,Infection and vaccination
ANLN,Infection,17,Infection only
CDC25A,Infection,17,Infection only
E2F8,Infection,17,Infection only
IQGAP3,Infection,17,Infection only
MKI67,Infection,17,Infection only
MKI67,Infection,17,Infection and vaccination
CDC25A,Infection,17,Infection and vaccination
E2F8,Infection,17,Infection and vaccination
IQGAP3,Infection,17,Infection and vaccination
ANLN,Infection,17,Infection and vaccination
BIRC5,Infection,16,Infection only
CKAP2L,Infection,16,Infection only
ESPL1,Infection,16,Infection only
HJURP,Infection,16,Infection only
HMMR,Infection,16,Infection only
KIF14,Infection,16,Infection only
MIR6820,Infection,16,Infection only
TOP2A,Infection,16,Infection only
BIRC5,Infection,16,Infection and vaccination
HJURP,Infection,16,Infection and vaccination
TOP2A,Infection,16,Infection and vaccination
CKAP2L,Infection,16,Infection and vaccination
ESPL1,Infection,16,Infection and vaccination
HMMR,Infection,16,Infection and vaccination
KIF14,Infection,16,Infection and vaccination
ASPM,Infection,15,Infection only
CEP55,Infection,15,Infection only
CHIT1,Infection,15,Infection only
EPSTI1,Infection,15,Infection only
PPP1R2P3,Infection,15,Infection only
TICRR,Infection,15,Infection only
ASPM,Infection,15,Infection and vaccination
CEP55,Infection,15,Infection and vaccination
TICRR,Infection,15,Infection and vaccination
EPSTI1,Infection,15,Infection and vaccination
CHIT1,Infection,15,Infection and vaccination
CA12,Infection,14,Infection only
CDCA2,Infection,14,Infection only
CDCA5,Infection,14,Infection only
CENPA,Infection,14,Infection only
COL17A1,Infection,14,Infection only
CR1L,Infection,14,Infection only
DUSP13,Infection,14,Infection only
KIF18B,Infection,14,Infection only
KIF4A,Infection,14,Infection only
KLF4,Infection,14,Infection only
MMP8,Infection,14,Infection only
NEK2,Infection,14,Infection only
NRIR,Infection,14,Infection only
RPS17,Infection,14,Infection only
SIRPG-AS1,Infection,14,Infection only
SVILP1,Infection,14,Infection only
TMPRSS2,Infection,14,Infection only
CR1L,Infection,14,Infection and vaccination
KIF4A,Infection,14,Infection and vaccination
CDCA2,Infection,14,Infection and vaccination
CDCA5,Infection,14,Infection and vaccination
KIF18B,Infection,14,Infection and vaccination
CENPA,Infection,14,Infection and vaccination
COL17A1,Infection,14,Infection and vaccination
SIRPG-AS1,Infection,14,Infection and vaccination
CA12,Infection,14,Infection and vaccination
MMP8,Infection,14,Infection and vaccination
NEK2,Infection,14,Infection and vaccination
NRIR,Infection,14,Infection and vaccination
DUSP13,Infection,14,Infection and vaccination
KLF4,Infection,14,Infection and vaccination
ABCA13,Infection,13,Infection only
ADAMTS2,Infection,13,Infection only
AKAP6,Infection,13,Infection only
ARL4A,Infection,13,Infection only
CCNA2,Infection,13,Infection only
CDC20,Infection,13,Infection only
CEACAM6,Infection,13,Infection only
CFAP58-AS1,Infection,13,Infection only
DAGLA,Infection,13,Infection only
DLGAP5,Infection,13,Infection only
ERG,Infection,13,Infection only
FBXO39,Infection,13,Infection only
GTSE1,Infection,13,Infection only
HTR3A,Infection,13,Infection only
IFI44,Infection,13,Infection only
IFI44L,Infection,13,Infection only
LOC100147773,Infection,13,Infection only
LRRN3,Infection,13,Infection only
LTF,Infection,13,Infection only
MIR4639,Infection,13,Infection only
MIR5700,Infection,13,Infection only
OTUD1,Infection,13,Infection only
RNF175,Infection,13,Infection only
RSPH9,Infection,13,Infection only
SERPINA11,Infection,13,Infection only
SFRP2,Infection,13,Infection only
SKA3,Infection,13,Infection only
SMTNL1,Infection,13,Infection only
SNORA44,Infection,13,Infection only
TCN1,Infection,13,Infection only
CCNA2,Infection,13,Infection and vaccination
DLGAP5,Infection,13,Infection and vaccination
SKA3,Infection,13,Infection and vaccination
CDC20,Infection,13,Infection and vaccination
GTSE1,Infection,13,Infection and vaccination
SFRP2,Infection,13,Infection and vaccination
ADAMTS2,Infection,13,Infection and vaccination
ARL4A,Infection,13,Infection and vaccination
CEACAM6,Infection,13,Infection and vaccination
IFI44,Infection,13,Infection and vaccination
IFI44L,Infection,13,Infection and vaccination
LTF,Infection,13,Infection and vaccination
SMTNL1,Infection,13,Infection and vaccination
ABCA13,Infection,13,Infection and vaccination
CFAP58-AS1,Infection,13,Infection and vaccination
ERG,Infection,13,Infection and vaccination
FBXO39,Infection,13,Infection and vaccination
MIR4639,Infection,13,Infection and vaccination
ABCA1,Infection,12,Infection only
AMIGO1,Infection,12,Infection only
ARNTL2,Infection,12,Infection only
BUB1B,Infection,12,Infection only
CARD17,Infection,12,Infection only
CDK1,Infection,12,Infection only
CHEK1,Infection,12,Infection only
CMPK2,Infection,12,Infection only
DNASE1L3,Infection,12,Infection only
DTL,Infection,12,Infection only
E2F1,Infection,12,Infection only
E2F2,Infection,12,Infection only
E2F7,Infection,12,Infection only
EXO1,Infection,12,Infection only
FIGNL2,Infection,12,Infection only
GDF11,Infection,12,Infection only
HERC6,Infection,12,Infection only
HIST1H3D,Infection,12,Infection only
ISG15,Infection,12,Infection only
JUP,Infection,12,Infection only
KIAA0101,Infection,12,Infection only
KIF23,Infection,12,Infection only
KLF10,Infection,12,Infection only
KRT72,Infection,12,Infection only
LARGE,Infection,12,Infection only
LOC101927412,Infection,12,Infection only
LOC101928650,Infection,12,Infection only
LOC400927-CSNK1E,Infection,12,Infection only
LY6E,Infection,12,Infection only
LY6G6C,Infection,12,Infection only
MARCKS,Infection,12,Infection only
MIR4263,Infection,12,Infection only
MIR5586,Infection,12,Infection only
MIR579,Infection,12,Infection only
MPO,Infection,12,Infection only
MT2A,Infection,12,Infection only
NEBL,Infection,12,Infection only
NELL2,Infection,12,Infection only
OAS1,Infection,12,Infection only
OAS3,Infection,12,Infection only
P2RY10,Infection,12,Infection only
PFKFB2,Infection,12,Infection only
PLSCR1,Infection,12,Infection only
RASSF6,Infection,12,Infection only
RD3L,Infection,12,Infection only
RMI2,Infection,12,Infection only
RSAD2,Infection,12,Infection only
SIGLEC1,Infection,12,Infection only
SKA1,Infection,12,Infection only
SLC9A4,Infection,12,Infection only
SNORA61,Infection,12,Infection only
SNORD12,Infection,12,Infection only
SNORD1B,Infection,12,Infection only
TPX2,Infection,12,Infection only
TTC3P1,Infection,12,Infection only
UBE2J1,Infection,12,Infection only
USP18,Infection,12,Infection only
VSIG10L,Infection,12,Infection only
XAF1,Infection,12,Infection only
ZCCHC2,Infection,12,Infection only
ZFP37,Infection,12,Infection only
ZNF287,Infection,12,Infection only
ZNF416,Infection,12,Infection only
ZNF438,Infection,12,Infection only
SKA1,Infection,12,Infection and vaccination
NEBL,Infection,12,Infection and vaccination
CDK1,Infection,12,Infection and vaccination
DTL,Infection,12,Infection and vaccination
E2F7,Infection,12,Infection and vaccination
KIAA0101,Infection,12,Infection and vaccination
KIF23,Infection,12,Infection and vaccination
SLC9A4,Infection,12,Infection and vaccination
EXO1,Infection,12,Infection and vaccination
ISG15,Infection,12,Infection and vaccination
TPX2,Infection,12,Infection and vaccination
BUB1B,Infection,12,Infection and vaccination
FIGNL2,Infection,12,Infection and vaccination
KLF10,Infection,12,Infection and vaccination
