"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","BBIBP (V3, D07)","BBIBP (V3, D14)",0,27,30,27,30,"",0,0,7.12687714026098e-17,16.1471007279109
"2","BBIBP (V3, D07)","BBIBP (V3, D28)",5,22,25,27,30,"ANAPC1P1, TRAJ42, IL1A, TRBV11-3, TRAV35",18.52,16.67,3.06911606915245e-10,9.51298668692196
"3","BBIBP (V3, D07)","BNT (V1, D6)",0,27,1,27,1,"",0,0,0.0357142857142857,1.44715803134222
"4","BBIBP (V3, D07)","BNT (V2, D1)",0,27,229,27,229,"",0,0,4.28195959707391e-37,36.3683574348582
"5","BBIBP (V3, D07)","BNT (V3, D1)",0,27,129,27,129,"",0,0,7.25020356454933e-31,30.1396497995367
"6","BBIBP (V3, D07)","BNT-MO (V3, D1)",1,26,376,27,377,"TRBV11-3",3.7,0.27,4.53857063218742e-40,39.3430809013929
"7","BBIBP (V3, D07)","ChAd (V1, D3)",5,22,415,27,420,"ANAPC1P1, CCDC184, HCAR3, HCAR2, FCGR3B",18.52,1.19,9.75566460604728e-33,32.0107431388879
"8","BBIBP (V3, D07)","ChAd (V1, D6)",0,27,15,27,15,"",0,0,1.01345433994152e-11,10.9941958131852
"9","BBIBP (V3, D07)","ChAd (V1, D7)",1,26,78,27,79,"CCDC184",3.7,1.27,9.00814696913625e-24,23.0453645368617
"10","BBIBP (V3, D07)","ChAd (V2, D1)",0,27,325,27,325,"",0,0,5.30502538719932e-41,40.2753125334414
"11","BBIBP (V3, D07)","ChAd (V2, D7)",0,27,5,27,5,"",0,0,4.96583505482281e-06,5.30400771006739
"12","BBIBP (V3, D07)","ChAd-BNT (V2, D3)",2,25,353,27,355,"TRAPPC3L, PVALB",7.41,0.56,3.90699223705754e-37,36.4081574516896
"13","BBIBP (V3, D07)","ChAd-BNT (V2, D7)",7,20,538,27,545,"TRAPPC3L, IL1A, MALRD1, HCAR3, HCAR2, PVALB, FCGR3B",25.93,1.28,2.76273349628842e-31,30.5586610067496
"14","BBIBP (V3, D07)","ChAd-BNT (V3, D1)",0,27,225,27,225,"",0,0,6.70613548049867e-37,36.1735276769975
"15","BBIBP (V3, D07)","ZF2001 (V3, D07)",1,26,226,27,230,"HCAR2",3.7,0.43,1.35983463407327e-34,33.8665139018328
"16","BBIBP (V3, D07)","ZF2001 (V3, D14)",1,26,77,27,78,"FCGR3B",3.7,1.28,1.19728535665736e-23,22.9218023290822
"17","BBIBP (V3, D07)","ZF2001 (V3, D28)",0,27,95,27,95,"",0,0,1.13905097431939e-27,26.9434568401261
"18","BBIBP (V3, D14)","BBIBP (V3, D28)",0,30,30,30,30,"",0,0,1.69112338921447e-17,16.7718247038748
"19","BBIBP (V3, D14)","BNT (V1, D6)",0,30,1,30,1,"",0,0,0.032258064516129,1.49136169383427
"20","BBIBP (V3, D14)","BNT (V2, D1)",0,30,229,30,229,"",0,0,6.07389466112368e-40,39.2165327442731
"21","BBIBP (V3, D14)","BNT (V3, D1)",0,30,129,30,129,"",0,0,4.47789206081783e-33,32.3489263792599
"22","BBIBP (V3, D14)","BNT-MO (V3, D1)",0,30,377,30,377,"",0,0,4.08921129246917e-46,45.3883604485597
"23","BBIBP (V3, D14)","ChAd (V1, D3)",0,30,420,30,420,"",0,0,1.80546649407141e-47,46.7434105668189
"24","BBIBP (V3, D14)","ChAd (V1, D6)",0,30,15,30,15,"",0,0,2.89966498954371e-12,11.5376521750655
"25","BBIBP (V3, D14)","ChAd (V1, D7)",0,30,79,30,79,"",0,0,1.64351189145939e-27,26.7842271492784
"26","BBIBP (V3, D14)","ChAd (V2, D1)",0,30,325,30,325,"",0,0,2.91312037016272e-44,43.5356415699493
"27","BBIBP (V3, D14)","ChAd (V2, D7)",0,30,5,30,5,"",0,0,3.08041105005051e-06,5.51139132737697
"28","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",0,30,355,30,355,"",0,0,2.30978077096511e-45,44.6364292384967
"29","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",0,30,545,30,545,"",0,0,9.28849538604687e-51,50.0320546302969
"30","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",1,29,224,30,225,"CD247",3.33,0.44,2.54211602976791e-37,36.5948046308324
"31","BBIBP (V3, D14)","ZF2001 (V3, D07)",0,30,227,30,230,"",0,0,7.77349630440507e-40,39.109383603569
"32","BBIBP (V3, D14)","ZF2001 (V3, D14)",0,30,78,30,78,"",0,0,2.2676303312541e-27,26.6444277426282
"33","BBIBP (V3, D14)","ZF2001 (V3, D28)",0,30,95,30,95,"",0,0,1.45540423469289e-29,28.837016365775
"34","BBIBP (V3, D28)","BNT (V1, D6)",0,30,1,30,1,"",0,0,0.032258064516129,1.49136169383427
"35","BBIBP (V3, D28)","BNT (V2, D1)",0,30,229,30,229,"",0,0,6.07389466112368e-40,39.2165327442731
"36","BBIBP (V3, D28)","BNT (V3, D1)",0,30,129,30,129,"",0,0,4.47789206081783e-33,32.3489263792599
"37","BBIBP (V3, D28)","BNT-MO (V3, D1)",2,28,375,30,377,"TRAV18, TRBV11-3",6.67,0.53,3.37854726195095e-41,40.4712700014213
"38","BBIBP (V3, D28)","ChAd (V1, D3)",5,25,415,30,420,"ANAPC1P1, CCL3L1, CXCL8, G0S2, CXCL1",16.67,1.19,2.7151100528964e-36,35.5662125622457
"39","BBIBP (V3, D28)","ChAd (V1, D6)",0,30,15,30,15,"",0,0,2.89966498954371e-12,11.5376521750655
"40","BBIBP (V3, D28)","ChAd (V1, D7)",1,29,78,30,79,"CCL3",3.33,1.27,1.79142796169076e-25,24.7468006513378
"41","BBIBP (V3, D28)","ChAd (V2, D1)",3,27,322,30,325,"TRAV18, PTGES, IGLV5-45",10,0.92,2.15384030720294e-37,36.6667864998642
"42","BBIBP (V3, D28)","ChAd (V2, D7)",0,30,5,30,5,"",0,0,3.08041105005051e-06,5.51139132737697
"43","BBIBP (V3, D28)","ChAd-BNT (V2, D3)",2,28,353,30,355,"PTGES, CXCL1",6.67,0.56,1.70738994589743e-40,39.7676672802847
"44","BBIBP (V3, D28)","ChAd-BNT (V2, D7)",8,22,537,30,545,"IL1A, FFAR2, CCL3L1, CCL3, C15orf48, CXCL8, G0S2, CXCL1",26.67,1.47,2.62136079676624e-33,32.5814731998619
"45","BBIBP (V3, D28)","ChAd-BNT (V3, D1)",2,28,223,30,225,"PTGES, IGKV2D-28",6.67,0.89,3.22848735780523e-35,34.4910009098764
"46","BBIBP (V3, D28)","ZF2001 (V3, D07)",0,30,227,30,230,"",0,0,7.77349630440507e-40,39.109383603569
"47","BBIBP (V3, D28)","ZF2001 (V3, D14)",0,30,78,30,78,"",0,0,2.2676303312541e-27,26.6444277426282
"48","BBIBP (V3, D28)","ZF2001 (V3, D28)",0,30,95,30,95,"",0,0,1.45540423469289e-29,28.837016365775
"49","BNT (V1, D6)","BNT (V2, D1)",1,0,228,1,229,"RNU1-4",100,0.44,1,0
"50","BNT (V1, D6)","BNT (V3, D1)",0,1,129,1,129,"",0,0,0.0076923076923077,2.11394335230684
"51","BNT (V1, D6)","BNT-MO (V3, D1)",1,0,376,1,377,"RNU1-4",100,0.27,1,0
"52","BNT (V1, D6)","ChAd (V1, D3)",0,1,420,1,420,"",0,0,0.00237529691211401,2.62428209583567
"53","BNT (V1, D6)","ChAd (V1, D6)",0,1,15,1,15,"",0,0,0.0625,1.20411998265592
"54","BNT (V1, D6)","ChAd (V1, D7)",0,1,79,1,79,"",0,0,0.0125,1.90308998699194
"55","BNT (V1, D6)","ChAd (V2, D1)",0,1,325,1,325,"",0,0,0.00306748466257669,2.51321760006794
"56","BNT (V1, D6)","ChAd (V2, D7)",0,1,5,1,5,"",0,0,0.166666666666667,0.778151250383644
"57","BNT (V1, D6)","ChAd-BNT (V2, D3)",0,1,355,1,355,"",0,0,0.00280898876404494,2.55144999797288
"58","BNT (V1, D6)","ChAd-BNT (V2, D7)",0,1,545,1,545,"",0,0,0.0018315018315018,2.73719264270474
"59","BNT (V1, D6)","ChAd-BNT (V3, D1)",0,1,225,1,225,"",0,0,0.00442477876106195,2.3541084391474
"60","BNT (V1, D6)","ZF2001 (V3, D07)",0,1,227,1,230,"",0,0,0.00438596491228072,2.35793484700045
"61","BNT (V1, D6)","ZF2001 (V3, D14)",0,1,78,1,78,"",0,0,0.0126582278481012,1.89762709129044
"62","BNT (V1, D6)","ZF2001 (V3, D28)",0,1,95,1,95,"",0,0,0.0104166666666667,1.98227123303957
"63","BNT (V2, D1)","BNT (V3, D1)",31,198,98,229,129,"RNA5SP202, RN7SKP230, RNY1, RNA5S9, EEF1A1P35, SNORD3A, RNU2-59P, PHF24, SNORD15B, COLEC12, SNORD67, LINC01331, RPSAP4, SNORD9, CLXN, RNA5SP225, HTR3A, RNU5B-1, RGS9BP, SNORD3B-2, MAMDC2, KLHDC9, LRP1B, IGLV3-12, CLDN10, HES7, RBFOX3, IGLV3-13, LINC03080, NALF2, NCKAP5",13.54,24.03,2.57329055531239e-56,55.5895111739744
"64","BNT (V2, D1)","BNT-MO (V3, D1)",26,203,351,229,377,"RNA5SP202, RN7SKP230, RNA5S9, ITGB4, SCARNA1, SNORD3A, RNA5-8SN5, GALNT14, SNORA23, SNORD15B, INSC, ORM1, SNORD67, SNORA74B, RNU1-4, LINC01331, SNORA74A, CLXN, HTR3A, RNU5B-1, SNORD3B-2, LRRC26, IL36A, RBFOX3, NEBL, NCKAP5",11.35,6.9,3.04199610502328e-128,127.516841346354
"65","BNT (V2, D1)","ChAd (V1, D3)",18,211,402,229,420,"SNORA49, PHF24, COLEC12, HTR3A, SPP1, IL36A, CLDN10, GABRB2, GAS2L2, ADAM33, LINC00377, HBG2, SLC7A10, SP7, OXGR1, HSPB3, SLC2A7, NCKAP5",7.86,4.29,1.64310206184569e-147,146.784335459377
"66","BNT (V2, D1)","ChAd (V1, D6)",0,229,15,229,15,"",0,0,3.13586394961134e-24,23.5036427875739
"67","BNT (V2, D1)","ChAd (V1, D7)",2,227,77,229,79,"HBG2, FBLN1",0.87,2.53,6.30882666053444e-71,70.2000514049775
