"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","ChAd (V2, D2)","ZF2001 (V3, D14)",0,182,233,193,275,"",0,0,6.93439519971954e-123,1.15659881400268e-123,122.936817257366
"2","ChAd (V2, D2)","ChAd-BNT (V3, D1)",11,171,848,193,1149,"ADAMTSL4-AS1, AGRN, BACH1-IT2, HELZ2, HORMAD1, LINC01359, MIR181A1HG, MIR5194, RPS16P5, SCO2, TYMP",5.7,0.96,3.32884308630008e-183,1.50115858271519e-183,182.823573426371
"3","ChAd (V2, D2)","ChAd (V2, D1)",9,173,468,193,641,"AGRN, BACH1-IT2, CELF2-AS1, GSN-AS1, HELZ2, HORMAD1, LINC01359, SCO2, TYMP",4.66,1.4,3.85754866191526e-148,8.86201656379458e-149,148.052467442574
"4","ChAd (V2, D2)","ChAd (V1, D7)",2,180,206,193,260,"MAMDC2-AS1, SHCBP1",1.04,0.77,1.76953354810565e-111,2.59583881526704e-112,111.585722277901
"5","ChAd (V2, D2)","ChAd-BNT (V2, D7)",30,152,255,193,301,"ANP32A-IT1, DISP2, LINC00260, LOC100506321, LOC100652999, LOC101927911, LOC101928323, LOC101929516, LOC102031319, MAMDC2-AS1, MIR3192, MIR3679, MIR3939, MIR4312, MIR4454, MIR4712, MIR644A, MTRNR2L3, PCCA-AS1, PCP4L1, PDE6A, PDLIM4, PHGR1, SHCBP1, SNORA2B, SNORA55, SNORD121A, SNORD12B, SPATA13-AS1, TAS1R1",15.54,9.97,1.14142029207495e-87,1.54418771643399e-88,87.8112999065546
"6","ChAd (V2, D2)","ChAd-BNT (V2, D3)",86,96,546,193,823,"ADAMTSL4-AS1, ADAT3, AGRN, ANKRD61, ANP32A-IT1, ARGFXP2, BACH1-IT2, C19orf60, C20orf24, C6orf226, C9orf84, CCDC85B, CELF2-AS1, CFD, CRYBA1, CSNK1G2-AS1, DPYD-AS2, EDRF1-AS1, FBXL15, GSN-AS1, HELZ2, HORMAD1, IER5L, JOSD2, LAMB1, LCMT1-AS2, LINC00260, LINGO3, LOC100294362, LOC100422556, LOC100506321, LOC100652999, LOC101927911, LOC101928323, LOC101928891, LOC101929516, LOC102031319, LOC102723809, LOC148696, LPPR3, LYL1, MIR181A1HG, MIR3136, MIR3679, MIR4312, MIR4513, MIR5194, MIR5586, MIR579, MIR6087, MIR628, MIR644A, MMP17, MTRNR2L3, MTVR2, MXD3, MZT2A, NDUFS7, OPA1-AS1, PABPN1, PCCA-AS1, PDLIM4, PHGR1, PLEC, PLXNB2, POLR2M, POU5F1P5, RAB43, RHOF, SCARNA27, SCO2, SLC7A5P2, SLC8A1-AS1, SMTNL1, SNORA16B, SNORA2B, SNORA70G, SPATA13-AS1, TAS1R1, TBC1D22A-AS1, TMEM160, TPGS1, TSPO, TYMP, ZNF593, ZNHIT2",44.56,10.45,3.30780604575035e-69,3.91020769176332e-70,69.4078001743199
"7","ChAd (V2, D2)","ZF2001 (V3, D07)",3,179,259,193,325,"CCDC85B, MXD3, P2RY4",1.55,0.92,1.16356376279062e-122,1.91450048827117e-123,122.717944518555
"8","ChAd (V2, D2)","BBIBP (V3, D14)",1,181,277,193,350,"TSPO",0.52,0.29,9.80890677928518e-131,1.78255450541335e-131,130.748957181791
"9","ChAd (V2, D2)","BBIBP (V3, D28)",7,175,262,193,336,"ADAMTSL4-AS1, LOC100294362, LOC727896, MIR181A1HG, MTRNR2L3, SMTNL1, ZBED2",3.63,2.08,1.50102338039725e-116,2.25631355190927e-117,116.646600548128
"10","ChAd (V2, D2)","BBIBP (V3, D07)",0,182,39,193,63,"",0,0,2.67451260246937e-44,2.60514349231066e-45,44.5841683505977
