"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","BNT (V1, D6) UP","BNT (V2, D1) UP",1,1,358,2,359,"IFI27",50,0.28,0.00555555555555558,2.2552725051033
"2","BNT (V1, D6) UP","ChAd (V1, D6) UP",2,0,165,2,167,"IFI27, IGLV3-10",100,1.2,1,0
"3","BNT (V1, D6) UP","ChAd (V2, D1) UP",1,1,542,2,543,"IFI27",50,0.18,0.00367647058823527,2.4345689040342
"4","BNT (V1, D6) UP","BNT (V3, D1) UP",2,0,447,2,449,"IFI27, IGLV3-10",100,0.45,1,0
"5","BNT (V1, D6) UP","BNT-MO (V3, D1) UP",1,1,764,2,765,"IFI27",50,0.13,0.0026109660574413,2.58319877396862
"6","BNT (V1, D6) UP","ChAd-BNT (V3, D1) UP",0,2,1142,2,1142,"",0,0,1.5295290885842e-06,5.81544225918831
"7","BNT (V1, D6) UP","BBIBP (V3, D07) UP",0,2,95,2,95,"",0,0,0.000214776632302406,3.66801297164183
"8","BNT (V1, D6) UP","BBIBP (V3, D14) UP",0,2,487,2,492,"",0,0,8.38110563545536e-06,5.07669868546235
"9","BNT (V1, D6) UP","BBIBP (V3, D28) UP",0,2,476,2,492,"",0,0,8.77169899037744e-06,5.05691627998825
"10","BNT (V1, D6) UP","ZF2001 (V3, D07) UP",0,2,472,2,476,"",0,0,8.9205270247366e-06,5.04960948674792
"11","BNT (V1, D6) UP","ZF2001 (V3, D14) UP",0,2,391,2,395,"",0,0,1.29822921535026e-05,4.8866486217319
"12","BNT (V1, D6) UP","ZF2001 (V3, D28) UP",0,2,132,2,133,"",0,0,0.000112220850634048,3.94992644366791
"13","BNT (V1, D6) UP","ChAd (V1, D3) UP",1,1,349,2,350,"IFI27",50,0.29,0.0056980056980057,2.24427712080184
"14","BNT (V1, D6) UP","ChAd (V1, D7) UP",1,1,224,2,225,"IFI27",50,0.44,0.00884955752212387,2.05307844348342
"15","BNT (V1, D6) UP","ChAd (V2, D2) UP",0,2,315,2,315,"",0,0,1.99656590664058e-05,4.69971634917217
"16","BNT (V1, D6) UP","ChAd (V2, D7) UP",0,2,6,2,6,"",0,0,0.0357142857142857,1.44715803134222
"17","BNT (V1, D6) UP","ChAd-BNT (V2, D3) UP",1,1,710,2,711,"IFI27",50,0.14,0.00280898876404494,2.55144999797288
"18","BNT (V1, D6) UP","ChAd-BNT (V2, D7) UP",0,2,324,2,324,"",0,0,1.88768286927797e-05,4.72407096538283
"19","BNT (V2, D1) UP","ChAd (V1, D6) UP",4,355,163,359,167,"EPSTI1, TYMS, CDC45, IFI27",1.11,2.4,1.4473525152319e-132,131.839425679818
"20","BNT (V2, D1) UP","ChAd (V2, D1) UP",236,123,307,359,543,"ANKRD22, GBP1P1, SERPING1, GBP1, BATF2, GBP4, CXCL10, GBP5, FBXO6, LAMP3, LAP3, SIMALR, IDO1, CD274, P2RY14, ALMS1P1, PSME2, WARS1, UBE2L6, SAMD4A, STAT1, EPSTI1, APOL6, GBP6, FCGR1A, RTP4, TRIM22, PDCD1LG2, MYOF, ATF3, ETV7, STAT2, GCH1, SEPTIN4, AIM2, WDFY1, VAMP5, SAMD9L, IFIH1, SPATS2L, IFI35, C2, PML, XAF1, RMI2, DDX60, PARP12, SOCS1, APOL1, CARD17P, CMPK2, PARP9, OAS1, MOV10, TAP1, FCGR1CP, PARP14, IFI44, IFIT3, PSTPIP2, RNF213, ZBP1, TNFSF10, OAS2, GRIN3A, GRAMD1B, GBP2, OAS3, SCO2, IFI6, DHX58, TRIM5, SCARF1, SLAMF8, ISG15, IRF7, RIGI, RSAD2, NUB1, CEACAM1, LGALS3BP, SP140, BISPR, RHBDF2, BST2, TRAFD1, TDRD7, FCGR1BP, IFIT5, TFEC, TMEM268, LINC02555, IFIT2, GBP3, OTOF, PLSCR1, EIF2AK2, APOL2, ODF3B, ZCCHC2, TYMP, IFI44L, DTX3L, SDC3, TAP2, TNFAIP6, HERC5, IFITM3, CALHM6, SAMD9, SLC6A12, OASL, NMI, TNFSF13B, TRIM21, KPTN, IFI16, LY6E, RUFY4, LACTB, MX1, EPB41L3, CARD16, LHFPL2, TIMM10, RAB39A, TLR7, CXCL9, DHRS9, RAB1AP1, DDX60L, TCN2, IRF9, MLKL, USP18, IFIT1, EXOC3L1, C1QC, LRRK2-DT, XXYLT1-AS2, PSME2P1, C1QB, ISG20, IL31RA, GPR84, FBXO39, HELZ2, HERC6, ETV7-AS1, IL27, CLEC6A, LINC02471, LINC02068, FRMD3, SIGLEC1, DOCK4, AGRN, MT2A, PRRG4, TRIM6, FAM225A, CXCL11, HES4, CCDC194, MIR130AHG, SAT1, RSPH9, NRIR, LINC02773, RN7SKP26, NRN1, RNU7-40P, CCL2, MSR1, CASP5, C15orf48, CACNA1E, PSME2P2, PRAL, MTND5P14, FDPSP3, GARIN4, CACNA1A, MTND6P5, MTND4P14, CFAP58-DT, ENSG00000272567, IDO2, MTND1P11, MARCO, RN7SL124P, FAM72A, GK-IT1, CCL8, MIR4736, HESX1, LMNB1-DT, CDHR5, RNF213-AS1, FAP, OR51R1P, RPL7AP42, NASPP1, RPS29P14, SLC1A3, KCNMA1, BNIP5, CIBAR1, RNU1-100P, CBX3P10, LAP3P2, BCL2L14, LIF, LINC02574, MIR4308, RNU6-1294P, VWA3B, DNM1P33, IFI27, RNU7-41P, TMEM123-DT, CFB, LYPD5, RPS3AP43, LINC00487, LINC02701, PLSCR2, KCTD14, SLIT2, STAT4-AS1, MMADHCP2, F3, SLC30A4-AS1, RNA5SP237, DNAAF1, SFRP1",65.74,43.46,9.19587224563718e-39,38.0364070708304
