"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BNT (V1, D6)","BNT (V2, D1)",2,1,537,9,694,"IFI27, RNU1-4",22.22,0.29,0.00555555555555563,0.00115678251771032,2.93674828343069
"2","BNT (V1, D6)","BNT (V3, D1)",2,1,515,9,708,"IFI27, RNU1-4",22.22,0.28,0.00579150579150575,0.00119906050284774,2.92115890248082
"3","BNT (V1, D6)","BNT-I-BNT (D51, mild)",0,3,363,9,363,"",0,0,1.23388850089951e-07,3.16628382882368e-08,7.49945015714045
"4","BNT (V1, D6)","BNT-I-BNT (D51, severe)",0,3,113,9,113,"",0,0,3.94539572319104e-06,9.64865041195614e-07,6.01553342858673
"5","BNT (V1, D6)","BNT-MO (V3, D1)",1,2,942,9,1254,"RNU1-4",11.11,0.08,6.72585418348132e-06,1.62305325753494e-06,5.78966722935795
"6","BNT (V1, D6)","ChAd (V1, D3)",1,2,657,9,903,"IFI27",11.11,0.11,1.37950062077528e-05,3.26409995717049e-06,5.4862365502298
"7","BNT (V1, D6)","ChAd (V1, D6)",2,1,163,9,302,"IGLV3-10, IFI27",22.22,0.66,0.0180722891566264,0.00365849892649341,2.4366970680648
"8","BNT (V1, D6)","ChAd (V1, D7)",1,2,267,9,337,"IFI27",11.11,0.3,8.26104915324248e-05,1.92962482698793e-05,4.71452712177331
"9","BNT (V1, D6)","ChAd (V2, D1)",1,2,732,9,916,"IFI27",11.11,0.11,1.11216148584775e-05,2.64873610173403e-06,5.57696130907532
"10","BNT (V1, D6)","ChAd (V2, D3)",0,3,201,9,215,"",0,0,7.17255150609237e-07,1.80246957912529e-07,6.74413205627816
"11","BNT (V1, D6)","ChAd (V2, D7)",0,3,9,9,18,"",0,0,0.00454545454545454,0.000957400139460707,3.0189065135921
"12","BNT (V1, D6)","ChAd-BNT (V2, D3)",1,2,907,9,1156,"IFI27",11.11,0.09,7.25347260000722e-06,1.73886016010487e-06,5.75973534274529
"13","BNT (V1, D6)","ChAd-BNT (V2, D7)",0,3,776,9,972,"",0,0,1.27412834363608e-08,3.41378793286605e-09,8.46676346109084
"14","BNT (V1, D6)","ChAd-BNT (V3, D1)",0,3,1032,9,1388,"",0,0,5.42737763034126e-09,1.48696473784518e-09,8.82769933029502
"15","BNT (V1, D6)","I-BNT-I (D2)",0,3,5,9,10,"",0,0,0.0178571428571428,0.00363514059336338,2.43947878762719
"16","BNT (V1, D6)","I-BNT-I (D5)",0,3,1,9,2,"",0,0,0.25,0.0487147718019713,1.31233932750556
"17","BNT (V1, D6)","I-I (D1)",0,3,39,9,39,"",0,0,8.71080139372822e-05,1.99628828412961e-05,4.6997767420235
"18","BNT (V1, D6)","I-I (D3)",0,3,3,9,3,"",0,0,0.1,0.0196965671934457,1.70560945804411
"19","BNT (V1, D6)","I-I (D5)",0,3,14,9,14,"",0,0,0.00147058823529412,0.000324765145346475,3.48843058656124
"20","BNT (V2, D1)","BNT (V3, D1)",308,231,209,694,708,"CXCL10, CXCL11, LINC02555, MIR130AHG, CXCL9, FAM225B, GBP2, APOL1, HMGA2-AS1, IFITM3, APOL2, APOL4, APOL6, CLEC6A, RGS9BP, ZBP1, LACTB, SORT1, TIMM10, CLXN, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, SECTM1, MX1, H2BP2, RN7SKP26, SPATS2L, COL1A1, COLEC12, HCAR1, PRMT5-DT, IL27, AGRN, NALF2, MARCO, IL31RA, HELZ2, AIM2, HES4, HES7, EDNRB, TMEM268, ALMS1P1, PSTPIP2, STAT1, STAT2, IRF1, STAT4-AS1, TNFAIP6, ANKRD22, NRIR, ISG20, METTL7B, CTSL, LINC01556, DDX60, STX11, LINC02068, IFIT1, IFIT3, OAS2, GPR42, TFEC, LRP1B, SNORD3B-2, SNORD67, SNORD9, CLDN10, GRIN3A, ACOD1, FAS, GSDMC, MT2A, XXYLT1-AS2, GCH1, TYMP, NMRAL2P, LINC00487, LRRK2-DT, PLA1A, SCO2, PML, PSME2P2, UBE2L6, KCNMA1, GK-IT1, SIGLEC1, RNVU1-28, VPS9D1, ETV7-AS1, LY6E, CALHM6, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, FAM20A, CAPNS1P1, CAPNS2, F3, CCL8, PLSCR2, RN7SL124P, CARD17P, SMCO4, CFB, IFI27, IFI35, TDRD7, XAF1, LIF, CCL2, GBP1, RN7SKP230, OAS1, FAM225A, LPCAT2, SNORD15B, CCDC194, SNORD3A, HESX1, GRAMD1B, MSR1, OR52B4, OR7E100P, KPTN, TRIM22, RPS3AP43, FCGR1A, PSME2, FRMD3, TAP2, SIGLEC11, GBP7, EPSTI1, CYBB, RPS29P14, TAP1, KCNJ2, MMADHCP2, RSPH9, ASPHD2, DDX60L, IDO1, RTP4, RBFOX3, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, ENSG00000272567, RCBTB2P1, IFIT2, KLF5, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OOSP3, IMMP1LP2, RHBDF2, OTOF, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, RIGI, DOCK4, P2RY6, LYPD5, RIPK2, LINC01331, TRPV4, BCL2L14, RNA5SP237, MYOF, LGALS3BP, PARP9, CCRL2, C2, RPL7AP31, RPL7AP42, KLHDC7B-DT, GBP3, SFRP1, NASPP1, GBP6, BNIP5, RAB39A, PDCD1LG2, EEF1A1P35, RNU1-28P, EFCAB2, CD274, TMEM51, NCKAP5, KCNJ10, PSME2P1, CACNA1E, RNU7-41P, RNY1, ETV7, NDUFB4P11, EXOC3L4, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, RPL38P4, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, FBXO39, SIMALR, P2RX7, P2RY14, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, TLR7, FCGR1CP, ZDHHC19, FDPSP3, RAB1AP1, SEPTIN4, RNA5SP202, PHF24, PARP14, TRAFD1, DTX3L, LINC02773, NGFR, GBP1P1, GK, TIFA, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, SCARF1, RNU1-4, PLSCR1, CEACAM1, MOV10, CFAP97D1, PLAAT4, GADD45G, RPL21P57, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, LINC03080, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SMTNL1, SLC1A3, RMI2, GLRX3P2, USP18, MIR4736, LAMP3, GBP4, HERC5, MAMDC2, LINC01415, SLC8A2, FAP, RUFY4, RNU7-40P, PRRG4, GARIN4, SIGLEC16",44.38,43.5,2.13795981810549e-41,8.8527690961674e-42,41.0529208631912
"21","BNT (V2, D1)","BNT-I-BNT (D51, mild)",0,539,363,694,363,"",0,0,3.49553410288473e-263,7.49250243051368e-263,262.1253731075
"22","BNT (V2, D1)","BNT-I-BNT (D51, severe)",0,539,113,694,113,"",0,0,6.5979312384325e-130,4.14516728542607e-130,129.382457938052
"23","BNT (V2, D1)","BNT-MO (V3, D1)",306,233,637,694,1254,"ITGB4, CXCL10, CXCL11, LINC02555, MIR130AHG, CXCL9, FAM225B, GBP2, APOL1, HMGA2-AS1, LINC03019, APOBEC3B-AS1, IFITM3, APOL2, APOL4, APOL6, CLEC6A, ZBP1, LACTB, SORT1, TIMM10, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, SECTM1, MX1, H2BP2, RN7SKP26, ZCCHC2, SPATS2L, COL1A1, PRMT5-DT, IL27, AGRN, IL31RA, IL36A, HELZ2, AIM2, HES4, RNU1-100P, TMEM268, RNU6-1294P, BST2, ALMS1P1, PSTPIP2, STAT1, STAT2, IRF1, STAT4-AS1, TNFAIP6, ANKRD22, IRF9, NRIR, ISG20, METTL7B, DDX60, STX11, LINC02068, IFIT1, SNORA23, IFIT3, OAS2, CIBAR1, TFEC, SNORD3B-2, GRIN3A, ACOD1, FAS, GSDMC, DNAAF1, MT2A, XXYLT1-AS2, GCH1, TYMP, LINC00487, TRIM21, LRRK2-DT, PDE4DIPP7, SCO2, PML, PSME2P2, UBE2L6, KCNMA1, GK-IT1, SIGLEC1, VPS9D1, ETV7-AS1, UBE2V1P6, LY6E, CALHM6, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, FAM20A, CAPNS1P1, CAPNS2, F3, CCL8, PLSCR2, CARD16, CFAP58-DT, RN7SL124P, CARD17P, SMCO4, IFI35, TDRD7, XAF1, LIF, CCL2, GBP1, RN7SKP230, OAS1, FAM225A, SAMD9, LPCAT2, SNORD15B, RNA5-8SN5, CCDC194, SNORD3A, KCTD14, HESX1, GRAMD1B, MSR1, KPTN, TRIM22, FCGR1A, PSME2, FRMD3, TAP2, SIGLEC11, GBP7, EPSTI1, CYBB, RPS29P14, TAP1, KCNJ2, MMADHCP2, RSPH9, ASPHD2, DDX60L, IDO1, RTP4, RBFOX3, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, ENSG00000272567, RCBTB2P1, IFIT2, KLF5, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OOSP3, IMMP1LP2, ORM1, RHBDF2, OTOF, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, RIGI, DOCK4, P2RY6, MUC1, LYPD5, RIPK2, LINC01331, TRPV4, BCL2L14, RNA5SP237, MYOF, LGALS3BP, PARP9, CCRL2, C2, RPL7AP42, KLHDC7B-DT, GBP3, SFRP1, NASPP1, GBP6, RNF213-AS1, BNIP5, RAB39A, PDCD1LG2, EFCAB2, CD274, TMEM51, INSYN2B, NCKAP5, CACNA1A, KCNJ10, PSME2P1, CACNA1E, RNU7-41P, ETV7, NDUFB4P11, ISG15, NRN1, SLAMF8, FCGR1BP, GALNT14, C15orf48, CASP5, PARP12, LINC02471, LINC02574, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, SNORA74A, SNORA74B, FBXO39, SIMALR, P2RX7, P2RY14, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, FCGR1CP, ZDHHC19, FDPSP3, RAB1AP1, SEPTIN4, RNA5SP202, PARP14, TRAFD1, DTX3L, LINC02773, NGFR, GBP1P1, GK, TIFA, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, NMI, SCARF1, RNU1-4, PLSCR1, CEACAM1, MOV10, PLAAT4, GADD45G, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SMTNL1, SLC1A3, RMI2, NEBL, GLRX3P2, USP18, OR51R1P, MIR4736, LAMP3, GBP4, HERC5, SCARNA1, LINC01415, SLC8A2, FAP, RUFY4, LINC03062, RNU7-40P, PRRG4, GARIN4, SIGLEC16, ITPR2-AS1",44.09,24.4,8.63070254931322e-95,4.49273062107147e-95,94.3474896204209
"24","BNT (V2, D1)","ChAd (V1, D3)",130,409,528,694,903,"CXCL10, CXCL11, CXCL9, FAM225B, IFITM3, APOL4, CLEC6A, BATF2, CMPK2, ADAM33, SECTM1, MX1, SPATS2L, COLEC12, HBG2, HCAR1, SPP1, IL27, AGRN, MARCO, IL31RA, IL36A, AIM2, HERC6, HES4, EDNRB, PSTPIP2, STAT1, ANKRD22, NRIR, METTL7B, CTSL, DDX60, IFIT1, IFIT3, OAS2, SNORA49, CLDN10, MT2A, TYMP, LINC00487, CD276, UBE2L6, CCL25, KCNMA1, SIGLEC1, OXGR1, LY6E, LAP3, EXOC3L1, FBXO6, RSAD2, FAM20A, SMCO4, CFB, IFI27, IFI35, XAF1, CCL2, GBP1, OAS1, FAM225A, HESX1, MSR1, FCGR1A, PSME2, FRMD3, SLC7A10, SIGLEC11, GBP7, EPSTI1, JPH4, IDO1, RTP4, IDO2, TCN2, IFI44, IFI44L, SERPING1, IFI6, SAMD4A, ODF3B, OTOF, SDC3, P2RY6, LYPD5, TRPV4, BCL2L14, MYOF, LGALS3BP, PARP9, C2, RAB39A, PDCD1LG2, NCKAP5, KCNJ10, ETV7, EXOC3L4, ISG15, SLAMF8, CASP5, C1QA, C1QB, C1QC, DHRS9, OASL, EPB41L3, CDC45, FBXO39, HTR3A, GBP5, TNFSF10, GABRB2, OAS3, TLR7, PHF24, GAS2L2, NGFR, GBP1P1, GPR84, VAMP5, SLIT2, PLSCR1, SLC6A12, IRF7, USP18, GLDN, LAMP3, GBP4, RUFY4",18.73,14.4,1.36439031846067e-179,1.27478308547301e-179,178.894563707619
"25","BNT (V2, D1)","ChAd (V1, D6)",5,534,160,694,302,"IFI27, TYMS, EPSTI1, CDC45, SNORD3C",0.72,1.66,1.32622783882559e-153,1.00679064836054e-153,152.997060827077
"26","BNT (V2, D1)","ChAd (V1, D7)",12,527,256,694,337,"CXCL10, APOL4, FBXO16, HBG2, SPP1, ANKRD22, CCL25, IFI27, TYMS, GALNT14, CDC45, GBP1P1",1.73,3.56,8.15935857625484e-196,1.02522760599086e-195,194.989179708215
"27","BNT (V2, D1)","ChAd (V2, D1)",303,236,430,694,916,"ITGB4, CXCL10, CXCL11, LINC02555, MIR130AHG, GBP2, APOL1, MIR3609, IFITM3, MIR3648-1, APOL2, APOL6, CLEC6A, ZBP1, LACTB, TIMM10, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, MX1, RN7SKP26, ZCCHC2, SPATS2L, HBG2, RNA5SP99, IL27, AGRN, MARCO, IL31RA, HELZ2, AIM2, HERC6, HES4, EEF1A1P19, RNU1-100P, TMEM268, RNU6-1294P, BST2, ALMS1P1, PSTPIP2, STAT1, STAT2, TNFAIP6, ANKRD22, IRF9, NRIR, ISG20, DDX60, LINC02068, IFIT1, SNORA23, IFIT3, SNORA38B, OAS2, SNORA49, SNORA54, CIBAR1, TFEC, SNORD67, SNORD89, SNORD9, GRIN3A, MT2A, XXYLT1-AS2, GCH1, TYMP, LINC00487, TRIM21, LRRK2-DT, SCO2, PML, PSME2P2, UBE2L6, KCNMA1, SDC2, GK-IT1, SIGLEC1, RNVU1-28, ETV7-AS1, MTND1P11, LY6E, CALHM6, MTND6P5, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, CCL8, PLSCR2, CARD16, CFAP58-DT, RN7SL124P, CARD17P, CFB, IFI27, RNA5SP444, IFI35, TDRD7, TMEM123-DT, CBX3P10, RNU4ATAC, XAF1, LIF, CCL2, GBP1, RN7SKP230, OAS1, FAM225A, SAMD9, SNORA63D, SNORA73B, SNORD15B, RNA5-8SN5, FAM72A, CCDC194, SNORD3A, KCTD14, HESX1, GRAMD1B, MSR1, RNU5A-1, KPTN, RNU6-1, TRIM22, RPS3AP43, FCGR1A, RNU6-6P, PSME2, FRMD3, TAP2, EPSTI1, RPS15AP17, RPS29P14, TAP1, MLKL, MMADHCP2, RSPH9, DDX60L, IDO1, RTP4, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, TMEM132E, SNORA11, IFIT2, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, RNU2-6P, RNU4-2, RNU6-33P, RNU6-3P, RHBDF2, OTOF, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, RIGI, DOCK4, LYPD5, RPL13AP7, BCL2L14, RNA5-8SN2, RNA5SP141, RNA5SP145, RNA5SP149, RNA5SP199, RNA5SP215, RNA5SP225, RNA5SP237, MYOF, RNA5SP298, LGALS3BP, PARP9, C2, RPL7AP31, RPL7AP42, GBP3, SFRP1, NASPP1, GBP6, RNF213-AS1, BNIP5, RAB39A, PDCD1LG2, EEF1A1P12, EEF1A1P16, EEF1A1P35, RNU2-64P, CD274, RPS3AP49, CACNA1A, PSME2P1, CACNA1E, RNU7-41P, RNY1, ETV7, FTH1P12, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, ENSG00000269028, C1QB, C1QC, DHRS9, OASL, EPB41L3, SNORA74A, SNORA74B, SNORA79B, FBXO39, SIMALR, P2RY14, GBP5, TNFSF10, TNFSF13B, RN7SKP71, OAS3, TLR7, SNORA5A, FCGR1CP, FDPSP3, RAB1AP1, SNORD13, SEPTIN4, RNA5SP202, RNA5SP242, PARP14, TRAFD1, DTX3L, LINC02773, SNORA22C, GBP1P1, RPS27P9, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, NMI, SCARF1, RNU4-1, PLSCR1, CEACAM1, MOV10, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, CDHR5, RNF213, SAT1, SLC30A4-AS1, SLC1A3, RMI2, USP18, OR51R1P, UBBP4, MIR4736, LAMP3, RNA5-8SN4, RPL7AP11, GBP4, LINC02701, HERC5, SNORD3C, SCARNA1, NPM1P39, RPS15AP38, KLHDC9, FAP, RUFY4, RPSAP4, RNU7-40P, PRRG4, RNU2-59P, GARIN4",43.66,33.08,9.23600709137257e-74,4.61024141654202e-74,73.3362763320666
"28","BNT (V2, D1)","ChAd (V2, D3)",5,534,196,694,215,"AGRN, HELZ2, TYMP, SCO2, SMTNL1",0.72,2.33,6.03171387222678e-175,5.49468766288784e-175,174.260056989344
"29","BNT (V2, D1)","ChAd (V2, D7)",0,539,9,694,18,"",0,0,8.6979511119366e-20,3.01849133585614e-20,19.5202100663884
"30","BNT (V2, D1)","ChAd-BNT (V2, D3)",162,377,746,694,1156,"CXCL10, CXCL11, CXCL9, GBP2, APOL1, APOBEC3B-AS1, IFITM3, APOL4, APOL6, CLEC6A, ZBP1, SORT1, BATF2, CMPK2, SECTM1, MX1, SPATS2L, COLEC12, IL27, AGRN, MARCO, IL31RA, HELZ2, AIM2, HERC6, HES4, BST2, PSTPIP2, STAT1, STAT2, ANKRD22, NRIR, METTL7B, CTSL, DDX60, IFIT1, IFIT3, OAS2, TFEC, DNAAF1, MT2A, GCH1, TYMP, LINC00487, PLA1A, SCO2, UBE2L6, CCL25, KCNMA1, SDC2, SIGLEC1, LY6E, LAP3, EXOC3L1, FBXO6, RSAD2, FAM20A, CCL8, SMCO4, CFB, RXFP1, IFI27, IFI35, XAF1, CCL2, GBP1, OAS1, FAM225A, LPCAT2, HESX1, MSR1, TRIM22, FCGR1A, PSME2, FRMD3, SLC7A10, SIGLEC11, GBP7, EPSTI1, JPH4, CYBB, TAP1, DDX60L, IDO1, IDO2, ATF3, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, SAMD4A, BISPR, SAMD9L, DHX58, ODF3B, OTOF, EIF2AK2, SDC3, TRIM5, P2RY6, MUC1, LYPD5, TRPV4, BCL2L14, MYOF, LGALS3BP, PARP9, C2, RAB39A, PDCD1LG2, CD274, NCKAP5, KCNJ10, ETV7, EXOC3L4, ISG15, NRN1, SLAMF8, GALNT14, C15orf48, CASP5, PARP12, C1QB, C1QC, DHRS9, OASL, EPB41L3, CDC45, FBXO39, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PHF24, PARP14, DTX3L, GBP1P1, GPR84, VAMP5, SLIT2, NMI, SCARF1, PLSCR1, GADD45G, SLC6A12, IRF7, CDHR5, RNF213, SMTNL1, SLC1A3, USP18, LAMP3, GBP4, HERC5, RUFY4, RAET1K",23.34,14.01,3.73101638945965e-195,4.53177325924841e-195,194.343731827564
"31","BNT (V2, D1)","ChAd-BNT (V2, D7)",35,504,741,694,972,"CXCL10, CXCL11, APOBEC3B-AS1, APOL4, FBXO16, BATF2, HBG2, SPP1, HES4, TNFAIP6, ANKRD22, IFIT1, IFIT3, SNORD9, SDC2, RSAD2, CAPNS2, F3, CCL8, CCL2, TYMS, FCGR1A, KCNJ2, HSPB3, SERPING1, IFIT2, CCRL2, CACNA1E, ETV7, C15orf48, CDC45, MYBPHL, PHF24, GBP1P1, GPR84",5.04,3.6,1.1804162063218e-316,6.14468173984049e-316,315.211500606221
"32","BNT (V2, D1)","ChAd-BNT (V3, D1)",284,255,748,694,1388,"CXCL10, CXCL11, LINC02555, CXCL9, FAM225B, GBP2, APOL1, MIR3609, IFITM3, HNRNPA1P24, APOL2, APOL4, APOL6, CLEC6A, ZBP1, LACTB, SORT1, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, SECTM1, MX1, H2BP2, RN7SKP26, ZCCHC2, SPATS2L, COL1A1, HBG2, IL27, AGRN, MARCO, IL31RA, HELZ2, AIM2, HERC6, HES4, TMEM268, BST2, ALMS1P1, PSTPIP2, STAT1, STAT2, IRF1, STAT4-AS1, TNFAIP6, ANKRD22, IRF9, ISG20, METTL7B, DDX60, STX11, LINC02068, IFIT1, SNORA23, IFIT3, OAS2, SNORA49, CIBAR1, GPR42, TFEC, SNORD67, SNORD89, SNORD9, GRIN3A, GRM4, FAS, GSDMC, MT2A, GCH1, TYMP, LINC00487, TRIM21, LRRK2-DT, SCO2, PML, PSME2P2, UBE2L6, GK-IT1, SIGLEC1, VPS9D1, ETV7-AS1, MTND1P11, LY6E, CALHM6, MTND6P5, LAP3, EXOC3L1, FBXO6, RSAD2, FAM20A, F3, CCL8, CFAP58-DT, RN7SL124P, CARD17P, SMCO4, CFB, IFI35, TDRD7, CBX3P10, XAF1, LIF, CCL2, GBP1, RN7SKP230, OAS1, FAM225A, SAMD9, LPCAT2, SNORD15B, FAM72A, CCDC194, HESX1, GRAMD1B, MSR1, RNU5A-1, KPTN, RNU6-1, TRIM22, FCGR1A, PSME2, FRMD3, TAP2, SIGLEC11, EPSTI1, JPH4, RPS29P14, TAP1, KCNJ2, MLKL, RSPH9, ASPHD2, DDX60L, IDO1, RTP4, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, SNORA11, IFIT2, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, RNU4-2, RNU6-33P, RNU6-3P, RHBDF2, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, RIGI, DOCK4, P2RY6, MUC1, LYPD5, MUC5B, RIPK2, TRPV4, RNA5-8SN2, RNA5SP237, MYOF, LGALS3BP, PARP9, C2, RPL7AP42, KLHDC7B-DT, GBP3, NASPP1, GBP6, RNF213-AS1, BNIP5, RAB39A, PDCD1LG2, RNU2-64P, CD274, CACNA1A, PSME2P1, CACNA1E, RNY1, ETV7, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, EPB41L3, SNORA74A, SNORA74B, SNORA79B, FBXO39, SIMALR, P2RX7, P2RY14, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, SNORA5A, FCGR1CP, FDPSP3, RAB1AP1, SEPTIN4, RNA5SP202, PARP14, TRAFD1, DTX3L, LINC02773, SNORA22C, GBP1P1, GK, TIFA, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, NMI, SCARF1, RNU4-1, PLSCR1, CEACAM1, MOV10, RPL21P57, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SLC1A3, RMI2, USP18, OR51R1P, UBBP4, MIR4736, GLDN, LAMP3, GBP4, PLEKHG4B, HERC5, SCARNA1, LINC01415, SLC8A2, FAP, RUFY4, RNU7-40P, PRRG4, RNU2-59P, GARIN4, SIGLEC16",40.92,20.46,5.8200410567757e-117,3.36626087341717e-117,116.472852230756
"33","BNT (V2, D1)","I-BNT-I (D2)",0,539,5,694,10,"",0,0,2.56561924894662e-12,7.79064167249153e-13,12.108426770396
"34","BNT (V2, D1)","I-BNT-I (D5)",0,539,1,694,2,"",0,0,0.00185185185185185,0.000404065749699207,3.39354796061165
"35","BNT (V2, D1)","I-I (D1)",0,539,39,694,39,"",0,0,1.45867551677311e-61,6.64402070120977e-62,61.1775690230588
"36","BNT (V2, D1)","I-I (D3)",0,539,3,694,3,"",0,0,3.78931700592422e-08,9.93363981980128e-09,8.00289159097947
"37","BNT (V2, D1)","I-I (D5)",0,539,14,694,14,"",0,0,4.11444669044536e-28,1.56171750051129e-28,27.8063975229971
"38","BNT (V3, D1)","BNT-I-BNT (D51, mild)",8,509,355,708,363,"CRISP3, LCN2, LTF, OLR1, CEACAM6, MMP8, CEACAM8, COL17A1",1.13,2.2,2.99311154785419e-239,4.9574973650731e-239,238.304737507952
"39","BNT (V3, D1)","BNT-I-BNT (D51, severe)",2,515,111,708,113,"FLVCR2, PTGS2",0.28,1.77,9.28810081575161e-123,5.54829259608781e-123,122.255840643937
