"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BBIBP (V3, D07)","BBIBP (V3, D14)",1,53,295,81,374,"LOC401218",1.23,0.27,2.52028547841399e-62,5.18078884625372e-63,62.2856041079205
"2","BBIBP (V3, D07)","BBIBP (V3, D28)",24,30,263,81,399,"PTPRC, IL16, CELF2, BAG5, HLA-DMB, FAM71A, ETFB, JARID2-AS1, NNAT, RC3H1-IT1, RNU6-786P, ITPRIP-AS1, AC104316.1, COX6CP1, LOC401218, TRAV35, LOC101929309, LOC100133244, RSPH6A, LOC100420571, MIR589, MCM8, LOC107985930, ALKBH7",29.63,6.02,1.42622583585121e-27,2.57280475608747e-28,27.589593170094
"3","BBIBP (V3, D07)","BNT (V1, D6)",0,54,3,81,9,"",0,0,3.41763499658236e-05,4.86532963965963e-06,5.31288772973575
"4","BBIBP (V3, D07)","BNT (V2, D1)",0,54,539,81,694,"",0,0,5.0050044200364e-78,1.10100550829157e-78,77.9582105082629
"5","BBIBP (V3, D07)","BNT (V3, D1)",1,53,516,81,708,"FOLR2",1.23,0.14,2.43042912800631e-74,5.23978799237681e-75,74.2806862846963
"6","BBIBP (V3, D07)","BNT-MO (V3, D1)",1,53,942,81,1254,"RPS20P33",1.23,0.08,1.16755934223412e-87,2.64623839685093e-88,87.5773710332502
"7","BBIBP (V3, D07)","ChAd (V1, D3)",4,50,654,81,903,"CCDC184, ANAPC1P1, HCAR2, HCAR3",4.94,0.44,1.78247164918189e-72,3.79239640873199e-73,72.4210862733574
"8","BBIBP (V3, D07)","ChAd (V1, D6)",0,54,165,81,302,"",0,0,1.20610102970834e-52,2.39328767317834e-53,52.6210050960522
"9","BBIBP (V3, D07)","ChAd (V1, D7)",2,52,266,81,337,"CCDC184, FAM71A",2.47,0.59,5.00319205681041e-58,1.01136843190035e-58,57.9950906062358
"10","BBIBP (V3, D07)","ChAd (V2, D1)",1,53,732,81,916,"NYAP1",1.23,0.11,4.84018354718183e-82,1.07447178658829e-82,81.9688049836997
"11","BBIBP (V3, D07)","ChAd (V2, D3)",0,54,201,81,215,"",0,0,1.09206287436838e-56,2.18933994163703e-57,56.6596867997318
"12","BBIBP (V3, D07)","ChAd (V2, D7)",0,54,9,81,18,"",0,0,4.22516945175704e-11,6.84699761363595e-12,11.164499823496
"13","BBIBP (V3, D07)","ChAd-BNT (V2, D3)",2,52,906,81,1156,"FAM71A, ALKBH7",2.47,0.17,3.93620121277478e-84,8.83886885524768e-85,84.053603309801
"14","BBIBP (V3, D07)","ChAd-BNT (V2, D7)",3,51,773,81,972,"ANAPC1P1, HCAR2, HCAR3",3.7,0.31,2.99230340433222e-78,6.59742304205338e-79,78.1806256670581
"15","BBIBP (V3, D07)","ChAd-BNT (V3, D1)",1,53,1031,81,1388,"HLA-DMB",1.23,0.07,1.11233071431921e-89,2.53881833465655e-90,89.59536837399
"16","BBIBP (V3, D07)","ZF2001 (V3, D07)",4,50,444,81,552,"PCYT2, ANAPC1P1, HCAR2, ALKBH7",4.94,0.72,1.68733338096392e-64,3.48327118363599e-65,64.4580127130318
"17","BBIBP (V3, D07)","ZF2001 (V3, D14)",3,51,276,81,330,"BAG5, NNAT, ANAPC1P1",3.7,0.91,8.16061860039881e-57,1.63940031792238e-57,56.7853149850284
"18","BBIBP (V3, D07)","ZF2001 (V3, D28)",1,53,118,81,137,"LOC100133244",1.23,0.73,6.02870551959336e-44,1.156174554599e-44,43.9369765929257
