"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BBIBP (V3, D14)","BBIBP (V3, D28)",0,7,1,7,1,"",0,0,0.125,0.0738491415654358,1.13165454863316
"2","BBIBP (V3, D14)","BNT (V1, D6)",0,7,2,7,2,"",0,0,0.0277777777777778,0.0172792230117833,1.76247579017204
"3","BBIBP (V3, D14)","BNT (V2, D1)",1,6,113,7,114,"IDO2",14.29,0.88,1.9163667648498e-09,1.62478188814783e-09,8.78920493076604
"4","BBIBP (V3, D14)","BNT (V3, D1)",3,4,136,7,139,"FFAR2, IDO2, CCL3",42.86,2.16,2.0955969412667e-06,1.66095365397358e-06,5.77964248561263
"5","BBIBP (V3, D14)","BNT-I (D1)",0,7,161,7,161,"",0,0,1.5144895614482e-12,1.40940836203883e-12,11.8509631561561
"6","BBIBP (V3, D14)","BNT-I (D10, mild)",1,6,640,7,641,"ALOX15",14.29,0.16,7.03237716080152e-14,6.79546311987447e-14,13.1677809401747
"7","BBIBP (V3, D14)","BNT-I (D10, severe)",1,6,654,7,655,"ALOX15",14.29,0.15,6.18165302114664e-14,5.98980949742936e-14,13.2225869898863
"8","BBIBP (V3, D14)","BNT-I (D26, mild)",0,7,358,7,358,"",0,0,6.18752464176855e-15,6.21755441085183e-15,14.2063804054582
"9","BBIBP (V3, D14)","BNT-I (D26, severe)",0,7,79,7,79,"",0,0,1.8610880596744e-10,1.61280656676223e-10,9.79241771694167
"10","BBIBP (V3, D14)","BNT-I (D3)",1,6,109,7,110,"NLRP9",14.29,0.91,2.35912205404869e-09,1.99059953508385e-09,8.70101610169862
"11","BBIBP (V3, D14)","BNT-I (D4)",0,7,22,7,22,"",0,0,6.40705288381449e-07,5.12424031191162e-07,6.29037051130638
"12","BBIBP (V3, D14)","BNT-I-BNT (D51, mild)",0,7,67,7,67,"",0,0,5.55685504463059e-10,4.76866721139017e-10,9.32160298440191
"13","BBIBP (V3, D14)","BNT-I-BNT (D51, severe)",0,7,15,7,15,"",0,0,5.86358945492071e-06,4.62664099328156e-06,5.3347341985087
"14","BBIBP (V3, D14)","BNT-MO (V3, D1)",3,4,192,7,195,"FFAR2, IDO2, CCL3",42.86,1.54,5.52126664924156e-07,4.42584107332754e-07,6.35400418512546
"15","BBIBP (V3, D14)","ChAd (V1, D3)",2,5,135,7,137,"ALOX15, IDO2",28.57,1.46,4.68674323742789e-08,3.82646005552836e-08,7.41720281591722
"16","BBIBP (V3, D14)","ChAd (V1, D6)",0,7,85,7,85,"",0,0,1.14148031044039e-10,9.9901761986704e-11,10.0004268519707
"17","BBIBP (V3, D14)","ChAd (V1, D7)",1,6,36,7,37,"CCL3",14.29,2.7,1.14820845035491e-06,9.14169614680685e-07,6.03897321795788
"18","BBIBP (V3, D14)","ChAd (V2, D1)",2,5,142,7,144,"FFAR2, IDO2",28.57,1.39,3.67209885554509e-08,3.0120049281968e-08,7.52114432188471
"19","BBIBP (V3, D14)","ChAd (V2, D3)",0,7,11,7,11,"",0,0,3.14228255404726e-05,2.40410857953915e-05,4.61904592168185
"20","BBIBP (V3, D14)","ChAd (V2, D7)",0,7,1,7,1,"",0,0,0.125,0.0738491415654358,1.13165454863316
"21","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",1,6,181,7,182,"IDO2",14.29,0.55,1.23730707223104e-10,1.08020429478914e-10,9.966494100338
"22","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",2,5,115,7,117,"FFAR2, CCL3",28.57,1.71,1.01308322694834e-07,8.21420689779353e-08,7.08543436242242
"23","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",2,5,242,7,244,"IDO2, CCL3",28.57,0.82,2.74126719034263e-09,2.30203460187721e-09,8.63788815277773
"24","BBIBP (V3, D14)","I (D10, moderate)",1,6,483,7,484,"ALOX15",14.29,0.21,3.75490372460626e-13,3.55058360930078e-13,12.449700256109
"25","BBIBP (V3, D14)","I (D10, severe)",2,5,533,7,535,"ALOX15, NLRP9",28.57,0.37,5.59109233717133e-11,4.95476843415827e-11,10.3049766378724
"26","BBIBP (V3, D14)","I (D26, moderate)",0,7,315,7,315,"",0,0,1.49953119933801e-14,1.48564579365293e-14,13.8280847223376
"27","BBIBP (V3, D14)","I (D26, severe)",1,6,526,7,527,"NLRP9",14.29,0.19,2.26116216435533e-13,2.16130029728774e-13,12.6652848867983
"28","BBIBP (V3, D14)","I (D51, moderate)",0,7,13,7,13,"",0,0,1.28998968008256e-05,1.00660149398077e-05,4.99714242936594
"29","BBIBP (V3, D14)","I (D51, severe)",1,6,374,7,375,"WNT4",14.29,0.27,1.71420105958895e-12,1.59106503584334e-12,11.7983120679143
"30","BBIBP (V3, D14)","I-BNT-I (D2)",0,7,1,7,1,"",0,0,0.125,0.0738491415654358,1.13165454863316
"31","BBIBP (V3, D14)","I-I (D1)",0,7,14,7,14,"",0,0,8.59993120055039e-06,6.72555617559955e-06,5.1722717954882
"32","BBIBP (V3, D14)","I-I (D5)",0,7,1,7,1,"",0,0,0.125,0.0738491415654358,1.13165454863316
"33","BBIBP (V3, D14)","ZF2001 (V3, D07)",4,3,226,7,230,"FFAR2, ALOX15, IDO2, CCL3",57.14,1.74,1.6817576385432e-05,1.30079343303044e-05,4.88579166425142
"34","BBIBP (V3, D14)","ZF2001 (V3, D14)",2,5,31,7,33,"WNT4, IDO2",28.57,6.06,4.18375031378129e-05,3.18022280018159e-05,4.4975424531288
"35","BBIBP (V3, D14)","ZF2001 (V3, D28)",1,6,16,7,17,"CCL3",14.29,5.88,6.93433187712364e-05,5.23718013711151e-05,4.28090248792627
"36","BBIBP (V3, D28)","BNT (V1, D6)",0,1,2,1,2,"",0,0,0.333333333333333,0.195620355028575,0.708585957234247
"37","BBIBP (V3, D28)","BNT (V2, D1)",0,1,114,1,114,"",0,0,0.00869565217391306,0.00570071925192374,2.24407034653184
"38","BBIBP (V3, D28)","BNT (V3, D1)",0,1,139,1,139,"",0,0,0.00714285714285713,0.00478047574026188,2.32052888140263
