Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue	log_q
BBIBP (V3, D14)	BBIBP (V3, D28)	0	7	1	7	1	NA	0	0	0.125	0.0738491415654358	1.13165454863316
BBIBP (V3, D14)	BNT (V1, D6)	0	7	2	7	2	NA	0	0	0.0277777777777778	0.0172792230117833	1.76247579017204
BBIBP (V3, D14)	BNT (V2, D1)	1	6	113	7	114	IDO2	14.29	0.88	1.9163667648498e-9	1.62478188814783e-9	8.78920493076604
BBIBP (V3, D14)	BNT (V3, D1)	3	4	136	7	139	FFAR2, IDO2, CCL3	42.86	2.16	2.0955969412667e-6	1.66095365397358e-6	5.77964248561263
BBIBP (V3, D14)	BNT-I (D1)	0	7	161	7	161	NA	0	0	1.5144895614482e-12	1.4094083620388299e-12	11.8509631561561
BBIBP (V3, D14)	BNT-I (D10, mild)	1	6	640	7	641	ALOX15	14.29	0.16	7.03237716080152e-14	6.79546311987447e-14	13.1677809401747
BBIBP (V3, D14)	BNT-I (D10, severe)	1	6	654	7	655	ALOX15	14.29	0.15	6.18165302114664e-14	5.989809497429361e-14	13.2225869898863
BBIBP (V3, D14)	BNT-I (D26, mild)	0	7	358	7	358	NA	0	0	6.18752464176855e-15	6.21755441085183e-15	14.2063804054582
BBIBP (V3, D14)	BNT-I (D26, severe)	0	7	79	7	79	NA	0	0	1.8610880596744e-10	1.61280656676223e-10	9.79241771694167
BBIBP (V3, D14)	BNT-I (D3)	1	6	109	7	110	NLRP9	14.29	0.91	2.3591220540486904e-9	1.9905995350838503e-9	8.70101610169862
BBIBP (V3, D14)	BNT-I (D4)	0	7	22	7	22	NA	0	0	6.40705288381449e-7	5.12424031191162e-7	6.29037051130638
BBIBP (V3, D14)	BNT-I-BNT (D51, mild)	0	7	67	7	67	NA	0	0	5.55685504463059e-10	4.76866721139017e-10	9.32160298440191
BBIBP (V3, D14)	BNT-I-BNT (D51, severe)	0	7	15	7	15	NA	0	0	5.86358945492071e-6	4.62664099328156e-6	5.3347341985087
