"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BBIBP (V3, D07)","BBIBP (V3, D14)",0,15,18,18,24,"",0,0,9.64172952881484e-10,3.38387274318607e-10,9.47058597777582
"2","BBIBP (V3, D07)","BBIBP (V3, D28)",1,14,17,18,63,"TRAV35",5.56,1.59,3.18177074450891e-08,1.09493737152085e-08,7.96061072098894
"3","BBIBP (V3, D07)","BNT (V1, D6)",0,15,1,18,1,"",0,0,0.0625,0.0162243401223033,1.7898329578293
"4","BBIBP (V3, D07)","BNT (V2, D1)",0,15,191,18,194,"",0,0,4.31757070782595e-23,1.97523772286986e-23,22.7043806288893
"5","BBIBP (V3, D07)","BNT (V3, D1)",0,15,94,18,95,"",0,0,9.84805495100063e-19,4.2083117928108e-19,18.3758920908883
"6","BBIBP (V3, D07)","BNT-MO (V3, D1)",0,15,251,18,325,"",0,0,8.27770149045688e-25,3.90644206076271e-25,24.4082186126388
"7","BBIBP (V3, D07)","ChAd (V1, D3)",4,11,326,18,387,"CCDC184, ANAPC1P1, HCAR2, HCAR3",22.22,1.03,8.84642727911699e-18,3.65187452527112e-18,17.4374841528022
"8","BBIBP (V3, D07)","ChAd (V1, D6)",0,15,9,18,11,"",0,0,7.64816015859226e-07,2.54196724623356e-07,6.59483004971894
"9","BBIBP (V3, D07)","ChAd (V1, D7)",1,14,59,18,77,"CCDC184",5.56,1.3,3.28945538053226e-14,1.24189710105666e-14,13.9059143866833
"10","BBIBP (V3, D07)","ChAd (V2, D1)",0,15,256,18,275,"",0,0,6.21317083196316e-25,2.94644460546312e-25,24.5307017194315
"11","BBIBP (V3, D07)","ChAd (V2, D3)",0,15,19,18,22,"",0,0,5.38802532492594e-10,1.90128346828102e-10,9.72095312798861
"12","BBIBP (V3, D07)","ChAd (V2, D7)",0,15,5,18,14,"",0,0,6.44994840041281e-05,2.03254382646569e-05,4.69196008121384
"13","BBIBP (V3, D07)","ChAd-BNT (V2, D3)",0,15,276,18,333,"",0,0,2.07720089217959e-25,9.9722307630728e-26,25.0012076802315
"14","BBIBP (V3, D07)","ChAd-BNT (V2, D7)",2,13,489,18,671,"HCAR2, HCAR3",11.11,0.3,5.64478653428091e-24,2.61940313320586e-24,23.581797657339
"15","BBIBP (V3, D07)","ChAd-BNT (V3, D1)",0,15,173,18,239,"",0,0,1.79133923245904e-22,8.0998732797764e-23,22.0915217754824
"16","BBIBP (V3, D07)","ZF2001 (V3, D07)",1,14,186,18,227,"HCAR2",5.56,0.44,1.18285495425272e-20,5.17985217252887e-21,20.2856826343805
"17","BBIBP (V3, D07)","ZF2001 (V3, D14)",0,15,46,18,55,"",0,0,1.41763562850689e-14,5.38348492255839e-15,14.2689364989311
"18","BBIBP (V3, D07)","ZF2001 (V3, D28)",0,15,53,18,59,"",0,0,2.25406257333883e-15,8.73033871147592e-16,15.0589689066184
"19","BBIBP (V3, D07)","BNT-I-BNT (D51, mild)",0,15,239,18,239,"",0,0,1.68671683471086e-24,7.90247126540972e-25,24.1022370746465
"20","BBIBP (V3, D07)","BNT-I-BNT (D51, severe)",0,15,61,18,61,"",0,0,3.52029435460471e-16,1.39401141350252e-16,15.8557336704268
"21","BBIBP (V3, D07)","H-BNT-I (D1)",0,15,242,18,242,"",0,0,1.40725422342078e-24,6.62508342792661e-25,24.178808648401
"22","BBIBP (V3, D07)","H-BNT-I (D10, mild)",3,12,2677,18,2680,"PCYT2, SNX29P1, ANAPC1P1",16.67,0.11,1.54209285287193e-30,8.4222740539012e-31,30.074570631099
"23","BBIBP (V3, D07)","H-BNT-I (D10, severe)",1,14,2281,18,2282,"ANAPC1P1",5.56,0.04,1.20265196574246e-35,6.83726955376879e-36,35.1651172980571
"24","BBIBP (V3, D07)","H-BNT-I (D26, mild)",1,14,1434,18,1435,"SNX29P1",5.56,0.07,7.74286784809531e-33,4.28907433370571e-33,32.3676364269625
"25","BBIBP (V3, D07)","H-BNT-I (D26, severe)",1,14,247,18,248,"SNX29P1",5.56,0.4,2.5928886672249e-22,1.16699491924465e-22,21.932931034742
"26","BBIBP (V3, D07)","H-BNT-I (D3)",0,15,75,18,75,"",0,0,2.1836123664782e-17,8.99502529729775e-18,17.0459976109219
"27","BBIBP (V3, D07)","H-BNT-I (D4)",0,15,42,18,42,"",0,0,4.53350639405865e-14,1.70495347352261e-14,13.7682874679724
"28","BBIBP (V3, D07)","H-I (D10, moderate)",2,13,1348,18,1350,"PCYT2, ANAPC1P1",11.11,0.15,1.2358138491334e-29,6.6376344300237e-30,29.1779866701852
"29","BBIBP (V3, D07)","H-I (D10, severe)",3,12,1820,18,1823,"SNX29P1, ANAPC1P1, FOLR2",16.67,0.16,1.55013196647538e-28,8.14583841109405e-29,28.0890642092594
"30","BBIBP (V3, D07)","H-I (D26, moderate)",1,14,889,18,890,"ANAPC1P1",5.56,0.11,5.94399642919731e-30,3.22822915732009e-30,29.4910356442637
"31","BBIBP (V3, D07)","H-I (D26, severe)",2,13,2070,18,2072,"PCYT2, FOLR2",11.11,0.1,4.82359012920215e-32,2.66438252650926e-32,31.5744034231857
"32","BBIBP (V3, D07)","H-I (D51, moderate)",0,15,14,18,14,"",0,0,1.28934500757877e-08,4.4606861726764e-09,8.35059833005791
"33","BBIBP (V3, D07)","H-I (D51, severe)",0,15,648,18,648,"",0,0,7.29597460657046e-31,3.995984576089e-31,30.3983761967555
"34","BBIBP (V3, D07)","H-I-I (D2)",0,15,1,18,1,"",0,0,0.0625,0.0162243401223033,1.7898329578293
"35","BBIBP (V3, D07)","I-BNT-I (D2)",0,15,2,18,4,"",0,0,0.00735294117647058,0.00202787330022614,2.69295918283553
"36","BBIBP (V3, D07)","I-BNT-I (D5)",0,15,1,18,2,"",0,0,0.0625,0.0162243401223033,1.7898329578293
"37","BBIBP (V3, D07)","I-I (D1)",0,15,39,18,39,"",0,0,1.15549126385155e-13,4.32880628024205e-14,13.3636318489996
"38","BBIBP (V3, D07)","I-I (D3)",0,15,2,18,2,"",0,0,0.00735294117647058,0.00202787330022614,2.69295918283553
"39","BBIBP (V3, D07)","I-I (D5)",0,15,10,18,10,"",0,0,3.0592640634369e-07,1.02732355029128e-07,6.98829275603623
"40","BBIBP (V3, D14)","BBIBP (V3, D28)",0,18,18,24,63,"",0,0,2.20382389230054e-10,7.86229305258226e-11,10.1044507726824
"41","BBIBP (V3, D14)","BNT (V1, D6)",0,18,1,24,1,"",0,0,0.0526315789473684,0.0137175456487712,1.86272358589941
"42","BBIBP (V3, D14)","BNT (V2, D1)",0,18,191,24,194,"",0,0,2.34909673498717e-26,1.15924043703794e-26,25.9358264780578
"43","BBIBP (V3, D14)","BNT (V3, D1)",0,18,94,24,95,"",0,0,3.5258041593614e-21,1.55449181201622e-21,20.8084115611766
"44","BBIBP (V3, D14)","BNT-MO (V3, D1)",0,18,251,24,325,"",0,0,2.10548831057097e-28,1.09752101650203e-28,27.9595871546727
"45","BBIBP (V3, D14)","ChAd (V1, D3)",0,18,330,24,387,"",0,0,1.78705525688903e-30,9.73281812281598e-31,30.0117613922103
"46","BBIBP (V3, D14)","ChAd (V1, D6)",0,18,9,24,11,"",0,0,2.1336405775765e-07,7.20224053099506e-08,7.14253237872431
"47","BBIBP (V3, D14)","ChAd (V1, D7)",0,18,60,24,77,"",0,0,4.70441066041732e-18,1.95865158076473e-18,17.7080428126061
"48","BBIBP (V3, D14)","ChAd (V2, D1)",0,18,256,24,275,"",0,0,1.49510808501557e-28,7.87798349098438e-29,28.1035849336287
"49","BBIBP (V3, D14)","ChAd (V2, D3)",0,18,19,24,22,"",0,0,5.65846675050137e-11,2.04116844405278e-11,10.6901211543706
"50","BBIBP (V3, D14)","ChAd (V2, D7)",0,18,5,24,14,"",0,0,2.97185651876727e-05,9.61440048064377e-06,5.01707779161956
"51","BBIBP (V3, D14)","ChAd-BNT (V2, D3)",0,18,276,24,333,"",0,0,4.04317097959604e-29,2.14202672819831e-29,28.6691751143461
"52","BBIBP (V3, D14)","ChAd-BNT (V2, D7)",0,18,491,24,671,"",0,0,1.65001380953782e-33,9.16617991043508e-34,33.0378116228339
"53","BBIBP (V3, D14)","ChAd-BNT (V3, D1)",0,18,173,24,239,"",0,0,1.2787053267432e-25,6.16927700360285e-26,25.2097657292802
"54","BBIBP (V3, D14)","ZF2001 (V3, D07)",0,18,187,24,227,"",0,0,3.37708091523376e-26,1.65811681343756e-26,25.7803848768953
"55","BBIBP (V3, D14)","ZF2001 (V3, D14)",0,18,46,24,55,"",0,0,2.7764753092877e-16,1.10396117266378e-16,15.9570462008771
"56","BBIBP (V3, D14)","ZF2001 (V3, D28)",0,18,53,24,59,"",0,0,3.21811750475811e-17,1.32005613097382e-17,16.8794076014806
"57","BBIBP (V3, D14)","BNT-I-BNT (D51, mild)",0,18,239,24,239,"",0,0,4.92232539312503e-28,2.53862067041538e-28,27.5954021880798
"58","BBIBP (V3, D14)","BNT-I-BNT (D51, severe)",0,18,61,24,61,"",0,0,3.63251962386654e-18,1.51888138236681e-18,17.8184761412097
"59","BBIBP (V3, D14)","H-BNT-I (D1)",0,18,242,24,242,"",0,0,3.9657118209964e-28,2.0507000851384e-28,27.68809785055
