"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BNT (V1, D6)","BNT (V2, D1)",1,1,347,8,500,"IFI27",12.5,0.2,0.00573065902578801,0.00153076504468063,2.8150914635338
"2","BNT (V1, D6)","BNT (V3, D1)",1,1,422,8,613,"IFI27",12.5,0.16,0.00471698113207544,0.00128841381899419,2.88994462576422
"3","BNT (V1, D6)","BNT-I-BNT (D51, mild)",0,2,124,8,124,"",0,0,0.000126984126984127,3.78122467242887e-05,4.42236751700477
"4","BNT (V1, D6)","BNT-I-BNT (D51, severe)",0,2,52,8,52,"",0,0,0.000698812019566737,0.000206394505180643,3.68530186906756
"5","BNT (V1, D6)","BNT-MO (V3, D1)",0,2,692,8,929,"",0,0,4.1585055994278e-06,1.30233339629743e-06,5.88527782249798
"6","BNT (V1, D6)","ChAd (V1, D3)",1,1,327,8,516,"IFI27",12.5,0.19,0.00607902735562312,0.00161196796487301,2.79264359331078
"7","BNT (V1, D6)","ChAd (V1, D6)",2,0,154,8,291,"IGLV3-10, IFI27",25,0.69,1,0.23743866693046,0.624448554685982
"8","BNT (V1, D6)","ChAd (V1, D7)",1,1,207,8,260,"IFI27",12.5,0.38,0.00956937799043065,0.00248312481478883,2.60500144999369
"9","BNT (V1, D6)","ChAd (V2, D1)",1,1,476,8,641,"IFI27",12.5,0.16,0.00418410041841003,0.00115151882973121,2.93872895602237
"10","BNT (V1, D6)","ChAd (V2, D3)",0,2,182,8,193,"",0,0,5.93965312425753e-05,1.78327609865716e-05,4.74878141126082
"11","BNT (V1, D6)","ChAd (V2, D7)",0,2,4,8,4,"",0,0,0.0666666666666666,0.0165881808403472,1.7802012387085
"12","BNT (V1, D6)","ChAd-BNT (V2, D3)",1,1,631,8,823,"IFI27",12.5,0.12,0.00315955766192728,0.000882929056759264,3.0540741905286
"13","BNT (V1, D6)","ChAd-BNT (V2, D7)",0,2,285,8,301,"",0,0,2.43658780244147e-05,7.43837348148071e-06,5.12852201945997
"14","BNT (V1, D6)","ChAd-BNT (V3, D1)",0,2,859,8,1149,"",0,0,2.70102368797774e-06,8.67618733329426e-07,6.06167107941745
"15","BNT (V1, D6)","I-BNT-I (D2)",0,2,3,8,6,"",0,0,0.1,0.0247130041090887,1.60707445861656
"16","BNT (V1, D6)","I-I (D3)",0,2,1,8,1,"",0,0,0.333333333333333,0.0807291467563565,1.09296963764373
"17","BNT (V1, D6)","I-I (D5)",0,2,4,8,4,"",0,0,0.0666666666666666,0.0165881808403472,1.7802012387085
"18","BNT (V2, D1)","BNT (V3, D1)",280,68,143,500,613,"CXCL10, CXCL11, LINC02555, MIR130AHG, CXCL9, FAM225B, GBP2, APOL1, HMGA2-AS1, IFITM3, APOL2, APOL4, APOL6, CLEC6A, ZBP1, LACTB, SORT1, TIMM10, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, SECTM1, MX1, H2BP2, RN7SKP26, SPATS2L, COL1A1, HCAR1, PRMT5-DT, IL27, AGRN, MARCO, IL31RA, HELZ2, AIM2, HES4, EDNRB, TMEM268, ALMS1P1, PSTPIP2, STAT1, STAT2, IRF1, STAT4-AS1, TNFAIP6, ANKRD22, NRIR, ISG20, METTL7B, CTSL, LINC01556, DDX60, STX11, LINC02068, IFIT1, IFIT3, OAS2, GPR42, TFEC, GRIN3A, ACOD1, FAS, GSDMC, MT2A, XXYLT1-AS2, GCH1, TYMP, NMRAL2P, LINC00487, LRRK2-DT, PLA1A, SCO2, PML, PSME2P2, UBE2L6, KCNMA1, GK-IT1, SIGLEC1, VPS9D1, ETV7-AS1, LY6E, CALHM6, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, FAM20A, CAPNS1P1, CAPNS2, F3, CCL8, PLSCR2, RN7SL124P, CARD17P, SMCO4, CFB, IFI27, IFI35, TDRD7, XAF1, LIF, CCL2, GBP1, OAS1, FAM225A, LPCAT2, CCDC194, HESX1, GRAMD1B, MSR1, OR52B4, OR7E100P, KPTN, TRIM22, RPS3AP43, FCGR1A, PSME2, FRMD3, TAP2, SIGLEC11, GBP7, EPSTI1, CYBB, RPS29P14, TAP1, KCNJ2, MMADHCP2, RSPH9, ASPHD2, DDX60L, IDO1, RTP4, IDO2, ATF3, NUB1, IFI16, TCN2, IFI44, IFI44L, SERPING1, IFI6, IFIH1, ENSG00000272567, RCBTB2P1, IFIT2, KLF5, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OOSP3, IMMP1LP2, RHBDF2, OTOF, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, RIGI, DOCK4, P2RY6, LYPD5, RIPK2, TRPV4, BCL2L14, RNA5SP237, MYOF, LGALS3BP, PARP9, CCRL2, C2, RPL7AP42, KLHDC7B-DT, GBP3, SFRP1, NASPP1, GBP6, BNIP5, RAB39A, PDCD1LG2, RNU1-28P, EFCAB2, CD274, TMEM51, KCNJ10, PSME2P1, CACNA1E, RNU7-41P, ETV7, NDUFB4P11, EXOC3L4, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, RPL38P4, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, FBXO39, SIMALR, P2RX7, P2RY14, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, TLR7, FCGR1CP, ZDHHC19, FDPSP3, RAB1AP1, SEPTIN4, PARP14, TRAFD1, DTX3L, LINC02773, NGFR, GBP1P1, GK, TIFA, GPR84, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, SCARF1, PLSCR1, CEACAM1, MOV10, CFAP97D1, PLAAT4, GADD45G, RPL21P57, SLC6A12, WDFY1, IRF7, LHFPL2, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SMTNL1, SLC1A3, RMI2, GLRX3P2, USP18, MIR4736, LAMP3, GBP4, HERC5, LINC01415, SLC8A2, FAP, RUFY4, RNU7-40P, PRRG4, GARIN4, SIGLEC16",56,45.68,1.48766503982352e-11,6.92872669178159e-12,11.1593465693625
"19","BNT (V2, D1)","BNT-I-BNT (D51, mild)",0,348,124,500,124,"",0,0,2.15367954369395e-117,2.11457082100174e-117,116.674777764925
"20","BNT (V2, D1)","BNT-I-BNT (D51, severe)",0,348,52,500,52,"",0,0,1.27442698694866e-66,7.58975925685864e-67,66.1197719994769
