"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"1","BBIBP (V3, D07)","BBIBP (V3, D14)",1,53,295,81,374,"LOC401218",1.23,0.27,2.52028547841399e-62,5.63409807997891e-63,62.2491755969628
"2","BBIBP (V3, D07)","BBIBP (V3, D28)",24,30,263,81,399,"IL16, PTPRC, CELF2, BAG5, HLA-DMB, FAM71A, ETFB, JARID2-AS1, NNAT, RC3H1-IT1, RNU6-786P, ITPRIP-AS1, AC104316.1, COX6CP1, LOC401218, LOC100133244, RSPH6A, LOC100420571, MIR589, MCM8, TRAV35, LOC107985930, ALKBH7, LOC101929309",29.63,6.02,1.42622583585121e-27,2.66511502904679e-28,27.574284041646
"3","BBIBP (V3, D07)","BNT (V1, D6)",0,54,3,81,9,"",0,0,3.41763499658236e-05,4.38500010925295e-06,5.35803039147743
"4","BBIBP (V3, D07)","BNT (V2, D1)",0,54,539,81,694,"",0,0,5.0050044200364e-78,1.21583733897379e-78,77.9151245233457
"5","BBIBP (V3, D07)","BNT (V3, D1)",1,53,516,81,708,"FOLR2",1.23,0.14,2.43042912800631e-74,5.86500362007055e-75,74.2317317154877
"6","BBIBP (V3, D07)","BNT-I-BNT (D51, mild)",0,54,363,81,363,"",0,0,2.7194946220332e-69,6.35222505300761e-70,69.1970741236874
"7","BBIBP (V3, D07)","BNT-I-BNT (D51, severe)",1,53,112,81,113,"IL16",1.23,0.88,5.72050665891394e-43,1.14531613190949e-43,42.9410746221503
"8","BBIBP (V3, D07)","BNT-MO (V3, D1)",1,53,942,81,1254,"RPS20P33",1.23,0.08,1.16755934223412e-87,2.97512485439173e-88,87.5264948039067
"9","BBIBP (V3, D07)","ChAd (V1, D3)",4,50,654,81,903,"CCDC184, ANAPC1P1, HCAR2, HCAR3",4.94,0.44,1.78247164918189e-72,4.24515420429854e-73,72.3721065294814
"10","BBIBP (V3, D07)","ChAd (V1, D6)",0,54,165,81,302,"",0,0,1.20610102970834e-52,2.54038684690222e-53,52.5951001445287
"11","BBIBP (V3, D07)","ChAd (V1, D7)",2,52,266,81,337,"CCDC184, FAM71A",2.47,0.59,5.00319205681041e-58,1.0787547975033e-58,57.9670772598519
"12","BBIBP (V3, D07)","ChAd (V2, D1)",1,53,732,81,916,"NYAP1",1.23,0.11,4.84018354718183e-82,1.19979422354764e-82,81.9208932333199
"13","BBIBP (V3, D07)","ChAd (V2, D3)",0,54,201,81,215,"",0,0,1.09206287436838e-56,2.31356372681737e-57,56.6357185334133
"14","BBIBP (V3, D07)","ChAd (V2, D7)",0,54,9,81,18,"",0,0,4.22516945175704e-11,6.57946444097946e-12,11.1818094558987
"15","BBIBP (V3, D07)","ChAd-BNT (V2, D3)",2,52,906,81,1156,"FAM71A, ALKBH7",2.47,0.17,3.93620121277478e-84,9.96040663871742e-85,84.0017229309191
"16","BBIBP (V3, D07)","ChAd-BNT (V2, D7)",3,51,773,81,972,"ANAPC1P1, HCAR2, HCAR3",3.7,0.31,2.99230340433222e-78,7.31781841431013e-79,78.1356183713787
"17","BBIBP (V3, D07)","ChAd-BNT (V3, D1)",1,53,1031,81,1388,"HLA-DMB",1.23,0.07,1.11233071431921e-89,2.85435414179262e-90,89.5444921446465
"18","BBIBP (V3, D07)","I-BNT-I (D2)",0,54,5,81,10,"",0,0,1.99744885831815e-07,2.78867197159653e-08,7.55460256830977
"19","BBIBP (V3, D07)","I-BNT-I (D5)",0,54,1,81,2,"",0,0,0.0181818181818182,0.00210324094129146,2.67711097292494
"20","BBIBP (V3, D07)","I-I (D1)",0,54,39,81,39,"",0,0,4.07056918165602e-27,7.56765524968396e-28,27.1210386607725
"21","BBIBP (V3, D07)","I-I (D3)",0,54,3,81,3,"",0,0,3.41763499658236e-05,4.38500010925295e-06,5.35803039147743
"22","BBIBP (V3, D07)","I-I (D5)",0,54,14,81,14,"",0,0,8.11462526401981e-15,1.32594611775981e-15,14.8774741239215
"23","BBIBP (V3, D07)","ZF2001 (V3, D07)",4,50,444,81,552,"PCYT2, ANAPC1P1, HCAR2, ALKBH7",4.94,0.72,1.68733338096392e-64,3.79531786014905e-65,64.4207518458218
"24","BBIBP (V3, D07)","ZF2001 (V3, D14)",3,51,276,81,330,"BAG5, NNAT, ANAPC1P1",3.7,0.91,8.16061860039881e-57,1.73895859248684e-57,56.7597107591523
"25","BBIBP (V3, D07)","ZF2001 (V3, D28)",1,53,118,81,137,"LOC100133244",1.23,0.73,6.02870551959336e-44,1.22043270116061e-44,43.9134861640718
"26","BBIBP (V3, D14)","BBIBP (V3, D28)",21,275,266,374,399,"LDLRAD4, CCDC57, CD247, MIF4GD, LOC107984343, LOC401218, SNX9, Z99496.2, MFSD13B, MALAT1, LOC107984546, LOC105374502, EXOC2, BACH1-IT1, RPS12P20, TXLNB, SIPA1L1, CADM4, RASA2-IT1, RRP1, RASA3-IT1",5.61,5.26,1.74666261473053e-136,5.78600240703099e-137,136.237621390017
