"","genes","infection_vaccination","n_conditions","comparison"
"1","MMP8","Infection",13,"Infection only"
"2","ANKHD1","Infection",12,"Infection only"
"3","JMJD6","Infection",12,"Infection only"
"4","LTF","Infection",12,"Infection only"
"5","PELI1","Infection",12,"Infection only"
"6","BPI","Infection",11,"Infection only"
"7","IRS2","Infection",11,"Infection only"
"8","JAG1","Infection",11,"Infection only"
"9","NFIL3","Infection",11,"Infection only"
"10","NFKBIA","Infection",11,"Infection only"
"11","RORC","Infection",11,"Infection only"
"12","S1PR1","Infection",11,"Infection only"
"13","TLR2","Infection",11,"Infection only"
"14","TRIB1","Infection",11,"Infection only"
"15","ARG1","Infection",10,"Infection only"
"16","CAMP","Infection",10,"Infection only"
"17","CCR7","Infection",10,"Infection only"
"18","CD248","Infection",10,"Infection only"
"19","CD40LG","Infection",10,"Infection only"
"20","CRISP3","Infection",10,"Infection only"
"21","EREG","Infection",10,"Infection only"
"22","F12","Infection",10,"Infection only"
"23","GCSAM","Infection",10,"Infection only"
"24","IL1R2","Infection",10,"Infection only"
"25","IL7R","Infection",10,"Infection only"
"26","LCN2","Infection",10,"Infection only"
"27","LY9","Infection",10,"Infection only"
"28","RAB32","Infection",10,"Infection only"
"29","S100A12","Infection",10,"Infection only"
"30","S100A8","Infection",10,"Infection only"
"31","S100A9","Infection",10,"Infection only"
"32","TRIM32","Infection",10,"Infection only"
"33","ADAM9","Infection",9,"Infection only"
"34","ADD2","Infection",9,"Infection only"
"35","AKIRIN2","Infection",9,"Infection only"
"36","ANXA3","Infection",9,"Infection only"
"37","BCL3","Infection",9,"Infection only"
"38","BCL6","Infection",9,"Infection only"
"39","C1R","Infection",9,"Infection only"
"40","CCNB2","Infection",9,"Infection only"
"41","CD177","Infection",9,"Infection only"
"42","CD24","Infection",9,"Infection only"
"43","CD3G","Infection",9,"Infection only"
"44","CD59","Infection",9,"Infection only"
"45","CEACAM8","Infection",9,"Infection only"
"46","CHIT1","Infection",9,"Infection only"
"47","CLEC4D","Infection",9,"Infection only"
"48","CR1","Infection",9,"Infection only"
"49","CST7","Infection",9,"Infection only"
"50","CYP19A1","Infection",9,"Infection only"
"51","DEFA4","Infection",9,"Infection only"
"52","FOXO3","Infection",9,"Infection only"
"53","FUT4","Infection",9,"Infection only"
"54","GPR15","Infection",9,"Infection only"
