genes,infection_vaccination,n_conditions,comparison
MARCKS,Infection,10,Infection only
ABCA1,Infection,9,Infection only
APOBEC3A,Infection,9,Infection only
ASGR2,Infection,9,Infection only
BRI3,Infection,9,Infection only
CCNB2,Infection,9,Infection only
CCR7,Infection,9,Infection only
CX3CR1,Infection,9,Infection only
ELOVL4,Infection,9,Infection only
HLA-DOA,Infection,9,Infection only
IFI27,Infection,9,Infection only
IGFBP7,Infection,9,Infection only
IQGAP3,Infection,9,Infection only
KLF4,Infection,9,Infection only
LHFPL2,Infection,9,Infection only
NLGN4Y,Infection,9,Infection only
PKMYT1,Infection,9,Infection only
PTH2R,Infection,9,Infection only
RPL22,Infection,9,Infection only
TCN1,Infection,9,Infection only
ABCA13,Infection,8,Infection only
ADAM9,Infection,8,Infection only
AIM2,Infection,8,Infection only
ANKH,Infection,8,Infection only
ANXA3,Infection,8,Infection only
APBB1IP,Infection,8,Infection only
APEH,Infection,8,Infection only
ATP8B4,Infection,8,Infection only
BPI,Infection,8,Infection only
CACNB3,Infection,8,Infection only
CAMP,Infection,8,Infection only
CD46,Infection,8,Infection only
CEACAM8,Infection,8,Infection only
CHIT1,Infection,8,Infection only
CXCR4,Infection,8,Infection only
DOCK4,Infection,8,Infection only
EFNB1,Infection,8,Infection only
F12,Infection,8,Infection only
FYN,Infection,8,Infection only
GRINA,Infection,8,Infection only
HP,Infection,8,Infection only
ICAM2,Infection,8,Infection only
IMPDH2,Infection,8,Infection only
KLF5,Infection,8,Infection only
LCN2,Infection,8,Infection only
LTF,Infection,8,Infection only
LY96,Infection,8,Infection only
MAP2K6,Infection,8,Infection only
MCTP1,Infection,8,Infection only
MEF2A,Infection,8,Infection only
MMP8,Infection,8,Infection only
PARP9,Infection,8,Infection only
PLEKHF1,Infection,8,Infection only
PLSCR1,Infection,8,Infection only
PRRG4,Infection,8,Infection only
S100A11,Infection,8,Infection only
S100P,Infection,8,Infection only
SERPINB10,Infection,8,Infection only
SIRPB1,Infection,8,Infection only
SLC19A2,Infection,8,Infection only
SLC1A3,Infection,8,Infection only
SLC26A8,Infection,8,Infection only
SORT1,Infection,8,Infection only
TARM1,Infection,8,Infection only
TLR5,Infection,8,Infection only
TRIM25,Infection,8,Infection only
TRIM64B,Infection,8,Infection only
VANGL1,Infection,8,Infection only
ZNF3,Infection,8,Infection only
ALOX5,Infection,7,Infection only
ANKHD1,Infection,7,Infection only
ANXA1,Infection,7,Infection only
APLP2,Infection,7,Infection only
B3GNT5,Infection,7,Infection only
BST1,Infection,7,Infection only
C1R,Infection,7,Infection only
CAMLG,Infection,7,Infection only
CAPG,Infection,7,Infection only
CD177,Infection,7,Infection only
CD2,Infection,7,Infection only
CD28,Infection,7,Infection only
CD38,Infection,7,Infection only
CD3G,Infection,7,Infection only
CDC42,Infection,7,Infection only
CEACAM6,Infection,7,Infection only
CH25H,Infection,7,Infection only
CHAF1B,Infection,7,Infection only
CLEC12B,Infection,7,Infection only
CLEC4D,Infection,7,Infection only
CRISP3,Infection,7,Infection only
CST7,Infection,7,Infection only
DEFA4,Infection,7,Infection only
DOK3,Infection,7,Infection only
DYSF,Infection,7,Infection only
ESCO2,Infection,7,Infection only
ETS1,Infection,7,Infection only
F5,Infection,7,Infection only
FASLG,Infection,7,Infection only
FLT1,Infection,7,Infection only
FPR1,Infection,7,Infection only
FPR3,Infection,7,Infection only
GIMAP7,Infection,7,Infection only
GLP2R,Infection,7,Infection only
GPR84,Infection,7,Infection only
HMGB1,Infection,7,Infection only
