condition,samples,vaccine,day,dose,infection,type,regimen,disease_vac,severity,gse_id,variant,prior_infection,previous_vaccination,week
"BBIBP (V3, D0)",6,BBIBP,0,3,0,IN,HO,V,H,GSE206023,None,No,Yes,0
"BBIBP (V3, D07)",6,BBIBP,7,3,0,IN,HO,V,H,GSE206023,None,No,Yes,1
"BBIBP (V3, D14)",6,BBIBP,14,3,0,IN,HO,V,H,GSE206023,None,No,Yes,2
"BBIBP (V3, D28)",6,BBIBP,28,3,0,IN,HO,V,H,GSE206023,None,No,Yes,4
"BNT (V1, D0)",75,BNT,0,1,0,RNA,HO,V,H,GSE199750,None,No,No,0
"BNT (V1, D0)",75,BNT,0,1,0,RNA,HO,V,H,GSE189039,None,No,No,0
"BNT (V1, D0)",75,BNT,7,1,0,RNA,HO,V,H,GSE189039,None,No,No,1
"BNT (V1, D0)",75,BNT,10,1,0,RNA,HO,V,H,GSE189039,None,No,No,2
"BNT (V1, D0)",75,BNT,11,1,0,RNA,HO,V,H,GSE189039,None,No,No,2
"BNT (V1, D6)",64,BNT,6,1,0,RNA,HO,V,H,GSE199750,None,No,No,1
"BNT (V2, D1)",46,BNT,1,2,0,RNA,HO,V,H,GSE199750,None,No,Yes,1
"BNT (V3, D1)",25,BNT,1,3,0,RNA,HO,V,H,GSE199750,None,No,Yes,1
BNT-I (D1),5,BNT,1,1,1,I,V-I,I,MI,GSE201530,Omicron,No,Yes,1
"BNT-I (D10, mild)",1,BNT,10,1,1,RNA,V-I,I,MI,GSE189039,Beta,No,Yes,2
"BNT-I (D10, severe)",3,BNT,10,1,1,RNA,V-I,I,S,GSE189039,Beta,No,Yes,2
BNT-I (D2),12,BNT,2,1,1,I,V-I,I,MI,GSE201530,Omicron,No,Yes,1
"BNT-I (D26, mild)",1,BNT,26,1,1,RNA,V-I,I,MI,GSE189039,Beta,No,Yes,4
"BNT-I (D26, severe)",2,BNT,26,1,1,RNA,V-I,I,S,GSE189039,Beta,No,Yes,4
BNT-I (D3),6,BNT,3,1,1,I,V-I,I,MI,GSE201530,Omicron,No,Yes,1
BNT-I (D4),2,BNT,4,1,1,I,V-I,I,MI,GSE201530,Omicron,No,Yes,1
