genes,infection_vaccination,n_conditions,comparison
CCNB2,Infection,9,Infection only
CX3CR1,Infection,9,Infection only
ANXA3,Infection,8,Infection only
BST1,Infection,8,Infection only
CCR7,Infection,8,Infection only
IMPDH2,Infection,8,Infection only
MAP2K6,Infection,8,Infection only
RPL22,Infection,8,Infection only
TARM1,Infection,8,Infection only
TBKBP1,Infection,8,Infection only
TRIM64B,Infection,8,Infection only
ZNF3,Infection,8,Infection only
ALOX5,Infection,7,Infection only
APBB1IP,Infection,7,Infection only
APOBEC3A,Infection,7,Infection only
BPI,Infection,7,Infection only
CACNB3,Infection,7,Infection only
CAMP,Infection,7,Infection only
CD177,Infection,7,Infection only
CD28,Infection,7,Infection only
CDKN2B,Infection,7,Infection only
CEACAM8,Infection,7,Infection only
CH25H,Infection,7,Infection only
CXCR4,Infection,7,Infection only
EFNB1,Infection,7,Infection only
ETS1,Infection,7,Infection only
F12,Infection,7,Infection only
FPR1,Infection,7,Infection only
HP,Infection,7,Infection only
IFI27,Infection,7,Infection only
IL10,Infection,7,Infection only
IL1RN,Infection,7,Infection only
IL2RB,Infection,7,Infection only
ITGA3,Infection,7,Infection only
ITGA6,Infection,7,Infection only
ITGAM,Infection,7,Infection only
LCN2,Infection,7,Infection only
LILRA6,Infection,7,Infection only
MYO1G,Infection,7,Infection only
NCF2,Infection,7,Infection only
RNASE2,Infection,7,Infection only
STXBP4,Infection,7,Infection only
TRIM22,Infection,7,Infection only
TRIM68,Infection,7,Infection only
ZC3HAV1,Infection,7,Infection only
ADARB1,Infection,6,Infection only
ADM,Infection,6,Infection only
ANKHD1,Infection,6,Infection only
AP3B1,Infection,6,Infection only
BATF2,Infection,6,Infection only
BCL3,Infection,6,Infection only
BCL6,Infection,6,Infection only
BMX,Infection,6,Infection only
C1R,Infection,6,Infection only
CAMLG,Infection,6,Infection only
CD1E,Infection,6,Infection only
CD38,Infection,6,Infection only
CD3G,Infection,6,Infection only
CD40LG,Infection,6,Infection only
CD46,Infection,6,Infection only
CDC42,Infection,6,Infection only
CFH,Infection,6,Infection only
CRISP3,Infection,6,Infection only
DEFA4,Infection,6,Infection only
EIF2AK2,Infection,6,Infection only
EOMES,Infection,6,Infection only
F2,Infection,6,Infection only
FASLG,Infection,6,Infection only
FCAR,Infection,6,Infection only
FCGR1A,Infection,6,Infection only
FPR3,Infection,6,Infection only
GBP6,Infection,6,Infection only
GPR183,Infection,6,Infection only
HMGB1,Infection,6,Infection only
IFITM1,Infection,6,Infection only
IFITM2,Infection,6,Infection only
IFNGR2,Infection,6,Infection only
IGF1R,Infection,6,Infection only
IL10RB,Infection,6,Infection only
IL1R1,Infection,6,Infection only
IL7R,Infection,6,Infection only
IRAK1BP1,Infection,6,Infection only
LAG3,Infection,6,Infection only
LMBR1L,Infection,6,Infection only
MEN1,Infection,6,Infection only
NFKBIA,Infection,6,Infection only
OLR1,Infection,6,Infection only
PARP9,Infection,6,Infection only
PIK3AP1,Infection,6,Infection only
PIK3R1,Infection,6,Infection only
PPARG,Infection,6,Infection only
PRKCD,Infection,6,Infection only
PRKCE,Infection,6,Infection only
PTGDS,Infection,6,Infection only
RAB6A,Infection,6,Infection only
RAG1,Infection,6,Infection only
RAP1GAP,Infection,6,Infection only
