genes,importance
day,0.1300412747770193
CEBPD,0.07461179870306857
FCER1A,0.061465487712523324
PLD4,0.03450824750356527
CCR7,0.03140743793202776
CLEC4E,0.029725463684934915
ACSL1,0.027711779986854087
age,0.026652420446447358
HLA-B,0.026640262285813236
CD3G,0.026249041276142034
RNF144B,0.022519593141729348
MMP8,0.020834415374401095
GLT1D1,0.019937802562349206
IL7R,0.018268038858951997
CHIT1,0.0171902268049658
SPOCK2,0.016391451840151477
CD4,0.01594185208358618
TLR2,0.014352399902843338
JAK3,0.013383531497811456
RNF130,0.011748912710605203
TGFA,0.011731652415984927
RNF135,0.011240502464339741
FAR2,0.011132202234044798
THEMIS,0.010477404057025387
BMX,0.01043886289782145
GCA,0.009719555903063426
CD2,0.009681240518403154
B2M,0.009579786229429621
BRI3,0.009365648109661751
TCN1,0.00901715453788956
SLC27A3,0.008986969075686135
MGST1,0.00893111566997379
APBB1,0.008392743334927535
SLC26A8,0.008103870077356834
FGD4,0.00804270666853112
ABCA1,0.007879630262990933
CD8A,0.0075562867277742885
CRISP3,0.007499841495962601
CCL5,0.007366848128269003
HAL,0.007144943116238226
CD68,0.0068895831275608355
MEGF9,0.006648320475064706
STXBP4,0.006616550158254167
CD24,0.00656432215986167
PFKFB4,0.00649018124726275
CD53,0.0061789006080707086
ROPN1L,0.006171924507519938
RNASE4,0.005695920182953815
MATK,0.0056825656181130006
IRF7,0.005510289135713539
TSPAN15,0.005382983278179637
TGFBR3,0.005370721201807966
POU2F2,0.005359648487916067
TLR5,0.005209197269007294
ST3GAL6,0.004995890953169488
MCTP1,0.004988492261115452
RBP7,0.004882246257768356
LHFPL2,0.004711626375378258
S100A8,0.004585756876648202
FLT3LG,0.004569321328898806
SLC22A15,0.004530833395684308
ADARB1,0.004524137498772807
REPS2,0.0044701145434098526
ZBTB46,0.004460711682896529
CD58,0.004444820034279258
ITGB7,0.004414716918416856
LPCAT2,0.004400477977732269
CD3E,0.00437088619817674
TTLL1,0.004361502154171889
GALNT6,0.004100834533770416
RHOA,0.004083674078512167
HDAC4,0.003972628413550613
KLF12,0.003959903504159708
JAG1,0.003936568249636939
LILRB1,0.003909432208209808
IL21R,0.003855514638793995
MFSD1,0.0037967856985246734
ANXA3,0.0037716217263198053
CREB5,0.0037611536089835816
HMGB2,0.0037518860571379388
RRAGD,0.0037162388053864964
SIRPG,0.003654291780568931
RETN,0.003650013468656554
MBOAT2,0.0035718853243703243
GPR89B,0.0035684076252130255
TRIM25,0.003563458065206836
LRRK2,0.0035419103484044183
RNF24,0.0034993262456235233
AIM2,0.0034954574760613834
MFSD6,0.003473196346412809
PYGL,0.003452955775266532
STXBP1,0.0034482658275229554
ALOX5,0.003434088015608409
PADI4,0.003426854610070193
GRINA,0.0034248781535173643
LILRA6,0.0034124899608698636
STXBP3,0.0034086346395070543
DUSP1,0.0033627300265282782
SPIRE1,0.0033439216551123083
QPCT,0.0032551823313364007
