condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"BBIBP (V3, D14)",INFLAMMATION,INFLAMMATION...1,INFLAMMATION,13,-0.884663081414879,-2.7096182397986324,1.903512255559543e-8,1.9986878683375202e-7,9.016637000018888e-8,122,"tags=77%, list=5%, signal=74%",IL1RN/PDE4B/RIPK2/TNFAIP3/NLRP3/TNFAIP6/IFNG/NFKBIA/IL1B/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",SIGNALING,SIGNALING...2,SIGNALING,28,-0.7688824884527679,-2.4921686387171187,1.8080781498283067e-8,1.9986878683375202e-7,9.016637000018888e-8,135,"tags=75%, list=5%, signal=72%",BCL2A1/IL23A/IFIH1/BCL6/MAP3K8/TRIB1/NFKB2/PDE4B/BCL3/TNFAIP3/PTX3/ICAM1/CD83/TNFAIP6/IFNG/NFKBIA/IL1B/G0S2/IL1A/CXCL2/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",DENDRITIC CELL,DENDRITIC CELL...3,DENDRITIC CELL,36,-0.7139031583631749,-2.3574985530015096,3.246095000077444e-8,2.2722665000542107e-7,1.0250826316034033e-7,135,"tags=61%, list=5%, signal=59%",BCL2A1/IL23A/IFIH1/IL1RN/MAP3K8/NFKBID/EMP1/NFKB2/PDE4B/BCL3/NINJ1/ICAM1/C1QA/CD83/TNFAIP6/IFNG/NFKBIA/IL1B/CXCL2/EREG/CCL20/HLA-DMA,ImmuneGO_BTM_general
"BBIBP (V3, D14)",MONOCYTE,MONOCYTE...4,MONOCYTE,25,-0.7544393790421323,-2.406483323666822,2.676561272456236e-7,1.4051946680395239e-6,6.339224066343716e-7,239,"tags=72%, list=10%, signal=66%",LGALS3/LYZ/SGK1/SLC31A2/ASGR2/KLF4/MARCKS/MAFB/IL1RN/BCL6/CSF1/NLRP3/NINJ1/PTX3/IL1B/G0S2/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",ARPP,ARPP...5,ARPP,31,-0.7052791124655127,-2.4760910273234322,6.555205154798828e-7,2.7531861650155078e-6,1.2420388714355674e-6,336,"tags=71%, list=14%, signal=62%",NCF4/LY96/PLEK/PLCG2/LGALS3/ASGR2/GPR183/JMJD6/IFIH1/BCL6/CSF1/TICAM1/JUN/RIPK2/TNFAIP3/ICAM1/NFKBIA/IL1B/EREG/CCL3/CCL20/HLA-DMA,ImmuneGO_BTM_general
"BBIBP (V3, D14)",T CELL,T CELL...6,T CELL,40,-0.5550894177451026,-1.8871357587176627,2.4531990272707286e-4,8.58619659544755e-4,3.873472148322203e-4,388,"tags=65%, list=16%, signal=56%",ITM2A/FOSL2/PPP2CA/PTGER4/GZMB/PLCG2/RPS6/IRF1/RHOH/GATA3/ICOS/GPR183/BRD2/JMJD6/IL23A/BCL6/MAP3K8/CTNNB1/JUN/NFKBID/PDE4B/BCL3/CD83/IFNG/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",IMMUNE SYSTEM,IMMUNE SYSTEM...7,IMMUNE SYSTEM,7,-0.8395293657470784,-2.2665422675266598,8.259001952967556e-4,0.002477700585890267,0.001117759662807639,315,"tags=86%, list=13%, signal=75%",LY96/PLEK/JUN/ICAM1/NFKBIA/HLA-DMA,ImmuneGO_BTM_general
"BBIBP (V3, D14)",MACROPHAGE,MACROPHAGE...8,MACROPHAGE,9,-0.7597759228687027,-2.180249914474673,0.003161935620821907,0.008300081004657506,0.003744397445710153,384,"tags=78%, list=16%, signal=66%",RPL13A/PLCG2/LGALS3/JMJD6/CSF1/TICAM1/CCL3,ImmuneGO_BTM_general
"BBIBP (V3, D14)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...9,CELLULAR ADAPTIVE IMMUNE SYSTEM,45,-0.462572064607391,-1.615543215059549,0.004367155404137553,0.010190029276320957,0.0045970056885658445,289,"tags=51%, list=12%, signal=46%",PTGER4/GZMB/PLCG2/RPS6/IRF1/RHOH/GATA3/ICOS/GPR183/BRD2/JMJD6/IL23A/BCL6/MAP3K8/CTNNB1/JUN/NFKBID/PDE4B/BCL3/CD83/IFNG/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",ANTIVIRAL & IFN,ANTIVIRAL & IFN...10,ANTIVIRAL & IFN,16,-0.5948916401640051,-1.8606324195545747,0.02839381376265406,0.059627008901573526,0.026899402511988052,127,"tags=44%, list=5%, signal=42%",IRF1/IFIH1/BCL3/PTX3/IL1B/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",ANTIMICROBIAL,ANTIMICROBIAL...11,ANTIMICROBIAL,12,-0.5812463387774517,-1.7567543360626547,0.05582713696460643,0.08374070544690965,0.0377777618557487,239,"tags=75%, list=10%, signal=68%",FAU/LGALS3/LYZ/RPL39/BCL3/ADM/CXCL8/CXCL2/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",NEUTROPHIL,NEUTROPHIL...12,NEUTROPHIL,17,-0.5419128352081195,-1.7049255012597373,0.04999740571264988,0.08374070544690965,0.0377777618557487,105,"tags=47%, list=4%, signal=45%",CSF1/PDE4B/FFAR2/G0S2/CXCL8/CXCL2/CCL3/CCL20,ImmuneGO_BTM_general
"BBIBP (V3, D14)",EOSINOPHIL,EOSINOPHIL...13,EOSINOPHIL,3,-0.8035716151526706,-1.586824028987687,0.049142771468567055,0.08374070544690965,0.0377777618557487,239,"tags=100%, list=10%, signal=90%",LGALS3/CCL3,ImmuneGO_BTM_general
"BBIBP (V3, D14)",MYELOID CELL,MYELOID CELL...14,MYELOID CELL,8,-0.5370615846703537,-1.5118403778430753,0.05241396842460846,0.08374070544690965,0.0377777618557487,132,"tags=62%, list=5%, signal=59%",MARCKS/IL23A/IL1RN/BCL6/NLRP3,ImmuneGO_BTM_general
"BBIBP (V3, D14)",IMMUNOGLOBULIN MEDIATED RESPONSE,IMMUNOGLOBULIN MEDIATED RESPONSE...15,IMMUNOGLOBULIN MEDIATED RESPONSE,17,-0.4505950845930317,-1.417628446039504,0.17418574851340152,0.24386004791876212,0.11001205169267464,250,"tags=65%, list=10%, signal=59%",PLCG2/CAMLG/GATA3/GPR183/IRF2BP2/BCL6/TICAM1/BCL3/TNFAIP3/PTX3/NFKBIA,ImmuneGO_BTM_general
"BBIBP (V3, D14)",LYMPHOCYTE,LYMPHOCYTE...16,LYMPHOCYTE,7,-0.3334372945296416,-0.9002064161849107,0.5029585798816568,0.6601331360946746,0.2978044222983494,129,"tags=29%, list=5%, signal=27%",IL23A/IL1A,ImmuneGO_BTM_general
"BBIBP (V3, D14)",MAST CELL,MAST CELL...17,MAST CELL,2,0.5988741006188651,0.9386287875904344,0.5696400625978091,0.6877192982456141,0.31024930747922436,330,"tags=50%, list=13%, signal=43%",CPLX2,ImmuneGO_BTM_general
