condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"BNT (V3, D1)",Activated (LPS) dendritic cell surface signature (S11),Activated (LPS) dendritic cell surface signature (S11)...1,Activated (LPS) dendritic cell surface signature (S11),1,0.9796610169491525,1.3143180638769627,0.057971014492753624,0.6183574879227053,0.6183574879227053,7,"tags=100%, list=2%, signal=98%",IFI27,ImmuneGO_BTM_specific
"BNT (V3, D1)","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway...2","Signaling, Interferon I, Pathway",1,0.9796610169491525,1.3143180638769627,0.057971014492753624,0.6183574879227053,0.6183574879227053,7,"tags=100%, list=2%, signal=98%",IFI27,ImmuneGO_BTM_specific
"BNT (V3, D1)",enriched in activated dendritic cells (II) (M165),enriched in activated dendritic cells (II) (M165)...3,enriched in activated dendritic cells (II) (M165),1,0.9796610169491525,1.3143180638769627,0.057971014492753624,0.6183574879227053,0.6183574879227053,7,"tags=100%, list=2%, signal=98%",IFI27,ImmuneGO_BTM_specific
"BNT (V3, D1)","Differentiation, B cell","Differentiation, B cell...4","Differentiation, B cell",1,0.9254237288135593,1.241553049959899,0.15320910973084886,0.8707482993197277,0.8707482993197279,23,"tags=100%, list=8%, signal=93%",IL11,ImmuneGO_BTM_specific
"BNT (V3, D1)","Activation, Mast cell","Activation, Mast cell","Activation, Mast cell",1,0.9084745762711864,1.2188139831108167,0.19047619047619047,0.8707482993197277,0.8707482993197279,28,"tags=100%, list=9%, signal=91%",CHGA,ImmuneGO_BTM_specific
"BNT (V3, D1)","Chemotaxis, Mast cell","Chemotaxis, Mast cell","Chemotaxis, Mast cell",1,0.9084745762711864,1.2188139831108167,0.19047619047619047,0.8707482993197277,0.8707482993197279,28,"tags=100%, list=9%, signal=91%",CHGA,ImmuneGO_BTM_specific
"BNT (V3, D1)","Degranulation, Mast cell","Degranulation, Mast cell","Degranulation, Mast cell",1,0.9084745762711864,1.2188139831108167,0.19047619047619047,0.8707482993197277,0.8707482993197279,28,"tags=100%, list=9%, signal=91%",CHGA,ImmuneGO_BTM_specific
"BNT (V3, D1)",Innate immune response,Innate immune response...8,Innate immune response,4,0.6229117478462055,1.2140670783902956,0.26963906581740976,0.9248554913294796,0.9248554913294796,28,"tags=50%, list=9%, signal=46%",IFI27/CHGA,ImmuneGO_BTM_specific
"BNT (V3, D1)","plasma cells, immunoglobulins (M156.1)","plasma cells, immunoglobulins (M156.1)...9","plasma cells, immunoglobulins (M156.1)",1,0.8847457627118644,1.1869792895221014,0.2422360248447205,0.9248554913294796,0.9248554913294796,35,"tags=100%, list=12%, signal=88%",IGHV3-48,ImmuneGO_BTM_specific
"BNT (V3, D1)",Antimicrobial humoral response,Antimicrobial humoral response,Antimicrobial humoral response,1,0.8338983050847457,1.118762088974854,0.32298136645962733,0.9248554913294796,0.9248554913294796,50,"tags=100%, list=17%, signal=83%",PRTN3,ImmuneGO_BTM_specific
"BNT (V3, D1)","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil...11","Chemotaxis, Neutrophil",2,0.6632653061224489,1.063207128805235,0.44234800838574423,0.9248554913294796,0.9248554913294796,101,"tags=100%, list=34%, signal=66%",TGFB2/LGALS3,ImmuneGO_BTM_specific
