condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"I (D26, severe)",ANTIMICROBIAL,ANTIMICROBIAL...1,ANTIMICROBIAL,12,0.7173209336557587,2.187041687825625,1.2438495764867825e-4,0.0023633141953248865,0.0018330414811384163,569,"tags=67%, list=11%, signal=60%",BPI/DEFA4/S100A12/RNASE3/CXCL2/CAMP/CCL20/CXCL3,Immune_GO_T2G_general
"I (D26, severe)",NEUTROPHIL,NEUTROPHIL...2,NEUTROPHIL,19,0.5488690592969825,1.994601916221737,0.0016948519911079902,0.016101093915525905,0.012488383092374664,569,"tags=42%, list=11%, signal=38%",CD177/S100A12/ANXA3/IL18RAP/CXCL2/CAMP/CCL20/CXCL3,Immune_GO_T2G_general
"I (D26, severe)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...3,CELLULAR ADAPTIVE IMMUNE SYSTEM,105,-0.2884816622350799,-1.5967501640698534,0.005740455916505086,0.036356220804532206,0.028198730817919716,998,"tags=32%, list=19%, signal=27%",AKT1/CORO1A/CSK/CRTAM/SPNS2/MEN1/LILRB1/CD1C/RORC/CD3G/CD81/CACNB4/TCF7/IL7R/CACNB3/CD247/S1PR1/CD40LG/SPN/CCR7/EFNB1/SRC/LFNG/CD6/CD7/EOMES/ZAP70/PRF1/CX3CR1/ZNF683/ZFPM1/GZMM/FCER1A/EPHB3,Immune_GO_T2G_general
"I (D26, severe)",MONOCYTE,MONOCYTE...4,MONOCYTE,4,0.7715075821197481,1.6287333200708858,0.01317388029900944,0.06257593142029484,0.04853534847003478,388,"tags=75%, list=7%, signal=70%",S100A12/FLT1/CCL20,Immune_GO_T2G_general
"I (D26, severe)",GENERAL,GENERAL...5,GENERAL,138,-0.24442436128661174,-1.4313316403677323,0.023289422178141273,0.08849980427693684,0.06864250747241639,1211,"tags=41%, list=22%, signal=32%",CD79B/MYO1G/FAM3A/GSDMD/CCR1/GATA3/CD300LB/TGFBR3/CD300C/CD14/CORO1A/CSK/CRTAM/SPNS2/IL27RA/CCL5/TTLL1/LILRB1/CD1C/GNLY/RORC/CD3G/CD81/TCF7/IL7R/CXCR3/HLA-DPA1/CD247/S1PR1/CD40LG/SPN/CCR7/S1PR4/CTSW/SRC/LTB/KIR2DL3/CD1B/CD6/CD7/EOMES/ACKR3/AXL/ZAP70/PRF1/SFTPD/FASLG/CX3CR1/ADD2/CRIP1/ZNF683/CLEC10A/ITGB8/GZMM/DBH/MS4A2,Immune_GO_T2G_general
"I (D26, severe)",T CELL,T CELL...6,T CELL,88,-0.26259849018507075,-1.4108872760515043,0.058823529411764705,0.18627450980392155,0.14447884416924667,998,"tags=32%, list=19%, signal=26%",AKT1/CORO1A/CSK/CRTAM/SPNS2/LILRB1/CD1C/CD3G/CD81/TCF7/IL7R/CACNB3/CD247/S1PR1/CD40LG/SPN/CCR7/EFNB1/SRC/LFNG/CD6/CD7/EOMES/ZAP70/PRF1/ZNF683/GZMM/FCER1A,Immune_GO_T2G_general
"I (D26, severe)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...7,HUMORAL ADAPTIVE IMMUNE SYSTEM,69,0.26321705324720435,1.349247816661011,0.09683794466403162,0.2628458498023715,0.20386935718743499,1412,"tags=41%, list=26%, signal=30%",CH25H/BPI/DEFA4/NFKBIA/S100A12/RNASE3/BMX/TNFAIP3/CXCL2/CAMP/CCL20/FLT3/BCL6/CXCL3/WFDC3/PTX3/IL10/CD38/FCER1G/SOS2/RBPJ/HHEX/BST1/PRKCE/JAK3/BCL3/BCL10/TPD52,Immune_GO_T2G_general
"I (D26, severe)",ANTIVIRAL & IFN,ANTIVIRAL & IFN...8,ANTIVIRAL & IFN,27,0.29659273732875074,1.168339279426596,0.25346534653465347,0.601980198019802,0.46690984887962483,1741,"tags=56%, list=32%, signal=38%",IFI27/IL12B/CCL20/EIF2AK2/IFNGR1/RAB43/SP100/GBP2/STXBP3/ACTR3/VIM/RNF135/CDC42/CD58/IFNGR2,Immune_GO_T2G_general
"I (D26, severe)",MAST CELL,MAST CELL...9,MAST CELL,8,-0.4205589348772092,-1.147309142706934,0.3173277661795407,0.6699141730456971,0.519601020644862,86,"tags=25%, list=2%, signal=25%",FCER1A/PTGDS,Immune_GO_T2G_general
"I (D26, severe)",T HELPER CELLS,T HELPER CELLS...10,T HELPER CELLS,11,-0.3517152237452867,-1.0773974176786754,0.38865546218487396,0.7384453781512604,0.5727554179566564,1148,"tags=45%, list=21%, signal=36%",GATA3/MEN1/RORC/SPN/ZFPM1,Immune_GO_T2G_general
