condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"I (D26, severe)",Antimicrobial peptide-mediated immune response,Antimicrobial peptide-mediated immune response...1,Antimicrobial peptide-mediated immune response,11,0.7534034237579523,2.30923068692345,4.7273539157579835e-5,0.010400178614667563,0.009454707831515967,569,"tags=73%, list=11%, signal=65%",BPI/DEFA4/S100A12/RNASE3/CXCL2/CAMP/CCL20/CXCL3,Immune_GO_T2G_specfic
"I (D26, severe)",Antimicrobial immune response,Antimicrobial immune response...2,Antimicrobial immune response,12,0.7173209336557587,2.2479752332472636,2.3268867522269757e-4,0.025595754274496733,0.02326886752226976,569,"tags=67%, list=11%, signal=60%",BPI/DEFA4/S100A12/RNASE3/CXCL2/CAMP/CCL20/CXCL3,Immune_GO_T2G_specfic
"I (D26, severe)",Antibacterial humoral response,Antibacterial humoral response...3,Antibacterial humoral response,6,0.8182786526213335,2.0512750128872814,4.804065180276316e-4,0.035229811322026315,0.03202710120184211,724,"tags=83%, list=13%, signal=72%",BPI/DEFA4/RNASE3/CAMP/WFDC3,Immune_GO_T2G_specfic
"I (D26, severe)",Neutrophil,Neutrophil...4,Neutrophil,19,0.5488690592969825,2.0233439546394343,0.0019631906699843016,0.08653880809610406,0.07867164372373099,569,"tags=42%, list=11%, signal=38%",CD177/S100A12/ANXA3/IL18RAP/CXCL2/CAMP/CCL20/CXCL3,Immune_GO_T2G_specfic
"I (D26, severe)",Adaptive Immune response,Adaptive Immune response...5,Adaptive Immune response,30,-0.46636433509208486,-1.928187125230211,0.002360149311711929,0.08653880809610406,0.07867164372373099,1211,"tags=60%, list=22%, signal=47%",CD79B/MYO1G/CSK/CRTAM/LILRB1/CD1C/CD3G/CD81/HLA-DPA1/CD247/CD1B/CD6/CD7/EOMES/ZAP70/CX3CR1/ZNF683/CLEC10A,Immune_GO_T2G_specfic
"I (D26, severe)","Innate immune response, mucosa","Innate immune response, mucosa...6","Innate immune response, mucosa",4,0.8630289532293987,1.8837189588034693,0.0021945170318066016,0.08653880809610406,0.07867164372373099,742,"tags=100%, list=14%, signal=86%",DEFA4/RNASE3/CAMP/RNASE2,Immune_GO_T2G_specfic
"I (D26, severe)",Immune response,Immune response...7,Immune response,51,-0.36894442144618406,-1.7396597352651448,0.005728204946449106,0.1258104653553608,0.11437315032305531,908,"tags=45%, list=17%, signal=38%",IL27RA/CCL5/CD1C/TCF7/IL7R/CXCR3/HLA-DPA1/CD40LG/SPN/CCR7/S1PR4/CTSW/LTB/KIR2DL3/CD1B/CD7/ACKR3/ZAP70/FASLG/CX3CR1/CRIP1/ITGB8/MS4A2,Immune_GO_T2G_specfic
"I (D26, severe)","Selection-, T cell, Thymic","Selection-, T cell, Thymic...8","Selection-, T cell, Thymic",4,-0.7967477471986427,-1.6849466339847785,0.006110054152384992,0.1258104653553608,0.11437315032305531,584,"tags=75%, list=11%, signal=67%",SPN/CCR7/ZAP70,Immune_GO_T2G_specfic
"I (D26, severe)","Formation, Immunological synapse","Formation, Immunological synapse...9","Formation, Immunological synapse",3,-0.8656522545926888,-1.6800817584227143,0.006862389019383318,0.1258104653553608,0.11437315032305531,728,"tags=100%, list=14%, signal=87%",CD6/PRF1,Immune_GO_T2G_specfic
"I (D26, severe)",T cell-mediated cytotoxicity,T cell-mediated cytotoxicity...10,T cell-mediated cytotoxicity,4,-0.7915161776866587,-1.6738830125680026,0.00663483775629034,0.1258104653553608,0.11437315032305531,661,"tags=75%, list=12%, signal=66%",IL7R/PRF1/GZMM,Immune_GO_T2G_specfic
"I (D26, severe)",Cellular adaptive immune system,Cellular adaptive immune system...11,Cellular adaptive immune system,105,-0.2884816622350799,-1.6201331323128836,0.006313608760660903,0.1258104653553608,0.11437315032305531,998,"tags=32%, list=19%, signal=27%",AKT1/CORO1A/CSK/CRTAM/SPNS2/MEN1/LILRB1/CD1C/RORC/CD3G/CD81/CACNB4/TCF7/IL7R/CACNB3/CD247/S1PR1/CD40LG/SPN/CCR7/EFNB1/SRC/LFNG/CD6/CD7/EOMES/ZAP70/PRF1/CX3CR1/ZNF683/ZFPM1/GZMM/FCER1A/EPHB3,Immune_GO_T2G_specfic
"I (D26, severe)","Migration, Neutrophil","Migration, Neutrophil...12","Migration, Neutrophil",1,0.9977740678909294,1.3391996868976532,0.006246448915678536,0.1258104653553608,0.11437315032305531,13,"tags=100%, list=0%, signal=100%",CD177,Immune_GO_T2G_specfic
"I (D26, severe)",Innate immune response,Innate immune response...13,Innate immune response,65,0.3307796996929384,1.6863377117253038,0.008689399311334417,0.14705137296104398,0.1336830663282218,980,"tags=37%, list=18%, signal=31%",CD177/CRISP3/LCN2/IFI27/BPI/DEFA4/S100A12/RNASE3/TARM1/VNN1/PPARG/CAMP/FCGR1A/TRIM22/ANKHD1/WFDC3/PTX3/HMGB2/CR1/SLC15A4/FCER1G/PARP9/EIF2AK2/APOBEC3A,Immune_GO_T2G_specfic
"I (D26, severe)","Extravasation, Neutrophil","Extravasation, Neutrophil...14","Extravasation, Neutrophil",2,0.9039648279935765,1.5283475752259441,0.010793255192688447,0.16960829588510415,0.15418935989554927,13,"tags=50%, list=0%, signal=50%",CD177,Immune_GO_T2G_specfic
"I (D26, severe)","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil...15","Chemotaxis, Neutrophil",8,0.6402046729368063,1.753303611547655,0.01733459383672333,0.2382017912070675,0.21654708291551591,944,"tags=62%, list=18%, signal=52%",S100A12/CXCL2/CCL20/CXCL3/FCER1G,Immune_GO_T2G_specfic
"I (D26, severe)","Chemotaxis, Monocyte","Chemotaxis, Monocyte...16","Chemotaxis, Monocyte",4,0.7715075821197481,1.683956782517465,0.01840650204781885,0.2382017912070675,0.21654708291551591,388,"tags=75%, list=7%, signal=70%",S100A12/FLT1/CCL20,Immune_GO_T2G_specfic
"I (D26, severe)",Monocyte,Monocyte...17,Monocyte,4,0.7715075821197481,1.683956782517465,0.01840650204781885,0.2382017912070675,0.21654708291551591,388,"tags=75%, list=7%, signal=70%",S100A12/FLT1/CCL20,Immune_GO_T2G_specfic
"I (D26, severe)",General,General...18,General,138,-0.24442436128661174,-1.4337663103071727,0.02279875523928077,0.27865145292454274,0.25331950265867526,1211,"tags=41%, list=22%, signal=32%",CD79B/MYO1G/FAM3A/GSDMD/CCR1/GATA3/CD300LB/TGFBR3/CD300C/CD14/CORO1A/CSK/CRTAM/SPNS2/IL27RA/CCL5/TTLL1/LILRB1/CD1C/GNLY/RORC/CD3G/CD81/TCF7/IL7R/CXCR3/HLA-DPA1/CD247/S1PR1/CD40LG/SPN/CCR7/S1PR4/CTSW/SRC/LTB/KIR2DL3/CD1B/CD6/CD7/EOMES/ACKR3/AXL/ZAP70/PRF1/SFTPD/FASLG/CX3CR1/ADD2/CRIP1/ZNF683/CLEC10A/ITGB8/GZMM/DBH/MS4A2,Immune_GO_T2G_specfic
"I (D26, severe)","Development, Lymph node","Development, Lymph node...19","Development, Lymph node",5,-0.7090387913899446,-1.6237690183381877,0.026495993867381242,0.2914559325411937,0.26495993867381246,910,"tags=80%, list=17%, signal=67%",SPNS2/RORC/IL7R/LTB,Immune_GO_T2G_specfic
