"","BBIBP (V3, D28)","BNT (V2, D1)","BNT (V3, D1)","BNT-MO (V3, D1)","ChAd (V1, D3)","ChAd (V1, D6)","ChAd (V1, D7)","ChAd (V2, D1)","ChAd (V2, D7)","ChAd-BNT (V2, D3)","ZF2001 (V3, D14)","ZF2001 (V3, D28)"
"ACTIVATION, GAMMA-DELTA T CELL",0.2232831238479,-1.06401723969589,-0.585008092738312,-1.8685755230499,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ACTIVATION, NEUTROPHIL",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,2.64089020642498,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ADAPTIVE IMMUNE RESPONSE",0.2232831238479,-2.7556258629091,-2.88990484250607,-2.79055885901435,-0.62304128893671,2.71506704385792,-0.256346017760011,-3.10604099769754,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIBACTERIAL HUMORAL RESPONSE",0.2232831238479,-1.06401723969589,0.999608422727025,1.5236273168193,-0.62304128893671,-0.271946340502077,2.70253353034381,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIFUNGAL HUMORAL RESPONSE",0.2232831238479,-1.06401723969589,0.909573393439222,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIFUNGAL INNATE IMMUNE RESPONSE",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,1.22509865088636,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIMICROBIAL HUMORAL RESPONSE",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,2.61006854446557,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIMICROBIAL PEPTIDE-MEDIATED IMMUNE RESPONSE",0.2232831238479,-1.06401723969589,1.20668899008897,1.28878250482836,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"ANTIVIRAL INNATE IMMUNE RESPONSE",0.2232831238479,1.0974826677432,1.287720516448,1.54102322881863,1.36317807167774,-0.271946340502077,-0.256346017760011,2.47037577361021,0.223108712743663,2.31795246431543,-0.156173761888606,-0.156173761888606
"APP",0.2232831238479,0.824945722892184,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"APP, EXOGENOUS ANTIGEN",0.2232831238479,0.383247915719848,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"CELLULAR RESPONSE TO INTERFERON II",0.2232831238479,1.22905222732645,1.35074503694946,1.56711709681762,1.10826221790904,-0.271946340502077,-2.95324143920881,-0.103355043916444,0.223108712743663,1.9990395413727,-0.156173761888606,-0.156173761888606
"CHEMOTAXIS, EOSINOPHIL",0.2232831238479,0.683978337624417,1.05362944029971,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"CHEMOTAXIS, LYMPHOCYTE",0.2232831238479,0.683978337624417,1.16167147544507,-0.198567971114295,-0.62304128893671,-2.69245718644897,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"CHEMOTAXIS, MACROPHAGE",0.2232831238479,0.636989209201828,1.01761542858459,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"CHEMOTAXIS, MONOCYTE",0.2232831238479,0.730967466047006,1.09864695494361,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"CHEMOTAXIS, NEUTROPHIL",-4.08883705383938,0.674580511939899,1.17067497837385,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,-4.66912467644329,-0.407303422649691,-0.156173761888606,-0.156173761888606
"DIFFERENTIATION, ALPHA-BETA T CELL",0.2232831238479,-1.06401723969589,-2.14261409941731,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"DIFFERENTIATION, CD4+ T CELL",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,6.24695047554424,-0.156173761888606
"DIFFERENTIATION, MYELOID DENDRITIC CELL",0.2232831238479,0.71217181467797,-0.585008092738312,-0.198567971114295,1.27820612042151,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"HOMEOSTASIS, B CELL",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,6.24695047554424
"IMMUNE RESPONSE",0.2232831238479,0.702773988993452,0.711496329006055,-0.198567971114295,-0.62304128893671,2.23868990928326,-0.256346017760011,-0.103355043916444,-4.03211512055957,-0.407303422649691,-0.156173761888606,-0.156173761888606
"IMMUNE SYSTEM PROCESS",0.2232831238479,0.768558768785077,0.594450790931911,-1.65982457905795,2.30849102940334,2.39319060157775,-0.256346017760011,-0.103355043916444,0.223108712743663,2.66585747116204,-0.156173761888606,-0.156173761888606
"IMMUNOGLOBULIN-MEDIATED IMMUNE RESPONSE",-4.61920477622873,-1.06401723969589,-0.585008092738312,-2.2860774110338,-0.62304128893671,2.76656727462275,-0.256346017760011,-2.74207906390589,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"INNATE IMMUNE RESPONSE",0.2232831238479,1.45460004375488,1.21569249301775,1.45404366882198,1.98984621219246,-0.271946340502077,-0.256346017760011,2.30139344720694,0.223108712743663,2.50640100969068,-0.156173761888606,-0.156173761888606
"KILLING OF BACTERIUM, NEUTROPHIL",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,1.99363530527727,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"KILLING OF GRAM- BACTERIUM, NEUTROPHIL",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,1.97822447429756,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"MHC I, ENDOGENOUS PEPTIDE",0.2232831238479,0.665182686255381,-0.585008092738312,1.21050090083137,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"MHC I, EXOGENOUS PEPTIDE",0.2232831238479,0.674580511939899,0.85555237586654,1.19310498883205,1.22509865088636,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"MHC II, EXOGENOUS PEPTIDE",0.2232831238479,0.92832180542188,-0.585008092738312,1.32357432882701,1.39504255339883,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"MHCII PEPTIDE COMPLEX",0.2232831238479,0.608795732148275,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"PROLIFERATION, T CELL",0.2232831238479,0.636989209201828,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"PRR, TLR2",0.2232831238479,0.477226172565025,-0.585008092738312,-0.198567971114295,-0.62304128893671,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
"PRR, TLR4",0.2232831238479,-1.06401723969589,-0.585008092738312,-0.198567971114295,1.28882761432854,-0.271946340502077,-0.256346017760011,-0.103355043916444,0.223108712743663,-0.407303422649691,-0.156173761888606,-0.156173761888606
