"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","condition"
"GO:0051607","defense response to virus","29/274","334/18870",1.1306922079535e-14,1.78307541021036e-11,1.64922093423013e-11,"IFIT3/ZBP1/AIM2/ISG20/CXCL10/MLKL/DDX60L/RTP4/IFI16/IFI44L/IFIH1/IFIT5/DHX58/TRIM5/TRIM6/GBP3/ISG15/OASL/RSAD2/OAS1/GBP5/OAS3/TLR7/DTX3L/PLSCR1/MOV10/IRF7/USP18/HERC5",29,"BBIBP (V3, D07)"
"GO:0140546","defense response to symbiont","29/274","335/18870",1.22212159712841e-14,1.78307541021036e-11,1.64922093423013e-11,"IFIT3/ZBP1/AIM2/ISG20/CXCL10/MLKL/DDX60L/RTP4/IFI16/IFI44L/IFIH1/IFIT5/DHX58/TRIM5/TRIM6/GBP3/ISG15/OASL/RSAD2/OAS1/GBP5/OAS3/TLR7/DTX3L/PLSCR1/MOV10/IRF7/USP18/HERC5",29,"BBIBP (V3, D07)"
"GO:0009615","response to virus","31/274","436/18870",2.9647303437767e-13,2.88369438104681e-10,2.66721705313806e-10,"IFIT3/ZBP1/AIM2/ISG20/CXCL10/MLKL/DDX60L/RTP4/IFI16/IFI44/IFI44L/IFIH1/IFIT5/DHX58/TRIM5/TRIM6/GBP3/ISG15/OASL/RSAD2/OAS1/GBP5/OAS3/TLR7/DTX3L/NMI/PLSCR1/MOV10/IRF7/USP18/HERC5",31,"BBIBP (V3, D07)"
"GO:0045088","regulation of innate immune response","27/274","425/18870",1.43312981603114e-10,1.04546820079472e-07,9.66985486395751e-08,"ZBP1/COLEC12/AIM2/IFI16/SERPING1/IFIH1/DHX58/TRIM5/TRIM6/RIPK2/ISG15/SLAMF8/OASL/RSAD2/OAS1/GBP5/OAS3/TLR7/PARP14/TRAFD1/TIFA/NMI/PLSCR1/CEACAM1/WDFY1/IRF7/USP18",27,"BBIBP (V3, D07)"
"GO:0045071","negative regulation of viral genome replication","11/274","55/18870",3.36532542476437e-10,1.96400391789249e-07,1.81656723980965e-07,"ISG20/IFI16/IFIH1/IFIT5/TRIM6/ISG15/OASL/RSAD2/OAS1/OAS3/PLSCR1",11,"BBIBP (V3, D07)"
"GO:0048525","negative regulation of viral process","13/274","93/18870",8.85392979450453e-10,4.3059611900607e-07,3.98271508651046e-07,"ISG20/IFI16/IFIH1/IFIT5/TRIM5/TRIM6/ISG15/OASL/LY6E/RSAD2/OAS1/OAS3/PLSCR1",13,"BBIBP (V3, D07)"
"GO:0045824","negative regulation of innate immune response","12/274","91/18870",7.86802264926356e-09,3.2798414415073e-06,3.03362557484388e-06,"IFI16/SERPING1/DHX58/ISG15/SLAMF8/OAS1/OAS3/PARP14/TRAFD1/NMI/CEACAM1/USP18",12,"BBIBP (V3, D07)"
"GO:1903900","regulation of viral life cycle","14/274","143/18870",2.22252196328063e-08,7.99288719023847e-06,7.3928656093833e-06,"ISG20/IFI16/IFIH1/IFIT5/TRIM5/TRIM6/ISG15/OASL/LY6E/RSAD2/OAS1/LAMP3/OAS3/PLSCR1",14,"BBIBP (V3, D07)"
"GO:0002833","positive regulation of response to biotic stimulus","22/274","369/18870",2.46524964743476e-08,7.99288719023847e-06,7.3928656093833e-06,"ZBP1/COLEC12/AIM2/IFI16/IFIH1/DHX58/TRIM5/TRIM6/RIPK2/CD274/OASL/RSAD2/OAS1/GBP5/OAS3/TLR7/TIFA/NMI/PLSCR1/WDFY1/IRF7/SIGLEC16",22,"BBIBP (V3, D07)"
"GO:0045069","regulation of viral genome replication","11/274","85/18870",4.08351586235243e-08,1.19156992863444e-05,1.10211943906017e-05,"ISG20/IFI16/IFIH1/IFIT5/TRIM6/ISG15/OASL/RSAD2/OAS1/OAS3/PLSCR1",11,"BBIBP (V3, D07)"
