"","condition","id","delete","description","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment","gsea_enrichment"
"1","BBIBP (V3, D14)","EOSINOPHIL","EOSINOPHIL...1","EOSINOPHIL",1,-0.981132075471698,-1.31600196947317,0.0796116504854369,0.132686084142395,0.132686084142395,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"2","BBIBP (V3, D14)","MONOCYTES","MONOCYTES...2","MONOCYTES",1,-0.981132075471698,-1.31600196947317,0.0796116504854369,0.132686084142395,0.132686084142395,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"3","BBIBP (V3, D14)","NEUTROPHIL","NEUTROPHIL...3","NEUTROPHIL",1,-0.981132075471698,-1.31600196947317,0.0796116504854369,0.132686084142395,0.132686084142395,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"4","BNT (V2, D1)","EOSINOPHIL","EOSINOPHIL...4","EOSINOPHIL",6,0.822862777167568,1.75654849782976,0.00738739288794559,0.0504299037314787,0.0331775682443939,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","ImmuneGO"
"5","BNT (V2, D1)","NEUTROPHIL","NEUTROPHIL...5","NEUTROPHIL",25,0.563511279408103,1.7294066231808,0.0126074759328697,0.0504299037314787,0.0331775682443939,699,"tags=28%, list=9%, signal=26%","CCL8/CXCL9/CCL2/IL15/ANXA3/PDE4B/FCER1G","ImmuneGO"
"6","BNT (V2, D1)","MONOCYTES","MONOCYTES...6","MONOCYTES",6,0.776211713997853,1.65696341851071,0.0244631951599331,0.0652351870931549,0.0429178862454967,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","ImmuneGO"
"7","BNT (V3, D1)","NEUTROPHIL","NEUTROPHIL...7","NEUTROPHIL",29,0.584644406416021,1.81735681050778,0.00354544225265079,0.0283635380212063,0.0186602223823726,851,"tags=45%, list=16%, signal=38%","CCL8/CCL2/CXCL9/PRTN3/ANXA3/CCL3/CCL3L1/CXCL2/ELANE/IL15/PDE4B/FCER1G/CAMP","ImmuneGO"
"8","BNT (V3, D1)","EOSINOPHIL","EOSINOPHIL...8","EOSINOPHIL",8,0.74133712590803,1.70705040021235,0.0118280205808981,0.0473120823235924,0.0311263699497319,393,"tags=50%, list=7%, signal=46%","CCL8/CCL2/CCL3/CCL3L1","ImmuneGO"
"9","BNT (V3, D1)","MONOCYTES","MONOCYTES...9","MONOCYTES",9,0.699514135932862,1.65784850737126,0.0225943453072319,0.0602515874859517,0.0396392022933893,393,"tags=44%, list=7%, signal=41%","CCL8/CCL2/CCL3/CCL3L1","ImmuneGO"
"10","BNT-I (D1)","NEUTROPHIL","NEUTROPHIL...10","NEUTROPHIL",8,0.640848983032744,1.57192207864355,0.0212974984344842,0.170379987475873,0.156928935833041,410,"tags=62%, list=19%, signal=51%","CCL24/CXCL3/CXCL2/CAMP/FCAR","ImmuneGO"
