"","condition","id","delete","description","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment","gsea_enrichment"
"1","BBIBP (V3, D14)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...1","ANTIVIRAL AND INTERFERON",1,-0.981132075471698,-1.30990350431691,0.0583501006036217,0.105030181086519,0.105030181086519,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"2","BBIBP (V3, D14)","EOSINOPHIL","EOSINOPHIL...2","EOSINOPHIL",1,-0.981132075471698,-1.30990350431691,0.0583501006036217,0.105030181086519,0.105030181086519,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"3","BBIBP (V3, D14)","MACROPHAGES","MACROPHAGES...3","MACROPHAGES",1,-0.981132075471698,-1.30990350431691,0.0583501006036217,0.105030181086519,0.105030181086519,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"4","BBIBP (V3, D14)","MONOCYTES","MONOCYTES...4","MONOCYTES",1,-0.981132075471698,-1.30990350431691,0.0583501006036217,0.105030181086519,0.105030181086519,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"5","BBIBP (V3, D14)","NEUTROPHIL","NEUTROPHIL...5","NEUTROPHIL",1,-0.981132075471698,-1.30990350431691,0.0583501006036217,0.105030181086519,0.105030181086519,3,"tags=100%, list=6%, signal=96%","","ImmuneGO"
"6","BNT (V1, D6)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...6","ANTIVIRAL AND INTERFERON",1,1,1.27983444469993,0.183431952662722,0.183431952662722,NA,1,"tags=100%, list=8%, signal=100%","IFI27","ImmuneGO"
"7","BNT (V2, D1)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...7","ANTIVIRAL AND INTERFERON",53,0.760268201037331,2.69964871413822,1e-10,1.6e-09,1.05263157894737e-09,674,"tags=43%, list=9%, signal=40%","ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/IFIT1/IFITM3/MX1/IFIT2/OAS2/STAT1/RIGI/STAT2/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CASP1/LGALS9/SP100/HLA-DPA1","ImmuneGO"
"8","BNT (V2, D1)","ARPP","ARPP...8","ARPP",59,0.614090821076844,2.24455415767704,9.19500449948786e-07,7.35600359959029e-06,4.83947605236203e-06,1917,"tags=68%, list=24%, signal=52%","FCGR1A/RIGI/TAP1/CLEC6A/TAP2/PIK3AP1/PSME1/CASP1/PSMB8/IFI30/TICAM2/SCIMP/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/CD40/HLA-DMA/ERAP2/SRC/NFKBIA/HLA-F/B2M/HLA-C/CTSE/RELB/PDIA3/XIAP/CD1D/CTSS/TNFAIP3/FCGR2B/CTSH/BTK/HLA-E/TICAM1/RAB10/TLR4/CALR","ImmuneGO"
"9","BNT (V2, D1)","EOSINOPHIL","EOSINOPHIL...9","EOSINOPHIL",6,0.822862777167568,1.72515887269074,0.00519482685415398,0.0277057432221546,0.0182274626461543,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","ImmuneGO"
"10","BNT (V2, D1)","MACROPHAGES","MACROPHAGES...10","MACROPHAGES",15,0.678034855853101,1.79865463971689,0.00705649205819775,0.028225968232791,0.0185697159426257,220,"tags=27%, list=3%, signal=26%","CXCL17/CCL2/IFI35/EDNRB","ImmuneGO"
