"","condition","id","delete","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","gsea_enrichment","rank","leading_edge","core_enrichment"
"1","BNT (V2, D1)","BCR REPERTOIRE","1",74,-0.71738269762311,-3.19387503951951,1e-10,3.46666666666667e-09,2.87719298245614e-09,"ImmuneGO",2082,"tags=95%, list=26%, signal=70%","TRBV18/TRAV14DV4/TRBJ1-3/TRAV12-1/TRAV13-1/TRAV21/TRAV41/TRAV12-3/TRGC1/TRBV2/TRAV8-3/TRAV9-2/TRBV3-1/TRBV27/TRBV11-2/TRAV8-1/TRBV24-1/TRAV8-2/TRAV2/TRAV26-1/TRAV4/TRAV12-2/TRBC2/TRAV26-2/TRBV6-2/TRAV6/TRAV10/TRBV5-1/TRBV4-1/TRBV6-5/TRBV7-2/TRAV17/TRAV3/TRAV25/TRAV23DV6/TRDC/TRAV13-2/TRAV22/TRAV1-1/TRBV13/TRBV19/TRBV7-6/TRBJ1-4/TRBJ2-4/TRBV9/TRBJ2-1/TRBV4-2/TRAV24/TRAV20/TRAV8-6/TRAJ31/TRBV5-5/TRBV5-6/TRAV27/TRAV35/TRBJ1-5/TRAV16/TRAV39/TRAV5/TRBV11-1/TRBV10-3/TRBJ2-3/TRAV18/TRAV1-2/TRAV38-2DV8/TRAJ42/TRBD1/TRBV12-5/TRBV7-7/IGLV3-12"
"2","BNT (V2, D1)","TCR REPERTOIRE","2",72,-0.719519082512705,-3.18075433045288,1e-10,3.46666666666667e-09,2.87719298245614e-09,"ImmuneGO",2082,"tags=96%, list=26%, signal=71%","TRBV18/TRAV14DV4/TRBJ1-3/TRAV12-1/TRAV13-1/TRAV21/TRAV41/TRAV12-3/TRGC1/TRBV2/TRAV8-3/TRAV9-2/TRBV3-1/TRBV27/TRBV11-2/TRAV8-1/TRBV24-1/TRAV8-2/TRAV2/TRAV26-1/TRAV4/TRAV12-2/TRBC2/TRAV26-2/TRBV6-2/TRAV6/TRAV10/TRBV5-1/TRBV4-1/TRBV6-5/TRBV7-2/TRAV17/TRAV3/TRAV25/TRAV23DV6/TRDC/TRAV13-2/TRAV22/TRAV1-1/TRBV13/TRBV19/TRBV7-6/TRBJ1-4/TRBJ2-4/TRBV9/TRBJ2-1/TRBV4-2/TRAV24/TRAV20/TRAV8-6/TRAJ31/TRBV5-5/TRBV5-6/TRAV27/TRAV35/TRBJ1-5/TRAV16/TRAV39/TRAV5/TRBV11-1/TRBV10-3/TRBJ2-3/TRAV18/TRAV1-2/TRAV38-2DV8/TRAJ42/TRBD1/TRBV12-5/TRBV7-7"
"3","BNT (V2, D1)","Innate immune system","3",240,0.575015742742443,2.58175868737249,1e-10,3.46666666666667e-09,2.87719298245614e-09,"ImmuneGO",1563,"tags=45%, list=20%, signal=37%","ACOD1/BATF2/CCL8/GBP6/FCGR1A/GBP1/CXCL17/CXCL9/CCL2/GBP7/IFI6/IFIT1/IFITM3/MX1/IL31RA/IFIT2/IFI35/IL27/DDX60/OAS2/STAT1/TRIM22/RIGI/STAT2/CFB/IFI27/GCH1/PARP9/PML/GBP2/EIF2AK2/TAP1/CLEC6A/EDNRB/TAP2/BST2/IRF1/TRIM21/IFITM1/APOBEC3A/PIK3AP1/PSME1/IL15/CASP1/MX2/LGALS9/IL1RN/PSMB8/IFI30/CCR1/TICAM2/NLRC5/ANXA3/SCIMP/RNASE2/PDE4B/CASP4/SP100/ADAR/NCF1/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/SERPINB9/CD40/HLA-DMA/ERAP2/GSDMD/SRC/APOBEC3F/FCGR3A/ZC3HAV1/CD68/IL17RC/NFKBIA/CIITA/HLA-F/MILR1/B2M/TRIM26/RNF19B/HLA-C/CD46/HDAC4/IL12RB1/UBA7/AIF1/CCR2/CTSE/RELB/PDIA3/GRN/LTBR/XIAP/CD1D/CTSS/TNFAIP3/FCGR2B/TMEM229B/LIPA/PRKCD/PTPN6/KIF5B/DOCK8/CTSH/LILRA5"
"4","BNT (V2, D1)","Cellular response to Interferon II","4",28,0.75925333422411,2.37831231889203,1.65879664712681e-07,4.31287128252971e-06,3.57950855432628e-06,"ImmuneGO",476,"tags=36%, list=6%, signal=34%","ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/STAT1/GBP2/CASP1/LGALS9"
"5","BNT (V2, D1)","Antiviral innate immune response","5",9,0.872142185894009,2.11487557020625,7.91795666731279e-05,0.00164693498680106,0.00136688936151505,"ImmuneGO",195,"tags=56%, list=2%, signal=54%","IFIT1/MX1/IFIT2/RIGI/EIF2AK2"
"6","BNT (V2, D1)","Signaling, Interferon I, Pathway","6",15,0.762174593670846,2.1143277963724,0.000182883732211397,0.00316998469166421,0.00263095895462009,"ImmuneGO",624,"tags=47%, list=8%, signal=43%","IFITM3/OAS2/STAT1/STAT2/IFI27/IFITM1/SP100"
"7","BNT (V2, D1)","Chemotaxis, Macrophage","7",4,0.928606869064356,1.78000341012043,0.000616297161457791,0.00915641497023004,0.00759945372023141,"ImmuneGO",220,"tags=75%, list=3%, signal=73%","CXCL17/CCL2/EDNRB"
"8","BNT (V2, D1)","APP, MHC II, exogenous peptide","8",10,0.796668611963413,1.99971152337435,0.000942588010746765,0.012253644139708,0.0101700285370046,"ImmuneGO",1473,"tags=90%, list=19%, signal=73%","IFI30/HLA-DPA1/FCER1G/HLA-DMB/HLA-DMA/B2M/CTSE/CTSS/FCGR2B"
"9","BNT (V2, D1)","APP","9",13,0.656804295102861,1.74944072282261,0.0126793456835526,0.0920441085387725,0.0763928836050541,"ImmuneGO",2418,"tags=92%, list=31%, signal=64%","PSMB8/HLA-DPA1/HLA-DMB/HLA-DMA/HLA-C/RELB/CTSS/CTSH/HLA-E/RAB10/RAB6A/AP3B1"
"10","BNT (V2, D1)","APP, MHC I, endogenous peptide","10",5,0.829122497493389,1.70850783005037,0.0133841667209927,0.0920441085387725,0.0763928836050541,"ImmuneGO",1127,"tags=80%, list=14%, signal=69%","TAP1/TAP2/ERAP2/B2M"
