condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"BBIBP (V3, D07)",NK CELL,NK CELL...1,NK CELL,40,-0.5940950194263874,-1.7595927139432017,0.003438890162046932,0.06533891307889171,0.06153803447873458,2681,"tags=22%, list=11%, signal=20%",GATA3/TUBB4B/IFNE/KIR3DL1/RNF19B/KLRF2/CLEC2A/IL2/IL12B,Immune_GO_T2G_general
"BBIBP (V3, D07)",NEUTROPHIL,NEUTROPHIL...2,NEUTROPHIL,83,-0.4588411900207836,-1.539515096478959,0.008049206300571071,0.07646745985542518,0.07201921426826748,3026,"tags=27%, list=12%, signal=23%",LGALS3/ANXA3/CCL3L1/TGFB2/CCL7/LBP/CXCL5/CXCL3/PDE4B/CAMP/EDN3/CCL18/CSF1/CXCL2/ELANE/FCAR/CCL3/CXCL8/CCL23/CCL20/CTSG/EDN2,Immune_GO_T2G_general
"BBIBP (V3, D07)",ARPP,ARPP...3,ARPP,128,-0.3689373649058845,-1.3324634746352182,0.05040672433258922,0.2986815415821501,0.2813067150635209,3026,"tags=19%, list=12%, signal=17%",LGALS3/RELB/CDC42/ALOX5/CCL3L1/JMJD6/MMP2/CXCR4/CCL7/GPR183/LBP/TICAM1/CCL18/CSF1/FOSL1/CCL3/NFKBIA/CCL23/CCL20/TNFAIP3/ADGRF5/CTSG/ITGB6/EDN2,Immune_GO_T2G_general
"BBIBP (V3, D07)",GENERAL,GENERAL...4,GENERAL,517,-0.2846934062719565,-1.175670469071902,0.06288032454361055,0.2986815415821501,0.2813067150635209,5747,"tags=25%, list=23%, signal=20%",CTSK/PSMA1/BMP6/EXOSC9/SLC15A3/CTSH/BCL10/BST1/CD40/ADGRE5/TNFSF8/SELP/IL12A/CD1C/CD19/CNIH1/TNFSF4/FCGR2C/LCN2/ENDOU/CCR10/SFPQ/TARM1/IFI30/RPL30/GZMM/SIRT2/ITGA6/ARG2/IFI6/ERAP2/ARID5A/DBH/ROMO1/FCGRT/PKHD1L1/HLA-DPA1/PTAFR/LILRA5/MIF/HEXIM1/LYZ/LY86/CEACAM20/TEC/PF4V1/IL31RA/REG3G/LEP/IL1RN/IL9/IRF1/RPS19/CRIP1/NOTCH1/SUSD4/FAU/CLU/CD1E/NKX2-3/HLA-DRB4/LGALS3/CLEC10A/ALOX5/CCL3L1/PTGER4/GATA3/AIMP1/MAP3K8/FGL1/CXCR4/OPRK1/WFDC9/RPL39/WFDC13/NTS/PNP/IFNE/B2M/CCL7/GPR183/LBP/IFI27/CHST4/TICAM1/WFDC3/CXCL5/BCL6/CXCL3/PDE4B/PRG2/TNFSF9/SELE/IGSF6/CAMP/KIR3DL1/BCL3/CD80/NLRP2B/IFNL2/CCL18/DEFB1/CD1B/NPPB/ADM/CSF1/RNF19B/CXCL2/VTCN1/ELANE/FCAR/PRSS3/VPREB1/SPAG11B/C6/HMSD/CCL3/CXCL8/CCL23/RAG1/CD83/CCL20/IL2/KIR2DL3/CTSG/RGS1/ITGB6/CD8B2/GEM/CSF3/HLA-DMA,Immune_GO_T2G_general
"BBIBP (V3, D07)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...5,HUMORAL ADAPTIVE IMMUNE SYSTEM,245,-0.3050182745769325,-1.1808532213197453,0.10256410256410256,0.3897435897435897,0.36707152496626183,3055,"tags=23%, list=12%, signal=20%",IL11/MPL/LYZ/FZD9/TEC/PF4V1/REG3G/IL9/RPS19/NOTCH1/CAMLG/FAU/NKX2-3/LGALS3/LGALS1/ALOX5/IL9R/NFKB2/GATA3/IRF2BP2/WFDC9/RPL39/WFDC13/NTS/IFNE/B2M/GPR183/LBP/TICAM1/WFDC3/CXCL5/BCL6/CXCL3/CAMP/BCL3/SHLD3/NKX2-5/FCER1A/CCL18/DEFB1/NPPB/ADM/CXCL2/CDH17/PRSS3/CHRNA4/SPAG11B/CH25H/NFKBIA/CXCL8/RAG1/CD83/CCL20/PTX3/TNFAIP3/CTSG,Immune_GO_T2G_general
"BBIBP (V3, D07)",T HELPER CELLS,T HELPER CELLS...6,T HELPER CELLS,31,-0.4500954250348495,-1.2798791378604581,0.13414634146341464,0.4247967479674797,0.40008557980316645,3462,"tags=26%, list=14%, signal=22%",NOTCH1/RELB/PTGER4/GATA3/GPR183/BCL6/BCL3/IL12B,Immune_GO_T2G_general
"BBIBP (V3, D07)",MACROPHAGE,MACROPHAGE...7,MACROPHAGE,35,-0.43036215110414533,-1.2472832627794528,0.15674603174603174,0.42545351473922904,0.4007041413056451,3026,"tags=26%, list=12%, signal=23%",LGALS3/JMJD6/MMP2/LBP/TICAM1/CSF1/CCL3/ADGRF5/EDN2,Immune_GO_T2G_general
"BBIBP (V3, D07)",ANTIMICROBIAL,ANTIMICROBIAL...8,ANTIMICROBIAL,55,-0.36332355915334386,-1.1477009608156175,0.2407766990291262,0.5718446601941748,0.5385794583546245,2149,"tags=40%, list=9%, signal=37%",LYZ/PF4V1/REG3G/RPS19/FAU/LGALS3/RPL39/NTS/B2M/CXCL5/CXCL3/CAMP/BCL3/CCL18/DEFB1/NPPB/ADM/CXCL2/PRSS3/SPAG11B/CXCL8/CCL20,Immune_GO_T2G_general
"BBIBP (V3, D07)",MONOCYTE,MONOCYTE...9,MONOCYTE,30,-0.3965111431589321,-1.122191247890454,0.29518072289156627,0.6231593038821954,0.5869090396674418,3026,"tags=33%, list=12%, signal=29%",RPS19/LGALS3/CCL3L1/CCL7/CCL18/CSF1/CCL3/CCL23/CCL20/CTSG,Immune_GO_T2G_general
"BBIBP (V3, D07)",ANTIVIRAL & IFN,ANTIVIRAL & IFN...10,ANTIVIRAL & IFN,96,-0.29375136711377065,-1.0084210304915227,0.44901960784313727,0.7109477124183007,0.6695906432748538,2878,"tags=16%, list=12%, signal=14%",VIM/CDC42/CCL3L1/IFNE/CCL7/IFI27/IFNL2/CCL18/IFNL4/FCAR/CLDN1/CCL3/CCL23/CCL20/IL12B,Immune_GO_T2G_general
