condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,rank,leading_edge,core_enrichment,gsea_enrichment
"I (D26, severe)",Antibacterial humoral response,Antibacterial humoral response...1,Antibacterial humoral response,9,-0.8316237997434279,-2.098848120660446,0.001104177924221412,0.1481771301867132,0.13205961778043915,332,"tags=89%, list=14%, signal=77%",RNASE4/PI3/ADM/RNASE3/CAMP/CTSG/BPI/DEFA4,Immune_GO_T2G_specfic
"I (D26, severe)","Chemotaxis, Leukocyte","Chemotaxis, Leukocyte...2","Chemotaxis, Leukocyte",2,0.9693000409332787,1.683220672617143,0.001975695069156176,0.1481771301867132,0.13205961778043915,77,"tags=100%, list=3%, signal=97%",S1PR1/CX3CR1,Immune_GO_T2G_specfic
"I (D26, severe)",Innate immune response,Innate immune response...3,Innate immune response,37,-0.5374341537598503,-1.937246650644073,0.005756771799044316,0.22924132723702892,0.20430630567791352,812,"tags=76%, list=33%, signal=51%",F12/NCF2/TBKBP1/ITGAM/APOBEC3H/LILRA2/TREML1/ANKHD1/C1R/SLC15A4/RNF135/NLRP6/TREML4/CLU/CR1/IFITM2/HLA-C/PI3/RNASE3/S100A12/PPARG/TARM1/CAMP/LCN2/CRISP3/BPI/DEFA4/CD177,Immune_GO_T2G_specfic
"I (D26, severe)","Selection-, T cell, Thymic","Selection-, T cell, Thymic...4","Selection-, T cell, Thymic",2,0.9124027834629553,1.584416756445782,0.0136703180688675,0.22924132723702892,0.20430630567791352,216,"tags=100%, list=9%, signal=91%",CCR7/SPN,Immune_GO_T2G_specfic
"I (D26, severe)",Antifungal humoral response,Antifungal humoral response...5,Antifungal humoral response,2,-0.95374539500614,-1.5194907591638225,0.00960242463933416,0.22924132723702892,0.20430630567791352,116,"tags=100%, list=5%, signal=95%",DEFA4,Immune_GO_T2G_specfic
"I (D26, severe)","Chemotaxis, Monocyte","Chemotaxis, Monocyte...6","Chemotaxis, Monocyte",2,-0.9443307408923455,-1.5044914941592011,0.011845290684919052,0.22924132723702892,0.20430630567791352,139,"tags=100%, list=6%, signal=94%",CTSG,Immune_GO_T2G_specfic
"I (D26, severe)",Monocyte,Monocyte...7,Monocyte,2,-0.9443307408923455,-1.5044914941592011,0.011845290684919052,0.22924132723702892,0.20430630567791352,139,"tags=100%, list=6%, signal=94%",CTSG,Immune_GO_T2G_specfic
"I (D26, severe)","Extravasation, Neutrophil","Extravasation, Neutrophil...8","Extravasation, Neutrophil",1,-0.9942716857610474,-1.3118425553750106,0.013754479634221734,0.22924132723702892,0.20430630567791352,16,"tags=100%, list=1%, signal=99%",,Immune_GO_T2G_specfic
"I (D26, severe)","Migration, Neutrophil","Migration, Neutrophil...9","Migration, Neutrophil",1,-0.9942716857610474,-1.3118425553750106,0.013754479634221734,0.22924132723702892,0.20430630567791352,16,"tags=100%, list=1%, signal=99%",,Immune_GO_T2G_specfic
"I (D26, severe)",Antimicrobial peptide-mediated immune response,Antimicrobial peptide-mediated immune response...10,Antimicrobial peptide-mediated immune response,9,-0.7538131741616838,-1.9024700404274817,0.015615983304175997,0.23423974956263996,0.20876103996108966,257,"tags=67%, list=11%, signal=60%",ADM/RNASE3/S100A12/CAMP/BPI/DEFA4,Immune_GO_T2G_specfic
"BBIBP (V3, D28)",Immune response,Immune response...11,Immune response,6,-0.9411764705882353,-2.0001885886703477,4.177614455093395e-4,0.00877299035569613,0.008355228910186792,40,"tags=100%, list=7%, signal=94%",CCL3/CXCL2/CCL20/CXCL8/HLA-DMA,Immune_GO_T2G_specfic
"BBIBP (V3, D28)","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil...12","Chemotaxis, Neutrophil",4,-0.9733570159857904,-1.9302422563510813,1.3280661675183408e-4,0.00877299035569613,0.008355228910186792,20,"tags=100%, list=4%, signal=97%",CXCL2/CCL20/CXCL8,Immune_GO_T2G_specfic
"BBIBP (V3, D28)",Antimicrobial immune response,Antimicrobial immune response...13,Antimicrobial immune response,3,-0.9787234042553191,-1.817767721470043,4.016167437719897e-4,0.00877299035569613,0.008355228910186792,16,"tags=100%, list=3%, signal=98%",CCL20/CXCL8,Immune_GO_T2G_specfic
"BBIBP (V3, D28)",Antimicrobial peptide-mediated immune response,Antimicrobial peptide-mediated immune response...14,Antimicrobial peptide-mediated immune response,3,-0.9787234042553191,-1.817767721470043,4.016167437719897e-4,0.00877299035569613,0.008355228910186792,16,"tags=100%, list=3%, signal=98%",CCL20/CXCL8,Immune_GO_T2G_specfic
"BBIBP (V3, D28)",Neutrophil,Neutrophil...15,Neutrophil,5,-0.896797153024911,-1.8282895796196297,0.015936959334776707,0.19124351201732048,0.18213667811173379,64,"tags=100%, list=11%, signal=90%",CCL3/CXCL2/CCL20/CXCL8,Immune_GO_T2G_specfic
"BBIBP (V3, D28)","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte...16","Chemotaxis, Lymphocyte",2,-0.9699115044247788,-1.565812297594834,0.014766321524598813,0.19124351201732048,0.18213667811173379,20,"tags=100%, list=4%, signal=97%",CCL20,Immune_GO_T2G_specfic
"BBIBP (V3, D28)","Chemotaxis, Monocyte","Chemotaxis, Monocyte...17","Chemotaxis, Monocyte",2,-0.9699115044247788,-1.565812297594834,0.014766321524598813,0.19124351201732048,0.18213667811173379,20,"tags=100%, list=4%, signal=97%",CCL20,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Antimicrobial immune response,Antimicrobial immune response...18,Antimicrobial immune response,4,-0.9041287613715885,-1.8503191623233874,4.2715285014858356e-4,0.02413413603339497,0.021582459796981063,142,"tags=100%, list=10%, signal=90%",CAMP/BPI/DEFA4,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Antimicrobial peptide-mediated immune response,Antimicrobial peptide-mediated immune response...19,Antimicrobial peptide-mediated immune response,4,-0.9041287613715885,-1.8503191623233874,4.2715285014858356e-4,0.02413413603339497,0.021582459796981063,142,"tags=100%, list=10%, signal=90%",CAMP/BPI/DEFA4,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Innate immune response,Innate immune response...20,Innate immune response,21,-0.578875959474051,-1.9353916981853063,0.0010282523062105442,0.03760345373804197,0.033627681032622536,401,"tags=76%, list=28%, signal=56%",SLC15A4/HLA-C/C1R/F12/TRIM58/ANKHD1/CLU/TREML1/S100A12/CAMP/CRISP3/BPI/DEFA4/LCN2/CD177/IFI27,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Antibacterial humoral response,Antibacterial humoral response...21,Antibacterial humoral response,4,-0.8782365290412875,-1.7973301460649003,0.0013310957075413085,0.03760345373804197,0.033627681032622536,179,"tags=100%, list=12%, signal=88%",CAMP/BPI/DEFA4,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Neutrophil,Neutrophil...22,Neutrophil,3,-0.9034965034965035,-1.6885699373412422,0.0031262304542403058,0.07065280826583091,0.06318276286464618,142,"tags=100%, list=10%, signal=90%",CAMP/CD177,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway...23","Signaling, Interferon I, Pathway",1,-0.9972067039106145,-1.3520602084946123,0.006096793545845352,0.1148229451134208,0.10268283866686909,6,"tags=100%, list=0%, signal=100%",,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Antifungal humoral response,Antifungal humoral response...24,Antifungal humoral response,2,-0.9294199860237596,-1.5398519681715384,0.008173154716020307,0.11544581036378684,0.10323984904446704,104,"tags=100%, list=7%, signal=93%",DEFA4,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Innate immune response, mucosa","Innate immune response, mucosa...25","Innate immune response, mucosa",2,-0.9294199860237596,-1.5398519681715384,0.008173154716020307,0.11544581036378684,0.10323984904446704,104,"tags=100%, list=7%, signal=93%",DEFA4,Immune_GO_T2G_specfic
"BNT-I (D26, severe)",Adaptive Immune response,Adaptive Immune response...26,Adaptive Immune response,7,0.7243497155808899,1.917461749141029,0.014746799641603277,0.1388656966250975,0.12418357592929076,130,"tags=71%, list=9%, signal=65%",EOMES/CX3CR1/CD3G/CD79B/LAX1,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Chemotaxis, Leukocyte","Chemotaxis, Leukocyte...27","Chemotaxis, Leukocyte",2,0.9245283018867925,1.563174208319875,0.013286271766502244,0.1388656966250975,0.12418357592929076,110,"tags=100%, list=8%, signal=92%",CX3CR1/S1PR1,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Migration, T cell","Migration, T cell...28","Migration, T cell",2,0.9245283018867925,1.563174208319875,0.013286271766502244,0.1388656966250975,0.12418357592929076,110,"tags=100%, list=8%, signal=92%",GPR15/S1PR1,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Selection-, T cell, Thymic","Selection-, T cell, Thymic...29","Selection-, T cell, Thymic",2,0.923130677847659,1.5608111331750225,0.013616361281792921,0.1388656966250975,0.12418357592929076,112,"tags=100%, list=8%, signal=92%",CCR7/SPN,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Extravasation, Neutrophil","Extravasation, Neutrophil...30","Extravasation, Neutrophil",1,-0.9881284916201117,-1.339751537128765,0.018203862392102452,0.14693117502196978,0.1313962999730703,19,"tags=100%, list=1%, signal=99%",,Immune_GO_T2G_specfic
"BNT-I (D26, severe)","Migration, Neutrophil","Migration, Neutrophil...31","Migration, Neutrophil",1,-0.9881284916201117,-1.339751537128765,0.018203862392102452,0.14693117502196978,0.1313962999730703,19,"tags=100%, list=1%, signal=99%",,Immune_GO_T2G_specfic
"ChAd (V2, D3)","Signaling, T cell","Signaling, T cell...32","Signaling, T cell",1,-1,-1.3538321614719977,0.0035692655605586315,0.12135502905899347,0.11647077092349217,2,"tags=100%, list=0%, signal=100%",,Immune_GO_T2G_specfic
"ChAd (V2, D3)",Cellular adaptive immune system,Cellular adaptive immune system...33,Cellular adaptive immune system,5,-0.7930462311556026,-1.89130099515352,0.009119595094737367,0.15503311661053523,0.14879339365097807,53,"tags=60%, list=10%, signal=54%",S1PR1/RORC/BTNL3,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Humoral adaptive immune system,Humoral adaptive immune system...34,Humoral adaptive immune system,2,-0.9594594594594594,-1.5116240783077912,0.04052554835076149,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=95%",PI3,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Antibacterial humoral response,Antibacterial humoral response...35,Antibacterial humoral response,1,-0.96,-1.2827631435129514,0.08979591836734693,0.1845138055222089,0.1845138055222089,5,"tags=100%, list=7%, signal=95%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Innate immune response,Innate immune response...36,Innate immune response,1,-0.96,-1.2827631435129514,0.08979591836734693,0.1845138055222089,0.1845138055222089,5,"tags=100%, list=7%, signal=95%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)","Antigen receptors, processing and presentation","Antigen receptors, processing and presentation...37","Antigen receptors, processing and presentation",1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Antimicrobial immune response,Antimicrobial immune response...38,Antimicrobial immune response,1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Antimicrobial peptide-mediated immune response,Antimicrobial peptide-mediated immune response...39,Antimicrobial peptide-mediated immune response,1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Antiviral and Interferon,Antiviral and Interferon...40,Antiviral and Interferon,1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)",Cellular response to Interferon II,Cellular response to Interferon II...41,Cellular response to Interferon II,1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)","Chemotaxis, Eosinophil","Chemotaxis, Eosinophil...42","Chemotaxis, Eosinophil",1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte...43","Chemotaxis, Lymphocyte",1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
"ChAd (V2, D7)","Chemotaxis, Monocyte","Chemotaxis, Monocyte...44","Chemotaxis, Monocyte",1,-0.9466666666666667,-1.2649469887419382,0.10816326530612246,0.1845138055222089,0.1845138055222089,6,"tags=100%, list=8%, signal=93%",,Immune_GO_T2G_specfic
