"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","condition","gsea_enrichment"
"Antiviral and inteferon...1","Antiviral and inteferon","Antiviral and inteferon",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Cellular response to Interferon II...2","Cellular response to Interferon II","Cellular response to Interferon II",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Eosinophil...3","Chemotaxis, Eosinophil","Chemotaxis, Eosinophil",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Granulocyte...4","Chemotaxis, Granulocyte","Chemotaxis, Granulocyte",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Lymphocyte...5","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Macrophage...6","Chemotaxis, Macrophage","Chemotaxis, Macrophage",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Monocyte...7","Chemotaxis, Monocyte","Chemotaxis, Monocyte",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, Neutrophil...8","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Chemotaxis, T cell...9","Chemotaxis, T cell","Chemotaxis, T cell",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Degranulation, Eosinophil...10","Degranulation, Eosinophil","Degranulation, Eosinophil",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
