"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ANTIMICROBIAL RESPONSE","SEMG2","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","RNASE4","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","ADM","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","SPRR2A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," FAM3A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," CXCL14","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","DEFB130A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","TOR2A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","REG1B","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","ROMO1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","NTS","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","REG3A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","GNLY","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","RPL30","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","SPAG11A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","HTN1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","DEFB103A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","SPAG11B","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","NPPB","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","HTN3","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","S100A7","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","DCD","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","FAM3A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," LYZ","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","CST9LP1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","CST9","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE","PRSS3","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," SEMG2","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," RNASE4","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," ADM","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," SPRR2A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," DEFB130A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," TOR2A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," REG1B","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," ROMO1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," NTS","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," REG3A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," GNLY","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," RPL30","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," SPAG11A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," HTN1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," DEFB103A","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," SPAG11B","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," NPPB","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," HTN3","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," S100A7","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," DCD","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," CST9LP1","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," CST9","Manual","General","Undefined",NA,NA,NA
"ANTIMICROBIAL RESPONSE"," PRSS3","Manual","General","Undefined",NA,NA,NA
"OTHER","HMSD","Manual","General","Undefined",NA,NA,NA
"OTHER"," JAM2","Manual","General","Undefined",NA,NA,NA
"OTHER"," FER","Manual","General","Undefined",NA,NA,NA
"OTHER"," BMI1","Manual","General","Undefined",NA,NA,NA
"OTHER","BST1","Manual","General","Undefined",NA,NA,NA
"OTHER","ST6GAL1","Manual","General","Undefined",NA,NA,NA
"OTHER","POU2F2","Manual","General","Undefined",NA,NA,NA
"OTHER"," CXCL14","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFSF15","Manual","General","Undefined",NA,NA,NA
"OTHER","PTAFR","Manual","General","Undefined",NA,NA,NA
"OTHER","CEACAM8","Manual","General","Undefined",NA,NA,NA
"OTHER","SCAP","Manual","General","Undefined",NA,NA,NA
"OTHER","IL12A","Manual","General","Undefined",NA,NA,NA
"OTHER","ETS1","Manual","General","Undefined",NA,NA,NA
"OTHER","PNP","Manual","General","Undefined",NA,NA,NA
"OTHER","IL1RL1","Manual","General","Undefined",NA,NA,NA
"OTHER","DPP8","Manual","General","Undefined",NA,NA,NA
"OTHER","ENPP1","Manual","General","Undefined",NA,NA,NA
"OTHER","CRHR1","Manual","General","Undefined",NA,NA,NA
"OTHER","GTPBP1","Manual","General","Undefined",NA,NA,NA
"OTHER","IL3","Manual","General","Undefined",NA,NA,NA
"OTHER","EXOSC9","Manual","General","Undefined",NA,NA,NA
"OTHER","NRROS","Manual","General","Undefined",NA,NA,NA
"OTHER","KIR2DL1","Manual","General","Undefined",NA,NA,NA
"OTHER","LIF","Manual","General","Undefined",NA,NA,NA
"OTHER","IGSF6","Manual","General","Undefined",NA,NA,NA
"OTHER","TGFBR3","Manual","General","Undefined",NA,NA,NA
"OTHER","ADGRE5","Manual","General","Undefined",NA,NA,NA
"OTHER","IGF1R","Manual","General","Undefined",NA,NA,NA
"OTHER","CRIP1","Manual","General","Undefined",NA,NA,NA
"OTHER","XBP1","Manual","General","Undefined",NA,NA,NA
"OTHER","GPR65","Manual","General","Undefined",NA,NA,NA
"OTHER","S1PR4","Manual","General","Undefined",NA,NA,NA
"OTHER","LTB","Manual","General","Undefined",NA,NA,NA
"OTHER","PKHD1L1","Manual","General","Undefined",NA,NA,NA
"OTHER","RGS1","Manual","General","Undefined",NA,NA,NA
"OTHER","CD96","Manual","General","Undefined",NA,NA,NA
"OTHER","CTSK","Manual","General","Undefined",NA,NA,NA
"OTHER","ACKR3","Manual","General","Undefined",NA,NA,NA
"OTHER","IL32","Manual","General","Undefined",NA,NA,NA
"OTHER","VPREB1","Manual","General","Undefined",NA,NA,NA
"OTHER","THBS1","Manual","General","Undefined",NA,NA,NA
"OTHER","CNIH1","Manual","General","Undefined",NA,NA,NA
"OTHER","ENDOU","Manual","General","Undefined",NA,NA,NA
"OTHER","OPRD1","Manual","General","Undefined",NA,NA,NA
"OTHER","RFX1","Manual","General","Undefined",NA,NA,NA
"OTHER","CCR10","Manual","General","Undefined",NA,NA,NA
"OTHER","GEM","Manual","General","Undefined",NA,NA,NA
"OTHER","SP2","Manual","General","Undefined",NA,NA,NA
"OTHER","CHST4","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFRSF1B","Manual","General","Undefined",NA,NA,NA
"OTHER","TNFSF10","Manual","General","Undefined",NA,NA,NA
"OTHER","IL27RA","Manual","General","Undefined",NA,NA,NA
"OTHER","KIR2DL3","Manual","General","Undefined",NA,NA,NA
"OTHER","HRH2","Manual","General","Undefined",NA,NA,NA
"OTHER","CSF3","Manual","General","Undefined",NA,NA,NA
"OTHER","BMPR1A","Manual","General","Undefined",NA,NA,NA
"OTHER","PRG2","Manual","General","Undefined",NA,NA,NA
"OTHER","FCGR2C","Manual","General","Undefined",NA,NA,NA
