"","V1"
"1","Adaptive_B cell"
"2","Adaptive_Cellular"
"3","Adaptive_General"
"4","Adaptive_Germinal center"
"5","Adaptive_Humoral"
"6","Adaptive_Organ"
"7","Adaptive_Tolerance"
"8","Innate_APC"
"9","Innate_APP"
"10","Innate_Antifungal"
"11","Innate_Antiviral"
"12","Innate_Cells"
"13","Innate_Cellular"
"14","Innate_Eosinophil"
"15","Innate_General"
"16","Innate_Granulocyte"
"17","Innate_Inflammation"
"18","Innate_Innate"
"19","Innate_Interferon"
"20","Innate_Lymphocytes"
"21","Innate_M cells"
"22","Innate_PRR"
"23","Innate_Undefined"
