"","V1","V2","shared","shared_genes"
"1","Adaptive_B cell","Adaptive_Cellular",19,"BAX, BCAR1, BTK, CASP3, CD70, CHRNA7, CTLA4, CTPS1, FOSL2, GPR183, HSPD1, NCKAP1L, PLCG2, PTPRJ, RAG2, RASGRP1, SPNS2, TEC, TLR4"
"2","Adaptive_B cell","Adaptive_General",99,"ABL1, ADAM17, ADGRG3, AKAP17A, BANK1, BAX, BCAR1, BCL2, BCL6, BMX, BST2, BTK, CAMLG, CASP3, CD19, CD22, CD38, CD40, CD40LG, CD70, CD79A, CD79B, CD86, CDH17, CEBPG, CH25H, CHRNA4, CHRNA7, CHRNB2, CR2, CTLA4, CTPS1, CXCR5, EP300, EPHB2, FOSL2, FZD9, GAPT, GPR183, GRB2, HDAC4, HHEX, HSPD1, IFNA8, IFNE, IGBP1, IGLC1, IGLC3, IGLC6, IGLC7, IL10, IL11, IL7, IL7R, IL9, ITGA4, ITK, JAK3, KIT, LYL1, MAPK1, MEF2C, MNDA, MS4A1, MSH2, NCKAP1L, NFAM1, NFKB1, NFKBIA, PAX5, PHB1, PIK3R1, PLCG2, PRKCD, PRKDC, PTPN2, PTPN6, PTPRC, PTPRJ, RAG2, RASGRP1, RBPJ, RC3H1, SP3, SYK, TBC1D10C, TCF3, TEC, TICAM1, TLR4, TNFAIP3, TOP2B, TPD52, TXLNA, VCAM1, WNT3A, YY1, ZAP70, ZBTB7A"
"3","Adaptive_B cell","Adaptive_Humoral",10,"BCL2, CD19, GPR183, IGLC1, IGLC3, IGLC6, IGLC7, IL9, RAG2, RC3H1"
"4","Adaptive_B cell","Adaptive_Tolerance",1,"TNFAIP3"
"5","Adaptive_B cell","Innate_APC",2,"GPR183, TLR4"
"6","Adaptive_B cell","Innate_Cells",2,"BTK, NCKAP1L"
"7","Adaptive_B cell","Innate_Cellular",1,"BAX"
"8","Adaptive_B cell","Innate_Eosinophil",1,"BTK"
"9","Adaptive_B cell","Innate_General",37,"ADAM17, BAX, BST2, BTK, CD40, CEBPG, CH25H, CR2, EP300, FOSL2, GPR183, HDAC4, HSPD1, IFNA8, IFNE, IL10, ITK, JAK3, KIT, NCKAP1L, NFKB1, NFKBIA, PHB1, PLCG2, PRKCD, PRKDC, PTPN6, PTPRC, RASGRP1, RBPJ, SP3, STAT5B, SYK, TICAM1, TLR4, TNFAIP3, ZAP70"
"10","Adaptive_B cell","Innate_Innate",2,"CD40, CH25H"
"11","Adaptive_B cell","Innate_Interferon",1,"TLR4"
"12","Adaptive_B cell","Innate_PRR",3,"BTK, CD40, TNFAIP3"
"13","Adaptive_Cellular","Adaptive_B cell",29,"ABL1, ADAM17, BCL2, BCL6, CD40LG, CD86, CR2, IFNA8, IFNE, IL10, IL2RG, IL7, IL7R, ITK, JAK3, KIT, MAPK1, PHB1, PIK3R1, PRKDC, PTPN2, PTPN6, PTPRC, RAG1, RC3H1, SP3, STAT5B, SYK, ZAP70"
"14","Adaptive_Cellular","Adaptive_General",262,"ABL1, ADA, ADAM17, AKT1, APBB1IP, ASXL1, ATP7A, B2M, BAX, BCAR1, BCL10, BCL2, BCL3, BCL6, BRAF, BTK, BTN2A1, BTN3A2, BTNL10P, BTNL3, BTNL8, BTNL9, CACNB3, CACNB4, CASP3, CAV1, CCL2, CCL20, CCL3, CCNB2, CCND3, CCR2, CCR7, CD151, CD160, CD1C, CD1D, CD24, CD247, CD276, CD28, CD3G, CD40LG, CD44, CD46, CD7, CD70, CD80, CD81, CD83, CD86, CD8B, CD99, CDH26, CDK6, CEBPB, CHRNA7, CHST3, CLEC4G, CORO1A, CR1, CR2, CRK, CRKL, CRTAM, CSK, CTLA4, CTNNB1, CTPS1, CTSC, CTSH, CXADR, CXCL12, DCAF12, DDOST, DEFA1, DEFA4, DENND1B, DOCK8, DPP4, DTX1, EFNB1, EFNB2, EGR1, EIF2B2, EMP2, EOMES, EPHB3, F2RL1, FAS, FCER1A, FCER1G, FKBP1A, FKBP1B, FOSL2, FOXI3, FUT7, FYB2, GLI3, GNL1, GPR15, GPR183, GPR89A, GPR89B, GZMM, HAND2, HLA-DRB3, HLA-E, HMGB1, HSPD1, IDO1, IFNA8, IFNE, IL10, IL12B, IL15, IL18BP, IL2, IL20RB, IL2RG, IL33, IL4R, IL6R, IL6ST, IL7, IL7R, IRF1, ITGAL, ITGB7, ITK, ITPKB, JAG1, JAK1, JAK3, JAML, JMJD6, KDELR1, KHDRBS1, KIT, KITLG, KLRC1, KLRK1, KMT2A, LAG3, LCP1, LEP, LEPR, LFNG, LGALS1, LIG4, LILRB1, LIPA, LMBR1L, LMO4, MAP2K1, MAP2K2, MAP3K8, MAPK1, MAPK3, MDK, MEN1, MFAP3, MSN, MTOR, MYB, MYH9, MYO1G, NCAPH2, NCK1, NCKAP1L, NFKBID, NKAP, NLRC3, NOTCH1, NRARP, PBX1, PDE4B, PDE4D, PHB1, PIK3CA, PIK3CG, PIK3R1, PKNOX1, PLCG1, PLCG2, PPP2CA, PPP2R1A, PPP3CA, PPP3CB, PRDX2, PRF1, PRKCQ, PRKDC, PSEN1, PSMB10, PSMB11, PTGER4, PTPN11, PTPN2, PTPN6, PTPRC, PTPRJ, RAB27A, RAG2, RASGRP1, RBX1, RC3H1, RELB, RHOA, RORA, RORC, RPL22, RPS6, S1PR1, SCGB1A1, SKAP1, SLC11A1, SLC12A2, SMAD3, SOD1, SOX4, SP3, SPN, SRC, SRF, STAT3, STAT5B, STAT6, SYK, TAP2, TCF7, TEC, TESPA1, TGFBR1, THEMIS, THEMIS2, TLR4, TNFAIP8L2, TNFRSF4, TNFSF4, TNFSF8, TOX, TRA, TRB, TRBC2, TRDC, TRGC1, TXK, TYR, UBE2N, VAV1, VTCN1, WAS, WDFY4, WNT4, XG, ZAP70, ZC3H8, ZFP36L1, ZFP36L2, ZFPM1, ZNF683"
"15","Adaptive_Cellular","Adaptive_Germinal center",2,"BCL3, BCL6"
"16","Adaptive_Cellular","Adaptive_Humoral",15,"ABL1, BCL10, BCL2, CD81, CLEC4G, DOCK8, FCER1G, GPR183, IL4R, KMT2A, LIG4, MYO1G, PRKDC, RC3H1, SYK"
"17","Adaptive_Cellular","Adaptive_Organ",1,"PTPRC"
"18","Adaptive_Cellular","Innate_APC",14,"CCL2, CCL20, CCL3, CCR2, CCR7, DOCK8, GPR183, IL33, IL6R, PIK3CG, RELB, SLC11A1, SYK, TLR4"
"19","Adaptive_Cellular","Innate_APP",7,"CD1D, CTSH, FCER1G, HLA-E, RAB27A, RELB, WDFY4"
"20","Adaptive_Cellular","Innate_Antiviral",1,"PHB1"
"21","Adaptive_Cellular","Innate_Cells",21,"CCL2, CCL20, CCL3, CCR2, CORO1A, CXADR, F2RL1, FCER1A, FCER1G, GATA3, HLA-E, HMGB1, IL12B, IL15, IL2, IL6R, NCKAP1L, PTPRC, RAB27A, SYK, VAV1"
"22","Adaptive_Cellular","Innate_Cellular",4,"BAX, IL15, ITPKB, TOX"
"23","Adaptive_Cellular","Innate_Eosinophil",2,"CCL2, FCER1A"
