"","genes","immune_system","shared","value"
"1","ABL1","Adaptive",15,1
"2","ADAM17","Adaptive",7,1
"3","ADAM17","Innate",2,1
"4","AXL","Adaptive",2,1
"5","AXL","Innate",4,1
"6","B2M","Adaptive",4,1
"7","B2M","Innate",7,1
"8","BAX","Adaptive",7,1
"9","BAX","Innate",2,1
"10","BCL10","Adaptive",6,1
"11","BCL10","Innate",4,1
"12","BCL2","Adaptive",16,1
"13","BCL3","Adaptive",9,1
"14","BCL6","Adaptive",10,1
"15","BRAF","Adaptive",9,1
"16","BTK","Adaptive",7,1
"17","BTK","Innate",6,1
"18","CCL1","Adaptive",2,1
"19","CCL1","Innate",5,1
"20","CCL18","Adaptive",2,1
"21","CCL18","Innate",5,1
"22","CCL2","Adaptive",4,1
"23","CCL2","Innate",6,1
"24","CCL20","Adaptive",5,1
"25","CCL20","Innate",4,1
"26","CCL23","Adaptive",2,1
"27","CCL23","Innate",5,1
"28","CCL24","Adaptive",2,1
"29","CCL24","Innate",5,1
"30","CCL3","Adaptive",4,1
"31","CCL3","Innate",8,1
"32","CCL3L1","Adaptive",2,1
"33","CCL3L1","Innate",5,1
"34","CCL4","Adaptive",2,1
"35","CCL4","Innate",5,1
"36","CCL4L1","Adaptive",2,1
"37","CCL4L1","Innate",5,1
"38","CCL5","Adaptive",2,1
"39","CCL5","Innate",8,1
"40","CCL7","Adaptive",2,1
"41","CCL7","Innate",5,1
"42","CCL8","Adaptive",2,1
"43","CCL8","Innate",5,1
"44","CCR2","Adaptive",3,1
"45","CCR2","Innate",6,1
"46","CCR7","Adaptive",6,1
"47","CCR7","Innate",3,1
"48","CD160","Adaptive",4,1
"49","CD160","Innate",2,1
"50","CD19","Adaptive",8,1
"51","CD1C","Adaptive",4,1
"52","CD1C","Innate",3,1
"53","CD1D","Adaptive",3,1
"54","CD1D","Innate",4,1
"55","CD247","Adaptive",6,1
"56","CD28","Adaptive",9,1
"57","CD3G","Adaptive",8,1
"58","CD40","Adaptive",4,1
"59","CD40","Innate",3,1
"60","CD40LG","Adaptive",7,1
"61","CD46","Adaptive",4,1
"62","CD46","Innate",2,1
"63","CD6","Adaptive",4,1
"64","CD6","Innate",3,1
"65","CD79A","Adaptive",6,1
"66","CD81","Adaptive",7,1
"67","CD86","Adaptive",6,1
"68","CDH17","Adaptive",6,1
"69","CLEC4G","Adaptive",6,1
"70","CLEC6A","Adaptive",2,1
"71","CLEC6A","Innate",4,1
"72","CORO1A","Adaptive",7,1
"73","CORO1A","Innate",3,1
"74","CR2","Adaptive",5,1
"75","CR2","Innate",2,1
"76","CSF1","Innate",6,1
"77","CTSH","Adaptive",4,1
"78","CTSH","Innate",2,1
"79","CTSS","Adaptive",2,1
"80","CTSS","Innate",5,1
"81","CX3CL1","Adaptive",2,1
"82","CX3CL1","Innate",6,1
"83","CX3CR1","Adaptive",2,1
"84","CX3CR1","Innate",4,1
"85","DEFA4","Adaptive",3,1
"86","DEFA4","Innate",3,1
"87","DOCK8","Adaptive",5,1
"88","DOCK8","Innate",2,1
"89","EMP2","Adaptive",3,1
"90","EMP2","Innate",3,1
"91","F2RL1","Adaptive",3,1
"92","F2RL1","Innate",3,1
"93","FCER1A","Adaptive",5,1
"94","FCER1A","Innate",3,1
"95","FCER1G","Adaptive",6,1
"96","FCER1G","Innate",6,1
"97","FCGR2B","Adaptive",6,1
"98","FCGR2B","Innate",3,1
"99","FOSL2","Adaptive",6,1
"100","FOSL2","Innate",4,1
"101","FUT7","Adaptive",6,1
"102","GATA3","Adaptive",11,1
"103","GATA3","Innate",3,1
"104","GPR15LG","Adaptive",4,1
"105","GPR15LG","Innate",2,1
"106","GPR183","Adaptive",8,1
"107","GPR183","Innate",3,1
"108","HCK","Adaptive",3,1
"109","HCK","Innate",5,1
"110","HLA-C","Adaptive",2,1
"111","HLA-C","Innate",6,1
"112","HLA-DMA","Adaptive",2,1
"113","HLA-DMA","Innate",5,1
"114","HLA-DMB","Adaptive",2,1
"115","HLA-DMB","Innate",5,1
"116","HLA-DOB","Adaptive",2,1
"117","HLA-DOB","Innate",5,1
"118","HLA-DPA1","Adaptive",2,1
"119","HLA-DPA1","Innate",6,1
"120","HLA-DRB3","Adaptive",3,1
"121","HLA-DRB3","Innate",6,1
"122","HLA-DRB4","Adaptive",2,1
"123","HLA-DRB4","Innate",5,1
"124","HLA-E","Adaptive",4,1
"125","HLA-E","Innate",8,1
"126","HLA-G","Adaptive",3,1
"127","HLA-G","Innate",4,1
"128","HMGB1","Adaptive",6,1
"129","HMGB1","Innate",7,1
"130","HSPD1","Adaptive",7,1
"131","HSPD1","Innate",2,1
"132","IFNA8","Adaptive",6,1
"133","IFNA8","Innate",3,1
"134","IFNE","Adaptive",6,1
"135","IFNE","Innate",3,1
"136","IL10","Adaptive",5,1
"137","IL10","Innate",2,1
"138","IL12B","Adaptive",5,1
"139","IL12B","Innate",4,1
"140","IL15","Adaptive",3,1
"141","IL15","Innate",5,1
"142","IL2","Adaptive",7,1
"143","IL2","Innate",2,1
"144","IL20RB","Adaptive",4,1
"145","IL20RB","Innate",2,1
"146","IL2RG","Adaptive",8,1
"147","IL33","Adaptive",3,1
"148","IL33","Innate",3,1
"149","IL4R","Adaptive",6,1
"150","IL6R","Adaptive",3,1
"151","IL6R","Innate",3,1
"152","IL7R","Adaptive",8,1
"153","IRF1","Adaptive",3,1
"154","IRF1","Innate",3,1
"155","IRF8","Adaptive",4,1
"156","IRF8","Innate",3,1
"157","ITK","Adaptive",7,1
"158","ITK","Innate",2,1
"159","ITPKB","Adaptive",5,1
"160","ITPKB","Innate",2,1
"161","JAK1","Adaptive",3,1
"162","JAK1","Innate",4,1
"163","JAK3","Adaptive",5,1
"164","JAK3","Innate",2,1
"165","JAML","Adaptive",3,1
"166","JAML","Innate",4,1
"167","KIT","Adaptive",6,1
"168","KIT","Innate",3,1
"169","KITLG","Adaptive",3,1
"170","KITLG","Innate",3,1
"171","KLRC1","Adaptive",4,1
"172","KLRC1","Innate",3,1
"173","KLRC2","Adaptive",2,1
"174","KLRC2","Innate",4,1
"175","KLRK1","Adaptive",4,1
"176","KLRK1","Innate",5,1
"177","LAG3","Adaptive",4,1
"178","LAG3","Innate",3,1
"179","LBP","Adaptive",3,1
"180","LBP","Innate",5,1
"181","LGALS3","Innate",7,1
"182","LIG4","Adaptive",9,1
"183","LIPA","Adaptive",7,1
"184","LIPA","Innate",3,1
"185","MAVS","Innate",6,1
"186","MBL2","Adaptive",3,1
"187","MBL2","Innate",4,1
"188","MCOLN2","Adaptive",2,1
"189","MCOLN2","Innate",4,1
"190","MLH1","Adaptive",6,1
"191","MPL","Adaptive",3,1
"192","MPL","Innate",5,1
"193","MSH2","Adaptive",8,1
"194","MSN","Adaptive",6,1
"195","MYO1G","Adaptive",8,1
"196","NCKAP1L","Adaptive",5,1
"197","NCKAP1L","Innate",3,1
"198","NFKB2","Adaptive",4,1
"199","NFKB2","Innate",2,1
"200","NFKBIA","Adaptive",2,1
"201","NFKBIA","Innate",4,1
"202","NLRP6","Innate",6,1
"203","NOTCH2","Adaptive",3,1
"204","NOTCH2","Innate",3,1
"205","PBX1","Adaptive",5,1
"206","PBX1","Innate",2,1
"207","PDE4B","Adaptive",3,1
"208","PDE4B","Innate",3,1
"209","PHB1","Adaptive",4,1
"210","PHB1","Innate",3,1
"211","PIK3CG","Adaptive",6,1
"212","PIK3CG","Innate",8,1
"213","PLCG2","Adaptive",7,1
"214","PLCG2","Innate",5,1
"215","PPP3CB","Adaptive",7,1
"216","PRDX2","Adaptive",5,1
"217","PRDX2","Innate",2,1
"218","PRKCD","Adaptive",5,1
"219","PRKCD","Innate",2,1
"220","PRKCE","Adaptive",3,1
"221","PRKCE","Innate",3,1
"222","PRKDC","Adaptive",11,1
"223","PRKDC","Innate",3,1
"224","PSEN1","Adaptive",5,1
"225","PSEN1","Innate",3,1
"226","PTPN6","Adaptive",6,1
"227","PTPN6","Innate",2,1
"228","PTPRC","Adaptive",15,1
"229","PTPRC","Innate",2,1
"230","RAB27A","Adaptive",3,1
"231","RAB27A","Innate",3,1
"232","RAG1","Adaptive",10,1
"233","RAG2","Adaptive",13,1
"234","RASGRP1","Adaptive",6,1
"235","RASGRP1","Innate",4,1
"236","RC3H1","Adaptive",9,1
"237","RELB","Adaptive",5,1
"238","RELB","Innate",4,1
"239","SLC11A1","Adaptive",3,1
"240","SLC11A1","Innate",4,1
"241","SP3","Adaptive",4,1
"242","SP3","Innate",2,1
"243","SPI1","Adaptive",7,1
"244","SPI1","Innate",2,1
"245","SPN","Adaptive",6,1
"246","SPNS2","Adaptive",6,1
"247","SRC","Adaptive",5,1
"248","SRC","Innate",3,1
"249","STAT5B","Adaptive",8,1
"250","STAT5B","Innate",5,1
"251","STING1","Innate",6,1
"252","SYK","Adaptive",9,1
"253","SYK","Innate",7,1
"254","TAP2","Adaptive",4,1
"255","TAP2","Innate",6,1
"256","THEMIS","Adaptive",6,1
"257","TICAM1","Adaptive",3,1
"258","TICAM1","Innate",7,1
"259","TLR4","Adaptive",6,1
"260","TLR4","Innate",11,1
"261","TOX","Adaptive",6,1
"262","TOX","Innate",2,1
"263","VAV1","Adaptive",7,1
"264","VAV1","Innate",2,1
"265","XCL1","Adaptive",2,1
"266","XCL1","Innate",6,1
"267","ZAP70","Adaptive",13,1
"268","ZAP70","Innate",2,1
"269","ZNF683","Adaptive",4,1
"270","ZNF683","Innate",2,1
