"mtry","min_n",".metric",".estimator","mean","n","std_err",".config"
6,6,"accuracy","multiclass",0.850067476383266,10,0.0188399733360367,"Preprocessor1_Model01"
6,6,"pr_auc","macro",0.927591229931517,5,0.0175735837506194,"Preprocessor1_Model01"
6,6,"recall","macro",0.863555123620341,10,0.0210197270835711,"Preprocessor1_Model01"
6,6,"roc_auc","hand_till",0.984483255070212,10,0.00326129194732319,"Preprocessor1_Model01"
6,6,"specificity","macro",0.947123429244871,10,0.00582707727816498,"Preprocessor1_Model01"
8,6,"accuracy","multiclass",0.852631578947368,10,0.0200778495259996,"Preprocessor1_Model02"
8,6,"pr_auc","macro",0.925374019074916,5,0.0172747472029177,"Preprocessor1_Model02"
8,6,"recall","macro",0.866332901398119,10,0.0211668686005623,"Preprocessor1_Model02"
8,6,"roc_auc","hand_till",0.984166641892729,10,0.00328682662796182,"Preprocessor1_Model02"
8,6,"specificity","macro",0.948299899833107,10,0.00645528196862122,"Preprocessor1_Model02"
10,6,"accuracy","multiclass",0.857759784075574,10,0.0208960945818263,"Preprocessor1_Model03"
10,6,"pr_auc","macro",0.929640213200269,5,0.0167839841901741,"Preprocessor1_Model03"
10,6,"recall","macro",0.866888456953674,10,0.022437854243726,"Preprocessor1_Model03"
10,6,"roc_auc","hand_till",0.985260186914535,10,0.00303012393200279,"Preprocessor1_Model03"
10,6,"specificity","macro",0.949195181022506,10,0.006631914742142,"Preprocessor1_Model03"
12,6,"accuracy","multiclass",0.855195681511471,10,0.0208620274602496,"Preprocessor1_Model04"
12,6,"pr_auc","macro",0.923674673391712,5,0.0169552803125017,"Preprocessor1_Model04"
12,6,"recall","macro",0.865777345842563,10,0.0221067366009575,"Preprocessor1_Model04"
12,6,"roc_auc","hand_till",0.984535145369928,10,0.0032261312773318,"Preprocessor1_Model04"
12,6,"specificity","macro",0.948425950253275,10,0.00653659173578871,"Preprocessor1_Model04"
14,6,"accuracy","multiclass",0.860458839406208,10,0.0217292580338591,"Preprocessor1_Model05"
14,6,"pr_auc","macro",0.922657201438325,5,0.0167667165285064,"Preprocessor1_Model05"
14,6,"recall","macro",0.876195538760756,10,0.0211493163975454,"Preprocessor1_Model05"
14,6,"roc_auc","hand_till",0.984426963656311,10,0.00315042574806748,"Preprocessor1_Model05"
14,6,"specificity","macro",0.949508876393127,10,0.00715519337047967,"Preprocessor1_Model05"
6,7,"accuracy","multiclass",0.850067476383266,10,0.0188399733360367,"Preprocessor1_Model06"
6,7,"pr_auc","macro",0.928302824180167,5,0.0179045053183643,"Preprocessor1_Model06"
6,7,"recall","macro",0.863555123620341,10,0.0210197270835711,"Preprocessor1_Model06"
6,7,"roc_auc","hand_till",0.984427104216235,10,0.0032076597184567,"Preprocessor1_Model06"
6,7,"specificity","macro",0.947123429244871,10,0.00582707727816498,"Preprocessor1_Model06"
8,7,"accuracy","multiclass",0.847435897435897,10,0.0183234103529903,"Preprocessor1_Model07"
8,7,"pr_auc","macro",0.928235830226498,5,0.0173156495367517,"Preprocessor1_Model07"
8,7,"recall","macro",0.862468167098602,10,0.0212033262781571,"Preprocessor1_Model07"
8,7,"roc_auc","hand_till",0.984442687425296,10,0.00324805784594925,"Preprocessor1_Model07"
8,7,"specificity","macro",0.946433774072458,10,0.00577568550792536,"Preprocessor1_Model07"
10,7,"accuracy","multiclass",0.852631578947368,10,0.0189549262337552,"Preprocessor1_Model08"
10,7,"pr_auc","macro",0.926742240059638,5,0.01732820448865,"Preprocessor1_Model08"
10,7,"recall","macro",0.864666234731452,10,0.0213805314113421,"Preprocessor1_Model08"
10,7,"roc_auc","hand_till",0.984871851055547,10,0.00322293511049749,"Preprocessor1_Model08"
10,7,"specificity","macro",0.947892660014102,10,0.00595254100331911,"Preprocessor1_Model08"
12,7,"accuracy","multiclass",0.847300944669366,10,0.0207489238521628,"Preprocessor1_Model09"
12,7,"pr_auc","macro",0.92386198567991,5,0.0162363211106789,"Preprocessor1_Model09"
12,7,"recall","macro",0.858603432799085,10,0.0249906591992013,"Preprocessor1_Model09"
12,7,"roc_auc","hand_till",0.984186720244329,10,0.00312537495531402,"Preprocessor1_Model09"
12,7,"specificity","macro",0.946101584963392,10,0.00684052203515894,"Preprocessor1_Model09"
14,7,"accuracy","multiclass",0.862955465587045,10,0.022183316395422,"Preprocessor1_Model10"
14,7,"pr_auc","macro",0.922561840133266,5,0.0173537705293199,"Preprocessor1_Model10"
14,7,"recall","macro",0.875666234731452,10,0.0208664835233216,"Preprocessor1_Model10"
14,7,"roc_auc","hand_till",0.984251458806894,10,0.0031444347007544,"Preprocessor1_Model10"
14,7,"specificity","macro",0.950641492880582,10,0.00745480775132852,"Preprocessor1_Model10"
6,8,"accuracy","multiclass",0.85,10,0.021160311204242,"Preprocessor1_Model11"
6,8,"pr_auc","macro",0.927619646229674,5,0.0166634887270994,"Preprocessor1_Model11"
6,8,"recall","macro",0.863555123620341,10,0.0220928505858118,"Preprocessor1_Model11"
6,8,"roc_auc","hand_till",0.984230005541962,10,0.00323849409459546,"Preprocessor1_Model11"
6,8,"specificity","macro",0.947068484189926,10,0.00665212100818968,"Preprocessor1_Model11"
8,8,"accuracy","multiclass",0.850067476383266,10,0.0188399733360367,"Preprocessor1_Model12"
8,8,"pr_auc","macro",0.927030431271706,5,0.0174905423035685,"Preprocessor1_Model12"
8,8,"recall","macro",0.863555123620341,10,0.0210197270835711,"Preprocessor1_Model12"
8,8,"roc_auc","hand_till",0.984210492647449,10,0.00334925706114177,"Preprocessor1_Model12"
8,8,"specificity","macro",0.947123429244871,10,0.00582707727816498,"Preprocessor1_Model12"
10,8,"accuracy","multiclass",0.860323886639676,10,0.0205425911138412,"Preprocessor1_Model13"
10,8,"pr_auc","macro",0.924898303829511,5,0.016175304931704,"Preprocessor1_Model13"
10,8,"recall","macro",0.867840837906055,10,0.022479439568848,"Preprocessor1_Model13"
10,8,"roc_auc","hand_till",0.983920893398067,10,0.00326801448241902,"Preprocessor1_Model13"
10,8,"specificity","macro",0.949840342312828,10,0.00652818006433086,"Preprocessor1_Model13"
12,8,"accuracy","multiclass",0.855195681511471,10,0.0193304626813376,"Preprocessor1_Model14"
12,8,"pr_auc","macro",0.925548136538921,5,0.0156726926652149,"Preprocessor1_Model14"
12,8,"recall","macro",0.865801500431935,10,0.0218036605204505,"Preprocessor1_Model14"
12,8,"roc_auc","hand_till",0.984459602193298,10,0.00328277241900901,"Preprocessor1_Model14"
12,8,"specificity","macro",0.948505525850092,10,0.00613397454626541,"Preprocessor1_Model14"
14,8,"accuracy","multiclass",0.857759784075574,10,0.0177946138596176,"Preprocessor1_Model15"
14,8,"pr_auc","macro",0.923936121204533,5,0.017175107098958,"Preprocessor1_Model15"
14,8,"recall","macro",0.868857055987491,10,0.0204616735823885,"Preprocessor1_Model15"
14,8,"roc_auc","hand_till",0.984405241497633,10,0.00318461917874215,"Preprocessor1_Model15"
14,8,"specificity","macro",0.949736941493272,10,0.00596742175907022,"Preprocessor1_Model15"
