mtry,min_n,.metric,.estimator,mean,n,std_err,.config
68,3,accuracy,multiclass,0.8333333333333334,10,0.017213259316477405,Preprocessor1_Model1
68,3,pr_auc,macro,0.910816588154767,4,0.03715845624040217,Preprocessor1_Model1
68,3,precision,macro,0.8055584640658843,10,0.04552160276866467,Preprocessor1_Model1
68,3,recall,macro,0.7608111425611426,10,0.04058221667186195,Preprocessor1_Model1
68,3,roc_auc,hand_till,0.9560623714520774,10,0.01601305134848356,Preprocessor1_Model1
68,3,specificity,macro,0.9370987693097227,10,0.0075443619607378784,Preprocessor1_Model1
68,4,accuracy,multiclass,0.8333333333333334,10,0.014907119849998594,Preprocessor1_Model2
68,4,pr_auc,macro,0.910305230953403,4,0.03703878049236986,Preprocessor1_Model2
68,4,precision,macro,0.8069852489651755,10,0.043761681737725246,Preprocessor1_Model2
68,4,recall,macro,0.7616899304399304,10,0.04010575911053132,Preprocessor1_Model2
68,4,roc_auc,hand_till,0.9571109811348782,10,0.0159013164016976,Preprocessor1_Model2
68,4,specificity,macro,0.9368313896305783,10,0.007045282967054131,Preprocessor1_Model2
68,5,accuracy,multiclass,0.8266666666666667,10,0.016329931618554512,Preprocessor1_Model3
68,5,pr_auc,macro,0.9114044661672773,4,0.037718447531398774,Preprocessor1_Model3
68,5,precision,macro,0.7746153543670201,10,0.05702345167208472,Preprocessor1_Model3
68,5,recall,macro,0.7336596274096274,10,0.05259756619256119,Preprocessor1_Model3
68,5,roc_auc,hand_till,0.9551720894165747,10,0.016166096031324417,Preprocessor1_Model3
68,5,specificity,macro,0.934603272919703,10,0.007651022533267779,Preprocessor1_Model3
69,3,accuracy,multiclass,0.8366666666666667,10,0.011600340565456163,Preprocessor1_Model4
69,3,pr_auc,macro,0.9115682838993204,4,0.03767822815038717,Preprocessor1_Model4
69,3,precision,macro,0.8062444713439295,10,0.04371901942793294,Preprocessor1_Model4
69,3,recall,macro,0.7629145946645947,10,0.03931738424135793,Preprocessor1_Model4
69,3,roc_auc,hand_till,0.9561793474091269,10,0.01598810886807737,Preprocessor1_Model4
69,3,specificity,macro,0.9383774269266156,10,0.00521445236185164,Preprocessor1_Model4
69,4,accuracy,multiclass,0.8233333333333334,10,0.01409841948938835,Preprocessor1_Model5
69,4,pr_auc,macro,0.9107170595517725,4,0.037243777720221104,Preprocessor1_Model5
69,4,precision,macro,0.8008260091806161,10,0.04392768317371906,Preprocessor1_Model5
69,4,recall,macro,0.7547707385207385,10,0.03922317083729397,Preprocessor1_Model5
69,4,roc_auc,hand_till,0.9567268916404946,10,0.016181353646459073,Preprocessor1_Model5
69,4,specificity,macro,0.9331338371830259,10,0.006888135624539331,Preprocessor1_Model5
69,5,accuracy,multiclass,0.8266666666666667,10,0.017069212773041346,Preprocessor1_Model6
69,5,pr_auc,macro,0.9116955206331747,4,0.03774438723473388,Preprocessor1_Model6
69,5,precision,macro,0.773225130732551,10,0.05830865063991079,Preprocessor1_Model6
69,5,recall,macro,0.7339929607429607,10,0.05308319393613786,Preprocessor1_Model6
69,5,roc_auc,hand_till,0.9561474906493289,10,0.016156909217530907,Preprocessor1_Model6
69,5,specificity,macro,0.93523264354907365,10,0.007202368700676196,Preprocessor1_Model6
70,3,accuracy,multiclass,0.8366666666666667,10,0.01444444444444444,Preprocessor1_Model7
70,3,pr_auc,macro,0.9120309294156447,4,0.03792028212352682,Preprocessor1_Model7
70,3,precision,macro,0.7810079762379029,10,0.05649148635086288,Preprocessor1_Model7
70,3,recall,macro,0.7390708828208827,10,0.05372390164492558,Preprocessor1_Model7
70,3,roc_auc,hand_till,0.9560498733973,10,0.015945421179584987,Preprocessor1_Model7
70,3,specificity,macro,0.9378084011248312,10,0.006458630959338205,Preprocessor1_Model7
70,4,accuracy,multiclass,0.8266666666666667,10,0.013877773329774214,Preprocessor1_Model8
70,4,pr_auc,macro,0.9111599848397055,4,0.037592309592232254,Preprocessor1_Model8
70,4,precision,macro,0.8016659301292327,10,0.04421933621062089,Preprocessor1_Model8
70,4,recall,macro,0.7567707385207385,10,0.03896298987600781,Preprocessor1_Model8
70,4,roc_auc,hand_till,0.9560962937525438,10,0.015929117970104434,Preprocessor1_Model8
70,4,specificity,macro,0.9346722987214874,10,0.006412122697447988,Preprocessor1_Model8
70,5,accuracy,multiclass,0.8266666666666667,10,0.016329931618554512,Preprocessor1_Model9
70,5,pr_auc,macro,0.9104736120529489,4,0.037928726495382876,Preprocessor1_Model9
70,5,precision,macro,0.8036352097839343,10,0.04494277149150127,Preprocessor1_Model9
70,5,recall,macro,0.7569929607429607,10,0.04037334214592334,Preprocessor1_Model9
70,5,roc_auc,hand_till,0.9557197503612945,10,0.015917682588679646,Preprocessor1_Model9
70,5,specificity,macro,0.9343838371830259,10,0.007530153840941389,Preprocessor1_Model9
