"mtry","min_n",".metric",".estimator","mean","n","std_err",".config"
86,7,"accuracy","multiclass",0.856794871794872,10,0.0148777495692349,"Preprocessor1_Model01"
86,7,"brier_class","multiclass",0.106657820212851,10,0.00823749074881913,"Preprocessor1_Model01"
86,7,"roc_auc","hand_till",0.986628323467064,10,0.00322991325905004,"Preprocessor1_Model01"
89,7,"accuracy","multiclass",0.861858974358974,10,0.0158785989171656,"Preprocessor1_Model02"
89,7,"brier_class","multiclass",0.106184985527892,10,0.00825618897954686,"Preprocessor1_Model02"
89,7,"roc_auc","hand_till",0.986224911106076,10,0.0031349820475533,"Preprocessor1_Model02"
93,7,"accuracy","multiclass",0.856730769230769,10,0.0154235174109928,"Preprocessor1_Model03"
93,7,"brier_class","multiclass",0.106153898476169,10,0.00825802965512635,"Preprocessor1_Model03"
93,7,"roc_auc","hand_till",0.985601038085354,10,0.00335400442913443,"Preprocessor1_Model03"
96,7,"accuracy","multiclass",0.859294871794872,10,0.0149606986290728,"Preprocessor1_Model04"
96,7,"brier_class","multiclass",0.105946812846541,10,0.00819529164962571,"Preprocessor1_Model04"
96,7,"roc_auc","hand_till",0.986693049225948,10,0.00297641613912838,"Preprocessor1_Model04"
100,7,"accuracy","multiclass",0.859294871794872,10,0.0134160981812283,"Preprocessor1_Model05"
100,7,"brier_class","multiclass",0.10605539509352,10,0.00828729471072542,"Preprocessor1_Model05"
100,7,"roc_auc","hand_till",0.9861630429378,10,0.00311577898255768,"Preprocessor1_Model05"
86,8,"accuracy","multiclass",0.856730769230769,10,0.0154235174109928,"Preprocessor1_Model06"
86,8,"brier_class","multiclass",0.107043961016051,10,0.00831219604343957,"Preprocessor1_Model06"
86,8,"roc_auc","hand_till",0.985955035577333,10,0.00327307638113299,"Preprocessor1_Model06"
89,8,"accuracy","multiclass",0.861858974358974,10,0.0158785989171656,"Preprocessor1_Model07"
89,8,"brier_class","multiclass",0.106344716337116,10,0.00805145685415726,"Preprocessor1_Model07"
89,8,"roc_auc","hand_till",0.986171254946816,10,0.00319216711131779,"Preprocessor1_Model07"
93,8,"accuracy","multiclass",0.864423076923077,10,0.0127316184520355,"Preprocessor1_Model08"
93,8,"brier_class","multiclass",0.105806013050375,10,0.00811788505501262,"Preprocessor1_Model08"
93,8,"roc_auc","hand_till",0.987212698645334,10,0.00296890036115039,"Preprocessor1_Model08"
96,8,"accuracy","multiclass",0.864423076923077,10,0.0148504273504274,"Preprocessor1_Model09"
96,8,"brier_class","multiclass",0.106019087215787,10,0.00829612902692962,"Preprocessor1_Model09"
96,8,"roc_auc","hand_till",0.986990744894778,10,0.00295367636488568,"Preprocessor1_Model09"
100,8,"accuracy","multiclass",0.864358974358974,10,0.0143958115190034,"Preprocessor1_Model10"
100,8,"brier_class","multiclass",0.106183834171899,10,0.00822822295906143,"Preprocessor1_Model10"
100,8,"roc_auc","hand_till",0.987053409940253,10,0.00294112418000336,"Preprocessor1_Model10"
86,9,"accuracy","multiclass",0.859294871794872,10,0.0144641706450599,"Preprocessor1_Model11"
86,9,"brier_class","multiclass",0.106692727791818,10,0.00818939746193779,"Preprocessor1_Model11"
86,9,"roc_auc","hand_till",0.987185312782535,10,0.00293277800037097,"Preprocessor1_Model11"
89,9,"accuracy","multiclass",0.859358974358974,10,0.0138794182042884,"Preprocessor1_Model12"
89,9,"brier_class","multiclass",0.106681381020686,10,0.00823358574189825,"Preprocessor1_Model12"
89,9,"roc_auc","hand_till",0.98690037808714,10,0.00295532983755243,"Preprocessor1_Model12"
93,9,"accuracy","multiclass",0.856730769230769,10,0.0163433604674269,"Preprocessor1_Model13"
93,9,"brier_class","multiclass",0.106412950717458,10,0.0080819014530659,"Preprocessor1_Model13"
93,9,"roc_auc","hand_till",0.986853923569258,10,0.0029506948350573,"Preprocessor1_Model13"
96,9,"accuracy","multiclass",0.856794871794872,10,0.0148777495692349,"Preprocessor1_Model14"
96,9,"brier_class","multiclass",0.106596550937063,10,0.0081771960831146,"Preprocessor1_Model14"
96,9,"roc_auc","hand_till",0.987014565326087,10,0.00319900427881043,"Preprocessor1_Model14"
100,9,"accuracy","multiclass",0.859294871794872,10,0.0144641706450599,"Preprocessor1_Model15"
100,9,"brier_class","multiclass",0.106241092663832,10,0.00824199433223309,"Preprocessor1_Model15"
100,9,"roc_auc","hand_till",0.985871079609522,10,0.00391265646248338,"Preprocessor1_Model15"
86,10,"accuracy","multiclass",0.856730769230769,10,0.0163433604674269,"Preprocessor1_Model16"
86,10,"brier_class","multiclass",0.106321860248313,10,0.00803712664306327,"Preprocessor1_Model16"
86,10,"roc_auc","hand_till",0.986782664987294,10,0.00311148279606156,"Preprocessor1_Model16"
89,10,"accuracy","multiclass",0.864423076923077,10,0.016259335950521,"Preprocessor1_Model17"
89,10,"brier_class","multiclass",0.10667876598553,10,0.00819014544384229,"Preprocessor1_Model17"
89,10,"roc_auc","hand_till",0.985926531618888,10,0.00330915275682874,"Preprocessor1_Model17"
