"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"day","14"," 6"," 1"," 1","10","10","26"," 3","51"," 1"," 3"," 7"," 1"," 3"," 7"," 1","10","10","26","26","51"," 7","14","28"
"week","2","1","1","1","2","2","4","1","7","1","1","1","1","1","1","1","2","2","4","4","7","1","2","4"
"dose","3","1","2","3","1","1","1","1","2","3","1","1","2","2","2","3","0","0","0","0","0","3","3","3"
"infection","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0"
"type","IN","RNA","RNA","RNA","I","I","I","I","RNA","RNA","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","SU","SU","SU"
"disease_vac","V","V","V","V","I","I","I","I","I","V","V","V","V","V","V","V","I","I","I","I","I","V","V","V"
"ANTIVIRAL AND INTERFERON","-1.308453"," 1.286656"," 2.747804"," 2.378001"," 2.040660"," 2.213629",NA,NA,NA," 2.407655"," 2.535408",NA," 2.556160"," 2.366719","-2.103577"," 1.709807"," 1.632946",NA,NA,NA," 1.506685","-1.762496","-1.349805","-1.579011"
"ARPP",NA,NA," 2.256955"," 1.835922",NA,NA,NA,NA,NA," 2.101442"," 2.241001",NA," 1.872814"," 1.795805","-1.246801",NA,NA,NA,NA,NA," 1.666465","-2.415028","-1.422061","-1.411839"
"B CELLS",NA,NA,NA,NA,"-1.368194",NA,NA,NA,"-1.880259",NA,NA,NA,NA,NA,"-1.337063",NA,NA,NA,NA,NA,NA,"-1.828476","-1.458953","-1.507957"
"CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,"-1.706795","-1.641148",NA,NA,NA," 1.292200"," 1.405165",NA,NA,NA,"-1.389928",NA,"-1.877164","-1.453940","-1.862286","-1.629965",NA,NA,NA,"-1.458759"
"COMPLEMENT IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.316800",NA,"-1.333279",NA," 1.444250",NA,NA," 1.425594","-1.488605",NA,NA,NA,NA,NA,NA,NA,NA," 1.292052"
"DENDRITIC CELLS",NA,NA,NA,NA,NA,NA,NA,NA,"-1.347136",NA,NA,NA," 1.400905",NA,"-1.706616",NA,NA,NA,NA,NA,NA,"-2.162617",NA,NA
"EOSINOPHIL","-1.308453",NA," 1.766789"," 1.702221","-1.513837",NA,NA,NA,NA," 1.691723",NA,"-1.734411"," 1.656963"," 1.708296","-1.923401",NA,NA,"-1.750018",NA,NA,NA,"-1.263351",NA,"-1.253453"
"HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.611473",NA,NA,NA,NA,"-1.562967",NA,"-1.501987",NA,NA
"INFLAMMATION",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.401730",NA,NA,NA,NA,"-1.580805",NA,NA,NA,NA,NA,NA,"-1.686678","-1.269227",NA
"MAST CELL",NA,NA,NA,NA,"-1.500482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MONOCYTES","-1.308453",NA," 1.666623"," 1.652091",NA," 1.913892",NA,NA," 1.335163"," 1.576024",NA,NA," 1.563212"," 1.780238","-1.785946",NA,NA,NA," 1.822042"," 1.965177"," 1.950903","-1.840879","-1.306927","-1.745405"
"NEUTROPHIL","-1.308453",NA," 1.710606"," 1.771189"," 2.079436"," 2.169237"," 1.657328"," 1.590740"," 1.622047"," 1.865118","-1.788170",NA," 1.580927"," 1.568837","-2.244903",NA," 1.736334"," 1.728023"," 2.474282"," 2.041618"," 2.316777","-1.534919","-1.776749","-2.004132"
"NK CELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.532231",NA,NA,NA,NA,NA,NA,NA,"-1.743644",NA,NA,"-1.940942",NA,"-1.246944"
"T CELLS",NA,NA,NA,NA,"-1.778798","-1.722847",NA,NA,NA,NA," 1.538723",NA,NA,NA,"-1.300637",NA,"-1.913996","-1.482136","-1.926943","-1.494859",NA,NA,NA,"-1.458759"
