"","genes","9","8","7","6","5","4","3","2","1"
"1","ACE"," "," "," "," "," "," ","NEUTROPHIL","ARPP","INNATE IMMUNE SYSTEM"
"2","ACOD1"," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"3","ACTG1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"4","ACTR3"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"5","ADA"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"6","ADAM17"," "," ","T CELLS","NEUTROPHIL","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"7","ADAM8"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"8","ADAMTS13"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"9","ADAR"," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"10","ADARB1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"11","ADGRF5"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"12","ADGRG3"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"13","AIF1"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"14","AKT1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"15","ALOX5"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"16","ANKHD1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"17","ANXA3"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
