"","annotations","genes","process","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"1","vaccine",NA,NA,"BBIBP","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","ChAd","ChAd","ChAd","BNT","BNT","BNT","I","I","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"2","day",NA,NA,"14","28"," 6"," 1"," 1"," 1","10","10","26","26"," 3"," 4","51","51"," 1"," 3"," 6"," 7"," 1"," 3"," 7"," 3"," 7"," 1","10","10","26","26","51","51"," 1"," 7","14","28"
"3","week",NA,NA," 2"," 4"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 1"," 1"," 7"," 7"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 7"," 7"," 1"," 1"," 2"," 4"
"4","dose",NA,NA," 3"," 3"," 1"," 2"," 3"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 3"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 3"
"5","infection",NA,NA," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"
"6","type",NA,NA,"IN","IN","RNA","RNA","RNA","I","I","I","I","I","I","I","RNA","RNA","RNA","VV","VV","VV","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","I","I","SU","SU","SU"
"7","disease_vac",NA,NA,"V","V","V","V","V","I","I","I","I","I","I","I","I","I","V","V","V","V","V","V","V","V","V","V","I","I","I","I","I","I","I","V","V","V"
"8","V1","WNT4","ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"9","V2","WNT4","B CELLS","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"10","V3","WNT4","CELLULAR ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
"11","V4","WNT4","HUMORAL ADAPTIVE IMMUNE SYSTEM","1.78666326372392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09018155858913",NA,NA,"1.95498552081157",NA
