"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"ACE",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"ACOD1",NA,NA,NA,"3.7511856783858","3.32570406323056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.28848661024731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTG1",NA,NA,NA,NA,NA,NA,NA,NA,"1.12794765084786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09387128660283",NA,NA,NA,NA
"ACTR3",NA,NA,NA,NA,NA,NA,NA,NA,"1.07990108333317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07400766269443",NA,"1.03438358046635",NA,"1.27198274771368",NA,NA,NA,NA
"ADA",NA,NA,NA,NA,NA,NA,"-1.87347383444735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20451997768542",NA,NA,NA,NA,NA,NA
"ADAM17",NA,NA,NA,NA,NA,NA,NA,"1.42822668672088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.14099678470839","1.65039838297536",NA,"1.08253655868712",NA,"1.40602423219182",NA,NA,NA,NA
"ADAM8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.19518522005203",NA,NA,NA,NA
"ADAMTS13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.40633144117287","-1.4506223175494",NA,"-1.58517466254405",NA,NA,NA,NA,NA,NA
"ADAR",NA,NA,NA,NA,NA,NA,"1.16527339785057","1.12824384015257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01725379161947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADARB1",NA,NA,NA,NA,NA,NA,"-1.36693428582407","-1.30374019065959","-1.11732977527429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.32889184071627",NA,"-1.03375304183689",NA,NA,NA,NA,NA,NA
"ADGRF5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.76308359107852",NA,NA
"ADGRG3",NA,NA,NA,NA,NA,"1.4893662201853","1.3024878569334",NA,"1.47814372880295",NA,"1.86399169594418",NA,NA,NA,NA,"-1.44534668566554",NA,NA,NA,NA,NA,"-1.42419944090513","-2.03913355857959",NA,NA,"1.54081503790983",NA,NA,NA,"1.45735071952261",NA,NA,NA,NA
"AIF1",NA,NA,NA,NA,NA,NA,NA,NA,"1.6832242988443",NA,NA,NA,NA,NA,NA,"1.03412704647921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AKT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.46115478265658",NA,NA,NA,NA,NA,NA
"ALOX5",NA,NA,NA,NA,NA,NA,"1.7546133503953","1.47126870868378","1.6315298580507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.73532370531405","1.03261680075004",NA,NA,"1.10117333108022",NA,NA,NA,NA
