"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"day","14"," 6"," 1"," 1"," 1","10","10","26","26","51"," 1"," 3"," 7"," 1"," 3"," 7","10","10","26","26","51"," 7","14","28"
"week","2","1","1","1","1","2","2","4","4","7","1","1","1","1","1","1","2","2","4","4","7","1","2","4"
"dose","3","1","2","3","1","1","1","1","1","2","3","1","1","2","2","2","0","0","0","0","0","3","3","3"
"infection","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0"
"type","IN","RNA","RNA","RNA","I","I","I","I","I","RNA","RNA","VV","VV","VV","RNA","RNA","I","I","I","I","I","SU","SU","SU"
"disease_vac","V","V","V","V","I","I","I","I","I","I","V","V","V","V","V","V","I","I","I","I","I","V","V","V"
"ADCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0274161","0.6873129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP",NA,NA,"0.8303202",NA,NA,"0.7573479",NA,NA,NA,NA,NA,"0.7302654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP Exogenous antigen",NA,NA,"0.8398104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC I endogenous peptide",NA,NA,"0.8458672",NA,NA,NA,NA,NA,NA,NA,"0.6390239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC I exogenous peptide",NA,NA,"0.8458672",NA,NA,NA,NA,NA,NA,NA,"0.6275013","1.3883207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC II exogenous peptide",NA,NA,"1.8287971",NA,NA,NA,NA,NA,NA,NA,"0.6419683","0.7302654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC II polysacharide or peptide",NA,NA,"0.8458672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation B cell",NA,NA,NA,NA,"0.6782471","0.7573479",NA,"0.8428280",NA,"1.6122001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Complement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7302654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Immune response B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8322029",NA,NA
"Activation Immune response Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.335168",NA,NA
"Activation Immune response Microglial cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.110584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Inflammatory response Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Macrophage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9675577","0.6873129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Mast cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6579939",NA,NA,NA
"Activation Microglial cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.381332",NA,NA,NA,NA,NA,NA,NA,NA,"1.039282",NA,NA,NA,NA,NA
"Activation Monocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3813321",NA,NA,NA,NA,NA,NA,NA,"0.6697395","1.0392815",NA,NA,"0.7752520","0.7233831",NA
"Activation NK cell",NA,NA,NA,NA,NA,"0.6802289","1.0115179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0831131",NA,NA,"0.9668057",NA,NA
"Activation Neutrophil",NA,NA,NA,NA,NA,"0.8204505",NA,NA,NA,"0.8136220",NA,"1.0850753",NA,NA,NA,NA,NA,"0.6697395","1.7034164","0.6362166","0.8348717","1.3351682","0.8150919","0.7760910"
"Activation T cell",NA,NA,NA,NA,NA,NA,"2.1822027",NA,NA,NA,NA,"1.1105840",NA,NA,NA,NA,NA,NA,"1.4450313",NA,"0.6579939",NA,NA,NA
"Activation Th1 cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7655173",NA,NA
"Activation abT cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6763691",NA,NA,NA,NA,NA
"Activation gdT cell",NA,NA,NA,NA,NA,"0.6985588","1.2413180",NA,NA,NA,"0.6275013",NA,NA,NA,NA,NA,NA,NA,"0.6763691",NA,NA,NA,NA,NA
"Adaptive Immune response",NA,NA,NA,NA,NA,"0.7573479","1.4931355",NA,NA,"0.7785485",NA,"0.6607320",NA,NA,NA,NA,NA,NA,"1.0392815",NA,NA,"0.7752520",NA,NA
"Antibacterial humoral response",NA,NA,NA,NA,NA,"2.7067061","2.1216080","3.6093894","0.7247169","2.0723699",NA,NA,"1.9112119",NA,NA,NA,"0.6255831","0.6697395","4.0531415","1.7337156","0.7671219",NA,NA,NA
"Antifungal humoral response",NA,NA,NA,NA,NA,"0.9522505","1.7119096","1.2976000",NA,"1.6122001",NA,NA,NA,NA,NA,NA,NA,NA,"1.6988653",NA,"0.9256843",NA,NA,NA
"Antifungal innate immune response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.110584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigen recognition processing and presentation",NA,NA,"3.8942787","1.6499193",NA,NA,NA,NA,NA,NA,"3.1029177","3.2221639",NA,"1.8172006","0.9416536",NA,NA,NA,NA,NA,"0.6579939","1.6251914",NA,"0.7711531"
"Antimicrobial humoral response",NA,NA,NA,NA,NA,"1.0893350","1.7119096",NA,NA,"2.2130599",NA,NA,"1.6373164",NA,NA,NA,NA,"0.6697395","2.6046611",NA,"1.2065669","0.9199368",NA,NA
"Antimicrobial peptide-mediated immune response",NA,NA,NA,NA,NA,"2.3117653","2.4044992","1.2976000","1.3225255","2.0723699",NA,NA,NA,NA,"0.8011248","1.1662777","0.6255831","2.2251028","3.6164513","1.7379942","1.0348238","1.0288097","1.0224368","2.6518616"
"Antiviral and inteferon","0.9559937","0.6097776","8.0874889","7.0018253",NA,"1.7507575","2.5381131",NA,NA,NA,"6.3728548","5.4427558",NA,"6.8041673","4.6610615",NA,NA,NA,NA,NA,NA,"0.9915024",NA,"1.0623727"
"Antiviral innate immune response",NA,NA,"3.0195230","2.4222022",NA,"1.1916290","1.7119096",NA,NA,NA,"2.5521393","1.0325833",NA,"4.7478848","2.1913308",NA,"0.6661311",NA,NA,NA,NA,NA,NA,NA
"B cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.4266429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,"0.7711531"
"Biosynthesis Antibacterial peptides against Gram-",NA,NA,NA,NA,NA,NA,"1.0382559",NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,"1.1303637",NA,NA,NA,NA,NA
"C-type lectin receptor PRR",NA,NA,NA,NA,NA,"1.191629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellular adaptive immune system",NA,NA,NA,NA,NA,"1.0525582","1.6170059",NA,NA,NA,NA,"0.7187038",NA,NA,NA,NA,"1.0057113","0.6697395","2.1852748","0.7689354",NA,NA,NA,"0.7711531"
"Cellular extravasation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.381332",NA,NA,NA,NA,NA,NA,NA,NA,"1.039282",NA,NA,NA,NA,NA
"Cellular response to Interferon I",NA,NA,"0.7821209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0038844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellular response to Interferon II","0.9559937",NA,"4.7241320","3.0701956",NA,NA,NA,NA,NA,NA,"2.5521393","0.9653987","1.2784616","2.2485852","1.3926492",NA,NA,NA,NA,NA,"0.6579939","0.9199368",NA,"1.0623727"
"Chemotaxis B cell",NA,NA,NA,NA,NA,NA,"1.4931355",NA,"1.3225255",NA,NA,NA,NA,NA,NA,NA,NA,"0.6697395","0.9970772","0.7654706","0.9807488",NA,NA,NA
"Chemotaxis Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738",NA,NA,NA,NA,NA,"0.8011248",NA,NA,NA,NA,NA,NA,"0.7924720",NA,NA
"Chemotaxis Dendritic cell Myeloid",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738","0.7785485",NA,NA,NA,NA,NA,NA,NA,NA,"0.6779223",NA,NA,NA,NA,NA
"Chemotaxis Eosinophil","0.9559937",NA,"0.8458672","0.8410590",NA,NA,NA,NA,NA,NA,"0.6390239",NA,"1.9112119","1.0745412","0.8011248",NA,NA,"1.3304741",NA,NA,NA,NA,NA,"0.7711531"
"Chemotaxis Granulocyte","0.9559937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,NA,NA,NA,NA,NA,"1.3351682",NA,"0.7711531"
"Chemotaxis Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.8434893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chemotaxis Lymphocyte","0.9559937",NA,"0.8458672","0.8410590",NA,NA,NA,"1.0700952",NA,NA,"0.6390239",NA,"1.9112119","1.0745412","0.9650280",NA,NA,NA,NA,NA,NA,"0.9789938",NA,"1.0623727"
