"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"day","14"," 6"," 1"," 1"," 1","10","10","26","26","51"," 1"," 3"," 7"," 1"," 3"," 7","10","10","26","26","51"," 7","14","28"
"week","2","1","1","1","1","2","2","4","4","7","1","1","1","1","1","1","2","2","4","4","7","1","2","4"
"dose","3","1","2","3","1","1","1","1","1","2","3","1","1","2","2","2","0","0","0","0","0","3","3","3"
"infection","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0"
"type","IN","RNA","RNA","RNA","I","I","I","I","I","RNA","RNA","VV","VV","VV","RNA","RNA","I","I","I","I","I","SU","SU","SU"
"disease_vac","V","V","V","V","I","I","I","I","I","I","V","V","V","V","V","V","I","I","I","I","I","V","V","V"
"ADCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.526531","-1.455658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP",NA,NA,"1.715011",NA,NA,"1.791873",NA,NA,NA,NA,NA,"1.687140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP Exogenous antigen",NA,NA,"1.494116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC I endogenous peptide",NA,NA,"1.688701",NA,NA,NA,NA,NA,NA,NA,"1.616153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC I exogenous peptide",NA,NA,"1.610767",NA,NA,NA,NA,NA,NA,NA,"1.547436","1.801532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC II exogenous peptide",NA,NA,"1.959211",NA,NA,NA,NA,NA,NA,NA,"1.774827","1.694917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APP MHC II polysacharide or peptide",NA,NA,"1.601839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation B cell",NA,NA,NA,NA,"-1.830073","-1.932630",NA,"-1.975463",NA,"-1.853240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Complement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.522066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Immune response B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.283049",NA,NA
"Activation Immune response Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.312938",NA,NA
"Activation Immune response Microglial cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.554233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Inflammatory response Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.316156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Macrophage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.692659","-1.434970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Activation Mast cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.439472",NA,NA,NA
"Activation Microglial cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.320987",NA,NA,NA,NA,NA,NA,NA,NA,"1.642148",NA,NA,NA,NA,NA
"Activation Monocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.320987",NA,NA,NA,NA,NA,NA,NA," 1.504496"," 1.321885",NA,NA,"-1.277126","-1.295246",NA
"Activation NK cell",NA,NA,NA,NA,NA,"-1.548704","-1.727972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.616263",NA,NA,"-1.455245",NA,NA
"Activation Neutrophil",NA,NA,NA,NA,NA," 1.763075",NA,NA,NA," 1.284985",NA,"-1.774577",NA,NA,NA,NA,NA," 1.685757"," 1.736568"," 1.675459"," 1.678465","-1.311861","-1.318079","-1.298893"
"Activation T cell",NA,NA,NA,NA,NA,NA,"-2.192508",NA,NA,NA,NA," 1.838747",NA,NA,NA,NA,NA,NA,"-1.918688",NA,"-1.789905",NA,NA,NA
"Activation Th1 cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.269586",NA,NA
"Activation abT cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.43543",NA,NA,NA,NA,NA
"Activation gdT cell",NA,NA,NA,NA,NA,"-1.575110","-1.632279",NA,NA,NA,"-1.701283",NA,NA,NA,NA,NA,NA,NA,"-1.435430",NA,NA,NA,NA,NA
"Adaptive Immune response",NA,NA,NA,NA,NA,"-1.810683","-1.772019",NA,NA,"-1.276445",NA," 1.503581",NA,NA,NA,NA,NA,NA,"-1.696614",NA,NA,"-1.375504",NA,NA
"Antibacterial humoral response",NA,NA,NA,NA,NA,"2.430893","2.094672","2.339934","1.290607","1.902092",NA,NA,"1.646013",NA,NA,NA,"1.797448","1.689877","2.130017","2.010562","1.761224",NA,NA,NA
"Antifungal humoral response",NA,NA,NA,NA,NA,"1.571520","1.727147","1.637768",NA,"1.630611",NA,NA,NA,NA,NA,NA,NA,NA,"1.679934",NA,"1.544284",NA,NA,NA
"Antifungal innate immune response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.547488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigen recognition processing and presentation",NA,NA," 2.220096"," 1.888348",NA,NA,NA,NA,NA,NA," 2.130609"," 2.202619",NA," 1.885849"," 1.774642",NA,NA,NA,NA,NA," 1.649594","-2.303633",NA,"-1.444370"
"Antimicrobial humoral response",NA,NA,NA,NA,NA," 1.677005"," 1.871893",NA,NA," 1.676296",NA,NA," 1.586804",NA,NA,NA,NA," 1.698316"," 1.852908",NA," 1.668069","-1.437917",NA,NA
"Antimicrobial peptide-mediated immune response",NA,NA,NA,NA,NA," 2.333769"," 2.198197"," 2.062578"," 1.899839"," 2.044733",NA,NA,NA,NA," 1.695190","-2.333166"," 1.856542"," 2.232972"," 2.245012"," 2.406802"," 2.106081","-1.919891","-1.771169","-1.872920"
"Antiviral and inteferon","-1.312303"," 1.284615"," 2.689780"," 2.453865",NA," 2.027477"," 2.198287",NA,NA,NA," 2.403487"," 2.506228",NA," 2.552238"," 2.335109",NA,NA,NA,NA,NA,NA,"-1.803663",NA,"-1.590435"
"Antiviral innate immune response",NA,NA,"2.103298","1.976830",NA,"1.885844","1.932695",NA,NA,NA,"2.092412","1.697854",NA,"2.147392","1.898475",NA,"1.891785",NA,NA,NA,NA,NA,NA,NA
"B cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.909383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.895970",NA,"-1.581809"
"Biosynthesis Antibacterial peptides against Gram-",NA,NA,NA,NA,NA,NA,"1.323015",NA,NA,NA,NA,NA,"1.311423",NA,NA,NA,NA,NA,"1.325698",NA,NA,NA,NA,NA
"C-type lectin receptor PRR",NA,NA,NA,NA,NA,"-1.728594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellular adaptive immune system",NA,NA,NA,NA,NA,"-1.678264","-1.637423",NA,NA,NA,NA," 1.396014",NA,NA,NA,NA,"-1.831260","-1.488831","-1.919522","-1.617126",NA,NA,NA,"-1.496959"
"Cellular extravasation",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.320987",NA,NA,NA,NA,NA,NA,NA,NA,"1.321885",NA,NA,NA,NA,NA
"Cellular response to Interferon I",NA,NA,"1.332630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.344638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cellular response to Interferon II","-1.312303",NA," 2.393296"," 2.119410",NA,NA,NA,NA,NA,NA," 2.117730"," 1.727112","-1.945577"," 2.048270"," 1.939424",NA,NA,NA,NA,NA," 1.683531","-1.612782",NA,"-1.590435"
"Chemotaxis B cell",NA,NA,NA,NA,NA,NA,"1.327221",NA,"1.324909",NA,NA,NA,NA,NA,NA,NA,NA,"1.331527","1.319979","1.310162","1.327480",NA,NA,NA
"Chemotaxis Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,"-1.317538",NA,NA,NA,NA,NA,"-1.864149",NA,NA,NA,NA,NA,NA,"-1.502494",NA,NA
"Chemotaxis Dendritic cell Myeloid",NA,NA,NA,NA,NA,NA,NA,NA,"-1.317538","-1.327760",NA,NA,NA,NA,NA,NA,NA,NA,"-1.294701",NA,NA,NA,NA,NA
"Chemotaxis Eosinophil","-1.312303",NA," 1.596918"," 1.709653",NA,NA,NA,NA,NA,NA," 1.654569",NA,"-1.766819"," 1.569818"," 1.702126",NA,NA,"-1.330189",NA,NA,NA,NA,NA,"-1.271605"
"Chemotaxis Granulocyte","-1.312303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.304332",NA,NA,NA,NA,NA,NA,NA,NA,"-1.312399",NA,"-1.271605"
"Chemotaxis Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.374465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chemotaxis Lymphocyte","-1.312303",NA," 1.596918"," 1.709653",NA,NA,NA,"-1.314414",NA,NA," 1.687880",NA,"-1.766819"," 1.569818"," 1.801011",NA,NA,NA,NA,NA,NA,"-1.611987",NA,"-1.590435"
"Chemotaxis Macrophage","-1.312303",NA," 1.797865"," 1.666664",NA,NA," 1.598076",NA,NA," 1.320987",NA," 1.719659",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.549218",NA,"-1.271605"
