"source","target","value","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","annotation"
"MONOV INFLUENZA A (D1)","ADAMTS7",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ATG9B",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ATP13A4",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HEATR9",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CACNA1I",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CHD5",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","COL5A1",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","COL5A3",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CYP4F12",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DPEP3",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FXYD2",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GSDMA",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HSPG2",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MFGE8",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MMP15",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NDRG4",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NOG",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NRCAM",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SHANK1",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SPRY1",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SPRY2",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","STYK1",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SYT17",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","TNNC1",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","TPBG",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","TRIM74",-1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","AANAT",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ACP3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ACSL1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ACVRL1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
