Source,Target,Type,Id,Label,Weight
Reg. of BP,MDK,Undirected,1,,1
"ZF2001 (V3, D07)",SOX2,Undirected,2,,1
"ZF2001 (V3, D14)",EPHX3,Undirected,3,,1
TAP1,INNATE IMMUNE SYSTEM,Undirected,4,,1
TNFAIP6,"ChAd-BNT (V2, D7)",Undirected,5,,1
"ZF2001 (V3, D07)",SPATA31A7,Undirected,6,,1
PKN1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,7,,1
SLAMF6,Interspecies interaction,Undirected,8,,2
PIK3CA,Immune system,Undirected,9,,2
YTHDF2,Reg. of BP,Undirected,10,,1
"ZF2001 (V3, D07)",CPXM2,Undirected,11,,1
ZFP36L2,Reg. of BP,Undirected,12,,2
INNATE IMMUNE SYSTEM,CD74,Undirected,13,,1
ZNF703,"ChAd (V1, D3)",Undirected,14,,1
"ZF2001 (V3, D07)",HIF3A,Undirected,15,,1
TRBV28,Reg. of BP,Undirected,16,,1
"ZF2001 (V3, D07)",TNNI1,Undirected,17,,1
LVS F TULARENSIS (H18),CD68,Undirected,18,,1
FLUARIX FLUVIRIN (D3),ATXN7,Undirected,19,,1
TNFSF10,MONOV INFLUENZA A (D1),Undirected,20,,1
RNU4ATAC,"ChAd (V2, D1)",Undirected,21,,1
Immune system,CCDC92,Undirected,22,,1
"ChAd-BNT (V2, D3)",CSF2,Undirected,23,,1
IL1R2,"ChAd (V1, D3)",Undirected,24,,1
"ZF2001 (V3, D07)",CALB1,Undirected,25,,1
PTK2,ADAPTIVE IMMUNE SYSTEM,Undirected,26,,1
INNATE IMMUNE SYSTEM,CD8A,Undirected,27,,1
T CELLS,EIF2B2,Undirected,28,,1
FMNL2,FLUARIX FLUVIRIN (D3),Undirected,29,,1
KIF11,"ChAd-BNT (V2, D7)",Undirected,30,,1
HGFAC,"ChAd-BNT (V2, D7)",Undirected,31,,1
FOXO3,BNT-I (D4),Undirected,32,,1
TRIM58,"ChAd-BNT (V2, D7)",Undirected,33,,1
NOL11,FLUARIX FLUVIRIN (D3),Undirected,34,,1
WETVAX (D5-7),ITGAE,Undirected,35,,1
SELENOK,Interspecies interaction,Undirected,36,,2
INNATE IMMUNE SYSTEM,CD84,Undirected,37,,1
"ZF2001 (V3, D07)",PFKFB3,Undirected,38,,1
Reg. of BP,IL5RA,Undirected,39,,1
LVS F TULARENSIS (H18),CD58,Undirected,40,,1
LY6E,"BNT-MO (V3, D1)",Undirected,41,,1
MENACTRA (D3),C1QA,Undirected,42,,1
TMEM87B,FLUARIX FLUVIRIN (D3),Undirected,43,,1
Reg. of BP,CMKLR1,Undirected,44,,2
FLUMIST (D3),ATG16L1,Undirected,45,,1
MENACTRA (D3),C1QB,Undirected,46,,1
MENACTRA (D3),C1QC,Undirected,47,,2
SLC30A1,"ChAd (V2, D3)",Undirected,48,,1
"ZF2001 (V3, D07)",HOXC8,Undirected,49,,1
PCK2,FLUMIST (D3),Undirected,50,,1
NCF1,Metabolism,Undirected,51,,2
DUSP26,"ChAd (V1, D7)",Undirected,52,,1
TLR4,MACROPHAGES,Undirected,53,,1
"ZF2001 (V3, D07)",HOXC6,Undirected,54,,1
IL6ST,Cellular,Undirected,55,,2
TRBV5-3,Cellular,Undirected,56,,1
"ChAd (V1, D7)",APOL4,Undirected,57,,1
PCID2,Metabolism,Undirected,58,,2
OAS1,INFLUENZA (D1),Undirected,59,,1
LVS F TULARENSIS (H18),CD44,Undirected,60,,1
RNASE2,MVA85A (D2),Undirected,61,,1
PLPP6,Metabolism,Undirected,62,,1
INNATE IMMUNE SYSTEM,CD93,Undirected,63,,1
Reg. of BP,LAG3,Undirected,64,,2
HLA-DQB1,ADAPTIVE IMMUNE SYSTEM,Undirected,65,,1
PMAIP1,Cellular,Undirected,66,,2
Reg. of BP,MBP,Undirected,67,,2
ZNF14,FLUARIX FLUVIRIN (D3),Undirected,68,,1
Reg. of BP,RNF125,Undirected,69,,2
RAB3B,Cellular,Undirected,70,,2
FKBP8,BNT-I (D1),Undirected,71,,1
TYR,Metabolism,Undirected,72,,1
INNATE IMMUNE SYSTEM,BCL2L11,Undirected,73,,1
PIK3R1,Cellular,Undirected,74,,2
Interspecies interaction,CLU,Undirected,75,,2
"ZF2001 (V3, D07)",SOX21,Undirected,76,,1
NUP58,FLUARIX FLUVIRIN (D3),Undirected,77,,1
