cond1	cond2	shared	not_shared_cond1	not_shared_cond2	total_genes_cond1	total_genes_cond2	genes_names	percentage_shared_cond1	percentage_shared_cond2	pvalue	qvalue	vaccine	covid_other	microbe_type	target_pathogen_disease	disease_vac	type	regimen	day_total	day_month	month	week	dose	infection
BBIBP (V3, D14)	MONOV INFLUENZA A (D1)	0	133	4	133	4	NA	0	0	7.12054440834329e-8	7.12054440834329e-8	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D28)	MONOV INFLUENZA A (D1)	1	132	0	133	1	CXCL8	0.75	100	1	1	BBIBP	COVID	VIRUS	SARS	V	IN	HO	28	28	1	4	3	0
BNT (V1, D6)	MONOV INFLUENZA A (D1)	0	133	2	133	2	NA	0	0	1.1055831951354e-4	1.1055831951354e-4	BNT	COVID	VIRUS	SARS	V	RNA	HO	6	6	1	1	1	0
BNT (V2, D1)	MONOV INFLUENZA A (D1)	35	98	13	133	48	BATF2,CLEC6A,DDX60,FCGR1A,GBP1,GBP2,GCH1,IDO1,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL27,IL31RA,IRF1,MX1,OAS2,PARP9,STAT1,STAT2,TAP1,TNFSF10,CFB,RNF213,TAP2,CCL2,PML,BST2,RIGI,EIF2AK2,GBP6,IRF9,TRIM21,TRIM22	26.32	72.92	1.52065022457221e-7	1.52065022457221e-7	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	2	0
BNT (V3, D1)	MONOV INFLUENZA A (D1)	38	95	24	133	62	BATF2,CLEC6A,DDX60,FCGR1A,GBP1,GBP2,GCH1,HP,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL27,IL31RA,IRF1,MX1,OAS2,PARP9,PSMB9,STAT1,STAT2,TAP1,TNFSF10,CFB,IFITM1,RNF213,TAP2,CCL2,PML,ANXA3,RIGI,EIF2AK2,GBP6,PIK3AP1,TRIM22	28.57	61.29	7.62928574827033e-12	7.62928574827033e-12	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	3	0
BNT-I (D1)	MONOV INFLUENZA A (D1)	7	126	60	133	67	BCL3,CD14,FCAR,NFAM1,RGS1,IL1R2,CD22	5.26	10.45	1.5708211527211097e-42	1.5708211527211097e-42	BNT	COVID	VIRUS	SARS	I	I	V-I	1	1	1	1	1	1
BNT-I (D10, mild)	MONOV INFLUENZA A (D1)	59	74	218	133	277	IL23R,ADM,APOBEC3A,BATF2,BCL3,BCL6,BST1,CASP1,DDX60,FCER1G,FCGR1A,GBP1,GBP2,GCH1,HCK,HP,IFI30,IFI35,IFI6,IFIT1,IFITM3,IFNGR2,IL15,IL1RN,LILRA5,LILRA6,MX1,OAS2,PARP9,PSMB9,S100A12,STAT2,TAP1,IL1R1,IL1R2,MAP2K6,AZU1,FCER1A,CRTC3,CX3CR1,SPNS2,CFB,IFITM1,ADARB1,CD1E,JAK3,PML,ANXA3,BPI,CD22,EIF2AK2,GBP6,IRF9,PIK3AP1,PSMB8,PSME1,TRIM21,TRIM22,ZC3HAV1	44.36	21.3	1.90928213428201e-39	1.90928213428201e-39	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D10, severe)	MONOV INFLUENZA A (D1)	66	67	203	133	269	IL23R,ADM,APOBEC3A,BATF2,BCL3,BCL6,BST1,CASP1,CD38,DDX60,FCAR,FCER1G,FCGR1A,GBP1,GBP2,HP,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IFNGR2,IL15,IL1RN,IL27,LILRA5,LILRA6,MX1,OAS2,PARP9,PKHD1L1,PSMB9,S100A12,STAT1,STAT2,TAP1,TLR4,TNFSF10,IL1R1,IL1R2,MAP2K6,AZU1,FCER1A,CX3CR1,CXCL8,CD40,CFB,IFITM1,RNF213,ADARB1,CD1E,CLU,FCGR2B,JAK3,PML,ANXA3,BPI,EIF2AK2,GBP6,PIK3AP1,PSMB8,TRIM21,TRIM22,ZC3HAV1,CSF1	49.62	24.54	1.73518413727676e-33	1.73518413727676e-33	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D26, mild)	MONOV INFLUENZA A (D1)	28	105	132	133	160	ADM,AIF1,APOBEC3A,BCL3,BCL6,BST1,FCER1G,HP,IFI30,IFNGR2,LILRA3,LILRA5,LILRA6,S100A12,IL1R1,IL1R2,MAP2K6,CD40,PTK2,ADARB1,APOBEC3F,CCL2,JAK3,ANXA3,BPI,BTLA,CD22,TMEM229B	21.05	17.5	5.777119444310279e-48	5.777119444310279e-48	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D26, severe)	MONOV INFLUENZA A (D1)	3	130	32	133	35	S100A12,CD40,BPI	2.26	8.57	4.7223578515251795e-31	4.7223578515251795e-31	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
